dates,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,CONSTR_H_IND_YOY,96.1,83.7,134.0,50.7,244.6,330.7,513.0,101.6,84.1,163.9,106.6,148.6,194.3,118.4,277.6,170.6,237.7,105.4,37.2,6.5,98.1,1021.5,57.8,106.6,9.3,,78.6,44.8,107.7,,128.8,606.0,92.5,94.7,318.9,213.5,86.4,154.1,141.8,97.3,,150.6,1012.8,,21.8,103.2,,68.1,125.5,84.3,105.9,169.5,161.0,118.6,87.1,69.1,180.3,213.4,106.9,106.1,46.5,99.8,66.7,76.0,242.6,104.6,71.3,84.0,41.0,,47.9,108.7,84.1,113.2,124.7,20.8,115.2,263.0,65.5,196.3,166.4,85.7,62.9,62.3,66.3,83.7,70.7,61.3,65.7,27.7,,112.0,104.8,,,,
2009-02-01,CONSTR_H_IND_YOY,101.3,100.5,113.7,56.5,162.8,138.6,198.2,108.3,155.5,139.6,180.1,136.3,200.7,108.4,166.0,151.2,156.8,115.8,39.2,31.3,95.2,341.7,104.0,92.1,11.3,,91.6,61.9,103.1,854.0,113.1,446.7,85.1,107.2,284.0,214.6,101.0,150.1,104.1,92.7,,219.7,410.4,102.0,38.6,114.0,,89.6,119.0,90.1,112.4,139.2,125.1,86.9,108.8,98.6,137.8,261.5,107.8,89.3,80.0,100.6,67.4,75.5,116.5,93.6,69.7,47.9,51.7,,61.5,93.4,91.2,105.2,125.7,95.6,104.2,277.2,61.7,35.8,145.0,65.2,71.8,64.3,79.8,56.5,73.9,74.9,58.6,57.7,,85.1,285.9,,,,
2009-03-01,CONSTR_H_IND_YOY,102.5,113.9,90.9,59.2,109.4,147.1,174.1,89.7,154.8,103.3,144.0,124.6,119.8,104.7,133.7,108.1,160.9,108.7,87.5,100.2,104.2,220.9,103.7,64.7,9.1,,115.6,76.6,106.2,730.3,93.0,177.4,107.4,104.4,324.6,165.1,98.4,193.8,88.4,88.7,,181.6,220.2,101.7,72.4,160.5,192.2,89.3,112.3,80.0,108.0,139.6,129.6,93.4,72.9,111.0,140.4,165.4,101.4,103.9,90.9,109.1,88.8,83.4,134.3,102.6,79.9,46.3,56.0,,64.0,75.5,79.7,87.1,90.4,94.8,112.6,195.0,71.3,111.2,106.1,54.1,20.2,63.7,85.1,43.5,126.7,77.5,96.2,46.9,31.3,80.0,208.3,,,,
2009-04-01,CONSTR_H_IND_YOY,104.3,121.1,103.5,77.4,120.8,125.6,177.4,93.5,133.3,104.1,141.9,136.3,116.1,104.1,137.3,105.0,174.8,114.0,96.7,105.1,99.2,168.7,108.5,67.1,28.7,,125.8,76.8,118.4,243.0,73.3,192.2,90.3,103.3,381.0,161.5,96.6,168.8,90.1,93.4,,133.9,213.0,101.7,79.1,100.7,132.7,103.0,109.1,86.6,108.4,141.8,114.0,82.5,86.9,100.9,154.1,166.7,102.1,113.4,95.0,105.0,89.6,88.7,132.6,99.8,85.7,70.0,40.6,,75.3,83.0,85.6,85.5,90.9,105.5,107.2,214.6,84.7,110.7,108.5,60.3,24.3,86.8,80.5,58.0,198.2,85.6,87.2,48.7,8.7,62.9,136.5,,,,
2009-05-01,CONSTR_H_IND_YOY,104.2,117.8,100.3,116.1,122.2,113.0,201.1,86.2,130.4,105.1,126.6,126.7,108.5,100.9,122.5,106.6,205.3,112.9,122.3,104.8,96.7,113.2,101.0,62.2,22.7,,115.7,76.2,118.2,243.0,70.8,160.2,90.4,101.7,294.3,158.4,94.9,140.6,93.0,94.1,,130.4,188.8,101.8,77.8,100.3,147.7,104.0,110.4,92.9,108.6,136.0,111.4,87.1,98.9,95.0,152.2,175.6,101.6,110.2,102.9,106.9,101.2,92.0,128.1,97.9,91.4,76.5,35.2,,81.0,86.5,77.2,101.7,108.8,121.6,102.1,208.0,104.2,113.6,107.5,65.5,28.8,76.3,88.6,58.2,148.4,108.3,89.6,53.4,15.9,67.4,144.9,,,,
2009-06-01,CONSTR_H_IND_YOY,99.7,109.9,97.2,116.8,116.5,118.9,130.1,81.5,113.4,106.7,124.1,118.5,60.6,106.9,99.4,104.6,191.6,100.3,74.9,102.8,99.5,96.5,84.4,72.6,31.6,,118.3,81.4,121.4,451.6,56.5,190.1,94.8,96.0,210.4,141.4,87.1,112.1,91.5,92.4,,128.7,123.7,101.5,91.6,100.0,161.8,99.1,101.9,96.2,108.5,108.2,101.2,75.5,104.9,83.4,115.2,123.8,100.3,122.4,94.7,101.5,106.7,96.4,105.5,99.9,99.9,103.6,52.2,,86.3,82.4,66.7,86.2,168.5,82.8,104.8,203.6,89.8,106.2,102.7,75.9,31.5,83.7,95.4,62.4,170.6,100.5,100.2,44.5,23.1,109.9,131.0,,,,
2009-07-01,CONSTR_H_IND_YOY,100.8,107.6,93.0,103.7,110.4,116.1,142.6,81.8,115.9,93.0,121.8,114.1,69.2,103.5,101.9,105.9,177.4,92.4,72.0,105.0,99.7,94.3,71.5,69.8,30.8,,121.2,80.2,117.9,406.9,68.7,188.8,96.9,97.9,216.9,137.6,90.2,122.1,92.1,93.6,,121.4,93.1,101.5,83.2,92.5,184.6,104.8,106.1,103.7,109.2,92.6,97.7,78.6,109.6,100.4,124.6,131.5,100.5,117.9,118.9,105.0,112.3,93.3,102.8,94.2,102.3,101.9,54.4,,79.6,87.8,73.3,90.3,177.9,91.5,108.3,178.0,96.8,145.4,100.3,83.7,33.8,83.0,92.7,64.4,118.5,98.3,94.1,61.8,23.7,118.6,110.1,,,,
2009-08-01,CONSTR_H_IND_YOY,101.2,112.0,95.3,106.9,111.1,134.6,134.9,81.7,116.7,102.1,136.1,121.4,80.1,101.9,96.5,107.3,170.7,109.9,80.9,100.8,96.1,103.3,93.3,79.9,45.1,,120.7,82.2,121.8,331.1,79.2,186.6,82.6,98.9,207.6,136.2,92.7,133.2,97.6,93.1,,117.1,85.0,116.5,88.9,81.6,205.0,99.1,105.8,103.5,108.0,95.8,96.7,81.5,108.9,109.4,108.2,137.1,100.4,110.1,113.1,102.2,112.1,91.7,101.4,90.1,100.9,100.2,55.8,,80.2,85.5,100.3,91.1,163.3,93.1,102.4,153.2,82.1,134.1,95.5,79.4,38.8,89.5,96.0,88.1,118.3,95.9,106.0,58.4,16.5,108.0,114.0,,,,
2009-09-01,CONSTR_H_IND_YOY,99.3,108.5,94.6,107.2,123.2,118.2,110.8,85.3,109.7,96.3,130.4,118.2,70.8,102.8,92.8,106.7,164.9,103.1,83.6,96.7,97.6,108.2,83.5,88.5,45.5,,112.6,81.5,128.7,350.4,77.9,168.6,84.3,97.3,238.2,133.4,95.1,117.3,88.0,90.7,,112.4,82.7,101.0,97.9,75.3,193.1,97.8,102.3,94.1,108.2,100.9,94.4,98.7,111.5,103.2,92.7,120.8,100.4,95.9,130.8,101.1,106.3,93.3,108.0,90.4,102.4,100.1,41.4,,82.7,83.6,123.1,85.5,145.6,102.8,97.8,125.6,77.4,123.0,89.5,85.7,46.8,89.4,101.9,139.2,211.3,93.1,107.2,56.6,66.5,105.4,118.7,,,,
2009-10-01,CONSTR_H_IND_YOY,99.4,106.8,93.4,112.0,119.9,102.9,106.9,82.5,105.2,102.0,127.1,116.0,77.7,108.8,90.9,106.3,166.9,94.6,86.2,94.0,94.4,118.6,66.3,92.8,62.5,,110.2,79.2,129.2,280.9,87.2,141.7,78.5,96.5,251.1,137.9,92.0,116.8,90.3,91.9,,111.1,75.1,101.0,95.8,72.3,174.0,99.7,103.1,100.4,105.4,100.4,90.9,105.0,106.0,94.6,96.2,122.2,100.1,97.1,122.4,109.4,115.1,94.4,108.0,94.3,102.4,97.2,58.6,,82.9,85.8,108.2,89.0,135.3,108.3,100.9,111.7,84.6,121.2,90.7,85.1,49.3,91.9,107.5,152.1,169.7,90.6,114.9,78.4,104.6,105.7,116.0,207.1,,,
