,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,CONSTR_H_VOL_TH_M2,3.1,813.4,40.0,11.8,49.0,62.9,25.6,20.5,5.8,64.1,22.2,354.0,5.9,50.1,21.5,15.3,21.8,7.9,5.6,29.5,481.6,20.1,2.7,7.5,0.1,,20.2,18.7,155.7,,4.8,11.8,240.2,525.8,6.7,7.6,186.3,28.4,36.9,113.2,,40.4,3.3,,3.5,10.9,7.2,81.3,672.8,53.4,11.2,9.4,282.3,30.1,7.1,20.9,17.4,125.1,36.9,18.2,25.2,20.1,15.6,217.7,15.1,53.6,119.7,11.0,1.6,,29.3,316.6,2.5,7.2,0.6,1.6,69.0,32.7,15.2,11.9,82.4,62.1,7.9,23.3,48.4,2.3,4.2,18.6,10.8,1.8,,6.7,4.0,,,,
2009-02-01,CONSTR_H_VOL_TH_M2,5.9,1639.8,84.6,23.9,63.9,100.6,39.9,38.3,22.4,83.1,69.2,695.0,19.4,91.2,38.0,29.2,47.8,20.8,16.2,156.5,690.1,26.6,8.6,16.7,0.7,,40.6,44.3,207.3,3.2,10.4,28.2,304.2,1105.6,12.4,14.7,412.1,54.3,67.0,219.6,,116.6,3.8,10.5,7.8,18.5,12.4,155.7,1344.0,117.1,31.0,16.9,449.1,49.8,17.9,71.1,32.7,263.8,76.0,50.5,66.1,62.9,39.0,413.4,32.1,113.0,192.6,27.4,4.0,,75.7,565.4,4.8,15.6,1.7,13.6,93.5,73.0,35.7,18.5,150.8,95.4,25.5,37.3,103.2,5.3,5.1,34.9,15.3,5.6,,19.3,17.7,,,,
2009-03-01,CONSTR_H_VOL_TH_M2,10.4,3313.5,145.2,32.8,109.1,168.7,43.8,67.9,33.7,103.6,120.8,1288.3,55.7,134.4,67.8,58.8,73.2,33.8,57.8,718.0,1123.8,35.7,13.0,24.2,1.3,,84.4,135.4,301.5,5.3,23.7,37.0,463.8,1790.7,22.0,20.6,668.4,111.8,93.5,354.1,,158.5,5.2,42.5,18.5,48.3,17.8,229.5,2181.9,262.1,52.6,47.6,660.4,73.7,40.8,134.0,48.8,343.0,144.8,87.3,99.9,108.0,78.9,786.4,72.8,216.0,318.5,51.9,7.6,,179.0,1019.3,6.8,31.3,2.4,26.9,159.9,94.8,106.7,83.7,237.8,145.0,50.7,73.1,194.1,6.7,8.7,57.0,68.2,7.6,0.6,26.5,18.8,,,,
2009-04-01,CONSTR_H_VOL_TH_M2,13.7,4295.5,227.2,49.7,143.6,219.8,56.5,91.1,45.3,116.4,152.9,1809.8,62.7,171.9,84.3,80.0,101.6,46.5,73.6,762.5,1477.2,48.3,15.1,35.4,4.2,,113.9,173.1,398.3,5.6,31.8,52.4,603.3,2407.3,33.6,24.4,926.8,144.5,129.6,479.4,,192.5,9.2,45.1,24.1,55.3,23.7,319.0,2809.5,360.9,71.2,56.2,816.1,87.6,67.5,185.1,84.8,401.7,182.6,116.7,141.5,137.9,99.7,1099.1,86.3,294.3,465.2,100.5,8.3,,253.3,1340.3,10.5,40.1,3.0,40.3,205.6,112.8,150.7,106.8,290.3,185.4,66.3,128.4,262.0,14.1,13.6,79.6,88.5,11.2,0.6,34.1,20.3,,,,
2009-05-01,CONSTR_H_VOL_TH_M2,16.7,5072.1,288.1,86.5,164.2,250.6,71.4,108.1,53.5,147.8,179.2,2115.2,74.8,216.5,102.5,110.9,149.3,58.1,104.1,791.3,1702.1,54.9,22.4,42.3,4.2,,146.0,199.0,447.7,5.6,45.4,57.6,681.3,3018.3,42.8,27.9,1190.0,163.4,172.8,596.5,,235.5,12.0,51.2,28.0,73.4,30.2,394.6,3524.4,492.6,92.5,61.0,984.6,115.5,108.6,221.9,106.4,473.4,225.7,140.2,197.1,179.3,125.7,1368.3,98.8,355.4,583.6,130.8,9.4,,330.5,1656.9,14.5,59.9,4.1,52.3,232.7,118.3,208.7,147.2,349.6,229.2,85.7,154.7,324.8,17.6,14.3,120.1,94.3,13.6,1.0,41.9,21.8,,,,
2009-06-01,CONSTR_H_VOL_TH_M2,21.6,6539.4,362.6,114.3,192.0,318.6,81.3,142.7,64.4,186.8,216.7,2584.5,84.6,279.3,143.9,197.6,184.1,72.5,119.0,1194.1,2055.9,64.7,30.1,55.6,6.3,,179.1,282.4,522.8,11.9,52.6,78.1,778.5,3836.3,52.0,31.4,1435.3,202.0,237.3,790.9,,319.6,14.5,79.1,36.9,95.3,35.0,507.1,4688.7,780.9,124.4,78.8,1132.5,144.8,238.4,252.1,135.6,609.7,286.9,191.4,240.0,288.8,184.4,1825.5,118.0,484.7,756.2,221.8,16.9,,466.6,2207.1,16.0,87.7,8.6,59.0,290.2,129.0,242.3,158.3,504.6,355.9,167.8,187.7,422.5,22.6,17.1,147.1,118.8,16.7,1.5,75.0,23.6,,,,
2009-07-01,CONSTR_H_VOL_TH_M2,25.7,7643.6,435.0,132.4,213.4,379.3,96.9,163.9,77.4,222.8,253.8,3136.8,100.6,319.3,163.1,217.1,222.7,98.1,143.2,1268.0,2483.1,77.0,33.9,61.5,6.3,,225.3,319.5,579.3,12.8,73.8,98.8,1001.2,4589.2,61.0,37.4,1778.7,245.8,303.7,923.0,,376.5,16.9,82.9,37.7,103.7,43.0,578.9,5650.7,952.3,147.4,89.9,1287.0,170.9,293.9,349.1,163.7,721.7,352.2,231.3,341.0,338.6,211.6,2217.2,130.1,586.6,922.6,252.7,19.7,,577.9,2601.6,20.7,99.6,11.9,70.7,330.0,145.6,291.4,235.7,556.7,447.9,186.4,205.1,495.9,37.5,17.1,165.3,130.8,31.6,1.6,88.1,24.0,,,,
2009-08-01,CONSTR_H_VOL_TH_M2,29.7,8823.9,526.0,143.4,243.5,462.1,101.9,190.9,83.5,256.7,313.6,3719.3,125.1,347.7,184.7,250.3,260.1,139.6,166.1,1309.5,2794.5,102.0,55.9,81.7,11.0,,279.9,361.2,659.7,13.5,90.7,114.5,1035.5,5345.9,70.3,42.2,2082.6,299.6,374.8,1052.4,,459.7,20.2,107.1,44.3,105.9,51.4,635.4,6519.5,1129.9,175.1,119.6,1386.8,198.4,341.8,420.6,177.6,816.9,412.0,278.7,377.9,447.2,236.8,2550.7,141.0,704.6,1041.1,296.6,24.2,,664.0,2989.2,30.7,114.7,14.9,84.1,382.0,154.8,363.1,252.8,614.0,494.8,225.6,257.8,623.7,59.3,17.3,203.1,180.8,33.8,1.6,100.9,26.9,,,,
2009-09-01,CONSTR_H_VOL_TH_M2,34.9,10282.8,601.2,173.5,312.5,516.4,116.7,246.6,92.9,286.4,360.6,4303.8,153.4,381.5,210.5,300.8,289.7,173.1,197.9,1565.4,3185.8,115.0,63.2,99.8,11.6,,324.8,431.0,785.2,14.5,104.9,127.1,1120.4,6240.4,86.5,48.2,2446.7,328.5,413.9,1247.8,,520.8,24.3,164.0,57.9,110.0,59.2,732.7,7765.8,1372.5,202.4,140.8,1546.0,280.6,443.2,454.5,192.4,969.7,492.0,315.5,499.9,568.8,287.5,2977.3,163.9,854.9,1183.4,343.6,26.2,,775.1,3693.4,41.0,149.7,21.3,101.0,446.9,162.0,413.1,284.7,721.4,676.3,386.0,289.9,766.9,95.2,31.0,222.9,226.2,43.6,6.5,110.5,31.0,,,,
2009-10-01,CONSTR_H_VOL_TH_M2,39.6,11631.7,736.3,193.0,332.4,617.7,122.1,280.5,105.3,366.3,400.2,4973.6,176.8,418.4,229.0,345.1,343.1,201.5,216.3,1574.0,3519.1,131.4,66.9,122.3,16.0,,378.9,463.3,862.1,14.7,130.1,149.2,1200.4,6958.6,98.6,56.0,2718.6,358.0,483.4,1390.1,,593.2,26.3,174.3,62.4,112.4,64.9,820.3,8930.2,1623.5,229.7,157.8,1644.2,320.4,525.1,501.0,225.8,1135.3,579.2,350.5,592.1,686.4,359.2,3390.3,179.6,1005.1,1316.5,393.2,40.7,,889.1,4190.3,45.6,169.0,27.2,116.8,513.5,169.4,544.3,318.4,803.5,734.3,419.2,329.1,958.1,140.1,33.6,250.1,294.3,74.2,10.3,116.3,36.8,2.3,,,
