dates,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,CONSTR_IND_ROG,36.0,37.6,35.3,44.8,68.1,30.3,25.6,51.4,88.2,77.0,37.4,29.5,57.2,15.7,32.6,12.3,58.3,28.2,50.8,41.3,33.3,57.2,39.1,24.1,32.6,,19.5,12.4,47.3,23.6,48.6,45.4,32.6,18.1,1.8,12.5,32.1,19.5,34.7,26.7,,3.6,,34.3,14.0,8.9,0.4,21.6,30.9,28.3,26.8,23.2,32.0,32.2,25.8,23.3,23.9,40.6,58.2,31.1,25.6,33.2,18.0,49.0,26.9,58.0,48.0,52.8,55.3,,44.0,36.9,9.0,33.8,3.3,16.6,32.3,26.3,47.4,53.6,41.7,36.0,35.7,28.4,32.1,20.4,40.3,25.2,49.8,37.9,35.2,42.4,13.0,24.0,,,
2009-02-01,CONSTR_IND_ROG,101.8,100.7,80.6,109.0,104.4,151.1,113.1,97.7,57.5,123.5,91.1,117.0,86.4,168.8,96.9,103.3,121.9,116.1,129.5,92.1,91.1,77.8,142.4,104.4,96.4,,201.8,93.1,86.5,132.2,109.7,87.7,78.0,119.0,1212.4,108.2,99.7,86.1,114.8,171.1,,194.8,,35.0,223.6,123.7,203.1,107.1,89.4,103.8,73.1,80.6,120.4,119.4,124.3,108.3,118.6,45.6,78.2,100.7,71.8,116.1,144.4,93.4,91.7,96.9,91.1,96.9,96.6,,112.8,92.1,115.9,28.2,603.3,94.3,77.3,53.4,92.2,103.3,104.6,95.9,93.5,108.3,103.3,109.9,100.7,119.1,80.5,96.8,117.0,105.1,155.3,218.7,,,
2009-03-01,CONSTR_IND_ROG,133.8,126.2,111.8,111.7,131.7,84.3,151.2,122.1,77.8,88.2,115.7,137.1,119.9,133.2,165.5,127.2,152.0,172.0,108.0,124.1,145.0,43.5,144.9,122.3,172.4,,56.6,224.6,180.0,99.9,100.9,95.5,154.6,137.9,108.7,94.8,152.3,193.0,101.7,97.0,,185.7,10.3,389.2,179.5,173.1,290.4,162.8,137.0,144.3,101.3,172.6,156.3,105.2,105.8,100.4,91.6,185.8,98.3,172.6,107.3,152.6,108.3,117.8,143.3,95.7,122.4,114.4,124.7,,122.0,136.7,234.3,152.9,233.5,152.8,114.2,153.1,153.1,129.5,127.8,104.2,120.3,171.3,139.7,154.8,222.7,219.2,167.3,130.4,192.1,80.2,220.6,171.4,,,
2009-04-01,CONSTR_IND_ROG,112.7,89.4,135.7,104.5,115.6,101.9,76.6,110.7,96.9,138.0,114.1,61.6,109.6,68.5,94.7,114.8,88.4,89.0,102.7,95.4,95.9,147.2,185.6,79.8,52.0,,191.3,163.2,100.0,79.3,93.9,127.6,76.0,102.9,100.5,81.2,96.0,71.4,111.3,103.9,,133.3,127.6,91.2,66.7,118.0,129.1,145.2,91.8,71.3,81.6,76.0,118.2,110.6,101.3,83.0,85.5,65.5,117.2,105.0,110.8,83.1,114.7,87.9,182.2,77.7,89.2,95.1,87.3,,75.2,109.4,61.8,118.2,60.7,89.4,124.0,152.6,92.0,96.6,130.1,87.6,125.4,109.4,92.7,120.6,41.0,96.6,86.6,134.8,82.2,80.0,52.7,45.7,,,
2009-05-01,CONSTR_IND_ROG,100.6,99.0,93.8,97.5,126.2,108.1,122.1,83.4,98.6,93.7,100.9,113.9,156.5,121.9,112.9,118.2,100.4,143.7,120.5,88.7,72.3,102.8,27.9,106.9,174.5,,78.2,104.5,51.1,90.0,99.3,108.3,87.3,109.0,60.0,260.5,102.6,97.8,93.6,138.2,,128.5,160.1,84.4,80.7,90.1,162.6,88.9,120.7,100.8,131.5,152.5,146.9,105.8,112.8,103.1,76.7,116.4,165.2,101.7,98.2,115.7,101.3,78.5,38.6,94.6,75.3,84.7,61.0,,101.4,105.0,120.8,158.9,180.5,112.4,100.4,104.9,105.2,84.1,119.8,121.3,108.4,83.4,119.9,139.7,112.3,126.8,127.3,117.1,129.4,88.0,70.6,46.3,,,
2009-06-01,CONSTR_IND_ROG,121.9,113.8,143.7,69.6,113.9,132.0,80.3,97.4,127.5,116.4,98.7,110.2,113.8,94.8,137.6,207.7,73.5,129.4,65.9,119.4,112.5,184.0,68.6,96.8,48.9,,60.1,153.0,127.5,115.6,104.3,111.0,117.8,125.7,124.7,190.3,118.1,132.4,96.9,146.4,,129.0,101.3,154.8,272.4,124.0,109.3,144.3,132.5,129.3,141.9,100.7,151.1,144.1,126.3,114.3,118.0,105.0,132.8,138.3,119.0,146.3,109.7,101.8,185.7,114.0,101.1,105.4,87.8,,79.8,112.0,120.8,198.2,121.6,228.1,156.4,104.7,107.2,128.2,125.8,73.1,115.8,66.0,106.1,87.0,262.8,114.4,106.0,103.2,140.6,82.6,164.3,545.0,,,
2009-07-01,CONSTR_IND_ROG,102.7,96.8,74.1,91.2,97.5,83.9,114.9,88.1,109.0,101.0,80.5,114.4,88.0,119.1,112.9,62.2,140.1,89.9,128.2,89.1,92.6,80.1,138.2,118.5,126.5,,165.7,75.0,131.8,114.9,71.5,98.8,75.4,99.7,294.3,58.4,93.3,85.0,97.2,75.5,,106.2,128.4,211.4,110.2,200.8,184.8,97.4,101.7,98.5,102.2,112.5,92.8,107.4,84.3,110.4,96.5,124.5,100.5,115.9,84.8,115.6,102.9,104.4,120.0,98.2,104.0,91.9,124.2,,115.5,101.9,87.3,103.8,124.2,92.4,105.9,104.7,103.4,90.3,105.1,135.7,86.2,93.1,104.5,120.6,82.1,120.2,92.5,115.2,106.3,75.6,113.0,77.7,,,
2009-08-01,CONSTR_IND_ROG,96.1,91.9,126.9,74.4,90.8,83.7,104.0,117.0,115.1,111.5,101.7,70.5,140.5,71.2,87.8,138.8,93.2,85.1,113.5,99.2,75.3,96.5,76.3,91.6,78.3,,58.6,114.8,60.0,102.2,130.0,100.7,75.6,93.5,78.8,246.7,100.0,60.8,78.1,100.2,,106.1,87.9,87.5,97.2,94.2,61.6,104.0,95.7,85.2,90.3,95.8,94.7,83.7,106.8,70.8,92.9,126.6,90.0,88.3,98.9,104.8,88.2,90.6,53.5,81.2,96.3,99.8,97.9,,74.3,93.5,119.1,62.2,84.8,126.4,76.8,128.6,100.1,95.2,82.0,94.3,87.8,108.0,104.3,104.4,112.8,110.6,107.7,86.7,113.1,99.8,131.9,84.8,,,
2009-09-01,CONSTR_IND_ROG,104.2,103.4,91.3,98.9,107.2,100.8,114.4,113.5,89.5,91.5,93.0,93.5,86.6,140.9,102.8,163.5,105.8,101.5,99.3,106.9,101.7,121.7,166.5,103.9,111.5,,104.2,146.5,90.1,99.6,61.0,99.9,97.6,109.2,131.3,65.1,121.2,76.7,92.7,108.4,,101.4,101.0,73.0,93.5,111.3,126.8,87.7,91.0,102.7,77.6,112.0,87.7,119.7,63.8,100.9,101.3,77.1,100.1,93.7,93.5,108.1,94.0,86.8,114.5,92.8,82.8,93.9,67.9,,107.4,99.0,107.2,170.1,124.0,135.6,92.0,87.0,99.2,84.6,111.6,102.1,106.6,71.1,92.7,78.8,95.8,89.3,106.6,97.8,101.2,108.0,71.7,99.3,,,
2009-10-01,CONSTR_IND_ROG,99.2,94.5,97.6,96.3,80.7,119.5,99.7,87.9,89.9,119.9,65.5,82.6,63.4,92.8,88.5,40.4,108.7,128.9,86.8,101.6,94.3,54.2,120.8,88.2,78.7,,81.5,66.1,94.5,88.5,100.6,99.5,99.0,89.6,89.1,119.7,93.4,99.0,94.5,73.5,,81.3,97.1,101.5,93.6,138.2,45.1,129.7,91.8,97.2,71.2,74.2,89.5,82.5,134.7,77.0,65.7,83.5,110.0,93.4,116.2,111.9,98.2,113.5,216.0,89.6,121.2,94.6,164.7,,82.9,96.2,95.7,94.0,232.8,96.8,54.1,107.7,101.6,104.7,100.5,105.2,115.8,61.5,91.4,90.3,112.7,103.3,86.5,64.7,111.3,91.1,87.9,156.0,,,
