dates,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,CONSTR_IND_YOY,86.0,77.5,69.2,80.6,73.6,90.7,97.3,98.6,50.3,113.1,64.5,74.0,61.0,32.1,98.7,101.8,120.3,109.2,85.2,76.8,69.0,112.8,109.3,33.5,21.2,,30.0,80.0,77.1,70.5,73.2,91.8,70.7,92.6,6.6,419.6,96.9,94.1,97.2,77.7,,102.8,,153.2,82.8,106.3,29.2,150.2,80.9,60.2,62.7,88.3,105.1,67.9,73.9,70.9,56.8,96.9,92.1,61.4,82.0,76.4,91.4,92.8,82.7,86.6,99.6,77.4,113.4,,62.4,69.1,73.8,324.7,56.8,83.5,65.8,79.3,81.2,60.4,73.0,48.0,67.8,52.2,72.7,98.1,195.4,96.2,82.6,75.4,52.0,56.8,40.9,5.1,,,
2009-02-01,CONSTR_IND_YOY,82.0,83.7,53.2,76.5,86.6,108.5,103.9,101.3,24.5,101.8,129.8,80.6,45.6,66.5,86.9,100.8,109.7,101.7,112.6,82.8,63.0,67.3,109.7,54.2,46.7,,69.8,65.2,64.8,71.8,109.1,88.7,55.1,89.4,146.5,150.3,89.7,44.9,108.2,84.3,,103.4,2583.6,110.4,120.6,102.5,83.3,108.4,53.0,50.2,55.5,101.9,100.7,74.5,60.7,64.8,43.2,20.4,75.0,70.2,74.4,61.3,91.5,74.3,74.5,59.5,80.6,65.3,107.5,,58.2,56.3,34.4,104.6,558.8,60.5,32.2,52.8,64.3,61.0,58.4,44.5,61.7,61.3,73.8,107.2,178.6,107.0,61.3,60.1,57.3,58.9,91.7,54.9,,,
2009-03-01,CONSTR_IND_YOY,82.5,89.3,54.9,98.0,82.4,86.2,85.7,109.0,54.3,94.3,68.4,99.1,52.2,60.1,97.4,99.4,144.4,139.8,98.1,85.2,72.7,33.6,119.1,52.7,44.7,,34.4,83.6,105.6,62.3,107.7,87.4,65.0,87.8,270.6,79.9,91.0,87.0,78.5,71.8,,115.3,23.6,100.8,78.2,98.1,117.3,87.4,63.9,56.1,50.5,110.5,78.0,55.5,57.9,66.0,42.5,59.7,46.0,78.8,67.4,75.7,47.4,79.2,92.3,75.2,81.1,64.6,107.2,,69.6,63.1,69.4,90.4,145.2,81.4,45.0,80.2,83.3,62.5,70.4,39.1,40.6,71.1,79.8,109.3,186.4,150.8,62.5,75.4,92.3,44.2,124.3,177.6,,,
2009-04-01,CONSTR_IND_YOY,86.5,79.6,66.2,72.4,70.4,69.9,84.8,99.7,41.6,93.0,93.8,56.8,45.9,44.2,85.5,101.5,111.7,109.0,115.3,87.6,94.1,57.0,238.6,63.0,53.8,,84.6,70.4,103.1,52.4,132.7,78.8,80.5,87.9,516.9,50.7,87.9,60.4,74.9,82.1,,127.3,135.5,110.0,45.0,100.6,99.9,98.0,65.8,70.0,56.5,76.3,89.8,65.5,49.6,72.7,61.5,39.6,53.8,77.5,59.8,64.0,77.0,87.6,159.7,70.6,93.9,77.3,129.0,,56.6,66.8,66.7,55.6,62.3,61.5,80.9,98.3,71.5,51.4,77.6,40.3,49.7,88.7,78.6,121.8,101.2,130.2,52.3,113.8,68.9,41.8,95.4,69.4,,,
2009-05-01,CONSTR_IND_YOY,80.7,70.9,58.2,99.2,82.2,75.0,151.9,79.3,67.0,75.2,74.8,57.3,70.3,25.9,82.6,89.7,89.4,137.1,124.9,71.7,68.8,43.4,71.2,39.0,90.6,,90.3,90.8,59.0,49.5,111.4,78.9,71.6,91.2,197.9,54.2,98.6,72.7,68.2,89.2,,118.9,113.2,74.7,33.6,102.6,91.6,83.0,77.1,79.1,65.9,76.1,97.5,75.0,49.3,86.4,60.5,75.5,53.7,51.5,60.2,66.5,76.9,64.8,57.4,61.5,66.7,69.7,68.2,,57.1,70.2,60.5,108.6,121.6,54.8,80.3,61.5,74.2,56.0,89.4,45.2,53.1,96.9,91.5,126.5,133.7,132.8,78.9,117.7,82.7,42.6,75.9,20.6,,,
2009-06-01,CONSTR_IND_YOY,83.1,78.4,76.4,72.7,86.2,101.8,105.7,61.5,72.5,98.3,84.4,73.6,61.3,27.4,88.9,110.0,65.0,148.2,81.3,78.7,69.0,83.3,49.8,45.1,34.6,,60.6,121.9,85.5,49.7,76.1,77.9,67.4,92.7,63.6,184.8,99.5,72.4,77.5,89.9,,125.4,50.2,72.2,84.2,105.6,74.2,86.6,77.0,95.1,69.6,59.7,104.9,68.6,59.2,70.8,47.1,55.4,70.6,46.6,72.3,76.1,46.3,69.8,82.9,54.2,79.1,81.6,86.5,,44.8,67.3,59.4,113.3,125.8,79.0,59.8,69.8,70.7,56.5,92.1,37.8,59.1,63.5,85.0,100.5,,110.7,79.5,87.0,74.4,41.0,84.7,,,,
2009-07-01,CONSTR_IND_YOY,85.0,79.2,56.1,82.7,85.1,73.6,93.3,60.0,116.4,83.1,100.8,88.5,56.6,61.3,108.6,63.0,84.2,141.1,102.4,72.7,75.6,83.8,55.5,65.3,50.9,,93.4,85.4,126.2,73.5,62.3,65.0,64.1,100.0,131.2,69.6,100.0,69.6,88.1,83.8,,117.9,77.9,103.1,69.8,106.6,3.2,86.7,77.6,87.5,73.4,62.9,111.8,92.6,64.3,84.7,54.3,53.0,75.2,67.8,54.9,64.7,68.4,73.2,97.1,59.9,80.3,81.7,97.4,,54.0,71.9,94.0,130.3,145.8,67.0,71.5,72.3,91.3,55.8,98.7,43.1,55.3,54.9,92.5,123.0,116.5,128.0,74.9,131.0,123.3,40.9,116.2,80.1,,,
2009-08-01,CONSTR_IND_YOY,87.3,77.3,94.6,82.8,90.8,87.1,125.4,63.3,112.2,89.3,86.0,64.5,87.1,42.2,94.6,115.8,76.4,127.1,114.6,75.8,69.8,80.8,51.2,63.6,42.1,,58.1,98.6,93.8,56.7,92.6,53.2,66.2,98.0,104.8,108.8,103.4,56.5,76.6,89.6,,114.4,94.1,136.6,115.5,105.0,145.2,91.3,79.7,73.0,79.7,75.6,109.8,63.5,66.0,72.0,41.0,78.5,67.6,76.1,58.7,68.0,59.5,68.7,58.9,56.1,77.9,76.9,87.8,,41.6,72.6,101.1,76.6,158.6,86.6,72.8,85.1,91.6,56.5,88.9,43.7,55.8,78.3,103.6,144.5,136.3,129.2,92.7,89.3,92.8,56.9,131.1,69.1,,,
2009-09-01,CONSTR_IND_YOY,84.4,74.6,75.3,70.3,97.9,97.9,85.4,72.2,93.3,105.5,84.1,67.9,100.2,61.5,90.4,138.4,88.4,91.7,108.4,68.6,63.8,98.3,77.7,50.1,45.2,,72.7,129.2,95.7,55.5,58.0,40.3,54.1,90.7,135.7,105.2,107.0,45.3,73.2,76.9,,114.7,116.1,64.9,72.5,117.7,64.0,85.2,75.0,70.0,65.1,99.4,102.3,84.5,36.3,68.6,61.7,60.9,67.3,102.9,62.8,74.3,68.7,58.7,70.8,47.6,62.5,75.4,53.1,,53.1,70.9,70.2,110.9,255.6,128.8,71.2,66.7,90.1,57.6,83.3,44.6,57.4,63.6,82.4,106.7,104.7,105.7,96.2,74.3,101.5,46.9,88.1,27.2,,,
2009-10-01,CONSTR_IND_YOY,88.4,75.6,58.1,82.3,96.6,96.0,107.6,76.9,68.7,83.9,55.9,60.2,63.5,69.4,82.3,93.6,111.8,168.0,93.3,75.6,70.6,47.3,79.2,58.2,36.4,,60.5,74.6,129.7,59.5,65.2,42.1,65.2,95.9,112.0,115.9,119.7,41.9,84.5,77.1,,112.3,115.8,64.3,182.9,93.4,61.9,89.2,82.7,76.6,49.5,86.4,115.5,67.8,56.6,69.7,67.8,64.7,81.5,106.5,68.7,96.8,119.2,69.2,89.6,50.0,75.8,81.0,81.2,,50.7,77.6,107.5,114.1,776.1,92.3,54.2,73.9,102.7,65.7,91.6,58.9,62.2,60.1,83.0,90.7,93.3,123.3,96.2,58.0,119.3,57.4,69.8,25.6,,,
