dates,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,CONSTR_IND_YTD,86.0,77.5,69.2,80.6,73.6,90.7,97.3,98.6,50.3,113.1,64.5,74.0,61.0,32.1,98.7,101.8,120.3,109.2,85.2,76.8,69.0,112.8,109.3,33.5,21.2,,30.0,80.0,77.1,70.5,73.2,91.8,70.7,92.6,6.6,419.6,96.9,94.1,97.2,77.7,,102.8,,153.2,82.8,106.3,29.2,150.2,80.9,60.2,62.7,88.3,105.1,67.9,73.9,70.9,56.8,96.9,92.1,61.4,82.0,76.4,91.4,92.8,82.7,86.6,99.6,77.4,113.4,,62.4,69.1,73.8,324.7,56.8,83.5,65.8,79.3,81.2,60.4,73.0,48.0,67.8,52.2,72.7,98.1,195.4,96.2,82.6,75.4,52.0,56.8,40.9,5.1,,,
2009-02-01,CONSTR_IND_YTD,84.0,83.2,64.8,76.4,83.2,102.9,102.1,99.9,35.0,93.9,86.4,78.9,52.4,46.6,92.5,101.4,111.3,103.7,102.0,83.7,69.5,95.8,109.2,46.1,33.0,,52.2,72.2,74.2,71.9,86.1,90.3,67.0,91.5,55.9,215.7,92.6,64.7,109.1,82.7,,103.3,800.3,139.5,86.3,104.1,50.6,125.1,66.2,54.9,67.3,101.5,102.5,66.4,66.2,73.1,44.1,45.6,83.7,68.6,82.5,67.5,94.4,81.4,79.9,60.5,90.7,71.8,111.3,,59.9,63.0,45.0,221.8,248.7,68.3,44.7,70.0,71.0,60.3,65.0,48.2,64.8,63.0,74.1,102.7,186.6,101.9,73.6,69.1,54.8,58.3,60.8,14.2,,,
2009-03-01,CONSTR_IND_YTD,83.4,84.5,61.9,84.7,82.4,97.1,95.5,100.5,39.8,94.3,78.9,86.2,51.9,51.8,94.6,100.4,121.3,118.3,102.4,82.6,72.1,75.7,113.1,49.4,39.4,,47.0,78.2,89.4,68.6,93.5,89.4,67.3,89.7,93.0,139.9,92.4,73.5,94.5,77.7,,109.3,169.5,114.9,80.3,100.4,73.7,104.1,66.7,54.9,64.0,104.5,91.1,60.9,62.7,75.2,47.9,51.6,67.5,70.6,80.5,70.5,70.3,82.6,85.8,73.1,87.6,71.1,108.0,,64.7,63.8,55.4,162.0,167.1,73.7,46.1,73.3,78.0,61.9,67.0,44.5,54.3,67.1,77.7,105.6,186.2,123.3,69.2,74.4,70.8,54.9,87.1,28.7,,,
2009-04-01,CONSTR_IND_YTD,84.4,85.0,63.0,81.1,84.0,90.1,103.6,100.1,41.5,94.6,86.5,79.4,49.6,55.6,91.4,100.6,114.9,116.4,106.3,86.0,83.9,72.0,148.7,52.8,41.9,,57.7,75.9,97.2,65.5,108.9,86.1,79.2,90.9,129.0,101.9,93.7,74.7,88.7,78.9,,115.8,111.9,112.4,66.5,100.3,90.4,101.1,69.0,64.9,67.7,97.3,93.2,63.7,58.3,80.5,52.4,50.2,63.3,73.6,73.6,68.5,72.0,89.1,116.7,74.6,95.3,74.7,124.7,,66.6,65.3,76.2,112.2,111.9,69.2,58.9,84.6,75.3,58.9,70.0,43.9,52.6,74.2,79.8,110.8,177.7,128.7,63.8,84.4,70.1,53.3,103.7,31.5,,,
2009-05-01,CONSTR_IND_YTD,83.5,81.5,61.9,92.8,84.5,86.7,121.7,95.1,48.9,89.3,86.4,73.6,54.1,43.1,89.1,97.1,108.2,122.3,112.2,82.3,82.3,63.8,132.2,49.2,48.7,,77.9,80.7,88.9,63.6,108.5,84.3,79.5,90.0,134.9,77.1,94.1,73.9,82.9,81.2,,116.5,111.3,101.2,43.0,100.7,98.0,95.3,72.3,69.1,67.0,90.2,94.8,67.4,58.0,86.7,58.3,54.2,59.8,68.6,72.5,67.8,72.9,84.3,100.9,72.2,89.5,74.6,111.3,,65.8,67.9,70.5,117.8,114.5,63.8,65.6,77.1,75.5,63.5,74.0,45.1,54.2,80.9,82.7,115.7,196.9,129.2,67.9,86.8,73.1,51.6,98.0,31.3,,,
2009-06-01,CONSTR_IND_YTD,83.4,81.9,66.2,90.0,84.5,90.4,121.6,87.3,52.2,91.0,92.4,77.9,54.8,38.6,89.0,100.6,99.9,128.7,106.1,81.4,80.0,68.6,118.2,49.4,47.1,,76.6,95.2,89.6,61.0,100.8,82.9,76.9,90.9,114.3,100.9,95.8,74.0,85.1,81.7,,118.2,72.6,91.2,51.9,101.2,99.0,92.1,73.4,74.6,66.9,82.8,96.5,66.9,58.4,82.4,55.4,55.0,62.3,63.5,72.2,65.6,64.5,82.4,96.6,68.8,88.6,76.9,108.8,,62.2,68.1,68.0,104.6,123.3,66.9,62.3,77.8,75.4,62.0,77.0,47.2,55.1,77.4,84.5,111.9,196.1,124.0,72.7,86.5,73.3,53.0,96.2,45.4,,,
2009-07-01,CONSTR_IND_YTD,83.7,81.5,64.1,92.7,84.8,87.4,115.6,84.1,58.2,89.4,90.5,78.9,54.7,43.5,92.8,90.1,97.6,131.8,105.5,80.4,81.3,74.5,107.1,52.3,47.8,,80.0,93.0,100.1,64.3,100.5,79.2,76.8,93.2,118.5,92.3,97.9,76.3,85.7,81.7,,117.6,72.9,93.3,51.3,101.5,154.1,90.2,74.3,77.9,67.9,77.8,97.7,71.5,59.9,83.3,56.8,56.8,64.8,62.1,68.5,64.8,64.9,81.3,96.6,68.2,87.6,78.3,107.2,,61.0,69.8,77.5,110.4,128.5,65.4,64.6,77.1,81.5,61.7,80.0,46.7,56.1,74.9,86.0,114.2,156.0,125.9,73.5,94.9,81.0,52.7,100.8,50.0,,,
2009-08-01,CONSTR_IND_YTD,84.3,81.1,69.1,92.1,85.3,91.2,127.5,80.3,64.0,89.1,88.9,77.3,58.4,43.8,93.2,94.1,94.0,130.8,107.0,79.5,81.3,75.6,100.2,53.9,47.2,,77.6,94.1,99.3,62.3,100.9,73.9,77.8,94.4,114.5,96.7,98.2,74.8,86.3,83.4,,116.7,76.5,100.1,60.9,101.4,171.8,90.1,75.4,78.0,70.0,85.9,99.2,69.0,60.7,83.7,54.0,59.8,65.2,64.6,67.6,65.0,64.5,80.0,91.1,67.3,86.7,78.2,104.9,,58.2,71.5,80.6,103.1,139.3,67.9,66.4,77.7,83.8,67.5,81.0,46.7,56.6,78.1,88.9,118.9,153.6,126.4,76.9,94.4,83.0,53.7,105.7,45.7,,,
2009-09-01,CONSTR_IND_YTD,84.3,80.5,69.7,89.8,87.2,92.5,115.3,79.5,71.2,91.0,89.5,77.1,64.1,46.1,92.8,101.4,93.1,123.0,107.0,78.0,78.7,77.1,97.4,53.5,47.2,,78.7,94.3,99.8,61.2,98.6,66.8,74.0,94.0,118.0,97.8,100.3,72.0,84.9,82.2,,115.7,81.3,91.6,62.6,103.8,123.6,89.2,76.0,76.8,70.1,89.3,100.4,71.6,56.9,81.7,57.0,61.0,65.5,68.3,68.1,66.1,67.4,77.5,88.6,64.3,84.1,77.9,98.1,,58.3,72.1,77.7,104.3,154.1,83.0,67.6,76.0,85.0,67.3,81.0,47.2,57.1,79.0,88.2,117.1,144.3,122.1,78.8,91.5,85.5,53.2,102.6,65.9,,,
2009-10-01,CONSTR_IND_YTD,84.8,80.1,68.0,93.4,88.6,93.1,113.7,79.3,70.6,89.4,87.1,75.3,64.8,48.7,91.6,100.7,95.4,128.5,105.3,77.9,78.1,73.7,94.8,54.6,46.2,,76.1,90.5,103.0,61.5,90.7,62.7,73.4,94.3,116.8,100.4,102.0,67.0,85.9,81.9,,115.0,85.2,86.0,78.9,100.2,113.0,89.1,77.1,76.5,68.2,89.8,101.9,71.1,57.2,80.8,62.3,62.2,67.4,73.1,68.3,69.5,74.9,76.8,88.1,62.8,83.4,78.7,95.7,,57.8,73.2,83.1,105.5,209.4,77.5,68.0,75.7,87.3,67.3,82.0,48.8,57.8,80.3,88.0,113.7,133.6,121.9,81.5,87.0,90.1,54.9,97.6,50.0,,,
