,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,CPI_IND_YTD,102.4,102.7,102.5,102.3,101.8,103.0,104.0,103.4,103.0,102.1,102.1,103.3,102.4,103.0,102.3,102.4,101.9,102.7,102.3,102.8,102.6,101.7,101.5,102.2,103.5,,102.1,102.8,103.6,102.8,102.7,102.2,103.2,102.3,102.1,102.8,101.5,103.7,102.2,103.5,,101.5,100.9,102.7,102.7,102.9,102.8,102.4,102.3,102.1,101.5,101.5,101.3,102.2,102.1,102.3,102.8,103.4,102.4,101.9,102.4,103.0,102.4,102.1,102.9,102.8,101.7,100.9,101.6,,101.5,102.2,105.3,102.8,102.0,103.5,102.5,101.8,102.2,101.8,101.3,102.9,102.6,102.1,102.9,102.1,102.5,102.1,103.6,103.4,107.2,102.3,103.7,107.6,,,
2009-02-01,CPI_IND_YTD,104.1,104.3,103.5,103.4,104.6,105.4,106.0,104.8,104.5,104.7,103.4,104.8,104.1,104.4,104.2,104.2,104.6,104.6,104.0,104.1,104.4,104.5,104.3,103.4,103.9,,103.8,105.1,105.2,103.9,104.3,104.1,105.0,104.1,103.3,104.0,104.0,105.0,104.3,104.8,,103.4,102.5,103.5,104.5,104.1,104.9,104.2,103.8,103.0,104.4,103.4,103.1,104.3,103.5,104.6,104.2,104.9,103.5,104.7,104.1,104.0,103.6,103.7,104.2,104.2,103.1,102.2,102.9,,103.6,103.8,106.7,103.5,103.0,105.0,104.5,103.4,103.6,103.5,102.6,104.7,104.5,103.5,105.0,103.0,105.6,104.7,105.4,105.4,109.0,103.8,105.7,109.1,,,
2009-03-01,CPI_IND_YTD,105.4,105.8,105.3,105.5,106.2,107.5,107.2,107.1,105.9,106.4,104.8,106.1,105.5,106.0,105.7,105.5,106.0,106.2,106.4,105.6,105.8,106.3,105.9,104.5,103.3,,104.9,106.1,106.6,105.4,105.7,105.0,106.6,105.4,105.1,104.8,105.5,106.6,105.8,106.0,,104.9,104.0,104.7,106.0,105.8,105.7,105.5,105.0,104.3,105.5,105.2,103.8,105.7,104.3,105.8,105.7,106.1,104.8,105.7,105.5,105.3,104.7,105.1,105.8,105.5,104.6,104.0,103.8,,104.8,105.2,108.1,104.8,104.3,106.4,106.0,105.1,105.2,105.0,103.7,105.5,105.8,104.5,106.2,104.3,107.5,106.3,106.2,106.9,110.0,104.9,107.3,110.0,,,
2009-04-01,CPI_IND_YTD,106.2,106.5,106.3,106.3,107.2,108.2,107.7,107.8,107.1,106.6,104.6,107.0,106.1,106.7,106.6,106.3,106.3,107.0,107.4,106.5,106.4,107.8,106.4,105.1,103.5,,105.3,107.0,107.4,106.4,106.4,105.2,107.1,106.3,106.2,105.3,106.5,107.3,106.4,106.4,,106.1,105.3,106.2,107.0,107.2,107.8,106.5,105.7,105.2,105.9,106.2,104.9,106.6,104.8,106.6,106.5,106.6,105.7,106.0,106.1,106.1,105.6,105.9,106.4,106.1,105.6,105.4,104.8,,105.6,105.9,108.6,105.3,105.1,107.1,106.7,107.3,105.7,105.6,104.5,106.3,106.2,105.0,107.0,105.2,107.9,107.1,106.4,107.4,110.5,106.1,107.9,111.6,,,
2009-05-01,CPI_IND_YTD,106.8,107.1,106.8,107.0,107.9,108.6,107.9,108.3,107.6,107.7,105.4,107.9,106.5,107.1,107.1,106.9,107.0,107.4,108.1,107.2,107.0,108.7,107.2,105.8,104.1,,105.7,107.5,108.0,107.1,106.9,105.6,107.4,107.3,106.7,106.2,107.5,108.3,107.0,107.4,,107.3,106.2,106.8,107.9,107.8,109.0,107.4,106.1,105.6,106.6,106.8,105.6,107.3,105.1,107.1,107.0,107.2,106.2,106.1,106.6,106.5,105.7,106.7,106.4,106.8,106.7,107.1,105.7,,106.4,106.3,109.9,105.6,105.8,107.3,107.2,108.4,106.0,105.8,105.6,106.5,106.5,105.2,107.4,105.7,108.0,107.5,106.6,107.8,110.8,107.0,108.9,113.8,,,
2009-06-01,CPI_IND_YTD,107.4,107.8,107.1,107.7,108.1,109.0,108.6,108.6,107.9,108.6,105.8,109.0,106.7,107.5,108.3,107.2,107.5,108.1,109.0,108.0,107.5,109.3,107.5,106.5,104.5,,106.2,108.2,108.7,108.0,107.5,106.2,107.9,108.1,107.3,106.6,108.2,109.3,107.5,108.5,,107.9,107.8,108.4,108.1,108.2,109.1,108.0,106.6,106.2,107.1,107.5,106.3,108.0,105.6,107.9,107.3,107.9,106.6,106.5,106.9,106.8,105.9,107.3,107.0,107.4,107.2,107.7,106.2,,107.0,107.1,110.6,106.0,106.6,108.3,108.2,108.9,106.7,106.4,106.4,107.5,107.2,106.2,107.9,106.1,109.0,108.0,106.8,108.3,111.4,108.0,109.6,114.0,,,
2009-07-01,CPI_IND_YTD,108.1,108.7,108.1,108.6,108.7,109.6,109.1,109.2,108.5,109.2,106.7,110.1,107.7,108.2,109.2,107.8,108.5,108.7,108.7,108.9,108.2,110.5,107.9,107.5,105.4,,107.0,108.0,109.7,108.7,108.2,106.7,108.5,108.3,107.7,106.3,108.5,109.2,107.9,108.7,,108.5,109.2,108.4,108.8,108.4,110.2,108.2,107.4,107.0,107.8,108.2,107.1,108.7,106.2,108.7,107.8,108.4,107.3,107.3,107.5,107.6,106.8,108.0,108.8,108.3,107.4,108.2,106.5,,107.8,107.7,111.0,106.5,107.2,109.4,108.8,109.7,107.3,107.1,107.0,107.8,107.8,107.2,108.5,106.8,109.9,108.2,107.8,108.9,112.2,109.0,110.5,117.6,,,
2009-08-01,CPI_IND_YTD,108.1,108.6,108.4,108.7,108.5,109.7,108.1,109.2,108.4,108.9,106.5,110.5,107.3,107.8,109.0,108.6,108.1,107.9,109.0,108.7,107.9,110.2,107.9,107.6,105.5,,106.6,107.7,109.3,108.9,108.0,106.8,107.8,108.5,108.0,105.7,108.9,109.3,107.8,108.6,,109.8,109.3,108.9,108.8,108.0,110.5,108.1,107.4,107.3,107.9,108.4,107.6,109.1,105.8,108.4,107.9,107.8,107.7,107.2,107.1,107.9,106.9,108.0,108.9,108.0,107.7,108.4,106.5,,108.1,107.8,111.1,106.7,107.4,109.6,109.2,110.1,107.4,107.3,107.0,107.7,107.4,107.9,108.6,107.2,110.3,108.4,107.8,108.8,112.2,109.3,110.7,118.1,,,
2009-09-01,CPI_IND_YTD,108.1,108.6,108.3,108.9,108.5,109.8,108.1,109.5,108.6,109.2,106.5,110.5,107.6,107.6,108.9,108.6,107.9,108.0,108.9,108.8,107.8,109.6,107.7,107.4,105.4,,106.8,107.6,109.2,109.2,107.7,107.1,107.7,108.6,108.5,105.3,108.9,108.9,107.8,108.7,,110.4,109.9,109.1,108.7,107.4,110.9,108.5,107.2,107.6,108.1,108.3,106.9,109.2,105.6,108.4,107.9,107.1,107.1,107.2,107.2,107.6,106.9,108.0,109.1,107.9,107.7,108.6,106.8,,108.1,107.9,111.1,106.9,107.6,109.8,109.9,110.2,107.4,107.3,107.1,107.8,107.4,108.1,108.8,107.1,110.0,108.4,108.5,108.8,112.4,109.8,111.5,116.8,,,
2009-10-01,CPI_IND_YTD,108.1,108.6,108.3,109.4,108.2,110.0,108.0,109.6,108.7,109.1,106.7,110.4,107.6,107.5,108.9,108.0,107.6,108.2,108.9,108.9,107.7,109.4,107.7,107.4,105.5,,106.7,107.5,109.2,109.3,107.8,107.5,107.5,108.8,108.7,105.5,109.1,108.7,108.0,109.0,,110.8,110.5,109.3,109.3,107.5,111.3,108.7,107.2,107.4,107.9,108.4,106.8,109.0,105.6,108.3,107.8,107.5,106.9,107.1,107.4,107.7,106.6,108.1,108.9,107.8,108.0,109.1,106.9,,108.3,107.9,110.6,107.3,107.5,110.3,109.9,110.5,106.8,107.4,107.0,107.7,107.0,108.2,108.9,107.4,109.6,108.4,108.8,108.7,112.4,109.9,111.5,116.3,,,
