,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,CPI_SERV_CWATER_IND_YTD,118.1,122.2,128.2,122.2,115.4,194.7,118.3,165.5,141.7,113.2,100.0,107.8,130.1,118.6,105.6,121.6,100.0,123.0,123.6,127.6,117.1,100.0,100.0,113.6,118.5,,117.7,115.6,128.0,120.3,115.9,105.5,123.2,119.4,115.9,119.5,100.0,124.0,108.7,144.7,,122.5,100.0,124.3,116.8,122.2,157.6,120.1,120.7,144.5,100.0,103.2,123.0,108.8,134.8,103.1,120.2,131.4,125.3,107.6,118.9,119.8,117.2,108.6,110.1,114.1,111.7,103.1,106.7,,101.0,113.7,123.1,112.4,109.4,124.6,112.4,106.9,116.8,114.9,100.0,116.8,127.9,103.4,115.1,123.8,125.8,106.6,117.0,109.8,127.2,130.5,108.0,100.0,,,
2009-02-01,CPI_SERV_CWATER_IND_YTD,121.5,123.6,128.2,122.2,119.2,207.6,118.3,165.5,141.7,117.6,100.0,107.6,130.1,118.6,119.7,121.6,116.1,119.3,123.6,127.6,122.4,140.3,112.1,116.2,118.5,,131.0,119.4,128.0,120.3,115.9,122.3,123.2,127.1,115.9,119.5,124.5,124.0,108.7,144.7,,122.5,100.0,124.3,116.8,122.2,157.6,120.1,124.6,144.3,122.0,103.2,123.0,119.2,134.8,124.3,120.2,131.1,124.8,121.9,121.8,119.8,115.3,110.1,110.1,115.7,112.3,103.1,119.6,,104.8,113.7,123.1,112.4,109.4,124.6,112.4,106.9,115.8,118.5,98.5,116.8,127.1,103.4,120.8,131.4,157.2,120.1,117.0,109.8,127.2,132.3,108.0,100.0,,,
2009-03-01,CPI_SERV_CWATER_IND_YTD,122.0,124.5,128.2,122.2,119.2,207.6,118.3,165.5,130.0,117.6,123.7,108.7,130.1,118.6,121.8,121.6,120.7,119.3,123.6,127.6,122.4,140.3,112.1,116.2,118.5,,131.0,119.4,128.0,120.3,115.9,122.3,123.2,127.6,115.9,119.5,124.5,124.0,120.3,144.7,,122.5,100.0,124.3,116.8,122.2,157.6,120.1,124.6,144.3,122.0,103.2,123.0,119.2,134.8,125.0,120.2,131.1,124.8,121.9,121.8,119.8,114.9,110.7,110.1,115.7,113.7,103.1,119.6,,104.8,114.6,123.1,112.4,109.4,124.6,119.5,106.9,115.8,118.5,98.5,117.3,127.1,103.4,120.8,131.4,157.2,120.1,117.0,109.8,127.2,132.3,108.0,100.0,,,
2009-04-01,CPI_SERV_CWATER_IND_YTD,122.2,124.6,128.2,122.2,119.2,207.6,118.3,165.5,130.0,117.6,123.7,109.6,130.1,118.6,121.8,121.6,120.3,119.3,123.6,127.6,122.5,140.3,112.1,116.2,118.5,,131.0,121.8,128.0,120.3,115.9,122.3,123.2,127.6,115.9,119.5,124.5,124.0,120.3,144.7,,122.5,100.0,124.3,116.8,122.2,157.6,120.1,124.6,144.3,122.0,103.2,123.0,119.2,134.8,125.0,120.2,131.1,124.8,121.9,121.8,119.8,114.8,110.7,110.1,115.7,113.7,103.1,119.6,,104.8,116.3,123.1,112.4,109.4,124.6,119.5,117.3,115.8,118.5,98.5,117.3,127.1,118.3,120.8,131.4,157.2,120.1,117.0,109.8,127.2,132.3,108.0,100.0,,,
2009-05-01,CPI_SERV_CWATER_IND_YTD,122.5,124.6,128.2,122.2,119.2,207.6,118.3,165.5,130.0,117.6,123.7,109.6,130.1,118.6,121.8,121.6,120.3,119.3,123.6,127.6,122.4,140.3,112.1,116.2,118.5,,131.0,119.6,128.0,120.3,115.9,122.3,123.2,127.6,115.9,119.5,124.5,124.0,120.3,144.7,,122.5,100.0,124.3,116.8,122.2,157.6,120.1,124.9,144.3,122.0,112.1,123.0,118.9,134.8,125.0,120.2,131.1,124.8,121.9,121.8,119.8,114.8,112.6,110.1,115.7,117.2,108.4,119.6,,104.8,117.4,123.1,112.4,109.4,124.6,119.5,117.3,115.8,118.5,107.6,117.3,127.1,118.3,119.9,131.4,126.4,120.1,117.0,109.8,127.2,132.3,108.0,100.0,,,
2009-06-01,CPI_SERV_CWATER_IND_YTD,122.7,124.6,128.2,122.2,119.2,207.6,118.3,165.5,130.0,117.6,123.7,109.6,130.1,118.6,121.8,121.6,120.3,119.3,123.6,127.6,122.7,140.3,112.1,116.2,118.5,,132.6,119.6,130.1,120.3,115.9,122.3,123.2,127.6,115.9,119.5,124.5,124.0,120.3,144.7,,122.5,100.0,124.3,116.8,122.2,157.6,120.1,125.0,144.3,122.0,116.8,123.0,118.9,134.8,125.0,120.2,131.1,124.8,121.9,121.8,119.8,114.8,113.7,110.1,115.7,117.2,108.4,119.6,,111.6,117.4,123.1,112.4,109.4,124.6,119.5,117.3,115.8,118.5,107.6,117.3,127.1,118.3,120.5,131.4,127.6,120.1,117.0,113.2,127.2,132.3,108.0,100.0,,,
2009-07-01,CPI_SERV_CWATER_IND_YTD,122.9,124.8,128.2,122.2,119.2,207.6,118.3,165.5,130.0,117.6,132.3,109.6,130.1,118.6,121.8,121.6,120.3,119.3,123.6,127.6,123.3,140.3,112.1,123.2,118.5,,132.6,119.6,130.1,120.3,115.9,122.3,123.2,127.7,115.9,119.5,124.5,124.0,120.3,144.7,,122.5,100.0,131.0,118.1,122.2,157.6,120.1,125.0,144.3,122.0,116.8,123.0,118.9,134.8,125.0,120.2,131.1,124.8,121.9,121.8,119.8,114.8,113.7,110.1,115.7,117.2,108.4,119.6,,111.6,117.4,123.1,112.4,109.4,124.6,119.5,117.3,115.8,118.5,107.6,117.3,127.1,118.7,121.0,131.4,127.6,121.5,117.0,113.2,127.2,132.3,108.0,100.0,,,
2009-08-01,CPI_SERV_CWATER_IND_YTD,122.9,124.8,128.2,122.2,119.2,207.6,118.3,165.5,130.0,117.6,132.3,109.6,130.1,118.6,121.8,121.6,120.9,119.3,123.6,127.6,123.3,140.3,112.1,123.2,118.5,,132.6,119.6,130.1,120.3,115.9,122.3,123.2,127.7,115.9,119.5,124.5,124.0,120.3,144.7,,122.5,100.0,131.0,118.1,122.2,157.6,120.1,125.0,144.3,122.0,116.8,123.0,118.9,134.8,125.0,120.2,131.1,124.8,121.9,121.8,119.8,114.8,113.7,110.1,115.7,117.2,108.4,119.6,,111.6,117.4,123.1,112.4,109.4,124.6,119.5,117.3,115.8,118.5,107.6,117.3,127.1,118.7,121.1,131.4,127.6,121.5,117.0,113.2,127.2,132.7,108.0,100.0,,,
2009-09-01,CPI_SERV_CWATER_IND_YTD,122.9,124.8,128.2,122.2,119.2,207.6,118.3,165.5,130.0,117.6,132.3,109.6,130.1,118.6,121.8,121.6,120.9,119.3,123.6,127.6,123.3,140.3,112.1,123.2,118.5,,132.6,119.6,130.1,120.3,115.9,122.3,123.2,127.7,115.9,119.5,124.5,124.0,120.3,144.7,,122.5,100.0,131.0,118.1,122.2,157.6,120.1,125.0,144.3,122.0,116.8,123.0,118.9,134.8,125.0,120.2,131.1,124.8,121.9,121.8,119.8,114.8,113.7,110.1,115.7,117.2,108.4,119.6,,111.6,117.5,123.1,112.4,109.4,124.6,119.5,117.3,115.8,118.5,108.3,117.3,127.1,118.7,121.1,131.4,127.6,121.5,117.0,113.2,127.2,132.7,108.0,100.0,,,
2009-10-01,CPI_SERV_CWATER_IND_YTD,123.0,124.8,128.2,122.2,119.2,207.6,118.3,165.5,130.0,117.6,132.3,109.6,130.1,118.6,121.8,121.6,120.9,119.3,123.6,127.6,123.4,140.3,112.1,123.2,118.5,,132.6,121.8,130.1,120.3,115.9,122.3,123.2,127.7,115.9,119.5,124.5,124.0,120.3,144.7,,122.5,100.0,131.0,118.1,122.2,157.6,120.1,124.9,144.3,122.0,115.4,123.0,118.9,134.8,125.0,120.2,131.1,124.8,121.9,121.8,119.8,114.8,113.7,110.1,115.7,117.2,108.4,119.6,,111.6,117.9,123.1,112.4,111.7,124.6,121.1,117.3,115.8,121.5,107.6,117.3,127.1,118.7,121.1,131.4,127.6,121.5,117.0,113.2,127.2,132.7,108.0,100.0,,,
