,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,CPI_SERV_HEAT_IND_YTD,115.5,118.1,123.9,110.2,100.0,93.9,121.6,120.9,132.4,118.7,121.5,120.6,122.3,136.7,115.2,109.5,100.0,114.5,117.6,129.7,114.6,100.0,100.0,101.0,118.5,,109.1,112.7,130.4,124.1,115.4,121.0,122.4,109.0,113.8,121.4,100.0,126.3,106.6,107.2,,122.3,100.0,120.1,118.7,100.0,100.0,121.9,116.8,124.6,100.0,118.5,100.0,106.9,121.9,124.0,113.7,121.3,126.0,101.9,114.0,118.9,120.4,115.5,118.0,126.1,108.9,105.6,103.2,,107.2,116.5,182.9,113.0,119.9,116.4,115.0,118.2,117.9,115.3,100.0,123.8,115.0,116.2,114.8,115.5,105.8,111.1,125.4,111.5,128.5,110.8,125.3,100.5,,,
2009-02-01,CPI_SERV_HEAT_IND_YTD,118.8,120.8,123.9,110.2,121.7,115.4,121.6,120.9,132.4,103.1,106.1,122.2,122.1,136.7,115.2,109.5,114.4,118.4,117.3,129.7,118.7,127.2,122.2,101.0,118.5,,113.5,114.5,130.4,124.1,115.4,121.0,122.4,116.2,113.8,121.4,119.5,126.3,119.4,107.2,,122.3,100.0,120.1,118.7,118.8,100.0,121.9,119.9,124.4,121.6,118.5,108.8,119.2,121.9,124.0,113.7,121.1,125.4,116.5,120.2,118.9,118.6,118.9,118.0,128.4,111.0,105.6,112.5,,116.2,117.7,182.9,113.0,119.9,116.4,119.9,118.2,117.8,120.8,99.0,123.8,115.0,116.2,116.1,118.5,114.9,111.1,125.4,111.5,128.5,110.8,125.3,100.5,,,
2009-03-01,CPI_SERV_HEAT_IND_YTD,118.6,120.1,123.9,111.9,121.7,115.4,121.6,120.9,123.4,102.8,95.7,122.2,122.1,136.7,115.2,109.5,114.4,118.4,116.9,129.7,119.1,127.2,125.7,101.0,118.5,,113.5,114.5,130.4,124.1,115.4,121.0,122.4,116.1,113.8,121.4,119.5,120.5,119.4,107.2,,122.3,100.0,120.1,118.7,118.8,100.0,121.9,119.8,124.4,121.6,118.5,108.8,119.2,119.7,124.0,113.7,121.1,125.1,116.5,120.2,118.9,118.6,118.7,118.0,128.4,110.3,105.6,112.5,,116.2,117.6,182.9,113.0,119.9,116.4,119.9,118.2,117.8,120.8,99.0,123.8,114.6,116.2,116.3,118.5,116.4,111.1,125.4,111.5,128.5,110.8,125.3,100.5,,,
2009-04-01,CPI_SERV_HEAT_IND_YTD,117.4,115.1,127.6,111.9,121.7,115.4,121.6,120.9,123.4,42.9,44.0,123.0,122.1,136.7,115.2,109.5,114.4,118.4,116.9,129.7,119.4,127.2,125.7,101.0,118.5,,116.6,114.5,130.4,124.1,115.4,121.0,122.4,116.3,116.7,121.4,120.0,120.5,119.4,107.2,,122.3,100.8,120.1,118.7,118.8,100.0,121.9,120.1,124.4,121.6,118.5,113.2,119.2,119.7,124.0,112.5,121.1,125.1,116.5,120.2,118.9,118.6,118.7,118.0,128.4,110.3,105.6,112.5,,116.2,117.6,182.9,113.0,119.9,116.4,119.9,118.2,117.8,120.8,99.0,123.8,114.6,116.2,116.3,118.5,116.4,111.1,125.4,111.5,128.5,110.8,125.3,100.5,,,
2009-05-01,CPI_SERV_HEAT_IND_YTD,117.8,115.1,127.6,111.9,121.7,115.4,121.6,120.9,123.4,42.9,44.0,123.0,122.1,136.7,115.2,109.5,114.4,118.4,116.9,129.7,120.4,125.2,125.7,104.3,118.5,,116.6,118.4,130.4,124.1,115.4,127.1,122.4,116.6,116.7,121.4,121.6,120.5,119.4,106.6,,122.3,100.8,120.1,118.7,118.8,100.0,121.9,120.0,124.4,121.6,118.5,113.2,119.2,119.7,124.0,112.5,121.1,125.1,114.1,120.2,118.9,118.6,119.8,118.0,128.4,113.5,111.9,112.5,,116.2,118.7,182.9,113.0,125.7,116.4,119.9,119.8,117.8,120.8,108.4,124.3,114.6,116.2,116.1,118.5,116.4,111.1,125.4,111.5,128.5,108.8,125.3,100.5,,,
2009-06-01,CPI_SERV_HEAT_IND_YTD,117.8,115.5,127.6,111.9,121.7,115.4,121.6,120.9,123.4,42.9,44.0,123.0,122.1,136.7,130.6,109.5,114.4,118.4,116.9,129.7,120.4,125.2,125.7,104.3,118.5,,116.6,118.4,130.4,124.1,115.4,127.1,122.4,116.6,116.7,121.4,121.6,120.5,119.4,106.6,,122.3,100.8,120.1,118.7,118.8,100.0,121.9,120.0,124.4,121.6,118.5,113.2,119.2,119.7,124.0,112.5,121.1,125.1,114.1,120.2,118.9,118.6,119.8,118.0,128.4,113.5,111.9,112.5,,116.2,118.7,182.9,113.0,125.7,116.4,119.9,118.2,117.8,120.8,108.4,124.3,114.6,116.2,116.1,118.5,116.4,111.1,125.4,111.5,128.5,108.7,125.3,100.5,,,
2009-07-01,CPI_SERV_HEAT_IND_YTD,118.3,116.0,132.6,111.9,121.7,115.4,121.6,120.9,123.4,42.9,44.0,123.0,122.1,136.7,130.6,123.2,114.4,118.4,116.9,129.7,120.4,125.2,125.7,104.3,118.5,,116.6,118.4,130.4,124.1,115.4,127.1,122.4,116.6,116.7,121.4,121.6,120.5,119.4,106.6,,122.3,100.8,120.1,121.0,118.8,100.0,121.9,121.1,130.3,121.6,118.5,119.4,119.2,119.7,124.0,112.5,121.1,125.1,114.1,120.2,118.9,118.6,121.5,140.0,128.4,113.5,111.9,112.5,,116.2,118.7,182.9,113.0,125.7,116.4,119.9,118.2,117.8,120.8,108.4,124.3,114.6,116.2,116.1,118.5,116.4,111.1,125.4,111.5,128.5,108.7,125.3,100.5,,,
2009-08-01,CPI_SERV_HEAT_IND_YTD,118.4,116.2,132.6,111.9,121.7,115.4,121.6,120.9,123.4,42.9,44.0,123.0,122.1,136.7,130.6,130.2,114.4,118.4,116.9,129.7,120.4,125.2,125.7,104.3,118.5,,116.6,118.4,130.4,124.1,115.4,127.1,122.4,116.6,116.7,121.4,121.6,120.5,119.4,106.5,,122.3,100.8,120.1,121.0,118.8,100.0,121.9,121.1,130.3,121.6,118.5,119.4,119.2,119.7,124.0,112.5,121.1,125.1,114.1,120.2,118.9,118.6,121.5,140.0,128.4,113.5,111.9,112.5,,116.2,118.9,182.9,113.0,125.7,116.4,119.9,118.2,117.8,120.8,108.4,124.3,114.6,118.9,116.1,118.5,116.4,111.1,125.4,111.5,128.5,108.7,125.3,100.5,,,
2009-09-01,CPI_SERV_HEAT_IND_YTD,118.5,116.2,132.6,111.9,121.7,115.4,121.6,120.9,123.4,42.9,44.0,123.0,122.1,136.7,130.6,130.2,114.4,118.4,116.9,129.7,120.7,125.2,125.7,106.2,118.5,,117.2,118.4,130.4,124.1,115.4,127.1,122.4,116.6,116.7,121.4,121.6,120.5,119.4,106.5,,122.3,100.8,120.1,121.0,118.8,100.0,121.9,121.1,130.3,121.6,118.5,119.4,119.2,119.7,124.0,112.5,121.1,125.1,114.1,120.2,118.9,118.6,121.5,140.0,128.4,113.5,111.9,112.5,,116.2,119.1,182.9,113.0,125.7,116.4,119.9,118.2,117.8,120.8,109.9,124.3,114.6,118.9,116.1,118.5,116.4,111.1,125.4,111.5,128.5,108.7,125.3,100.5,,,
2009-10-01,CPI_SERV_HEAT_IND_YTD,119.0,116.1,136.9,111.9,121.7,115.4,121.6,120.9,123.4,43.4,38.9,123.0,122.1,136.7,130.6,130.2,114.4,118.4,116.9,129.7,123.1,125.2,125.7,118.0,118.5,,122.6,118.4,133.6,124.1,115.4,127.1,122.4,117.9,122.6,121.4,125.5,120.5,119.4,106.5,,122.3,100.8,120.1,121.0,118.8,100.0,121.9,121.9,130.3,121.6,118.5,129.4,119.2,119.7,124.0,112.5,121.1,125.1,114.1,120.2,118.9,118.6,121.7,140.0,128.4,113.5,111.9,112.5,,117.2,118.9,182.9,113.0,125.7,116.4,119.9,118.2,117.8,120.8,108.4,124.3,114.6,118.9,115.8,118.5,116.4,111.1,125.4,111.5,128.5,106.4,125.3,100.5,,,
