dates,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,CPI_SERV_HWATER_IND_YTD,118.0,123.4,124.3,126.1,100.0,164.1,135.0,125.8,109.7,100.0,107.3,120.1,132.3,132.2,105.6,109.5,100.0,114.7,156.4,129.8,116.3,100.0,100.0,101.3,124.8,,113.9,129.5,124.8,122.0,117.2,110.8,123.6,113.1,114.5,121.6,100.0,116.8,110.9,119.0,,125.8,100.0,120.5,118.4,100.0,228.1,120.7,119.2,134.4,100.0,111.5,100.0,106.3,125.6,120.6,137.5,124.0,126.2,102.1,114.0,119.5,123.7,115.6,129.8,127.3,110.3,106.0,117.2,,104.3,114.1,131.7,113.4,122.2,117.8,113.8,119.2,112.3,114.5,100.0,116.3,120.5,114.4,114.0,118.8,111.5,110.5,123.9,111.1,130.5,109.9,121.4,103.2,,,
2009-02-01,CPI_SERV_HWATER_IND_YTD,121.4,126.0,124.3,126.1,123.8,172.2,135.0,125.8,109.7,118.7,107.3,123.8,132.3,132.2,105.6,109.5,113.5,114.7,160.5,129.8,119.7,118.8,114.1,101.3,124.8,,116.7,130.7,124.8,122.0,117.2,117.5,123.6,119.6,114.5,121.6,117.5,121.0,119.8,119.0,,125.8,100.0,120.5,118.4,118.7,228.1,120.7,122.5,134.7,121.7,115.2,112.6,119.6,125.6,120.6,139.4,123.7,125.5,118.6,117.2,119.5,122.1,118.8,129.8,129.7,111.7,106.0,127.2,,112.3,116.8,131.7,113.4,122.2,117.8,116.4,119.2,114.8,120.5,110.0,116.3,120.5,114.4,115.0,123.8,118.7,110.9,123.9,111.1,130.5,109.9,121.4,103.2,,,
2009-03-01,CPI_SERV_HWATER_IND_YTD,121.8,126.9,124.3,127.2,123.8,185.5,135.0,125.8,119.8,118.7,107.3,124.4,132.3,132.2,105.6,109.5,114.6,114.7,160.2,129.8,119.7,118.8,114.1,101.3,124.8,,116.7,130.7,124.8,122.0,117.2,117.5,123.6,121.0,114.5,121.6,121.6,121.0,121.5,119.0,,125.8,100.0,120.5,118.4,118.7,228.1,120.7,122.4,134.7,121.7,115.2,112.6,119.6,124.1,120.6,139.4,123.7,125.4,118.6,117.2,119.5,122.1,118.8,129.8,129.7,111.7,106.0,127.2,,112.3,116.8,131.7,113.4,122.2,117.8,116.4,119.2,114.8,120.5,110.0,116.3,120.3,114.4,115.1,123.8,119.4,110.9,123.9,111.1,130.5,109.9,121.4,103.2,,,
2009-04-01,CPI_SERV_HWATER_IND_YTD,122.2,127.5,127.8,127.2,128.7,185.5,135.0,125.8,119.8,124.4,107.3,124.9,132.3,132.2,105.6,109.5,114.6,114.7,160.2,129.8,119.8,118.8,114.1,101.3,124.8,,118.5,130.7,124.8,122.0,117.2,117.5,123.6,121.7,116.9,121.6,123.7,121.0,121.5,119.0,,125.8,100.0,120.5,118.4,118.7,228.1,120.7,122.7,134.7,121.7,115.2,116.8,119.6,123.4,120.6,138.3,123.7,125.4,118.6,117.2,119.5,122.1,119.0,129.8,129.7,111.7,106.0,127.2,,113.7,116.8,131.7,113.4,122.2,117.8,116.4,119.2,114.8,120.5,110.0,116.3,120.3,114.4,115.1,123.8,119.4,110.9,123.9,111.1,130.5,109.9,121.4,103.2,,,
2009-05-01,CPI_SERV_HWATER_IND_YTD,122.6,127.5,127.8,127.2,128.7,185.5,135.0,125.8,119.8,124.4,107.3,125.3,132.3,132.2,105.6,109.5,114.6,114.7,159.6,129.8,121.0,118.8,114.1,115.3,124.8,,118.5,130.7,124.8,122.0,117.2,117.5,123.6,121.5,116.9,121.6,123.7,121.0,120.9,118.7,,125.8,100.0,120.5,118.4,118.7,228.1,120.7,122.6,134.7,121.7,117.5,116.8,118.9,123.4,120.6,138.3,123.7,125.4,116.8,117.2,119.5,122.1,120.9,129.8,129.7,116.0,112.0,127.2,,113.7,118.3,131.7,113.4,126.2,117.8,116.4,119.2,114.8,120.5,122.6,118.2,120.3,114.4,115.1,123.8,119.4,110.9,123.9,111.1,130.5,109.9,121.4,103.2,,,
2009-06-01,CPI_SERV_HWATER_IND_YTD,123.2,128.0,127.8,127.2,128.7,185.5,135.0,125.8,119.8,124.4,107.3,125.3,132.3,132.2,125.2,109.5,114.4,114.7,159.6,129.8,121.7,118.6,114.1,121.0,124.8,,118.5,130.7,127.2,122.0,117.2,117.5,123.6,124.0,116.9,121.6,130.1,121.0,120.9,118.7,,125.8,100.0,120.5,118.4,118.7,228.1,120.7,122.5,134.7,121.7,118.4,116.8,118.9,123.4,120.6,136.4,123.7,125.4,116.8,117.2,119.5,122.1,120.9,129.8,129.7,116.0,112.0,127.2,,113.7,118.2,131.7,113.4,126.2,117.8,116.4,115.9,114.8,120.5,122.6,118.2,120.3,114.4,115.1,123.8,119.4,110.9,123.9,111.1,130.5,109.9,121.4,103.2,,,
2009-07-01,CPI_SERV_HWATER_IND_YTD,123.8,128.9,132.7,127.2,128.7,185.5,135.0,125.8,119.8,124.4,118.9,125.3,132.3,132.2,125.2,124.1,119.9,114.7,159.6,129.8,122.3,118.6,114.1,124.8,124.8,,121.4,130.7,127.2,122.0,117.2,117.5,123.6,124.2,119.4,121.6,131.8,121.0,120.9,118.7,,125.8,100.0,108.9,120.0,118.7,228.1,120.7,123.0,134.7,121.7,118.4,122.7,118.9,123.4,120.6,136.4,123.7,125.4,116.8,117.2,119.5,122.1,122.6,150.7,129.7,116.0,112.0,127.2,,114.3,118.4,131.7,113.4,126.2,117.8,116.4,115.9,114.8,123.9,122.6,118.2,120.3,114.9,115.2,123.8,119.4,111.1,123.9,111.1,130.5,109.9,121.4,103.2,,,
2009-08-01,CPI_SERV_HWATER_IND_YTD,123.9,129.1,132.7,127.2,128.7,185.5,135.0,125.8,119.8,124.4,118.9,125.3,132.3,132.2,125.2,130.7,119.9,114.7,159.6,129.8,122.3,118.6,114.1,124.8,124.8,,121.4,130.7,127.2,122.0,117.2,117.5,123.6,124.2,119.4,121.6,131.8,121.0,120.9,118.6,,125.8,100.0,108.9,120.0,118.7,228.1,120.7,123.0,134.7,121.7,118.4,122.7,118.9,123.4,120.6,136.4,123.7,125.4,116.8,117.2,119.5,122.1,122.6,150.7,129.7,116.0,112.0,127.2,,115.0,118.7,131.7,113.4,126.2,117.8,116.4,115.9,114.8,123.9,122.6,118.2,120.3,118.9,115.2,123.8,119.4,111.1,123.9,111.1,130.5,109.9,121.4,103.2,,,
2009-09-01,CPI_SERV_HWATER_IND_YTD,123.9,129.1,132.7,127.2,128.7,185.5,135.0,125.8,119.8,124.4,118.9,125.3,132.3,132.2,125.2,130.7,120.1,114.7,159.6,129.8,122.3,118.6,114.1,124.8,124.8,,121.4,130.7,127.2,122.0,117.2,117.5,123.6,124.2,119.4,121.6,131.8,121.0,120.9,118.6,,125.8,100.0,108.9,120.0,118.7,228.1,120.7,123.0,134.7,121.7,118.4,122.7,118.9,123.4,120.6,136.4,123.7,125.4,116.8,117.2,119.5,122.1,122.6,150.7,129.7,116.0,112.0,127.2,,115.0,118.8,131.7,113.4,126.2,117.8,116.4,115.9,114.8,123.9,123.3,118.2,120.3,118.9,115.2,123.8,119.4,111.1,123.9,111.1,130.5,109.9,121.4,103.2,,,
2009-10-01,CPI_SERV_HWATER_IND_YTD,124.4,129.2,136.8,127.2,128.7,185.5,135.0,125.8,119.8,124.4,118.9,125.3,132.3,132.2,125.2,130.7,120.1,114.7,159.6,129.8,122.5,118.6,114.1,124.8,124.8,,124.1,130.7,127.2,122.0,117.2,117.5,123.6,124.9,121.6,121.6,134.0,121.0,120.9,118.6,,125.8,100.0,108.9,120.0,118.7,228.1,120.7,124.0,134.7,121.7,126.7,131.6,118.9,123.4,120.6,138.3,123.7,125.4,116.8,117.2,119.5,122.1,123.0,150.7,129.7,116.0,112.0,127.2,,117.3,119.5,131.7,113.4,126.2,117.8,123.0,115.9,114.8,123.9,122.6,118.2,120.3,118.9,115.2,123.8,119.4,111.1,123.9,111.1,130.5,109.9,121.4,103.2,,,
