dates,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,CPI_SERV_IND_YTD,106.3,107.0,108.8,106.5,104.3,109.7,113.1,109.1,109.4,105.9,105.2,107.5,105.8,110.1,105.3,105.4,105.0,108.9,107.6,107.1,106.4,102.9,101.7,104.4,109.2,,106.1,106.2,111.5,107.7,107.6,105.6,108.0,106.6,107.3,106.0,103.6,109.3,104.0,109.7,,106.4,100.5,106.5,106.1,105.1,111.9,107.5,106.6,107.7,102.4,104.0,103.7,105.0,108.0,104.7,108.1,109.9,108.2,103.1,107.0,108.8,108.3,105.7,107.6,108.8,104.0,101.3,103.9,,103.9,105.8,120.0,107.1,104.9,108.9,106.0,105.0,106.7,106.2,102.1,106.5,107.7,104.6,106.1,104.8,105.2,104.4,107.7,105.7,113.1,106.2,110.7,124.4,,,
2009-02-01,CPI_SERV_IND_YTD,107.8,108.5,109.0,106.8,109.9,114.7,114.0,110.3,110.7,108.8,105.1,109.5,106.6,110.9,106.5,106.0,109.3,109.6,109.2,107.7,107.7,108.9,108.2,105.0,110.2,,108.2,106.9,112.4,107.8,107.9,107.6,108.4,108.9,108.5,106.3,111.5,108.3,106.2,111.0,,107.8,101.3,106.6,107.4,106.9,114.9,107.6,108.1,108.2,109.0,103.9,107.3,108.4,108.4,108.0,109.1,110.6,108.3,106.5,109.6,109.3,107.2,106.7,108.0,109.9,104.6,101.5,106.2,,106.1,106.5,119.8,107.3,102.8,110.3,107.2,105.1,106.6,107.9,102.3,107.9,108.3,105.0,107.3,105.0,108.7,106.0,109.6,106.6,112.1,107.0,111.3,124.5,,,
2009-03-01,CPI_SERV_IND_YTD,108.5,109.3,110.0,107.3,110.8,115.7,114.6,112.2,109.7,109.4,105.8,110.1,107.6,112.2,107.0,106.5,110.2,110.6,109.5,108.9,108.4,110.3,109.4,105.0,109.7,,107.9,107.5,112.9,108.4,108.5,108.0,109.3,109.7,109.4,108.0,112.7,109.4,107.4,111.5,,108.0,102.1,107.3,107.7,107.4,116.3,108.3,108.4,108.4,109.4,104.3,106.6,109.1,108.3,108.6,110.0,110.8,108.8,107.4,110.1,109.7,108.1,107.0,109.1,110.5,105.2,102.3,106.9,,106.9,107.1,120.2,108.4,103.5,111.2,109.2,105.6,106.1,108.7,102.7,107.6,108.8,105.5,107.7,105.7,109.8,106.7,109.5,107.1,112.7,107.5,112.3,124.5,,,
2009-04-01,CPI_SERV_IND_YTD,108.7,109.5,110.7,107.3,111.4,116.1,115.5,112.6,110.4,105.7,102.1,110.8,108.0,113.0,107.6,107.2,109.7,111.4,109.8,109.6,108.6,111.3,109.3,104.1,110.4,,108.0,109.6,112.9,108.7,108.6,108.3,109.6,110.5,112.3,109.1,113.5,110.0,108.2,112.0,,109.2,102.8,108.7,108.3,107.5,118.3,109.2,108.9,109.2,108.4,104.6,107.7,109.6,108.8,108.8,110.1,110.8,110.0,107.3,110.4,109.7,109.9,107.1,109.9,110.3,105.4,102.4,107.4,,107.2,107.4,120.4,108.5,104.0,111.7,109.5,106.6,106.4,108.8,103.6,107.8,108.8,105.9,108.0,105.8,109.4,107.1,109.6,107.2,112.8,108.2,112.5,124.5,,,
2009-05-01,CPI_SERV_IND_YTD,109.1,109.7,110.7,107.2,111.4,114.9,115.8,113.3,111.1,105.8,102.4,111.8,108.4,113.0,108.0,107.1,109.8,111.8,109.5,110.2,109.1,112.5,109.9,105.6,111.3,,108.2,110.2,113.0,109.1,109.1,108.8,109.6,110.8,112.6,108.9,114.3,110.3,108.7,112.0,,109.3,103.4,108.8,108.6,108.1,118.8,109.4,109.1,109.6,108.8,106.1,107.7,110.2,109.0,108.9,110.8,111.0,110.3,107.5,110.6,110.7,110.2,107.5,110.6,110.8,106.0,103.3,108.3,,107.4,108.0,125.2,109.0,104.7,112.0,109.4,108.3,106.0,108.4,106.5,108.6,109.1,106.4,108.0,105.9,108.3,107.3,108.7,108.0,113.0,108.4,112.6,124.9,,,
2009-06-01,CPI_SERV_IND_YTD,109.6,110.2,110.7,107.9,111.3,115.1,115.6,113.5,111.1,106.1,102.6,112.5,108.6,113.5,111.1,107.2,110.0,112.1,109.5,110.9,109.6,113.3,109.9,106.8,111.7,,108.6,110.8,113.7,109.7,109.5,108.9,109.9,111.6,113.2,108.9,116.0,110.3,108.9,112.7,,109.2,103.5,111.2,109.1,108.6,120.0,109.8,109.5,109.9,108.9,106.7,107.9,110.2,109.8,110.1,111.0,111.7,110.4,107.6,110.7,111.6,109.9,107.8,111.2,111.2,106.1,103.4,108.5,,107.7,108.6,125.2,109.1,104.7,112.5,109.8,108.5,107.0,109.6,106.4,109.7,109.4,106.8,108.7,106.1,109.7,108.4,109.4,107.9,113.2,109.3,112.9,124.8,,,
2009-07-01,CPI_SERV_IND_YTD,110.5,111.3,112.2,110.1,111.8,116.7,116.5,114.3,111.9,106.8,104.4,113.7,110.1,114.2,112.1,109.7,111.8,113.1,112.2,111.6,110.5,114.8,110.9,109.2,114.8,,110.0,111.1,115.2,110.5,110.1,109.1,110.3,112.6,114.2,110.0,117.5,111.0,110.0,113.6,,110.5,104.3,112.2,111.2,109.4,123.1,110.6,110.3,111.0,109.6,108.4,109.4,110.7,110.6,110.1,111.7,112.2,111.8,108.2,111.0,112.1,110.7,108.5,116.6,111.7,105.7,103.9,107.9,,109.4,109.1,125.3,109.6,105.9,113.4,110.2,109.3,108.5,109.8,107.1,110.1,110.0,107.1,109.2,107.0,110.2,108.9,110.2,108.2,113.4,110.0,113.4,124.7,,,
2009-08-01,CPI_SERV_IND_YTD,110.9,112.0,111.4,110.7,112.1,116.7,116.7,114.8,112.0,107.4,104.8,114.9,110.1,114.3,112.2,112.1,112.1,113.8,112.6,112.5,110.9,115.3,111.4,110.5,115.0,,109.6,111.6,115.4,110.9,111.1,109.2,110.3,112.9,115.0,111.1,117.6,111.9,110.3,113.7,,110.6,104.4,112.3,111.2,110.1,124.6,111.0,110.7,111.4,109.4,107.9,109.6,111.3,110.8,110.3,111.9,112.0,112.1,108.7,111.5,112.9,111.3,108.6,116.9,112.0,105.8,103.9,107.9,,109.5,109.3,125.4,109.7,106.1,113.3,110.3,109.5,108.5,109.6,107.4,110.1,110.1,110.0,109.4,107.4,111.0,109.6,109.7,108.2,113.8,110.5,113.5,125.6,,,
2009-09-01,CPI_SERV_IND_YTD,111.0,112.2,111.9,110.5,112.3,116.3,117.0,115.7,112.2,107.2,104.8,115.4,110.8,113.7,112.9,113.0,111.0,115.1,112.5,112.9,110.8,114.4,110.7,109.5,115.0,,109.9,112.0,116.0,111.0,110.2,110.0,110.6,113.1,115.5,110.7,117.4,111.9,111.2,114.0,,110.8,104.4,112.7,111.6,109.5,125.3,111.7,110.6,111.4,109.9,107.7,109.1,111.3,110.6,109.7,112.1,111.3,111.7,108.8,111.5,112.7,111.1,108.8,117.7,112.3,105.8,103.8,108.4,,109.3,109.4,125.3,109.2,106.5,113.0,110.9,110.2,108.7,109.5,107.6,110.3,109.2,110.1,109.3,106.9,109.6,109.0,110.0,108.3,114.4,111.0,114.4,125.7,,,
2009-10-01,CPI_SERV_IND_YTD,110.9,112.0,112.8,110.6,112.1,115.9,117.3,115.9,112.5,107.5,105.0,115.3,111.3,113.7,113.0,112.8,110.7,115.2,112.0,112.8,110.3,113.8,110.7,109.5,115.0,,109.6,111.7,116.2,110.4,110.2,110.7,109.6,113.6,116.6,111.3,117.8,112.4,111.5,114.4,,112.1,104.6,113.3,113.5,109.7,125.9,112.0,110.9,111.5,109.9,108.2,109.2,111.5,110.6,109.3,112.0,113.1,111.6,108.9,111.5,113.6,111.2,108.8,117.8,112.2,105.8,103.9,108.2,,109.4,109.2,125.3,109.2,106.5,112.9,111.3,110.3,106.6,109.5,107.3,110.0,109.0,110.1,109.3,107.1,108.4,109.1,110.4,107.9,115.4,111.1,113.3,125.9,,,
2009-11-01,CPI_SERV_IND_YTD,111.1,112.3,113.0,110.7,112.1,116.1,117.5,116.0,112.6,111.4,108.7,115.1,111.3,114.6,114.0,112.8,110.6,115.7,112.1,112.7,110.4,113.7,111.1,109.5,109.9,,109.7,112.1,116.1,110.7,110.4,110.6,109.6,113.9,116.6,111.4,118.3,112.4,111.5,114.5,,112.4,105.1,113.3,113.8,109.9,126.6,112.2,111.0,111.7,110.0,108.2,109.2,111.7,110.9,109.4,112.5,113.3,111.7,109.6,111.6,113.8,111.0,108.6,118.1,112.8,105.9,104.1,108.4,,109.3,109.1,125.6,109.2,106.4,113.1,111.3,110.6,107.1,109.0,107.5,110.1,109.0,110.1,109.4,107.1,109.6,109.4,110.6,107.9,115.5,110.3,113.6,125.9,,,
2009-12-01,CPI_SERV_IND_YTD,111.6,112.9,113.1,110.7,112.5,116.6,117.7,116.1,112.9,113.6,111.4,115.6,111.9,114.7,114.1,113.0,110.6,116.1,112.5,113.2,111.1,114.8,111.7,111.2,113.5,,110.1,113.0,116.4,111.8,111.0,111.0,110.6,114.3,116.9,111.4,118.9,112.4,112.2,114.5,,112.9,105.4,113.7,113.9,110.1,127.1,112.4,111.5,112.6,110.2,108.6,109.5,111.9,111.1,109.6,113.0,114.0,112.5,110.3,111.9,114.2,111.1,109.2,118.5,113.7,106.3,104.4,108.7,,109.3,109.6,125.7,109.5,106.7,113.1,111.6,110.8,108.6,109.5,108.2,110.6,109.3,110.4,109.5,107.2,109.3,109.3,110.8,109.2,115.8,109.7,113.9,126.0,,,
2010-01-01,CPI_SERV_IND_YTD,103.9,104.4,106.2,106.0,100.5,101.7,106.2,102.5,103.3,104.9,104.9,104.9,103.9,103.2,103.7,103.3,101.7,104.4,102.8,105.5,103.6,101.4,101.1,105.1,100.6,,102.1,103.2,105.7,104.2,107.0,102.7,103.8,102.8,102.5,103.6,103.8,105.6,101.3,101.4,104.7,105.8,101.8,103.5,102.9,105.2,111.6,104.0,103.8,104.9,101.2,103.5,104.5,103.0,104.4,102.5,104.4,104.7,102.8,101.5,104.9,103.5,104.3,105.9,104.8,106.1,105.1,103.7,104.3,,105.2,103.4,104.9,106.6,105.8,104.7,101.8,104.4,103.8,103.9,102.8,102.5,104.2,101.3,103.2,103.5,100.8,100.4,103.0,106.8,102.5,102.3,104.1,99.9,,,
2010-02-01,CPI_SERV_IND_YTD,105.0,105.3,107.6,107.5,105.4,102.2,107.2,103.3,106.2,105.1,104.7,105.9,104.9,104.0,107.1,104.7,103.8,105.3,103.9,106.0,104.9,106.2,103.8,106.1,101.7,,103.8,104.0,108.3,104.6,107.8,103.6,104.4,104.8,104.8,104.4,104.0,106.8,104.0,105.2,106.5,106.3,106.3,105.5,104.6,106.2,114.2,106.1,105.0,105.0,108.4,104.7,105.8,106.5,105.7,103.4,105.2,105.7,104.2,105.4,105.4,104.2,105.5,106.2,105.4,106.3,105.4,104.4,104.6,,105.4,104.3,105.0,107.7,104.6,105.5,103.4,105.7,105.1,105.2,103.4,102.8,105.1,101.9,104.7,106.3,106.5,101.1,104.7,108.3,103.1,103.4,104.8,100.1,,,
2010-03-01,CPI_SERV_IND_YTD,105.4,105.6,108.0,107.9,105.3,102.3,107.3,103.3,106.7,105.2,104.2,106.1,105.0,104.1,107.4,104.9,104.6,105.6,104.6,106.5,105.4,106.9,103.9,107.4,102.5,,104.2,103.4,108.7,105.2,107.8,104.0,104.8,105.2,104.5,104.5,104.8,106.6,105.1,105.5,106.9,106.5,107.9,105.9,105.6,106.9,114.5,106.7,105.4,106.9,108.5,104.7,105.8,106.7,106.1,104.0,105.8,106.2,104.9,105.7,105.7,104.1,105.7,106.8,105.7,107.1,105.7,104.8,105.1,,105.7,104.9,105.0,108.0,104.7,105.5,103.9,106.9,105.8,106.2,103.6,103.4,105.3,101.9,105.2,106.7,109.8,101.4,105.2,108.8,103.6,103.8,105.2,101.1,,,
2010-04-01,CPI_SERV_IND_YTD,105.6,105.4,108.5,108.4,105.9,102.5,108.5,104.3,106.2,101.6,99.2,106.1,105.8,104.9,108.0,103.4,104.7,106.5,105.3,106.9,105.5,107.0,104.1,107.4,102.2,,104.5,103.6,109.3,105.2,108.1,104.1,105.1,106.0,106.9,106.4,105.5,107.7,106.0,106.3,108.0,108.8,108.2,107.3,106.8,106.5,116.6,107.6,106.1,107.4,108.1,105.4,106.9,107.0,107.2,104.7,106.7,106.9,106.0,106.6,106.0,105.3,106.5,107.2,105.7,107.5,106.2,104.9,106.2,,105.7,105.2,105.4,108.1,105.2,105.7,104.0,107.0,107.4,106.0,103.7,104.2,105.5,102.0,105.6,106.9,109.7,102.4,107.5,108.7,103.7,103.5,105.8,101.3,,,
2010-05-01,CPI_SERV_IND_YTD,106.0,105.9,108.7,108.7,106.4,103.1,108.5,104.3,106.6,101.7,99.6,106.4,105.9,105.2,108.7,103.5,105.0,106.7,106.2,107.6,105.9,107.2,105.0,107.6,103.1,,105.1,104.1,109.4,105.7,108.6,104.9,105.4,106.2,107.2,106.1,106.0,107.6,106.3,106.5,108.2,109.1,108.6,107.4,107.3,106.4,117.0,107.7,106.5,107.8,108.9,106.4,106.9,107.4,107.4,105.3,107.3,107.2,106.4,106.7,106.2,105.7,107.0,107.8,106.4,107.8,106.7,105.4,106.9,,106.9,105.7,105.5,108.3,105.7,105.2,104.5,108.3,107.7,106.4,104.1,104.5,106.4,102.5,106.6,107.0,112.1,103.5,108.6,109.4,103.5,104.6,106.6,101.7,,,
2010-06-01,CPI_SERV_IND_YTD,106.4,106.4,108.8,108.9,106.9,104.1,108.7,104.5,106.3,101.8,99.7,106.9,106.0,105.5,108.9,103.6,105.3,106.7,107.1,108.1,106.3,107.9,105.6,108.2,102.1,,105.7,104.8,109.7,106.0,109.2,105.0,105.7,106.7,107.7,106.1,106.8,107.7,106.7,106.8,108.7,109.5,109.5,109.4,107.3,106.7,117.8,107.9,106.7,108.0,109.2,106.7,106.9,107.9,107.6,105.9,107.7,107.5,106.8,107.0,106.3,106.1,107.2,108.2,107.0,108.3,107.1,106.1,107.1,,107.1,106.3,105.6,108.5,107.1,105.4,104.9,108.5,108.3,106.6,104.8,105.0,106.9,102.8,107.5,107.7,113.3,103.9,111.5,109.8,103.9,106.2,107.1,101.7,,,
2010-07-01,CPI_SERV_IND_YTD,107.0,107.1,108.9,109.4,107.3,106.1,109.2,104.7,106.4,102.5,100.7,107.6,107.1,107.0,110.2,103.9,106.4,107.0,108.2,108.7,106.9,109.7,106.3,108.9,102.8,,106.1,105.4,110.0,107.0,109.5,105.8,106.2,107.3,107.8,106.4,107.2,107.9,107.3,107.9,109.2,109.6,109.5,110.0,107.7,107.5,118.9,108.6,107.3,108.5,110.3,107.5,107.0,108.5,107.8,106.7,108.5,108.0,107.5,108.4,106.9,106.4,107.6,108.8,107.8,108.5,107.7,106.8,107.7,,107.5,106.7,105.7,109.1,107.4,105.8,105.3,108.8,108.9,108.0,105.4,105.3,107.6,103.2,108.2,108.2,113.4,104.1,113.2,110.3,104.5,106.4,109.0,101.7,,,
