dates,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,EGW_IND_YOY,92.5,94.7,102.5,68.8,97.7,85.6,94.3,92.8,84.4,94.2,90.8,97.5,88.9,81.8,71.2,94.7,91.3,86.0,94.9,98.1,97.3,100.8,100.5,96.0,132.6,,80.3,104.6,96.1,98.3,98.4,100.3,99.1,96.5,91.4,81.1,99.1,97.6,103.0,91.5,90.6,105.6,59.0,102.6,87.1,103.7,104.4,86.5,91.1,87.5,83.1,88.7,89.8,96.4,99.7,95.8,93.4,92.8,87.1,97.6,97.4,93.0,93.6,95.0,79.2,89.0,104.7,107.0,108.3,,85.5,92.4,106.0,85.7,92.8,97.9,89.5,101.0,94.4,84.5,85.3,103.8,96.8,92.9,95.8,96.2,94.4,93.1,94.4,102.2,97.8,95.5,101.6,96.4,,,
2009-02-01,EGW_IND_YOY,95.2,94.4,105.7,60.4,98.8,85.7,100.9,93.5,84.9,98.4,83.1,95.7,82.9,80.0,90.0,90.5,86.1,84.4,97.3,97.8,101.0,97.6,98.8,94.8,130.7,,83.0,107.2,102.4,98.9,93.5,103.5,106.5,87.6,91.8,65.7,85.5,96.0,101.1,80.4,92.7,127.4,64.3,92.2,88.5,95.7,105.5,86.3,92.7,88.1,100.0,92.3,91.1,96.5,99.3,95.6,92.7,98.8,88.3,96.4,95.6,98.1,95.6,94.5,77.5,88.4,103.7,106.0,110.1,,86.5,95.8,114.5,86.9,91.5,99.6,88.5,94.0,104.3,87.8,90.8,102.4,102.4,98.0,97.1,102.7,99.0,92.0,99.7,101.8,99.7,97.7,102.6,83.5,,,
2009-03-01,EGW_IND_YOY,98.2,99.3,109.0,55.4,99.3,96.6,108.3,98.7,85.1,103.9,92.2,100.5,95.5,91.5,86.7,98.6,100.0,90.4,101.1,101.7,105.2,100.6,99.1,96.2,126.7,,91.6,108.4,101.9,95.7,94.6,99.9,115.1,100.3,93.8,66.5,102.4,97.9,104.3,99.0,104.3,141.7,62.3,104.4,102.3,98.1,101.0,97.9,95.3,92.3,104.9,86.2,99.7,95.1,92.1,91.1,99.6,99.1,92.0,95.4,103.3,93.4,99.9,94.9,78.0,91.4,100.2,101.5,100.0,,90.5,97.9,110.0,87.7,104.1,114.7,97.4,105.3,100.4,89.5,93.8,105.0,98.5,96.6,103.6,103.7,102.8,103.2,105.6,112.1,99.7,98.0,104.2,98.5,,,
2009-04-01,EGW_IND_YOY,99.0,104.2,97.2,50.5,106.1,94.3,127.1,106.6,87.4,128.4,97.6,104.9,83.3,91.2,93.1,100.9,93.8,102.6,111.0,108.6,105.0,98.0,102.3,98.1,125.2,,89.2,30.6,101.2,93.9,102.7,114.9,122.9,93.3,116.5,163.6,96.6,102.8,95.1,84.1,115.1,75.8,116.1,89.4,83.0,78.8,108.1,139.0,97.4,98.0,100.2,96.0,101.8,100.3,92.2,90.9,105.9,97.1,84.1,116.8,115.8,85.0,121.1,98.0,85.6,97.4,99.9,101.7,96.4,,94.9,88.3,97.1,73.7,99.6,121.3,92.5,105.9,91.5,74.0,84.4,96.6,86.0,83.1,96.8,88.8,101.0,106.5,98.2,108.8,97.1,94.0,104.1,80.1,,,
2009-05-01,EGW_IND_YOY,94.6,90.0,91.2,73.5,92.5,87.9,95.4,84.4,78.2,94.3,84.2,91.5,93.4,73.7,75.4,105.1,93.5,92.8,108.6,90.2,97.7,89.7,95.7,90.3,131.8,,79.7,44.4,95.7,93.4,114.3,101.0,115.1,98.2,120.1,57.7,95.4,93.7,90.9,110.5,93.1,76.0,,84.8,113.7,97.4,101.6,96.3,93.9,94.2,95.7,88.0,94.7,96.5,107.3,90.6,92.7,108.5,88.1,96.0,90.8,89.7,100.8,88.9,94.7,69.7,103.1,104.8,99.9,,90.8,91.2,87.3,64.8,93.1,126.7,105.2,110.2,97.4,74.0,80.8,114.3,80.4,72.7,96.3,96.8,100.4,106.4,80.0,111.9,102.2,94.6,105.9,78.4,,,
2009-06-01,EGW_IND_YOY,95.9,91.7,74.2,39.7,98.4,111.5,93.3,101.7,87.7,83.9,96.5,93.5,84.9,81.2,81.5,98.7,100.1,85.7,104.2,90.4,96.3,90.9,94.9,91.1,129.4,,84.1,146.7,98.7,94.2,103.1,121.1,95.6,94.8,91.6,68.1,94.9,95.4,96.6,93.9,91.3,82.5,,101.4,98.4,104.2,115.0,89.8,90.2,88.8,103.8,82.3,91.1,96.7,108.2,87.7,100.8,101.0,96.8,95.4,72.0,92.9,92.7,89.7,103.4,80.2,98.1,98.1,95.2,,84.7,92.6,101.1,58.1,98.0,156.2,107.7,102.7,92.7,73.6,84.5,105.4,95.6,81.1,96.1,88.8,98.6,92.3,83.1,125.4,107.5,96.2,103.8,96.1,,,
2009-07-01,EGW_IND_YOY,96.9,89.7,77.3,54.3,93.8,126.1,80.6,101.4,84.2,145.8,90.1,92.8,76.0,66.9,92.2,102.8,91.6,83.6,108.4,82.7,88.8,97.3,102.4,93.0,131.5,,79.5,103.0,83.2,95.5,94.1,108.0,84.0,88.7,97.7,83.2,93.3,87.8,98.0,81.2,90.5,63.7,,98.9,101.3,107.3,0.0,97.2,92.2,86.0,105.8,83.3,89.0,94.7,88.2,100.7,110.6,97.7,90.3,87.4,71.5,111.2,106.8,92.0,95.3,80.9,99.3,98.7,108.9,,95.8,91.4,101.2,53.0,90.3,155.2,92.2,96.9,89.7,75.7,88.2,112.2,81.9,72.4,94.6,73.1,96.6,92.7,82.8,137.5,106.4,102.1,105.7,95.3,,,
2009-08-01,EGW_IND_YOY,94.6,84.7,47.0,25.2,87.6,98.5,68.1,115.4,77.2,129.3,96.1,89.4,67.5,65.5,110.4,95.6,88.1,86.1,93.2,81.2,90.1,99.2,99.1,92.2,115.7,,80.1,111.0,75.3,95.2,88.1,62.8,96.1,83.3,95.7,75.0,75.5,86.7,101.7,78.9,89.8,134.0,,93.2,89.8,101.8,0.0,75.1,91.4,87.2,95.6,92.2,83.8,100.8,67.4,92.6,91.7,88.1,87.0,75.8,76.0,123.6,93.7,90.4,73.5,93.8,89.1,87.8,99.6,,88.3,94.9,105.3,76.3,90.6,105.7,113.7,98.4,93.0,84.2,89.5,109.2,85.1,107.5,99.5,84.2,99.3,100.3,92.2,115.6,107.0,105.6,104.7,100.6,,,
2009-09-01,EGW_IND_YOY,91.8,84.7,92.1,34.7,78.4,56.2,59.7,105.0,77.4,117.7,92.1,88.5,64.8,66.2,100.6,98.4,106.2,75.9,88.1,83.3,91.2,83.3,94.4,87.2,110.6,,93.7,93.1,80.9,84.6,91.3,81.5,101.3,92.8,66.5,76.0,86.5,92.0,101.5,93.2,96.0,211.9,,100.7,113.4,109.5,0.0,74.2,82.7,83.0,77.1,85.6,73.2,81.8,63.7,78.4,92.9,91.7,80.4,84.0,71.1,99.1,82.1,95.1,75.3,103.5,93.8,92.6,91.3,,79.8,96.5,98.5,95.0,90.4,25.9,93.4,109.3,107.1,92.3,95.8,105.1,77.5,115.9,96.6,86.8,99.2,91.6,86.9,117.7,98.0,104.0,107.0,104.4,,,
2009-10-01,EGW_IND_YOY,97.9,99.5,101.7,66.1,95.2,83.5,93.9,99.7,94.0,129.9,93.1,110.8,97.4,73.0,128.5,84.6,95.3,85.1,95.4,98.3,101.1,105.6,100.3,102.4,127.5,,96.9,116.0,99.5,86.6,107.3,95.5,104.0,89.9,63.4,90.9,84.8,91.7,97.3,89.6,100.9,236.6,81.3,107.9,94.8,108.2,109.5,80.9,91.7,96.3,95.9,86.5,84.8,93.4,83.2,90.5,97.4,92.3,86.7,78.9,75.0,108.3,88.4,98.0,86.6,106.2,96.3,97.9,95.3,,86.0,96.6,92.9,86.2,101.1,32.6,91.2,100.0,110.4,85.4,100.3,106.6,87.7,101.4,97.0,99.5,97.9,87.0,92.8,114.2,93.1,101.5,106.4,96.0,,,
