dates,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2010-01-01,ELECTR_IND_YOY,107.3,114.6,111.7,71.4,113.1,122.8,83.8,104.6,111.7,133.1,92.5,112.7,103.8,111.3,159.2,91.6,104.1,115.4,101.8,105.5,106.8,97.1,98.7,111.7,145.2,,121.0,102.9,102.5,109.6,144.0,176.1,108.3,95.0,166.1,,107.2,93.8,86.3,98.7,98.5,113.8,,100.0,92.6,112.7,,95.5,105.6,124.1,108.7,96.3,115.9,100.6,101.8,109.0,95.5,109.7,116.1,103.2,91.3,93.9,109.4,108.2,115.0,110.4,105.4,105.0,139.8,,113.3,103.0,100.0,111.7,91.1,14.9,116.9,94.2,115.9,113.9,112.4,112.5,108.2,120.8,109.8,100.2,101.9,113.7,99.5,133.8,95.9,97.5,,103.3,,,
2010-02-01,ELECTR_IND_YOY,105.9,113.3,116.2,132.8,108.6,118.2,95.9,116.6,100.1,131.2,99.1,108.2,107.6,96.6,147.3,100.1,117.2,116.5,105.1,102.5,99.5,89.2,97.6,98.9,132.7,,112.0,125.0,92.6,101.5,133.9,192.2,101.6,101.9,109.1,,113.4,96.5,85.1,114.4,109.5,115.8,,100.7,76.9,110.5,,108.8,104.4,120.3,102.5,90.2,116.7,103.7,105.1,97.3,97.1,104.8,114.4,104.1,91.7,99.5,106.3,107.1,127.5,111.1,103.4,103.0,134.3,,110.6,101.6,87.1,116.2,72.8,24.4,122.1,98.5,113.3,108.8,107.7,106.3,97.7,101.5,103.0,94.2,101.9,97.4,97.7,121.2,104.4,98.9,,109.5,,,
2010-03-01,ELECTR_IND_YOY,104.2,106.9,122.0,269.8,99.6,109.7,94.4,110.0,107.2,133.5,101.9,107.0,100.4,78.5,128.9,89.1,103.4,103.6,109.1,95.0,95.4,89.4,95.0,98.5,112.2,,112.5,113.8,92.7,102.0,119.9,88.2,87.7,102.7,103.4,,110.2,91.1,92.1,110.6,104.2,128.6,,106.5,89.8,119.8,,97.6,104.0,135.1,104.3,101.4,84.5,103.7,113.3,99.6,97.6,105.1,116.2,95.7,97.4,102.5,104.5,109.3,122.5,103.9,111.0,109.8,138.4,,112.6,103.3,66.7,123.5,101.4,39.7,112.9,96.3,111.7,114.4,113.3,120.1,99.6,91.9,104.0,94.2,102.5,99.7,101.6,118.6,105.1,100.1,,102.9,,,
2010-04-01,ELECTR_IND_YOY,104.0,98.5,100.5,425.6,102.4,107.8,76.8,90.6,121.3,92.9,104.6,96.9,125.2,82.4,111.7,75.4,105.4,114.2,91.7,87.2,95.8,92.0,88.5,88.7,112.3,,123.7,1417.2,96.6,92.2,103.3,63.0,92.4,108.2,94.7,,99.4,103.1,100.7,121.8,110.8,203.4,,130.0,179.4,155.1,,90.1,109.0,121.2,102.5,100.0,94.8,96.6,105.8,111.4,80.1,104.1,127.9,95.8,93.9,121.4,97.5,103.8,108.3,103.0,103.0,100.8,163.0,,107.7,107.2,100.0,130.0,93.4,48.8,110.8,103.4,108.8,115.0,131.0,127.9,130.2,111.8,109.5,109.7,104.7,110.6,98.9,116.7,113.0,105.1,,114.9,,,
2010-05-01,ELECTR_IND_YOY,105.0,103.5,139.0,652.6,96.4,114.7,65.0,118.6,104.5,132.7,113.2,97.8,91.2,81.0,127.7,88.5,93.5,117.5,110.1,87.0,102.2,106.3,96.8,94.5,111.9,,122.5,240.3,101.5,98.6,78.4,84.5,97.1,113.4,99.0,,96.4,95.4,107.3,130.4,95.0,161.3,,119.2,105.5,126.4,,67.0,101.0,92.3,86.9,119.9,94.2,81.5,89.6,115.5,81.7,97.9,121.8,98.9,98.1,99.4,107.5,110.5,91.3,135.2,104.2,104.7,110.1,,98.9,106.2,150.0,153.1,108.8,42.9,115.1,99.7,102.9,116.7,146.2,131.3,126.0,165.5,107.1,94.3,97.1,121.7,107.1,109.3,96.2,100.0,,105.2,,,
2010-06-01,ELECTR_IND_YOY,105.3,101.6,181.3,572.2,80.5,83.2,53.3,93.3,118.5,133.4,111.2,107.3,101.5,112.9,84.2,86.7,93.9,119.1,113.7,98.8,104.4,120.6,99.7,101.3,106.4,,136.0,121.2,98.3,101.2,84.4,86.1,115.9,115.8,95.8,,98.4,111.8,100.3,134.8,102.5,128.9,,102.4,107.0,115.2,,82.8,99.6,115.8,119.5,100.0,93.7,92.7,101.9,97.8,92.5,88.9,129.2,90.8,101.8,89.7,106.6,112.3,51.1,132.1,106.3,108.8,110.0,,103.6,107.0,100.0,110.1,108.9,39.4,113.4,87.2,130.2,123.3,117.9,122.2,105.7,174.9,106.3,106.6,103.5,106.7,102.7,108.8,108.8,102.0,,92.0,,,
2010-07-01,ELECTR_IND_YOY,104.9,108.8,125.1,394.1,69.4,108.9,142.2,111.0,134.1,87.7,120.3,125.7,116.2,138.5,86.3,72.1,115.5,106.8,92.4,115.1,104.7,93.7,96.2,103.7,117.6,,85.9,94.1,114.9,100.9,83.9,83.3,114.9,118.0,85.1,,101.7,114.3,88.8,145.0,115.2,148.7,,85.2,111.5,106.6,,104.3,98.1,118.3,107.1,100.0,111.7,93.9,99.6,85.9,81.5,79.6,135.0,65.3,89.9,89.1,103.8,103.2,116.3,112.6,101.4,100.9,99.2,,92.8,104.2,100.0,142.8,96.6,43.8,114.4,95.4,117.0,118.0,121.8,124.1,116.7,153.7,106.5,107.1,102.1,105.4,101.4,113.2,101.2,94.5,,100.0,,,
2010-08-01,ELECTR_IND_YOY,107.6,110.3,205.3,450.0,84.0,156.4,185.8,94.8,130.1,59.2,111.4,126.5,172.1,150.8,83.2,117.2,117.9,127.0,106.2,128.5,109.7,81.6,92.7,105.1,118.3,,114.5,85.8,129.2,103.4,95.8,179.0,87.0,121.8,80.6,,127.7,127.3,89.5,143.2,131.4,77.0,,104.1,115.1,103.6,,164.0,101.3,115.2,109.4,75.9,128.1,93.3,142.1,110.7,88.0,81.3,133.0,54.2,86.2,79.1,99.7,107.6,60.4,104.0,108.9,110.1,103.3,,113.3,104.1,100.0,133.5,119.0,87.1,101.5,89.6,105.7,102.1,113.1,118.5,109.5,117.5,104.4,111.9,101.8,102.7,78.8,115.9,102.5,100.4,,87.5,,,
2010-09-01,ELECTR_IND_YOY,104.8,104.5,95.4,347.8,69.7,122.4,173.2,79.2,87.6,79.7,114.2,124.2,118.0,119.2,91.6,160.1,114.1,93.4,88.7,110.5,102.7,89.0,96.3,107.7,121.9,,97.1,82.4,104.7,107.5,149.9,125.8,98.4,111.2,100.0,,108.4,130.5,86.3,126.3,105.2,38.6,,78.3,97.8,99.5,,136.3,107.4,106.6,118.3,110.0,134.7,95.5,132.1,96.5,82.7,79.2,133.3,85.8,86.4,112.0,101.8,104.6,93.1,99.4,105.4,107.7,116.6,,115.5,102.9,150.0,106.9,98.3,443.8,118.1,97.8,81.2,107.9,106.0,102.8,108.8,82.5,103.9,110.4,97.9,122.9,105.5,91.2,100.2,101.2,,95.4,,,
2010-10-01,ELECTR_IND_YOY,103.7,99.7,118.3,278.3,88.5,84.1,98.6,80.4,80.0,98.1,122.5,122.9,112.4,86.3,69.4,95.1,105.9,114.2,134.0,108.8,106.0,90.3,94.4,100.9,110.7,,97.6,154.1,103.0,121.8,132.7,129.5,107.7,119.5,120.0,,103.8,89.4,90.7,145.9,105.6,37.5,,111.2,104.1,98.6,,136.3,104.3,109.5,131.2,91.9,110.7,91.1,114.6,99.4,80.1,82.7,114.8,102.8,94.1,111.2,102.1,103.6,130.0,96.6,106.0,106.1,114.5,,108.6,101.9,100.0,106.2,90.2,593.9,105.6,103.2,84.2,102.8,93.9,93.5,100.6,108.0,107.4,112.3,100.0,119.8,110.6,94.5,102.9,119.7,,97.1,,,
