,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2010-01-01,ELECTR_IND_YTD,107.3,114.6,111.7,71.4,113.1,122.8,83.8,104.6,111.7,133.1,92.5,112.7,103.8,111.3,159.2,91.6,104.1,115.4,101.8,105.5,106.8,97.1,98.7,111.7,145.2,,121.0,102.9,102.5,109.6,144.0,176.1,108.3,95.0,166.1,,107.2,93.8,86.3,98.7,98.5,113.8,,100.0,92.6,112.7,,95.5,105.6,124.1,108.7,96.3,115.9,100.6,101.8,109.0,95.5,109.7,116.1,103.2,91.3,93.9,109.4,108.2,115.0,110.4,105.4,105.0,139.8,,113.3,103.0,100.0,111.7,91.1,14.9,116.9,94.2,115.9,113.9,112.4,112.5,108.2,120.8,109.8,100.2,101.9,113.7,99.5,133.8,95.9,97.5,,103.3,,,
2010-02-01,ELECTR_IND_YTD,106.6,113.8,112.8,96.8,111.5,120.6,89.3,110.1,106.1,132.1,95.6,110.4,104.2,104.0,153.1,95.5,110.2,112.4,102.7,104.1,103.2,93.3,98.9,104.5,129.1,,116.5,113.8,97.5,105.6,137.9,183.7,105.1,97.2,133.8,,105.1,93.2,85.7,105.2,103.4,114.8,,100.3,84.7,111.7,,101.2,105.1,122.3,105.7,93.4,117.1,102.1,103.4,103.1,96.3,106.9,116.0,103.6,91.3,96.5,108.1,107.8,121.3,111.0,104.5,104.2,136.9,,112.1,102.7,115.3,113.8,81.9,19.1,119.6,96.2,115.3,111.6,111.1,109.5,102.6,111.6,106.5,97.0,101.9,105.8,98.7,127.6,99.7,98.2,,105.0,,,
2010-03-01,ELECTR_IND_YTD,105.8,111.5,112.8,134.3,107.7,116.7,91.0,110.4,106.5,132.6,97.6,109.4,103.0,95.4,144.8,94.5,107.7,109.4,105.8,101.2,100.6,92.0,98.5,103.4,122.4,,115.1,113.8,95.8,104.4,132.0,149.6,98.3,99.5,121.9,,110.2,93.8,87.7,106.9,103.6,119.5,,102.4,86.3,114.3,,100.1,104.8,126.1,105.3,95.8,105.7,102.6,106.5,101.9,96.3,109.0,116.1,99.1,93.2,98.5,106.7,108.3,121.7,108.6,106.7,106.0,137.2,,112.2,102.9,100.0,116.8,87.6,26.8,117.4,96.3,114.3,112.4,111.8,112.8,101.7,105.1,104.3,96.2,102.2,97.5,99.6,124.5,100.7,98.8,,104.0,,,
2010-04-01,ELECTR_IND_YTD,105.5,108.6,105.3,182.3,106.6,114.4,87.7,105.7,108.9,124.4,99.0,106.7,106.6,92.5,135.4,90.7,107.1,110.5,101.8,98.1,99.5,92.0,96.3,99.9,119.9,,117.2,128.2,96.0,101.5,125.6,119.8,96.9,100.8,113.8,,105.3,94.5,90.6,109.4,105.6,136.2,,109.3,119.3,126.2,,98.2,106.5,125.0,104.9,96.5,109.1,101.2,106.3,104.0,92.6,107.9,118.7,98.5,93.3,104.0,105.0,107.0,119.1,107.4,105.4,104.2,143.1,,111.2,103.8,100.0,119.2,88.7,32.6,116.0,97.9,112.9,112.9,115.9,116.0,107.0,106.4,105.4,98.9,102.8,100.4,99.5,122.5,104.0,100.2,,105.3,,,
2010-05-01,ELECTR_IND_YTD,105.2,107.7,108.3,217.2,105.4,114.4,84.9,107.7,108.3,125.6,101.6,104.9,104.8,90.7,133.7,90.6,104.9,109.8,103.0,96.5,100.2,94.8,97.8,100.3,118.0,,118.1,139.9,97.0,101.0,115.6,113.0,96.9,103.1,110.2,,103.7,94.7,94.4,112.6,101.6,141.8,,113.0,111.8,126.3,,90.8,105.2,119.2,102.2,98.8,106.6,98.5,103.3,106.1,91.2,105.9,119.1,98.6,93.1,103.0,102.8,107.8,115.6,111.4,105.4,104.7,138.1,,109.0,104.1,100.0,124.0,91.9,34.9,115.8,98.2,111.0,113.6,120.6,118.2,106.6,112.7,105.8,98.3,101.7,103.6,100.3,119.9,102.1,101.5,,105.3,,,
2010-06-01,ELECTR_IND_YTD,105.3,106.9,110.8,240.5,102.8,109.0,81.1,105.7,109.5,126.7,102.8,105.3,104.6,93.5,124.7,90.3,103.1,110.8,104.8,96.9,100.8,98.2,97.8,100.3,115.4,,120.6,136.1,97.3,101.0,110.6,107.5,98.6,105.2,107.5,,102.9,96.6,95.2,116.7,101.7,138.3,,109.0,110.1,122.6,,89.9,104.4,118.7,103.3,98.9,104.6,97.9,103.1,104.8,91.6,103.6,120.5,97.7,94.2,100.8,102.9,108.4,107.9,114.2,105.6,105.3,134.7,,108.2,104.5,106.3,122.4,93.7,35.8,115.5,96.9,113.6,114.9,120.3,118.6,106.5,117.1,105.9,99.1,102.0,104.0,100.7,118.1,103.0,101.6,,103.5,,,
2010-07-01,ELECTR_IND_YTD,105.3,107.1,111.5,249.5,99.6,109.0,84.1,106.3,112.4,120.3,104.7,108.1,105.7,98.8,117.8,89.3,104.8,110.3,103.6,98.6,101.7,97.7,97.8,100.8,115.5,,115.9,127.7,99.3,101.0,107.2,102.1,102.7,106.9,104.1,,102.8,98.5,94.5,120.8,103.5,139.9,,101.8,110.4,118.2,,91.6,103.6,118.6,103.8,99.0,105.5,97.6,102.8,102.1,90.6,100.8,122.5,95.0,93.7,99.0,102.9,107.6,108.7,113.6,105.0,104.7,130.9,,106.1,104.4,105.6,124.6,93.7,37.2,115.4,96.8,113.8,115.3,120.5,119.2,107.5,119.7,105.9,99.7,102.0,104.2,100.7,117.4,102.8,100.1,,103.2,,,
2010-08-01,ELECTR_IND_YTD,105.4,107.4,116.4,270.7,98.3,111.5,89.9,105.3,114.4,110.9,105.4,110.2,111.2,104.5,112.6,90.7,106.4,112.4,103.8,101.2,102.6,95.9,97.5,101.3,115.9,,115.7,120.2,102.3,101.3,106.0,110.5,101.3,108.6,101.8,,105.8,100.9,93.9,123.6,106.7,131.0,,102.3,111.4,115.2,,98.3,103.3,118.2,104.3,95.4,108.1,97.3,105.6,103.0,89.9,98.9,123.8,91.5,92.9,96.4,102.8,107.6,104.1,112.4,105.5,105.4,128.5,,106.9,104.4,105.0,125.7,95.8,42.3,114.1,96.1,112.9,113.7,119.7,119.1,107.6,119.5,105.8,100.7,101.9,104.0,98.9,117.2,102.8,100.5,,101.7,,,
2010-09-01,ELECTR_IND_YTD,105.5,107.0,120.0,276.1,95.9,112.3,94.7,102.7,110.9,106.3,106.2,111.7,111.8,106.1,110.3,99.1,107.3,110.7,102.6,101.6,102.6,95.2,97.5,102.0,116.5,,112.9,115.0,102.5,101.9,110.3,112.8,101.0,108.9,101.7,,106.3,103.4,93.3,123.9,106.4,119.8,,93.8,109.6,113.0,,101.9,103.8,116.9,105.6,96.5,110.5,97.0,107.4,102.4,90.0,97.0,124.9,91.0,92.4,97.9,102.7,107.3,103.2,110.7,105.5,105.6,129.6,,107.4,104.2,109.1,123.7,95.9,48.2,114.5,96.3,108.9,113.1,118.1,117.1,107.7,113.4,105.6,101.6,101.5,105.8,99.3,114.2,102.5,100.7,,101.1,,,
2010-10-01,ELECTR_IND_YTD,105.3,106.1,118.1,278.3,95.0,110.0,95.2,100.4,106.6,105.2,107.8,113.1,111.9,104.0,104.9,88.1,107.2,111.1,105.0,102.3,103.0,94.7,97.4,101.8,115.4,,111.1,118.5,102.6,103.7,112.7,114.4,101.7,109.8,102.5,,106.0,99.7,93.1,126.4,106.3,109.3,,95.2,109.2,111.8,,105.3,103.6,116.0,107.8,96.0,109.4,96.3,108.1,102.0,88.5,95.6,123.6,92.2,92.6,99.2,102.5,106.9,105.7,109.1,105.6,105.7,128.3,,107.5,104.0,108.3,121.8,95.2,55.7,113.5,97.1,105.8,112.0,115.2,114.1,106.9,112.7,105.9,102.8,101.4,107.2,100.4,112.0,102.5,104.4,,100.7,,,
