,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,EMPL_HIRE_NEW_PLACE_NUM_TH,25.1,6.9,0.5,0.2,0.9,0.2,0.0,0.2,0.4,0.1,0.8,0.7,0.0,0.2,0.1,0.0,0.1,0.1,0.1,2.1,4.3,0.1,0.2,0.2,0.0,,0.2,0.1,0.2,0.3,0.1,0.1,2.7,2.2,0.0,0.0,0.6,0.1,0.3,0.6,,0.0,0.0,0.2,0.0,0.1,0.1,0.3,3.3,0.5,0.1,0.0,0.4,0.2,0.2,0.3,0.2,0.6,0.2,0.2,0.3,0.2,0.1,3.0,0.0,0.5,2.1,1.1,0.3,,0.3,4.4,0.0,0.1,0.0,0.0,0.2,0.1,0.8,0.3,0.5,1.3,0.9,0.2,1.0,0.1,0.0,0.3,0.3,0.1,0.0,0.3,0.0,0.0,,,
2009-02-01,EMPL_HIRE_NEW_PLACE_NUM_TH,19.0,5.9,1.3,0.2,0.3,0.2,0.1,0.2,0.1,0.1,0.2,0.5,0.1,0.1,0.1,0.0,0.2,0.6,0.1,1.7,2.2,0.0,0.1,0.0,0.0,,0.3,0.1,0.3,0.1,0.3,0.3,0.7,1.5,0.0,0.0,0.4,0.1,0.2,0.4,,0.1,0.0,0.1,0.0,0.0,0.0,0.2,3.6,0.3,0.1,0.0,0.7,0.2,0.1,0.5,0.1,0.4,0.1,0.2,0.6,0.2,0.2,2.0,0.2,0.4,0.8,0.4,0.1,,0.6,2.7,0.0,0.0,0.0,0.0,0.2,0.0,0.9,1.0,0.2,0.2,0.1,0.0,1.0,0.1,0.0,0.7,0.1,0.1,0.0,0.0,0.0,0.0,,,
2009-03-01,EMPL_HIRE_NEW_PLACE_NUM_TH,21.5,5.1,0.2,0.1,0.1,0.2,0.1,0.3,0.1,0.1,0.3,0.8,0.1,0.1,0.1,0.1,0.2,0.2,0.3,1.8,2.0,0.1,0.1,0.1,0.0,,0.2,0.1,0.3,0.1,0.1,0.0,0.8,2.5,0.0,0.0,1.0,0.3,0.5,0.4,,0.1,0.0,0.1,0.0,0.0,0.0,0.2,4.4,1.2,0.1,0.0,0.4,0.4,0.1,0.6,0.1,0.3,0.2,0.1,0.3,0.3,0.1,2.1,0.1,0.5,1.1,0.7,0.1,,0.3,4.3,0.0,0.1,0.0,0.0,0.3,0.1,1.0,1.6,0.5,0.3,0.3,0.1,1.1,0.0,0.0,0.5,0.2,0.2,0.0,0.1,0.0,0.0,,,
2009-04-01,EMPL_HIRE_NEW_PLACE_NUM_TH,24.4,6.1,0.3,0.1,0.3,0.3,0.2,0.3,0.1,0.3,0.4,1.0,0.1,0.2,0.2,0.0,0.2,0.2,0.2,1.7,3.1,0.1,0.3,0.2,0.1,,0.1,0.2,0.3,0.1,0.3,0.2,1.2,2.2,0.0,0.0,0.5,0.2,0.3,0.6,,0.1,0.0,0.0,0.1,0.0,0.1,0.3,4.5,0.5,0.1,0.0,0.9,0.4,0.2,0.4,0.3,0.4,0.1,0.2,0.2,0.5,0.3,2.4,0.1,0.8,0.8,0.4,0.2,,0.8,4.8,0.0,0.1,0.1,0.2,0.5,0.3,1.4,0.2,0.8,0.4,0.6,0.3,1.3,0.1,0.2,0.4,0.3,0.2,0.0,0.1,0.0,0.0,,,
2009-05-01,EMPL_HIRE_NEW_PLACE_NUM_TH,23.4,5.7,0.4,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.3,0.6,0.1,0.2,0.1,0.1,0.2,0.2,0.2,1.7,2.7,0.2,0.1,0.1,0.0,,0.1,0.2,0.2,0.1,0.1,0.1,1.4,2.1,0.0,0.0,0.4,0.1,0.4,0.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,4.8,0.4,0.2,0.1,0.8,0.4,0.1,0.5,0.5,0.6,0.2,0.1,0.5,0.4,0.1,2.9,0.1,0.8,1.5,1.0,0.3,,0.5,4.3,0.0,0.2,0.0,0.2,0.3,0.1,1.6,0.5,0.7,0.3,0.3,0.1,0.8,0.1,0.0,0.3,0.1,0.1,0.0,0.1,0.0,0.0,,,
2009-06-01,EMPL_HIRE_NEW_PLACE_NUM_TH,27.3,5.9,0.5,0.1,0.2,0.3,0.1,0.3,0.2,0.1,0.4,0.8,0.1,0.2,0.1,0.0,0.3,0.2,0.2,1.9,3.3,0.2,0.3,0.2,0.0,,0.2,0.2,0.8,0.2,0.2,0.1,1.0,2.9,0.0,0.0,0.7,0.4,0.3,1.0,,0.1,,0.0,0.0,0.0,0.1,0.2,5.2,0.3,0.3,0.1,1.1,0.4,0.1,0.5,0.4,0.5,0.2,0.2,0.6,0.4,0.1,3.2,0.1,1.1,1.2,0.5,0.4,,0.7,5.7,0.0,0.3,0.0,0.1,0.5,0.5,1.9,0.8,0.7,0.4,0.5,0.1,1.1,0.1,0.1,0.4,0.2,0.2,0.0,0.1,0.0,0.1,,,
2009-07-01,EMPL_HIRE_NEW_PLACE_NUM_TH,31.7,6.1,0.2,0.2,0.3,0.3,0.3,0.3,0.1,0.2,0.3,0.6,0.1,0.2,0.1,0.2,0.4,0.3,0.4,1.8,3.2,0.1,0.2,0.1,0.0,,0.2,0.4,0.4,0.2,0.1,0.1,1.4,3.1,0.0,0.0,0.8,0.5,0.7,0.8,,0.1,,0.0,0.0,0.0,0.0,0.1,7.6,0.4,0.2,0.1,1.5,0.6,0.1,1.0,0.9,0.9,0.1,0.2,0.5,0.9,0.2,5.0,0.1,1.0,2.0,1.1,0.7,,1.8,5.6,0.0,0.2,0.1,0.1,0.5,0.2,2.4,1.0,0.5,0.3,0.3,0.1,1.1,0.1,0.0,0.2,0.2,0.1,0.0,0.3,0.0,0.1,,,
2009-08-01,EMPL_HIRE_NEW_PLACE_NUM_TH,40.9,11.3,1.0,0.4,0.5,1.1,0.3,0.3,0.5,0.3,0.3,1.2,0.4,0.5,0.1,0.1,0.2,0.8,0.6,2.7,3.4,0.3,0.3,0.3,0.0,,0.3,0.7,0.3,0.1,0.1,0.1,0.8,4.6,0.1,,1.3,0.4,0.4,1.0,,0.1,0.0,0.0,0.0,0.1,0.6,0.5,8.0,0.3,0.2,0.2,0.9,0.9,0.4,0.5,0.6,1.3,0.3,0.1,0.8,1.0,0.4,4.2,0.3,1.5,1.1,0.4,0.4,,1.3,7.3,0.1,0.3,0.1,0.3,0.8,0.1,1.9,0.9,1.3,0.5,0.7,0.1,2.2,0.3,0.1,0.6,0.2,0.1,0.0,0.8,0.1,0.0,,,
2009-09-01,EMPL_HIRE_NEW_PLACE_NUM_TH,93.6,18.5,2.0,0.5,2.6,0.8,0.2,1.2,0.4,1.6,0.4,1.8,0.1,0.3,1.5,0.2,0.2,0.4,1.3,2.9,4.5,0.2,0.9,0.3,0.0,,0.4,0.7,0.3,0.2,0.2,0.4,0.9,4.0,0.0,0.1,1.1,0.4,1.0,0.5,,0.1,,0.0,0.0,0.0,0.0,0.7,42.0,0.4,0.1,0.2,12.7,0.6,6.0,0.5,0.7,1.2,0.3,0.2,16.8,1.2,1.0,14.3,0.7,9.7,1.0,0.5,0.2,,2.9,9.0,0.1,0.1,0.0,0.4,1.2,0.7,2.0,2.5,0.9,0.5,0.6,0.1,1.4,0.1,0.4,0.4,0.1,0.2,0.0,0.2,0.0,0.0,,,
2009-10-01,EMPL_HIRE_NEW_PLACE_NUM_TH,75.5,18.7,0.5,0.4,3.1,0.5,0.1,1.1,0.4,1.6,0.3,1.2,0.1,0.2,1.8,0.6,0.4,0.6,1.5,4.3,3.8,0.3,0.4,0.2,0.0,,0.3,0.6,0.2,0.2,0.2,0.2,1.3,5.7,0.0,0.0,1.6,0.4,1.2,1.3,,0.0,0.0,0.0,0.0,0.4,0.0,0.6,28.3,0.7,0.0,0.5,4.2,0.7,2.5,1.1,0.6,1.3,0.6,0.2,11.6,3.7,0.6,9.9,0.5,7.0,1.1,0.7,0.2,,1.2,7.9,0.0,0.1,0.0,0.1,1.3,0.3,1.5,1.1,2.0,0.7,0.6,0.1,1.2,0.2,0.1,0.3,0.2,0.2,0.0,0.2,0.0,0.0,,,
