,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,EMPL_HIRE_NUM_TH,281.6,74.9,2.9,1.9,3.8,3.7,1.3,2.0,1.3,1.7,2.6,13.2,1.6,1.8,2.4,1.3,2.7,3.2,3.0,24.4,32.9,1.5,2.3,2.5,0.3,,2.9,1.6,3.2,1.8,1.6,1.3,14.3,30.1,0.4,0.3,9.6,1.4,3.8,8.5,,0.7,0.1,0.7,0.4,0.7,0.3,3.3,54.8,6.9,1.1,1.2,7.7,3.1,1.9,5.7,2.9,6.1,3.7,1.8,6.5,4.1,2.2,36.1,1.5,8.7,16.5,7.4,5.4,,9.4,37.8,0.2,1.2,0.4,0.6,3.2,1.6,5.0,4.7,7.3,6.9,4.7,2.0,15.0,2.5,0.7,3.4,3.1,1.4,0.6,2.5,0.3,0.5,,,
2009-02-01,EMPL_HIRE_NUM_TH,306.8,88.0,3.8,2.1,3.1,3.8,1.9,2.3,1.1,2.1,2.2,15.8,1.5,2.2,2.0,1.3,3.0,4.0,2.6,33.2,36.3,1.2,2.8,2.4,0.2,,2.3,1.9,3.7,1.6,2.0,2.7,15.7,33.8,0.4,0.3,11.4,1.8,4.7,8.5,,0.8,0.1,0.6,0.5,0.5,0.4,3.7,58.2,6.4,1.0,1.3,7.9,3.5,2.0,5.1,2.4,7.0,3.4,2.0,8.2,5.5,2.3,33.1,1.9,8.8,15.7,7.4,5.1,,6.7,42.1,0.3,1.1,0.3,0.7,4.2,1.6,5.9,6.4,9.8,5.9,3.5,2.3,15.3,2.7,0.6,4.5,3.4,1.5,0.5,1.5,0.2,0.3,,,
2009-03-01,EMPL_HIRE_NUM_TH,327.2,90.9,3.0,1.8,3.0,4.2,1.6,3.9,1.1,2.5,2.8,16.5,1.6,2.3,2.0,1.6,3.2,3.8,3.2,32.9,37.5,1.5,2.5,2.7,0.2,,3.4,2.1,3.5,1.6,1.7,1.5,17.0,38.5,0.4,0.3,12.8,2.4,6.7,9.2,,0.7,0.1,0.6,0.4,0.6,0.4,3.8,61.7,8.2,1.1,1.4,7.6,3.8,2.0,5.5,2.6,7.4,4.3,2.1,6.7,6.4,2.6,34.5,1.6,10.4,16.1,8.1,3.8,,6.4,46.9,0.3,1.5,0.4,0.7,4.3,2.1,7.1,10.9,7.4,6.2,3.9,2.2,17.3,3.5,0.7,4.0,3.3,2.4,0.7,1.8,0.4,0.3,,,
2009-04-01,EMPL_HIRE_NUM_TH,344.4,94.4,3.6,2.4,3.8,4.4,3.8,2.4,1.3,3.0,3.5,16.8,1.6,2.1,2.3,1.5,3.2,3.8,3.6,31.3,40.2,1.5,3.7,3.3,0.3,,2.6,2.2,3.9,1.8,2.2,2.0,17.1,39.1,0.5,0.3,11.8,2.4,5.6,10.5,,1.1,0.1,0.6,0.6,0.6,0.4,4.7,65.4,7.5,1.2,1.5,9.8,3.6,2.2,6.3,3.2,8.5,3.6,2.1,7.1,6.4,2.4,34.4,1.7,10.5,15.0,8.4,3.1,,7.1,51.3,0.3,2.1,0.4,1.1,5.9,2.6,7.9,7.9,8.3,7.5,4.5,2.9,19.6,3.7,1.0,5.1,3.9,2.3,0.5,2.2,0.5,0.4,,,
2009-05-01,EMPL_HIRE_NUM_TH,332.8,86.0,3.9,1.9,3.2,4.0,3.4,2.2,1.3,2.3,3.3,15.0,1.6,1.9,1.9,1.6,2.7,3.9,2.9,28.8,38.4,2.0,3.4,2.8,0.3,,2.7,2.1,3.4,1.8,1.8,1.7,16.8,39.0,0.6,0.2,10.6,1.9,8.2,9.7,,0.7,0.0,0.6,0.5,0.5,1.1,4.2,64.7,8.7,1.6,1.4,9.8,3.8,2.1,6.0,3.3,8.5,3.6,1.9,7.0,5.0,2.0,32.7,1.7,9.2,13.5,7.9,2.5,,8.3,49.1,0.3,2.4,0.3,1.1,6.8,2.2,8.4,7.1,7.9,6.9,4.0,1.7,22.9,3.7,0.9,6.6,6.0,2.3,0.6,2.0,0.3,0.4,,,
2009-06-01,EMPL_HIRE_NUM_TH,385.3,98.4,4.5,2.1,4.7,5.0,2.6,2.8,1.6,2.6,3.2,17.3,1.9,2.5,3.0,2.3,3.4,4.4,3.2,31.1,43.2,2.0,3.7,3.7,0.4,,3.6,2.6,5.0,1.9,2.2,2.1,16.4,45.9,0.7,0.4,14.4,3.2,6.7,11.6,,1.0,0.1,1.6,0.6,0.6,0.5,4.8,77.3,9.7,2.0,1.6,12.6,4.7,2.2,7.0,3.6,9.1,4.2,2.3,9.0,6.5,2.7,40.3,2.1,12.2,17.2,9.7,3.7,,8.7,56.8,0.4,2.4,0.4,1.1,6.0,3.0,10.1,8.3,10.4,8.4,4.7,1.7,23.5,3.7,1.5,5.5,4.5,4.1,0.6,2.6,0.3,0.7,,,
2009-07-01,EMPL_HIRE_NUM_TH,457.4,114.5,4.8,2.6,4.4,5.5,2.9,3.2,1.8,3.0,3.7,21.0,2.1,3.2,2.9,2.6,5.0,5.6,4.3,36.0,47.2,2.3,3.2,4.0,0.5,,3.7,2.9,5.7,2.1,2.3,2.3,18.7,58.6,0.9,0.5,15.8,5.2,9.0,17.8,,0.8,0.0,1.3,0.6,0.6,0.2,5.8,93.5,11.7,1.8,2.1,16.0,5.6,2.9,8.8,4.6,10.5,5.5,2.7,10.4,7.8,3.1,49.3,2.4,14.5,21.1,12.1,4.5,,11.3,66.3,0.4,8.0,0.4,1.3,6.4,4.3,11.4,7.7,10.2,8.1,5.1,3.0,27.9,4.0,2.2,8.3,5.7,2.7,0.6,3.6,0.4,0.5,,,
2009-08-01,EMPL_HIRE_NUM_TH,404.8,113.1,5.0,2.5,3.9,6.0,2.7,2.6,2.4,3.6,4.8,18.9,2.6,3.2,2.5,2.5,4.1,4.7,3.8,37.4,42.6,2.0,3.2,3.8,0.3,,3.1,3.0,4.3,2.3,1.9,1.8,17.1,45.8,0.8,0.4,15.5,2.9,6.7,11.0,,0.8,0.0,0.7,0.5,0.6,1.0,4.9,79.6,11.2,1.6,1.8,11.4,4.9,2.7,7.4,3.3,9.2,4.4,3.2,7.9,7.5,3.0,43.1,2.1,12.4,18.3,8.8,4.5,,10.2,59.9,0.5,1.7,0.4,1.4,7.1,3.4,9.8,7.8,12.1,8.3,4.9,2.5,20.8,3.3,0.8,5.4,4.6,2.6,0.4,2.8,0.3,0.5,,,
2009-09-01,EMPL_HIRE_NUM_TH,476.9,125.2,6.8,2.9,6.2,6.8,2.5,3.8,2.2,4.4,4.1,22.3,2.2,3.0,4.0,2.1,3.9,4.8,5.1,38.2,45.6,2.0,3.8,4.0,0.3,,3.4,2.8,5.0,2.1,2.3,2.4,17.7,49.9,0.8,0.4,15.2,2.8,10.6,11.2,,0.8,0.1,0.7,0.5,0.6,0.3,5.7,120.2,8.5,2.4,2.0,24.4,5.0,9.3,6.8,4.4,10.3,4.8,3.1,24.6,8.1,6.6,53.4,2.8,21.7,16.3,9.0,2.9,,12.6,62.1,0.6,1.9,0.4,1.8,7.1,3.6,10.0,8.4,12.1,8.6,5.0,2.7,20.5,3.2,1.2,5.5,4.7,2.4,0.5,2.2,0.3,0.4,,,
2009-10-01,EMPL_HIRE_NUM_TH,487.3,137.4,4.6,4.8,7.8,8.1,3.6,4.0,2.5,4.3,3.6,26.4,2.5,2.9,4.5,2.9,4.6,5.7,5.3,39.4,46.2,2.1,3.5,3.2,0.2,,3.4,3.5,4.5,2.0,2.2,2.6,19.4,57.1,0.8,0.4,15.7,2.5,8.6,18.1,,1.0,0.1,0.8,0.6,1.1,0.6,6.7,109.3,8.8,1.6,2.2,16.2,4.9,5.5,7.0,4.9,11.2,5.2,2.8,19.9,12.7,6.3,50.5,3.0,18.5,15.5,9.1,2.5,,13.4,61.4,0.5,1.8,0.4,1.3,8.3,2.8,9.1,7.0,12.5,9.2,6.0,2.5,25.3,4.1,1.0,8.5,4.5,2.6,0.5,3.2,0.4,0.5,,,
