dates,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2010-01-01,EMPL_LOSTTIME_NUM_TH,201.8,47.4,1.6,1.1,5.4,1.1,4.3,2.8,1.1,1.3,3.2,2.9,1.2,5.9,1.4,0.9,2.9,2.9,4.6,2.9,10.2,0.9,0.1,0.4,0.0,,1.8,0.5,2.6,0.6,0.4,0.2,2.7,11.7,0.3,,1.5,0.6,5.7,3.5,2.6,0.5,,0.5,0.5,0.3,0.1,0.7,87.7,9.2,0.7,0.7,7.6,6.4,6.4,8.0,3.3,14.4,2.2,0.5,23.9,2.2,2.3,19.9,0.9,10.8,4.1,3.6,0.3,,4.1,17.6,0.0,0.1,,0.2,1.9,0.2,4.2,2.7,3.0,1.1,2.5,1.5,4.7,1.0,0.1,1.4,1.8,0.0,,0.4,,0.0,,,
2010-02-01,EMPL_LOSTTIME_NUM_TH,176.0,41.3,1.0,2.8,3.9,0.6,3.8,1.4,0.9,1.1,0.9,4.2,0.6,6.6,0.8,0.9,1.4,2.8,4.7,2.9,12.0,0.8,0.3,0.4,0.0,,1.7,1.3,2.1,0.6,1.3,0.7,2.9,8.1,0.3,,2.0,0.4,2.1,3.4,4.3,1.5,0.0,0.9,0.2,1.0,0.1,0.6,71.0,11.3,0.7,0.4,9.0,6.1,7.2,4.8,2.7,6.1,1.6,2.0,15.6,1.9,1.5,19.0,1.0,10.2,4.2,2.3,0.6,,3.6,15.2,0.0,0.1,,0.1,1.8,0.1,3.1,2.6,3.3,1.1,1.8,1.1,5.1,1.7,0.1,1.5,1.4,0.1,0.0,0.3,0.0,0.0,,,
2010-03-01,EMPL_LOSTTIME_NUM_TH,154.3,37.7,0.9,2.3,3.8,0.5,2.3,1.1,1.2,1.2,2.2,4.9,0.1,6.4,0.8,0.8,1.5,1.8,3.3,2.6,9.5,1.0,0.2,0.6,,,1.4,0.9,1.5,0.5,1.0,0.2,2.3,9.0,0.2,,2.3,0.5,2.5,3.5,3.2,1.1,0.0,0.4,0.3,0.8,0.1,0.5,59.6,10.0,0.2,0.3,7.4,5.4,6.9,4.2,3.4,6.3,0.9,2.2,7.3,3.7,1.4,19.6,1.3,11.1,3.1,1.4,0.2,,4.1,12.0,0.0,0.0,0.0,0.1,2.9,0.2,2.2,1.9,1.5,0.7,1.7,0.8,3.8,1.1,0.1,1.1,1.2,0.0,0.0,0.2,0.0,0.1,,,
2010-04-01,EMPL_LOSTTIME_NUM_TH,158.6,39.8,0.7,2.1,3.6,1.8,2.5,1.1,0.9,1.0,1.1,4.6,1.4,6.7,1.2,0.6,1.2,2.5,3.0,3.7,9.1,0.8,0.3,0.7,0.0,,1.6,0.4,1.3,0.7,1.0,0.5,1.9,7.1,0.1,,2.3,0.3,2.4,2.1,2.5,0.8,,0.4,0.4,0.4,0.1,0.4,68.6,12.3,0.4,0.3,8.4,5.1,9.4,4.6,4.3,8.7,1.3,1.2,7.8,2.9,1.8,16.3,1.0,9.7,1.9,1.1,0.1,,3.7,12.2,0.0,0.0,0.0,0.0,1.2,0.2,4.2,1.6,1.5,0.6,2.1,0.9,2.9,0.9,0.1,0.8,0.7,0.0,0.0,0.2,0.0,0.1,,,
2010-05-01,EMPL_LOSTTIME_NUM_TH,140.7,41.1,0.4,1.8,3.3,2.0,2.3,1.1,1.0,1.5,1.2,7.3,0.6,4.9,0.9,0.6,0.9,2.7,2.9,5.6,8.2,0.7,0.4,0.1,0.0,,1.0,0.4,1.9,0.3,1.0,0.6,1.7,7.7,0.1,,2.7,0.5,2.5,1.8,3.0,0.7,0.0,0.4,0.3,1.2,0.1,0.4,51.6,10.2,0.2,0.1,2.3,5.3,9.7,4.3,3.7,6.5,1.6,1.1,3.2,1.9,1.5,16.7,0.6,10.5,2.1,1.3,0.1,,3.5,9.4,,0.0,,0.1,1.2,0.2,1.0,2.3,1.1,0.3,2.6,0.6,2.9,1.0,0.0,0.9,0.6,0.1,0.0,0.2,0.0,0.1,,,
2010-06-01,EMPL_LOSTTIME_NUM_TH,110.6,38.3,0.5,1.0,2.8,0.7,2.6,0.7,0.4,0.8,1.3,2.7,0.4,4.5,0.5,0.5,0.9,2.1,9.9,5.8,5.9,0.6,0.1,0.2,0.0,,1.2,0.2,1.2,0.2,1.0,0.1,1.1,4.4,0.1,0.0,1.6,0.4,0.9,1.4,3.1,0.7,,0.8,0.3,1.1,0.1,0.2,36.1,6.8,0.1,0.2,1.7,5.5,6.5,2.9,2.6,2.9,0.8,1.1,2.3,1.3,1.5,12.3,0.2,8.3,2.1,1.5,0.1,,1.7,7.4,,0.0,,0.1,1.0,0.0,1.7,0.7,1.2,0.5,1.5,0.8,3.1,1.6,0.0,0.9,0.5,0.1,0.0,0.0,0.0,,,,
2010-07-01,EMPL_LOSTTIME_NUM_TH,97.0,29.1,0.7,1.1,2.3,0.7,4.4,1.2,1.0,0.9,0.8,1.9,0.6,1.4,0.8,0.3,2.0,1.9,1.6,5.5,7.1,0.8,0.1,0.1,0.0,,1.4,0.2,1.7,0.2,0.6,0.7,1.4,4.4,0.1,0.0,0.8,0.5,1.7,1.3,2.7,0.8,0.0,0.6,0.2,0.9,0.1,0.1,33.2,4.6,0.1,0.3,1.2,5.3,5.4,2.7,3.3,2.7,1.4,1.1,1.7,1.4,1.9,10.2,0.3,7.2,1.5,1.1,0.1,,1.3,6.9,,0.0,,0.1,1.0,0.0,2.0,0.5,1.3,0.3,1.1,0.7,3.4,1.9,0.0,0.8,0.5,0.1,0.0,0.0,0.0,,,,
2010-08-01,EMPL_LOSTTIME_NUM_TH,136.2,27.3,0.4,1.3,3.8,0.7,1.7,1.0,0.6,1.6,0.3,3.5,0.5,1.7,0.4,0.5,1.4,1.3,1.7,4.8,7.0,0.6,0.1,0.4,0.0,,1.8,0.1,1.5,0.1,0.5,0.6,1.2,6.6,0.0,0.0,0.8,0.4,2.3,3.1,2.3,0.6,,0.5,0.2,1.0,0.0,0.1,71.7,6.8,0.1,0.0,0.7,4.8,3.3,2.7,1.1,2.6,1.1,1.2,44.5,1.1,1.8,9.6,0.2,7.2,1.1,0.8,,,1.1,7.5,,0.0,,0.1,1.4,0.3,2.0,0.4,1.3,0.3,1.3,0.5,4.1,2.0,0.0,1.1,0.8,0.0,0.0,0.0,0.0,,,,
2010-09-01,EMPL_LOSTTIME_NUM_TH,76.8,23.4,0.4,0.9,4.1,0.8,3.9,0.8,0.6,0.7,0.4,1.3,0.4,1.4,0.4,0.2,0.6,1.1,2.1,3.1,6.2,0.6,0.0,0.2,0.0,,1.3,0.1,1.5,0.3,0.6,0.4,1.2,3.4,0.0,,0.7,0.3,0.9,1.5,2.5,1.0,0.0,0.5,0.1,0.8,0.0,0.1,22.5,3.4,0.2,0.1,1.3,3.6,3.6,2.4,0.8,1.9,0.4,1.0,1.8,0.6,1.4,9.8,0.1,7.1,1.2,0.9,0.0,,1.3,6.8,,0.1,0.0,0.1,1.2,0.2,1.6,0.3,1.1,0.3,1.4,0.5,2.3,1.2,0.0,0.7,0.2,0.1,0.0,0.0,0.0,0.0,,,
2010-10-01,EMPL_LOSTTIME_NUM_TH,74.5,23.9,0.3,1.3,3.9,0.9,4.3,1.6,0.6,0.6,0.6,1.1,0.5,1.1,0.5,0.3,0.5,0.7,1.6,3.6,6.4,0.4,0.0,0.2,,,1.9,0.1,1.6,0.3,0.4,0.4,1.1,3.0,,,0.9,0.3,0.6,1.2,2.1,0.6,,0.5,0.0,0.8,0.0,0.2,22.5,1.7,0.2,0.1,1.5,3.4,2.9,2.1,1.1,3.0,0.6,1.1,2.3,1.1,1.6,8.1,0.1,5.7,1.2,0.9,,,1.0,6.6,,0.0,0.0,0.1,0.6,0.1,2.6,0.4,0.8,0.2,1.4,0.5,2.0,1.0,0.0,0.5,0.2,0.1,0.0,0.2,0.0,0.0,,,
2010-11-01,EMPL_LOSTTIME_NUM_TH,76.0,23.3,0.4,0.9,2.6,0.6,2.6,1.3,0.8,0.7,0.3,2.4,0.8,1.6,0.7,0.3,1.3,1.2,1.9,2.9,7.3,0.6,0.0,0.6,,,1.7,0.2,1.7,0.2,0.4,0.6,1.1,2.5,,,0.8,0.2,0.5,1.1,2.0,0.6,0.1,0.5,0.0,0.6,0.0,0.1,24.1,1.9,0.2,0.1,1.6,3.9,2.3,3.5,1.2,2.7,0.6,0.9,1.5,1.5,2.0,9.6,0.3,6.9,1.1,0.9,0.0,,1.2,5.7,,0.1,0.0,0.0,0.5,0.0,1.5,0.5,1.0,0.3,1.3,0.5,1.5,0.9,0.0,0.3,0.1,0.1,0.0,0.0,,,,,
2010-12-01,EMPL_LOSTTIME_NUM_TH,119.5,36.0,1.0,0.5,2.5,1.2,3.2,1.6,1.0,0.7,0.6,4.2,2.8,3.5,0.8,0.4,2.4,1.2,3.3,5.1,7.2,0.4,0.0,0.4,0.0,,1.3,0.2,1.9,0.2,0.4,0.7,1.6,4.6,,0.0,1.7,0.2,0.8,1.9,1.8,0.5,,0.5,0.0,0.7,0.0,0.1,42.9,1.8,0.3,0.4,4.0,10.5,2.2,4.6,1.0,8.8,0.9,1.0,2.3,2.8,2.3,12.8,0.2,8.8,1.4,1.1,0.0,,2.3,12.6,,0.1,0.0,0.5,0.8,0.1,1.6,1.3,2.4,0.9,4.2,0.7,1.7,0.8,0.0,0.4,0.2,0.2,0.0,0.1,,0.0,,,
2011-01-01,EMPL_LOSTTIME_NUM_TH,103.4,25.8,1.2,1.2,2.3,0.8,3.5,1.2,0.5,0.7,0.6,4.5,0.5,0.8,0.7,0.7,1.6,1.1,1.7,2.2,6.9,0.4,0.1,0.2,0.0,,1.2,0.3,2.6,0.3,0.2,0.2,1.4,4.8,,,1.3,0.1,1.1,2.4,2.3,0.7,0.1,0.7,0.0,0.5,0.0,0.3,43.7,1.9,0.2,0.2,20.4,2.1,0.9,4.8,0.6,3.6,1.3,0.8,2.0,2.0,2.8,8.0,0.1,4.7,1.4,0.9,0.0,,1.8,10.4,,0.0,0.0,0.3,1.2,0.0,1.8,1.9,1.8,0.5,2.4,0.5,1.6,0.8,0.0,0.4,0.2,0.1,0.0,0.1,,0.0,,,
2011-02-01,EMPL_LOSTTIME_NUM_TH,81.6,24.8,0.7,1.2,2.0,0.6,3.6,0.7,0.7,0.7,0.9,2.7,0.6,0.8,0.9,0.5,1.4,1.1,2.5,3.0,7.0,0.5,0.3,0.2,0.0,,1.2,0.4,1.7,0.5,0.3,0.6,1.3,5.0,0.1,0.1,2.0,0.3,0.6,1.8,2.3,1.1,0.0,0.3,0.0,0.6,0.0,0.3,26.4,2.9,0.3,0.3,4.5,2.2,0.8,2.3,1.4,1.7,1.0,0.9,4.0,1.8,2.2,6.2,0.1,2.8,1.4,1.1,0.0,,1.8,9.0,,0.0,,0.3,1.8,0.1,1.0,1.0,2.0,0.4,1.5,0.8,1.1,0.2,0.1,0.3,0.2,0.1,0.0,0.1,0.1,0.0,,,
2011-03-01,EMPL_LOSTTIME_NUM_TH,88.9,27.6,0.3,1.2,2.5,0.6,3.4,0.9,0.6,1.3,2.8,2.6,0.7,0.9,0.7,0.6,1.1,1.4,2.1,3.6,10.1,0.5,0.3,0.1,0.0,,1.6,0.5,3.1,0.4,0.4,0.8,2.5,4.2,0.0,0.1,1.6,0.2,0.3,2.1,3.0,1.1,0.1,0.5,0.0,0.8,0.1,0.4,26.5,3.1,0.1,0.5,1.5,2.9,0.8,3.0,1.5,3.3,1.4,1.0,2.5,2.1,2.8,6.3,0.1,3.2,1.5,1.0,0.0,,1.5,10.2,,0.0,0.0,0.3,2.6,0.1,2.1,1.0,1.8,0.4,1.2,0.6,1.1,0.1,0.1,0.3,0.4,0.1,0.0,0.1,,0.0,,,
2011-04-01,EMPL_LOSTTIME_NUM_TH,79.9,22.4,0.4,1.3,1.5,0.6,3.6,0.9,0.5,1.1,0.9,2.5,0.5,0.9,1.2,0.2,1.3,1.8,1.3,1.9,7.7,0.6,0.2,0.2,0.0,,1.3,0.3,1.6,0.2,0.6,0.7,1.9,4.5,0.0,0.1,1.2,0.1,1.2,1.9,2.7,1.2,0.0,0.4,0.0,0.7,0.1,0.3,27.9,3.1,0.1,1.5,3.9,2.0,2.2,2.9,0.5,3.2,0.7,1.1,2.1,1.7,2.9,6.2,0.1,3.6,1.4,1.1,0.0,,1.1,8.0,,0.0,,0.2,1.7,0.0,1.7,1.9,1.0,0.3,0.6,0.6,0.7,0.1,0.1,0.4,0.1,0.0,,0.0,,,,,
2011-05-01,EMPL_LOSTTIME_NUM_TH,94.9,27.2,0.4,0.8,3.6,0.4,5.3,1.7,0.8,0.9,0.8,3.4,0.8,2.0,1.0,0.7,0.8,1.0,0.9,2.0,9.4,0.5,0.1,0.3,0.0,,1.8,0.6,1.6,0.1,1.4,0.6,2.3,6.2,0.0,0.0,1.4,0.2,1.1,3.5,2.5,1.1,0.0,0.4,,0.4,0.1,0.4,32.8,1.8,0.0,1.8,1.8,2.1,8.0,2.1,1.4,3.3,1.2,0.6,5.1,2.1,1.5,7.5,0.4,4.7,1.4,1.0,0.0,,1.0,8.5,,0.0,0.0,0.3,1.2,0.0,2.0,2.4,1.0,0.1,0.9,0.4,0.8,0.0,0.2,0.3,0.3,0.0,0.0,0.1,,,,,
2011-06-01,EMPL_LOSTTIME_NUM_TH,69.2,21.2,0.4,0.6,4.4,0.2,3.4,0.5,0.7,0.6,0.6,1.8,0.7,0.8,1.0,0.6,0.8,1.0,0.8,2.2,6.5,0.5,0.0,0.0,0.0,,1.5,0.6,1.0,0.1,0.5,0.5,1.8,4.8,0.1,0.1,0.9,0.2,2.6,1.0,2.2,0.9,0.0,0.5,,0.5,0.1,0.2,19.0,1.0,0.0,0.3,2.9,1.4,2.5,1.8,0.7,2.3,1.1,0.2,2.4,1.1,1.3,7.3,0.7,4.2,1.2,0.9,0.0,,1.2,7.1,,0.0,0.2,0.3,0.7,0.2,2.6,0.9,0.9,0.1,0.7,0.4,1.2,0.0,0.1,0.2,0.7,0.1,0.0,0.2,,,,,
2011-07-01,EMPL_LOSTTIME_NUM_TH,65.6,20.2,0.8,0.7,3.2,0.4,2.2,0.3,0.6,1.1,0.7,2.0,0.7,0.9,0.6,0.3,0.7,1.8,0.9,2.1,7.1,0.4,0.0,0.1,0.0,,1.3,0.4,1.1,0.1,0.9,0.4,2.4,3.6,0.1,0.1,0.8,0.2,2.0,0.5,1.9,0.6,0.2,0.4,,0.5,0.0,0.1,18.0,2.0,0.0,0.4,3.1,1.6,1.5,1.7,0.4,2.5,1.2,0.5,1.4,0.7,1.2,7.9,0.6,4.4,1.3,0.9,0.0,,1.7,5.9,,0.0,0.0,0.0,1.7,0.0,1.4,0.6,0.9,0.5,0.2,0.4,1.0,0.0,0.1,0.2,0.5,0.1,0.0,0.1,,,,,
2011-08-01,EMPL_LOSTTIME_NUM_TH,65.0,18.3,0.6,0.5,1.5,0.4,3.9,0.2,0.5,0.8,0.5,1.5,0.6,1.1,0.8,0.5,0.8,1.6,0.9,1.4,7.5,0.6,0.0,0.1,0.0,,1.8,0.3,1.1,0.1,0.8,0.6,2.0,4.1,0.1,0.0,0.5,0.2,2.7,0.7,1.5,0.4,0.0,0.4,,0.5,0.0,0.1,20.6,0.6,0.1,3.1,5.2,1.6,1.6,1.6,0.3,2.6,0.5,0.2,1.0,0.5,1.7,5.8,0.2,3.3,1.0,0.6,0.0,,1.3,6.1,,0.0,0.3,0.0,1.5,0.0,1.4,0.8,0.8,0.4,0.4,0.4,1.0,0.0,0.1,0.2,0.5,0.1,0.0,0.1,,,,,
2011-09-01,EMPL_LOSTTIME_NUM_TH,66.9,18.1,0.4,0.2,2.6,0.9,3.7,0.2,0.4,0.2,0.3,1.4,1.0,1.0,0.6,0.4,1.0,1.1,0.9,1.8,6.8,0.5,0.0,0.2,0.0,,1.5,0.3,1.5,0.1,0.8,0.5,1.5,4.1,0.1,0.0,0.8,0.1,2.1,1.0,1.8,0.5,0.1,0.5,,0.5,0.1,0.1,23.2,0.6,0.1,3.0,4.6,1.8,1.5,2.1,0.5,3.0,0.9,0.2,1.2,2.1,1.6,5.9,0.2,4.0,0.7,0.6,0.0,,1.0,5.9,,0.0,,0.1,1.4,0.0,1.4,0.9,1.0,0.3,0.5,0.3,1.1,0.0,0.0,0.2,0.7,0.1,0.0,0.1,,,,,
2011-10-01,EMPL_LOSTTIME_NUM_TH,68.5,15.7,0.4,0.6,2.0,0.3,3.0,0.3,0.5,0.2,0.6,2.0,0.7,0.7,0.4,0.2,0.7,1.3,0.7,1.1,6.3,0.4,0.0,0.3,0.0,,1.4,0.3,1.4,0.1,0.6,0.5,1.2,5.1,0.2,0.0,0.4,0.1,3.3,1.2,1.6,0.5,0.1,0.5,,0.4,0.1,0.1,23.2,1.8,0.1,1.7,2.2,1.9,0.7,2.7,0.6,2.6,0.9,0.6,1.4,4.8,1.1,8.9,0.1,4.7,0.8,0.7,0.0,,3.3,6.9,,0.0,,0.0,1.2,0.1,1.4,1.4,1.1,0.3,0.6,0.8,0.8,0.1,0.1,0.2,0.3,0.0,,0.0,,,,,
2011-11-01,EMPL_LOSTTIME_NUM_TH,76.7,16.3,0.4,0.5,2.0,0.8,1.9,0.6,0.4,0.2,1.1,1.9,0.9,0.4,0.9,0.2,1.0,0.9,1.3,1.0,9.3,0.9,0.0,0.7,0.0,,1.7,1.0,1.6,0.1,0.7,0.5,2.0,3.5,0.2,0.1,0.5,0.1,2.0,0.7,2.2,0.8,0.1,0.5,,0.4,0.2,0.1,28.4,1.6,0.1,1.1,4.5,1.3,0.7,2.5,0.7,4.3,1.3,1.0,3.4,4.7,1.1,8.9,0.3,4.7,1.1,0.8,0.0,,2.9,7.2,,0.1,0.0,0.1,1.1,0.1,1.5,2.1,0.9,0.2,0.5,0.5,0.9,0.1,0.2,0.3,0.3,0.0,,0.1,0.0,,,,
2011-12-01,EMPL_LOSTTIME_NUM_TH,149.9,28.8,0.7,0.3,2.6,0.2,0.8,2.0,0.5,0.3,3.8,2.3,1.2,0.3,1.8,0.2,1.6,1.0,7.8,1.5,11.8,0.9,0.0,0.9,,,1.9,1.3,1.8,0.1,0.9,0.7,3.4,4.7,0.0,0.0,0.5,0.0,3.2,0.9,1.9,0.8,0.1,0.5,,0.2,0.1,0.2,77.7,4.9,0.2,1.2,26.8,4.1,0.9,5.5,0.8,12.2,2.1,1.3,4.7,5.6,7.5,10.3,0.6,5.6,1.1,0.8,0.0,,3.0,12.9,,0.1,,0.4,1.9,0.1,2.9,2.1,4.2,0.2,0.4,0.6,1.7,0.1,0.1,0.7,0.6,0.2,0.0,0.1,0.0,,,,
2012-01-01,EMPL_LOSTTIME_NUM_TH,116.8,30.3,0.8,1.2,2.6,0.9,0.5,2.5,0.5,0.7,4.1,3.9,0.9,1.6,2.0,0.5,1.7,1.5,1.8,2.7,10.9,0.7,0.1,0.7,0.0,,1.7,1.0,1.9,0.4,0.8,0.8,2.7,9.0,0.1,0.0,1.7,1.3,3.0,2.9,2.0,1.0,0.1,0.4,,0.2,0.1,0.4,43.0,3.5,0.1,0.2,5.0,4.1,1.4,6.4,0.8,9.4,2.8,1.0,3.0,4.2,1.1,9.3,0.1,5.4,1.7,1.1,0.3,,2.1,10.2,,0.0,0.0,0.2,1.4,0.1,2.5,2.7,1.8,0.5,0.7,0.3,2.1,0.2,0.2,1.0,0.6,0.1,,0.1,,,,,
2012-02-01,EMPL_LOSTTIME_NUM_TH,91.2,22.0,1.2,0.2,1.1,0.3,0.8,1.8,0.7,0.6,2.3,3.6,0.7,1.3,1.4,0.4,1.3,1.0,1.4,2.1,9.8,1.3,0.1,0.6,0.0,,0.8,0.9,1.4,0.5,0.5,0.8,3.0,10.2,0.1,0.0,2.2,0.1,6.8,0.9,2.6,1.0,0.1,0.4,,0.3,0.0,0.8,27.0,3.2,0.3,0.7,1.7,1.2,1.2,4.1,1.1,3.8,2.8,0.5,1.6,3.9,1.0,7.6,0.1,3.5,1.6,0.7,0.0,,2.4,10.6,,0.0,,0.2,1.8,0.1,2.1,2.0,3.4,0.4,0.4,0.3,1.3,0.1,0.2,0.3,0.5,0.1,,0.0,,,,,
2012-03-01,EMPL_LOSTTIME_NUM_TH,72.3,17.1,0.4,0.1,0.9,1.0,0.9,0.5,0.5,0.5,0.8,2.4,0.8,0.4,1.3,0.3,0.9,0.6,0.8,3.8,6.7,0.6,0.1,0.2,0.0,,0.8,0.5,1.4,0.3,0.3,0.6,1.9,6.3,0.1,,1.9,0.1,2.9,1.3,2.0,0.3,0.1,0.4,,0.5,0.0,0.7,24.6,1.9,0.2,1.5,2.0,0.9,1.0,3.6,0.8,3.5,1.7,0.4,2.6,3.6,1.0,6.0,0.0,3.7,1.0,0.7,0.0,,1.3,8.3,,0.0,,0.1,1.5,0.1,1.9,1.6,2.4,0.2,0.2,0.3,1.2,0.1,0.2,0.2,0.6,0.1,,0.2,,0.0,,,
2012-04-01,EMPL_LOSTTIME_NUM_TH,60.4,15.5,0.3,0.1,1.6,1.0,1.1,1.6,0.4,1.2,0.3,2.6,0.4,0.3,0.9,0.2,0.8,0.5,1.0,1.2,6.4,0.4,0.1,0.3,0.0,,0.8,0.4,1.8,0.1,0.3,0.6,1.7,4.9,0.0,0.0,1.5,0.1,1.6,1.7,1.7,0.3,0.1,0.4,,0.3,0.0,0.7,18.8,1.4,0.1,0.7,1.5,1.1,0.6,3.4,0.6,3.1,1.1,0.3,2.0,2.4,0.7,4.5,0.0,2.4,1.1,0.8,0.0,,0.9,7.1,,0.0,,0.2,1.6,0.1,1.8,1.0,1.7,0.1,0.2,0.4,1.4,0.1,0.2,0.2,0.8,0.1,,0.1,,0.0,,,
2012-05-01,EMPL_LOSTTIME_NUM_TH,85.4,16.6,0.2,0.2,1.3,0.1,0.9,2.1,0.4,0.4,1.1,2.7,0.4,1.4,0.8,0.3,0.6,0.9,1.1,1.6,8.5,0.6,0.2,0.5,0.0,,1.1,0.5,1.7,0.1,0.5,0.9,2.5,6.9,,0.0,1.6,0.1,2.2,3.1,1.6,0.4,0.1,0.2,,0.2,0.0,0.7,39.3,1.6,0.1,0.3,21.4,1.0,1.1,2.3,0.6,3.2,0.8,0.5,3.5,2.0,0.9,5.1,0.0,2.9,1.0,0.8,0.0,,1.2,6.1,,0.0,,0.1,1.3,0.1,1.5,1.3,1.2,0.1,0.1,0.3,1.4,0.1,0.0,0.2,1.0,0.0,,0.0,,0.0,,,
2012-06-01,EMPL_LOSTTIME_NUM_TH,78.8,14.0,0.1,0.5,3.2,0.1,0.7,0.7,0.4,0.1,0.8,1.9,0.3,0.5,0.6,0.3,0.3,0.6,1.0,2.1,6.2,0.5,0.2,0.3,,,0.6,0.3,1.7,0.0,0.3,0.2,2.1,5.8,0.0,0.0,1.3,0.1,1.3,3.2,1.4,0.3,0.1,0.1,,0.3,0.0,0.6,39.9,0.5,0.1,0.2,26.0,1.4,0.2,2.9,1.1,2.5,1.0,0.4,1.1,1.5,0.9,4.6,0.0,1.8,1.4,0.8,0.1,,1.4,5.4,,0.0,,0.1,0.9,0.2,1.2,0.9,1.3,0.1,0.1,0.3,1.5,0.1,0.0,0.2,1.2,0.0,,0.0,,0.0,,,
2012-07-01,EMPL_LOSTTIME_NUM_TH,70.8,12.5,0.1,0.2,1.3,0.1,0.9,1.0,0.2,0.3,0.3,2.0,0.8,1.0,0.4,0.3,0.3,0.3,0.8,2.2,8.0,0.7,0.1,0.3,,,1.3,0.2,1.6,0.1,1.1,0.2,2.4,5.8,,,1.7,0.0,1.0,3.1,1.4,0.4,0.1,0.1,,0.3,0.0,0.5,33.2,0.5,0.1,0.3,19.5,1.3,0.3,2.3,2.1,2.4,2.4,0.4,0.8,0.3,0.5,4.4,0.0,2.5,1.3,0.9,0.0,,0.7,4.6,,0.0,,0.1,1.1,0.2,0.5,0.7,1.2,0.2,0.1,0.4,0.8,0.1,0.0,0.1,0.5,0.0,,0.0,,0.0,,,
2012-08-01,EMPL_LOSTTIME_NUM_TH,55.5,15.3,0.4,0.3,1.5,0.1,0.6,0.4,0.2,0.1,0.3,1.5,0.8,0.4,0.3,0.3,0.4,1.0,5.6,0.9,6.8,0.8,0.0,0.2,,,1.1,0.2,1.2,0.1,0.7,0.4,2.3,4.1,,0.0,0.8,0.1,1.0,2.2,1.2,0.2,0.1,0.1,,0.3,0.0,0.5,18.1,0.5,0.1,0.4,6.1,1.1,0.3,2.5,0.3,2.1,2.4,0.4,0.8,0.3,0.7,5.0,0.0,2.2,1.3,0.8,0.1,,1.5,4.1,,0.0,,0.1,0.5,0.2,1.1,0.3,0.7,0.3,0.2,0.6,1.0,0.1,0.0,0.2,0.6,0.0,,0.0,,,,,
2012-09-01,EMPL_LOSTTIME_NUM_TH,53.3,16.9,0.3,0.2,1.3,0.1,0.8,0.5,0.2,0.1,0.4,1.9,0.9,0.3,0.2,0.2,0.4,0.7,6.4,2.0,5.2,0.5,0.0,0.2,,,0.9,0.0,1.0,0.2,0.3,0.3,1.7,4.2,,,0.6,0.1,0.8,2.8,1.1,0.3,0.1,0.1,,0.2,0.0,0.4,15.0,0.2,0.1,0.2,1.6,1.1,0.5,2.6,0.3,2.0,2.2,0.8,2.0,0.6,0.6,6.1,0.0,2.8,1.5,0.8,0.1,,1.8,4.1,,0.0,,0.1,0.3,0.1,0.6,0.8,0.5,0.4,0.6,0.7,0.8,0.1,0.0,0.3,0.4,,,0.1,,,,,
