,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,EMPL_NUM_PERS,322994.0,87391.0,2072.0,6249.0,1063.0,8185.0,14111.0,2403.0,5816.0,2017.0,4310.0,12913.0,4139.0,3914.0,1176.0,363.0,1049.0,8966.0,6553.0,2092.0,15903.0,1624.0,412.0,13.0,13.0,,3474.0,3154.0,3375.0,725.0,862.0,572.0,1692.0,7829.0,290.0,730.0,1549.0,513.0,154.0,4593.0,32841.0,1536.0,80.0,686.0,2339.0,620.0,26974.0,606.0,79152.0,3761.0,579.0,682.0,11951.0,8000.0,2976.0,7106.0,10080.0,7109.0,3784.0,1015.0,19766.0,1274.0,1069.0,14723.0,783.0,7351.0,968.0,499.0,103.0,,5621.0,58828.0,331.0,2201.0,3531.0,783.0,5366.0,7603.0,9879.0,10621.0,8912.0,5817.0,1032.0,2752.0,26327.0,28.0,860.0,10813.0,10585.0,1053.0,2039.0,177.0,360.0,412.0,,,
2009-02-01,EMPL_NUM_PERS,477350.0,128886.0,4450.0,7765.0,2392.0,7743.0,15790.0,7140.0,5391.0,3356.0,5961.0,14169.0,8560.0,7486.0,2498.0,2380.0,4371.0,11599.0,9265.0,8570.0,26614.0,2450.0,363.0,500.0,180.0,,3950.0,5292.0,4304.0,2381.0,3298.0,419.0,3657.0,21888.0,325.0,1745.0,3121.0,791.0,233.0,15673.0,28866.0,1466.0,1811.0,441.0,5621.0,699.0,18013.0,815.0,127329.0,6108.0,3690.0,3715.0,14376.0,13046.0,4477.0,11872.0,12347.0,13311.0,5726.0,1583.0,33088.0,2590.0,1400.0,18605.0,2468.0,6378.0,1690.0,1325.0,,,8069.0,92607.0,874.0,2301.0,9963.0,1786.0,18554.0,7940.0,11040.0,11182.0,11236.0,12190.0,1510.0,4031.0,32555.0,4502.0,2120.0,6750.0,13401.0,1353.0,2138.0,351.0,1610.0,330.0,,,
2009-03-01,EMPL_NUM_PERS,540839.0,157963.0,4660.0,8890.0,2273.0,8282.0,13855.0,5827.0,9370.0,4286.0,5261.0,25833.0,9520.0,6738.0,6751.0,2130.0,4528.0,13449.0,17443.0,8867.0,28735.0,2878.0,2190.0,313.0,8.0,,2055.0,4728.0,4074.0,3147.0,4292.0,583.0,4475.0,33937.0,299.0,1224.0,5986.0,647.0,290.0,25491.0,28185.0,1080.0,1952.0,699.0,2790.0,906.0,18714.0,2044.0,123570.0,7851.0,3242.0,1807.0,10295.0,11243.0,8245.0,13795.0,10922.0,18913.0,3245.0,2238.0,24270.0,6615.0,889.0,26995.0,4252.0,14416.0,1657.0,1103.0,110.0,,6670.0,107286.0,915.0,2781.0,6697.0,2645.0,16616.0,10190.0,15523.0,17001.0,12195.0,18339.0,1164.0,3220.0,34168.0,2508.0,1581.0,7382.0,15959.0,1488.0,2147.0,509.0,1807.0,787.0,,,
2009-04-01,EMPL_NUM_PERS,498287.0,148682.0,3431.0,8717.0,3160.0,7485.0,12601.0,4582.0,6854.0,3712.0,3465.0,26768.0,6532.0,5203.0,6574.0,1614.0,4223.0,12214.0,22497.0,9050.0,26469.0,1868.0,486.0,1829.0,68.0,,4312.0,4184.0,3440.0,3901.0,3571.0,659.0,2219.0,31220.0,557.0,1116.0,5885.0,2040.0,278.0,21344.0,24912.0,1275.0,77.0,123.0,2353.0,411.0,18876.0,1797.0,111257.0,5390.0,2140.0,3107.0,13333.0,13429.0,6369.0,8653.0,11979.0,12199.0,3441.0,2583.0,19878.0,7916.0,840.0,21297.0,3075.0,10706.0,1160.0,1160.0,,,6356.0,102013.0,1089.0,2814.0,5533.0,4958.0,13906.0,9073.0,14088.0,15995.0,11530.0,15812.0,2777.0,4438.0,32437.0,4999.0,572.0,7058.0,15862.0,917.0,1969.0,312.0,615.0,133.0,,,
2009-05-01,EMPL_NUM_PERS,450147.0,113206.0,2057.0,6467.0,1424.0,7888.0,12472.0,3732.0,5581.0,3001.0,2992.0,15790.0,6505.0,5012.0,1624.0,3109.0,5861.0,7932.0,9195.0,12564.0,23754.0,1672.0,898.0,2011.0,619.0,,3101.0,4207.0,3512.0,3070.0,3754.0,322.0,1207.0,29061.0,493.0,1066.0,5844.0,3349.0,351.0,17958.0,22365.0,1291.0,530.0,120.0,2215.0,874.0,16608.0,727.0,122143.0,6832.0,2364.0,1937.0,13925.0,13526.0,15433.0,17048.0,12113.0,7856.0,6550.0,1683.0,15050.0,6922.0,904.0,20361.0,2315.0,10025.0,801.0,,,,7220.0,90348.0,1077.0,3172.0,3561.0,2950.0,14452.0,9058.0,12979.0,13095.0,9321.0,14034.0,2220.0,4429.0,28909.0,692.0,439.0,8815.0,15406.0,654.0,2040.0,448.0,353.0,62.0,,,
2009-06-01,EMPL_NUM_PERS,509995.0,121759.0,2687.0,7140.0,4500.0,7223.0,13372.0,6038.0,5346.0,3570.0,2809.0,17103.0,5817.0,5517.0,5955.0,2433.0,7301.0,7715.0,8724.0,8509.0,26074.0,1362.0,1648.0,3697.0,758.0,,2879.0,3874.0,5555.0,1650.0,2513.0,650.0,2246.0,36953.0,353.0,1452.0,3157.0,1879.0,366.0,29746.0,21478.0,1010.0,495.0,127.0,2077.0,664.0,16289.0,816.0,130124.0,8359.0,1817.0,6652.0,12346.0,12121.0,23050.0,13490.0,12292.0,14910.0,6468.0,1863.0,9865.0,5912.0,979.0,22022.0,2711.0,9011.0,2474.0,1466.0,137.0,,7826.0,95105.0,946.0,2660.0,3289.0,3790.0,13197.0,9469.0,13030.0,13566.0,12260.0,15599.0,2654.0,4645.0,56480.0,33265.0,1585.0,6385.0,11492.0,696.0,1916.0,549.0,541.0,51.0,,,
2009-07-01,EMPL_NUM_PERS,393157.0,109785.0,3056.0,7857.0,2220.0,6679.0,10043.0,5562.0,4677.0,2630.0,2805.0,12322.0,5781.0,6203.0,2840.0,1410.0,5991.0,9189.0,9473.0,11047.0,22049.0,1898.0,921.0,2700.0,621.0,,2600.0,5052.0,2185.0,2156.0,1782.0,956.0,1799.0,8763.0,203.0,737.0,1318.0,4292.0,347.0,1866.0,14891.0,646.0,497.0,,1810.0,52.0,11202.0,684.0,114248.0,1385.0,2180.0,7028.0,9250.0,10224.0,16658.0,12477.0,15442.0,8335.0,3541.0,1074.0,22104.0,3619.0,931.0,20531.0,4995.0,8296.0,1755.0,197.0,673.0,,5485.0,79532.0,701.0,1583.0,3021.0,2268.0,10228.0,9393.0,11000.0,11934.0,7524.0,15536.0,646.0,5698.0,23358.0,3345.0,590.0,4102.0,11733.0,1102.0,1688.0,440.0,328.0,30.0,,,
2009-08-01,EMPL_NUM_PERS,354972.0,99188.0,2738.0,9893.0,2894.0,3877.0,8331.0,5289.0,4348.0,3904.0,2095.0,4381.0,3578.0,4825.0,2958.0,822.0,3982.0,7677.0,7938.0,19658.0,22631.0,1560.0,3460.0,2975.0,491.0,,1844.0,3974.0,2730.0,1977.0,1746.0,1167.0,1198.0,6433.0,,835.0,506.0,815.0,2311.0,1966.0,14866.0,18.0,201.0,,2510.0,176.0,10793.0,1168.0,95727.0,1963.0,1700.0,6262.0,9098.0,10863.0,21446.0,10864.0,11493.0,7630.0,2058.0,486.0,8713.0,2185.0,966.0,20325.0,4512.0,7050.0,3706.0,1154.0,1912.0,,5057.0,80019.0,663.0,1444.0,3405.0,1025.0,12237.0,7414.0,7647.0,11439.0,7525.0,15979.0,5745.0,5496.0,15783.0,1542.0,398.0,2650.0,8072.0,930.0,1658.0,233.0,270.0,30.0,,,
2009-09-01,EMPL_NUM_PERS,292451.0,84932.0,2532.0,5339.0,2721.0,2975.0,7851.0,6182.0,4703.0,2213.0,1479.0,3471.0,3655.0,4804.0,3501.0,697.0,2768.0,5084.0,7575.0,17382.0,19236.0,1482.0,1744.0,2498.0,400.0,,1566.0,3773.0,823.0,1982.0,1712.0,2041.0,1615.0,4602.0,,160.0,177.0,655.0,49.0,3561.0,13909.0,113.0,,,1620.0,29.0,11051.0,1096.0,85020.0,1577.0,1084.0,3426.0,7881.0,11636.0,15690.0,14670.0,8573.0,7286.0,2155.0,825.0,7779.0,1381.0,1057.0,9529.0,1952.0,3832.0,1006.0,209.0,513.0,,2739.0,57391.0,671.0,1451.0,3125.0,892.0,11424.0,6852.0,4375.0,8533.0,4065.0,9532.0,3587.0,2884.0,17832.0,1070.0,861.0,1041.0,12547.0,293.0,1103.0,889.0,28.0,,,,
2009-10-01,EMPL_NUM_PERS,266051.0,64434.0,2281.0,4952.0,1409.0,2842.0,5609.0,4634.0,4966.0,2090.0,1074.0,3205.0,3480.0,3093.0,3314.0,518.0,2972.0,5171.0,7462.0,5362.0,19984.0,2335.0,1170.0,2803.0,869.0,,1981.0,4023.0,1012.0,1980.0,1742.0,1184.0,1754.0,2897.0,,172.0,759.0,593.0,21.0,1352.0,13269.0,1003.0,,,1688.0,195.0,9418.0,965.0,84635.0,2292.0,1354.0,745.0,8344.0,8520.0,11910.0,14102.0,9792.0,14230.0,2555.0,443.0,7151.0,2186.0,1011.0,7047.0,764.0,3104.0,816.0,62.0,258.0,,2363.0,57325.0,379.0,1591.0,3114.0,1070.0,10983.0,7679.0,3600.0,7544.0,6275.0,8509.0,3570.0,3011.0,16460.0,762.0,625.0,1313.0,11271.0,876.0,1103.0,174.0,336.0,,,,
