,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,EMPL_PARTTIME_FORCED_NUM_TH,825.9,213.6,25.3,20.7,4.5,7.5,6.1,6.5,5.2,20.7,7.9,25.1,10.8,5.2,7.8,7.1,9.6,10.3,20.5,12.8,42.6,1.5,1.4,4.0,0.0,,8.3,0.9,3.0,1.2,3.4,3.2,15.6,50.3,0.4,0.4,9.2,2.3,13.8,14.2,,0.8,0.0,1.9,1.5,1.9,0.1,3.8,254.6,22.1,4.2,10.3,55.5,12.6,12.2,36.6,10.0,26.9,18.9,2.4,21.5,14.3,7.0,164.0,6.5,84.7,11.1,4.0,0.3,,61.8,87.4,0.0,6.2,0.1,1.9,7.2,2.3,9.3,6.9,32.6,10.8,7.4,2.8,13.3,1.1,0.2,2.4,6.9,1.8,0.1,0.0,0.6,0.2,,,
2009-02-01,EMPL_PARTTIME_FORCED_NUM_TH,1012.2,242.9,28.7,19.7,8.2,6.6,6.8,8.2,7.2,21.2,8.7,33.3,11.4,7.3,11.4,7.8,11.4,13.4,17.5,13.9,51.7,4.6,1.9,4.8,0.0,,9.1,2.2,4.6,1.3,4.7,3.0,15.6,59.1,0.4,0.5,10.3,2.4,14.8,20.4,,0.5,,0.6,1.4,2.2,0.2,5.4,341.9,32.9,6.0,7.6,64.2,19.1,13.4,36.8,9.5,39.2,21.8,3.4,38.6,24.2,25.1,190.1,9.3,94.4,14.5,3.3,0.6,,71.9,112.6,0.1,7.9,0.0,3.5,9.6,2.8,14.0,10.1,31.9,21.0,7.7,3.9,13.9,1.1,0.1,3.9,6.3,1.5,0.0,0.2,0.5,0.2,,,
2009-03-01,EMPL_PARTTIME_FORCED_NUM_TH,759.3,167.6,9.0,3.3,9.9,6.1,5.0,2.5,1.1,18.0,6.3,33.4,8.6,3.0,1.2,2.1,3.3,12.1,12.0,30.6,32.9,1.8,1.5,3.4,0.0,,8.0,2.2,1.2,1.0,4.7,2.6,6.5,51.6,0.5,0.4,8.8,3.0,12.6,17.7,,0.7,,0.4,1.1,1.5,0.2,4.7,277.3,27.9,0.6,5.5,55.3,19.2,13.8,14.8,9.0,22.9,16.1,2.2,35.2,21.8,33.0,142.7,10.4,76.6,3.8,1.2,0.3,,51.9,71.3,0.1,1.8,0.1,2.7,12.2,8.4,0.3,5.5,24.8,2.4,10.5,2.5,16.0,0.2,0.1,3.8,5.7,5.7,0.0,0.3,0.1,0.2,,,
2009-04-01,EMPL_PARTTIME_FORCED_NUM_TH,702.7,165.0,17.2,3.0,8.7,2.8,4.2,2.3,1.1,17.0,6.8,35.9,8.3,2.4,1.7,1.7,7.0,13.8,11.0,20.3,37.5,1.8,1.5,3.1,,,7.6,3.2,1.4,0.8,3.6,4.9,9.6,43.4,0.5,0.2,8.7,3.5,7.2,15.4,,2.5,0.0,0.4,0.6,1.4,0.2,2.9,249.3,31.9,0.5,4.7,56.0,17.1,15.2,13.4,8.7,21.4,14.4,2.2,27.2,16.8,19.9,115.0,10.3,65.3,3.0,1.1,0.1,,36.4,77.6,0.1,7.7,0.0,4.9,11.0,10.1,0.0,4.0,20.7,5.8,10.5,2.7,14.9,1.2,0.1,2.7,4.3,5.7,0.0,0.1,0.6,0.2,,,
2009-05-01,EMPL_PARTTIME_FORCED_NUM_TH,602.1,155.5,14.9,2.7,12.8,3.0,3.2,5.1,1.0,16.3,4.9,35.8,7.2,2.3,1.2,0.9,5.7,11.2,8.5,18.9,36.4,2.1,1.7,2.5,0.1,,7.6,2.7,1.1,1.8,3.0,2.2,11.6,39.5,0.2,0.2,6.6,3.5,5.9,14.4,,2.7,,0.3,1.0,1.8,0.8,2.2,173.3,19.2,0.3,5.9,12.8,16.8,8.8,11.5,8.8,17.0,10.4,2.7,32.2,9.0,17.8,105.6,9.4,59.2,3.8,1.3,0.3,,33.2,75.0,0.1,7.3,0.0,3.7,12.6,10.2,0.1,2.2,18.7,7.2,9.5,3.2,16.9,2.2,0.1,3.4,4.4,6.4,,0.1,0.1,0.1,,,
2009-06-01,EMPL_PARTTIME_FORCED_NUM_TH,586.2,128.0,5.8,2.0,11.5,5.3,2.9,3.1,1.1,13.8,2.4,29.6,6.8,1.7,2.6,0.6,3.8,7.5,9.4,18.0,29.5,2.0,1.0,3.1,0.0,,6.0,2.3,0.4,0.8,3.7,0.8,9.2,36.8,0.5,0.4,4.3,3.0,8.4,12.6,,2.2,0.0,0.1,1.0,1.0,0.9,2.3,205.4,23.8,0.2,4.6,37.4,13.6,8.4,8.3,9.7,22.6,8.7,2.4,33.5,8.4,24.0,102.2,8.7,62.8,3.6,1.3,0.3,,27.1,68.1,0.2,6.7,0.1,4.2,12.5,8.9,,1.9,18.4,8.4,4.6,2.2,16.2,2.3,0.3,3.7,3.9,5.6,,0.0,0.3,0.1,,,
2009-07-01,EMPL_PARTTIME_FORCED_NUM_TH,488.6,117.8,3.9,1.7,10.1,6.5,2.0,1.8,0.8,14.0,1.4,26.9,3.0,1.6,2.0,0.5,2.7,6.9,11.6,20.2,26.0,2.8,0.8,2.7,0.0,,5.4,2.1,0.4,0.5,2.7,0.7,8.0,27.1,0.2,0.5,4.9,2.0,5.4,9.4,,0.9,0.0,0.1,0.8,0.7,1.1,1.1,168.9,24.5,0.0,4.5,32.7,9.0,5.1,3.3,9.3,21.3,6.1,2.2,28.1,6.8,16.1,76.0,6.9,44.2,3.3,1.3,0.4,,21.7,54.2,0.2,1.5,0.1,3.8,11.0,9.2,,1.7,15.2,5.2,4.2,2.2,18.5,3.8,0.0,2.8,4.3,7.2,,0.0,0.2,0.1,,,
2009-08-01,EMPL_PARTTIME_FORCED_NUM_TH,369.4,94.3,1.2,1.4,7.3,6.2,0.6,3.8,0.9,13.2,0.7,20.8,2.1,0.9,1.9,0.5,2.2,3.9,8.0,18.7,21.2,1.3,0.8,2.7,0.0,,5.2,1.4,0.2,0.5,1.6,0.7,6.9,19.6,0.1,0.4,4.7,1.6,2.8,5.0,,1.0,0.0,0.6,0.5,0.6,1.2,0.8,116.6,18.7,0.5,2.8,7.8,7.2,4.1,3.6,7.8,21.2,2.4,2.3,20.2,4.7,13.1,60.0,6.0,37.6,3.7,1.4,0.2,,12.6,44.2,0.3,1.6,0.1,3.8,10.4,3.5,,2.1,10.5,6.0,3.7,2.2,13.6,3.7,0.0,2.8,4.4,2.3,,0.0,0.2,0.1,,,
2009-09-01,EMPL_PARTTIME_FORCED_NUM_TH,473.0,87.3,1.8,1.5,7.2,4.2,0.7,1.7,0.8,4.8,0.5,17.8,2.8,0.8,2.3,0.4,3.6,6.7,11.1,18.6,20.3,1.3,0.9,1.8,0.0,,4.5,1.2,0.1,0.3,1.1,2.3,6.9,18.7,0.1,0.5,3.2,2.1,3.9,5.2,,1.4,,0.5,0.3,0.5,0.4,0.7,234.9,28.0,,3.4,24.1,6.7,8.8,3.2,6.6,18.6,2.8,1.5,111.6,5.4,14.0,62.3,5.5,38.6,4.4,1.6,1.6,,13.7,35.7,0.3,0.5,0.1,2.7,8.0,2.6,,1.7,9.3,5.0,2.9,2.6,13.9,3.0,0.0,2.5,7.1,1.0,,0.0,0.3,0.1,,,
2009-10-01,EMPL_PARTTIME_FORCED_NUM_TH,438.9,72.7,1.7,1.5,4.9,3.9,1.0,0.7,0.8,4.3,1.4,16.6,2.8,1.5,2.3,1.4,3.4,6.7,5.5,12.3,14.6,0.5,0.3,2.1,0.0,,3.3,0.7,0.2,0.3,1.2,1.5,4.3,19.6,0.1,0.3,2.9,1.2,6.2,5.0,,1.0,0.1,0.5,0.3,0.5,0.2,1.3,224.3,24.8,0.0,2.4,27.5,6.6,7.0,3.5,5.5,16.3,2.7,1.2,108.2,5.3,13.3,62.4,9.5,36.3,3.8,0.9,1.6,,12.8,33.2,0.2,3.6,0.0,0.7,5.6,1.5,0.2,1.4,7.5,6.2,3.9,2.4,12.1,2.5,0.0,2.5,5.7,1.0,,0.0,0.2,0.1,,,
