dates,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,EMPL_PARTTIME_NOPAY_NUM_TH,1106.4,277.8,15.5,8.7,18.4,22.4,4.3,8.7,5.2,9.5,14.7,45.0,5.1,10.6,7.1,7.3,11.1,14.7,16.8,52.8,79.7,3.3,3.8,6.5,0.3,,10.1,5.8,9.3,3.2,3.2,3.5,31.0,102.9,1.0,0.2,25.7,4.5,21.7,31.4,,0.9,0.0,1.5,0.7,3.3,0.1,11.9,256.1,40.7,4.4,10.4,26.1,12.7,10.8,20.6,9.3,30.5,13.8,9.5,37.3,20.1,9.9,166.8,9.2,62.0,25.7,11.6,3.6,,69.9,183.1,0.2,4.3,0.2,5.7,14.6,15.4,28.4,19.0,33.7,32.5,24.0,5.2,40.0,1.9,0.5,14.6,10.0,8.6,0.2,3.0,1.0,0.2,,,
2009-02-01,EMPL_PARTTIME_NOPAY_NUM_TH,991.2,244.7,13.6,6.0,14.5,19.7,3.7,7.2,4.9,9.3,12.2,40.2,5.2,10.0,8.1,6.7,9.0,11.5,13.1,49.8,72.3,2.3,2.9,8.6,0.3,,7.6,5.0,8.1,5.1,3.0,3.5,26.1,87.6,1.2,0.2,23.2,3.8,15.9,26.1,,0.9,0.1,2.5,1.0,3.0,0.3,9.5,240.5,32.5,3.6,6.2,27.0,11.6,11.8,18.0,8.6,24.1,18.7,10.5,37.1,22.2,8.5,122.4,6.5,47.3,21.9,11.0,3.4,,46.7,178.1,0.3,7.1,0.3,4.8,14.4,19.1,32.0,23.3,27.6,28.4,17.2,3.5,45.7,2.4,0.5,14.5,10.8,11.7,0.2,3.9,1.5,0.1,,,
2009-03-01,EMPL_PARTTIME_NOPAY_NUM_TH,926.9,237.8,14.1,6.4,14.0,15.0,3.9,6.6,2.3,8.0,11.8,38.9,5.3,9.6,7.4,5.3,9.0,11.4,12.4,56.4,63.1,2.1,3.0,5.7,0.2,,6.7,4.3,8.0,2.5,3.0,3.3,24.5,91.4,1.0,0.2,22.0,3.1,14.8,35.3,,1.1,0.1,1.8,1.2,1.7,0.3,8.9,219.1,29.6,4.3,6.6,23.8,10.9,12.5,19.3,6.9,24.2,13.6,7.3,31.3,18.7,10.0,121.1,6.8,46.2,20.9,10.4,3.3,,47.1,149.3,0.4,6.5,0.3,5.1,11.3,12.2,28.6,22.7,19.7,23.4,15.3,3.9,45.2,3.2,0.8,15.4,13.2,7.1,0.4,3.1,1.6,0.3,,,
2009-04-01,EMPL_PARTTIME_NOPAY_NUM_TH,917.3,248.1,13.2,5.9,13.2,14.4,3.7,7.3,2.2,7.7,12.5,41.8,5.7,10.1,10.5,5.5,8.6,12.0,10.0,63.9,66.9,2.3,2.9,5.9,0.2,,6.4,4.6,9.7,3.3,3.0,3.3,25.5,83.9,0.8,0.3,24.1,2.8,16.9,26.1,,1.4,0.0,1.7,0.9,1.6,0.5,7.0,221.3,33.7,4.0,6.0,26.0,12.1,10.5,18.8,8.7,18.5,15.8,8.5,33.8,15.2,9.8,120.0,5.5,46.1,21.6,10.5,4.1,,46.8,135.4,0.4,6.2,0.3,3.5,11.7,9.3,20.2,21.8,19.8,21.8,16.3,4.2,41.9,3.9,0.7,13.9,10.5,7.0,0.3,3.8,1.5,0.3,,,
2009-05-01,EMPL_PARTTIME_NOPAY_NUM_TH,930.7,236.2,14.9,4.9,14.0,14.0,3.7,8.1,2.9,7.7,11.9,40.2,4.5,7.9,7.2,5.2,8.4,9.9,10.4,60.3,76.0,2.6,2.9,5.2,0.2,,6.6,5.2,9.9,4.6,3.3,4.2,31.3,82.0,0.8,0.4,22.0,3.5,17.9,25.1,,1.3,0.0,1.9,0.4,1.3,0.4,7.1,230.4,30.4,4.8,6.0,26.4,11.1,11.5,18.6,8.9,30.1,13.3,8.1,34.7,16.2,10.3,137.1,6.3,50.3,28.0,14.0,6.6,,52.5,131.2,0.6,5.5,0.3,2.9,13.0,8.2,19.4,19.5,18.2,21.8,17.3,4.5,37.9,3.9,0.6,12.1,11.2,4.6,0.3,3.8,1.1,0.3,,,
2009-06-01,EMPL_PARTTIME_NOPAY_NUM_TH,845.8,210.9,13.3,5.2,9.9,12.3,3.5,7.1,2.9,7.1,11.1,33.9,3.5,7.3,7.7,5.4,9.2,8.3,10.7,52.5,66.4,2.8,3.2,4.8,0.2,,6.8,4.0,7.6,2.9,3.6,3.4,27.2,76.4,0.7,0.2,20.0,3.0,15.8,23.8,,1.0,0.0,2.0,0.5,1.4,0.6,7.4,210.1,28.9,4.3,5.4,23.9,10.6,9.6,17.4,7.6,22.5,12.8,8.3,34.1,15.8,9.0,122.7,5.6,48.1,21.8,9.7,6.2,,47.2,116.0,0.3,4.6,0.3,2.7,9.3,6.6,16.7,19.4,18.2,19.5,15.1,3.4,43.4,4.6,0.7,14.0,12.6,5.0,0.3,3.9,2.1,0.3,,,
2009-07-01,EMPL_PARTTIME_NOPAY_NUM_TH,905.6,230.3,12.3,6.5,10.9,13.6,3.5,7.6,3.1,7.0,10.5,36.3,4.2,8.3,9.6,5.4,9.2,10.9,11.1,60.4,69.6,2.8,4.5,5.4,0.2,,7.1,3.9,7.0,3.1,3.9,3.3,28.6,79.2,0.5,0.2,19.9,3.3,17.2,26.0,,1.0,0.0,1.4,0.5,1.5,0.7,7.0,223.9,28.2,4.6,4.8,23.4,12.7,9.4,21.6,10.3,30.6,13.8,7.7,32.7,15.7,8.4,136.7,6.4,54.8,23.4,10.8,6.8,,52.1,121.1,0.2,5.8,0.4,2.9,10.0,6.0,18.0,16.3,23.4,18.9,14.6,4.6,44.8,5.5,0.6,13.2,15.1,5.9,0.3,2.0,2.1,0.2,,,
2009-08-01,EMPL_PARTTIME_NOPAY_NUM_TH,899.3,238.9,14.1,7.4,12.5,12.8,3.7,7.7,3.3,7.6,9.5,38.3,4.7,8.0,9.4,5.4,9.8,10.4,12.4,61.8,72.2,3.8,4.2,5.7,0.2,,7.7,3.8,8.0,5.1,3.8,3.0,27.0,82.8,0.6,0.2,20.0,3.1,19.2,26.2,,1.1,0.0,2.1,1.0,1.5,1.1,6.8,204.8,27.1,4.0,5.7,21.9,11.5,9.0,20.1,8.5,28.3,14.0,6.6,25.4,14.0,8.7,130.4,5.3,54.1,23.2,10.6,6.8,,47.8,127.7,0.2,7.6,0.4,3.1,10.3,11.2,18.4,14.1,19.4,22.6,16.1,4.4,42.5,6.0,0.7,11.1,12.5,7.9,0.4,2.3,1.3,0.2,,,
2009-09-01,EMPL_PARTTIME_NOPAY_NUM_TH,844.6,229.9,12.2,7.2,11.5,12.4,3.3,7.7,3.0,8.3,8.5,38.5,4.5,8.0,9.7,6.1,8.3,10.6,12.3,57.7,68.7,3.5,3.9,6.4,0.3,,6.3,3.4,7.5,4.5,3.5,2.8,26.9,77.4,0.5,0.1,19.4,2.9,19.3,21.2,,1.7,0.0,2.0,1.1,1.6,0.9,6.6,209.3,27.2,3.6,6.2,22.4,11.2,8.3,20.0,9.8,27.3,12.7,7.0,30.1,14.4,9.0,118.5,4.9,50.2,22.4,10.7,6.3,,40.9,112.2,0.2,5.3,0.4,2.5,10.2,9.1,17.1,12.2,17.6,19.3,14.1,4.2,28.7,4.2,1.0,7.9,7.0,5.5,0.3,2.0,0.4,0.4,,,
2009-10-01,EMPL_PARTTIME_NOPAY_NUM_TH,726.3,193.1,9.0,5.3,10.9,11.7,2.6,6.7,2.2,6.0,8.5,34.2,4.1,5.6,6.6,5.3,7.3,8.0,10.6,48.4,57.0,2.3,3.7,5.8,0.3,,5.5,3.1,6.3,2.5,3.3,2.6,21.9,70.0,0.5,0.1,18.9,2.5,16.6,19.1,,1.7,0.0,1.7,1.0,1.2,0.9,5.8,187.8,25.7,3.3,4.9,21.6,8.7,10.6,17.3,7.5,25.7,10.7,5.7,26.4,12.7,7.1,103.5,4.3,41.4,19.2,9.3,4.8,,38.7,93.0,0.2,3.5,0.3,2.5,8.0,6.2,14.9,10.0,16.2,15.9,12.2,3.2,21.8,3.3,0.7,6.8,5.2,3.1,0.2,1.9,0.4,0.3,,,
