dates,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,EMPL_QUIT_NUM_TH,424.0,112.4,3.7,3.6,5.2,5.7,3.8,2.9,2.5,2.9,3.9,22.4,2.6,2.9,3.4,2.4,4.6,3.5,5.4,30.8,45.4,2.1,3.5,3.9,0.3,,5.3,3.0,3.9,2.6,2.2,2.1,16.9,41.1,0.6,0.3,11.5,1.8,6.8,12.9,,1.0,0.1,0.7,0.7,0.6,0.3,3.8,91.8,11.6,1.9,2.2,11.6,5.5,3.6,8.6,4.7,12.1,4.6,2.7,11.8,7.2,3.8,52.6,2.2,17.0,18.4,9.1,4.3,,15.0,61.4,0.3,2.0,0.4,1.1,6.9,2.2,9.2,7.0,14.8,10.4,4.3,2.7,19.2,3.4,0.9,4.6,4.0,1.5,0.4,3.3,0.7,0.3,,,
2009-02-01,EMPL_QUIT_NUM_TH,452.6,116.5,5.7,3.6,5.2,6.6,3.0,3.0,2.0,2.7,3.4,19.8,2.7,3.6,3.0,2.3,4.6,5.6,5.2,34.5,52.3,2.1,3.5,3.9,0.4,,5.6,3.7,4.9,2.2,2.1,4.1,20.1,46.3,0.5,0.3,13.1,2.8,8.6,11.8,,1.1,0.1,0.8,0.7,0.8,0.7,5.0,99.0,12.3,1.7,3.0,10.6,5.9,3.7,9.1,3.6,12.2,6.0,3.0,14.5,8.4,4.8,56.4,3.1,17.9,19.4,9.4,4.9,,16.0,63.8,0.4,2.2,0.3,1.3,6.1,2.8,10.6,8.6,14.2,9.8,4.4,3.1,18.3,3.5,0.7,4.4,4.1,2.2,0.4,2.3,0.3,0.3,,,
2009-03-01,EMPL_QUIT_NUM_TH,502.4,134.7,4.5,4.0,5.7,6.8,4.4,4.6,2.7,4.4,4.4,23.3,2.7,3.7,3.6,2.9,4.9,5.4,5.9,40.6,57.6,1.9,5.0,4.9,0.5,,6.8,4.0,4.8,2.6,2.9,2.7,22.0,49.5,0.8,0.4,13.0,3.1,8.8,14.5,,1.1,0.1,0.8,0.6,0.8,0.6,5.1,106.9,11.3,1.9,2.7,12.8,6.5,4.2,9.3,4.5,12.8,7.5,3.4,15.6,9.2,5.3,60.5,3.8,19.2,21.1,10.4,5.0,,16.4,72.4,0.3,2.0,0.6,1.5,7.0,2.7,12.0,12.2,12.9,11.5,5.2,4.5,20.8,3.3,0.8,5.0,5.7,2.3,0.6,2.4,0.3,0.4,,,
2009-04-01,EMPL_QUIT_NUM_TH,525.2,142.8,5.5,5.3,6.1,7.4,5.4,3.9,2.3,4.3,5.0,25.1,3.2,4.3,3.7,2.8,5.2,6.3,6.0,40.9,53.8,2.2,4.7,4.9,0.5,,4.1,3.7,5.0,2.5,2.7,3.0,21.1,61.2,1.0,0.4,17.3,2.7,10.3,16.7,,1.3,0.1,1.2,0.6,1.0,0.5,7.9,110.4,11.1,2.2,2.7,13.6,7.6,4.0,11.5,5.1,13.9,5.7,3.9,12.9,10.5,5.6,58.9,3.0,21.0,20.3,10.4,5.0,,14.7,72.3,0.4,2.4,0.3,2.3,8.1,4.3,11.4,9.4,13.1,11.6,5.8,3.4,25.8,3.3,0.8,9.1,4.9,3.5,0.8,2.6,0.5,0.3,,,
2009-05-01,EMPL_QUIT_NUM_TH,483.3,128.8,6.6,3.9,5.7,5.5,4.8,3.3,2.6,3.2,4.7,23.7,3.6,3.1,4.3,1.9,5.8,5.5,5.2,35.3,57.4,2.6,4.0,5.0,0.6,,4.4,3.7,5.2,2.8,2.7,2.7,24.3,49.4,0.6,0.4,13.2,2.3,10.8,12.6,,1.2,0.2,0.7,0.6,0.8,1.2,4.7,99.9,11.8,2.5,2.2,14.0,6.3,3.6,9.4,5.1,12.7,5.1,3.0,11.7,8.0,4.6,54.0,3.2,19.1,17.9,9.1,4.7,,13.7,68.6,0.5,2.4,0.3,2.2,8.4,3.1,11.5,8.8,12.3,10.7,5.3,3.1,25.3,3.2,0.9,6.9,7.5,3.3,0.4,2.3,0.4,0.4,,,
2009-06-01,EMPL_QUIT_NUM_TH,521.2,137.6,6.1,4.4,6.2,6.1,3.9,3.9,2.4,3.4,4.3,24.4,3.0,4.2,3.8,2.4,5.9,6.1,6.5,40.7,54.5,2.4,3.8,5.1,0.6,,4.7,3.0,5.5,2.5,3.0,2.7,21.8,55.3,0.7,0.4,15.4,4.4,9.1,14.8,,1.0,0.2,1.8,0.9,0.8,0.4,5.5,117.7,15.0,2.1,2.7,14.8,8.4,4.5,10.8,6.3,16.2,5.8,3.5,13.5,9.5,4.8,59.1,3.4,19.1,20.8,10.8,5.4,,15.9,70.1,0.4,3.1,0.3,1.4,7.2,3.5,12.2,7.9,14.1,10.7,6.1,3.1,26.8,3.9,1.1,9.1,5.4,3.7,0.6,2.4,0.3,0.4,,,
2009-07-01,EMPL_QUIT_NUM_TH,526.1,139.2,5.5,3.5,5.5,6.1,3.2,3.8,2.0,3.7,4.6,25.6,2.9,3.2,4.0,2.5,5.1,5.8,6.5,45.8,52.8,2.5,3.7,4.3,0.5,,4.2,3.7,5.2,2.3,2.5,2.5,21.8,63.8,0.9,0.5,16.1,5.3,10.6,19.8,,0.8,0.1,1.5,0.5,0.9,0.6,6.1,113.7,12.4,2.3,2.5,15.1,6.4,4.0,10.1,6.0,16.3,6.4,3.8,15.2,8.8,4.4,61.2,2.9,23.5,20.5,10.9,5.0,,14.3,70.4,0.4,2.6,0.3,1.3,8.8,5.1,11.5,8.8,12.5,10.0,5.7,3.3,25.1,3.6,1.3,6.3,6.4,3.9,0.4,2.5,0.3,0.4,,,
2009-08-01,EMPL_QUIT_NUM_TH,516.0,131.5,5.8,3.7,5.5,6.7,4.2,3.8,2.8,3.1,4.7,24.2,2.8,3.3,3.5,2.5,5.6,5.4,4.8,39.0,56.6,2.4,5.2,6.7,0.6,,4.6,3.1,4.9,3.0,3.3,2.8,20.5,53.8,0.8,0.3,15.4,3.3,11.2,13.3,,1.0,0.5,0.8,0.6,0.8,0.5,5.4,111.6,14.1,2.3,2.8,14.0,6.6,5.7,10.2,6.0,12.5,6.3,4.2,14.8,8.3,3.9,62.4,3.2,20.1,24.6,11.4,6.4,,14.5,74.1,0.4,2.6,0.4,1.4,8.3,4.2,11.4,9.1,17.0,10.3,5.4,3.5,25.9,4.3,1.9,6.4,6.0,3.0,0.5,2.6,0.6,0.6,,,
2009-09-01,EMPL_QUIT_NUM_TH,518.7,135.0,5.6,3.6,7.9,7.4,4.2,3.8,2.1,2.9,4.6,25.1,2.5,3.7,4.2,2.7,4.9,5.5,5.5,38.8,52.1,2.7,4.0,4.6,0.5,,4.0,3.7,4.9,2.6,2.8,2.8,20.0,54.2,0.8,0.4,16.6,2.9,8.7,15.0,,1.4,0.0,0.9,0.6,0.8,0.4,5.7,119.2,12.8,1.9,2.4,16.6,6.5,6.9,10.5,5.4,13.6,5.3,3.4,18.3,9.1,6.6,57.1,3.0,18.7,20.7,10.9,4.8,,14.6,72.9,0.5,2.7,0.5,1.6,8.3,4.1,10.8,8.6,17.0,9.6,5.8,3.5,28.1,5.5,1.7,6.4,5.8,3.6,0.6,3.6,0.3,0.5,,,
2009-10-01,EMPL_QUIT_NUM_TH,505.2,132.8,5.8,3.9,7.8,7.1,2.9,4.1,2.1,3.7,4.1,22.5,2.5,3.2,4.0,2.2,5.2,5.0,5.8,40.9,50.5,2.8,5.0,4.6,0.9,,4.0,3.3,4.7,2.4,2.3,2.2,19.2,52.9,0.7,0.3,15.1,2.7,8.6,15.9,,1.2,0.0,0.7,0.5,0.7,0.7,5.8,112.7,11.5,2.0,2.4,13.5,6.4,5.5,8.9,5.9,14.3,5.8,3.1,15.7,10.7,6.8,58.3,3.0,21.4,19.6,10.1,4.6,,14.3,67.7,0.4,2.8,0.4,1.5,8.4,3.8,10.3,7.8,12.3,10.2,6.4,3.3,30.5,7.5,1.2,7.1,5.9,3.7,0.8,3.3,0.5,0.6,,,
