,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,EMPL_QUIT_VOLUNTARY_NUM_TH,260.3,72.0,2.5,2.4,2.5,3.4,1.5,1.7,1.2,1.8,2.4,15.6,1.8,2.1,1.7,1.6,2.8,2.4,2.8,22.0,27.8,1.1,1.8,2.6,0.2,,2.1,1.8,2.5,1.9,1.3,1.3,11.3,27.8,0.4,0.2,8.2,1.3,4.3,8.0,,0.5,0.1,0.7,0.5,0.4,0.3,2.9,55.2,7.7,1.1,1.4,6.8,2.8,2.1,4.4,2.5,7.2,2.8,1.7,8.0,4.5,2.2,30.8,1.3,9.4,12.1,6.1,2.7,,8.0,35.2,0.3,1.1,0.2,0.7,4.6,1.3,4.9,4.5,7.0,5.9,2.7,1.9,11.5,1.9,0.6,3.0,2.4,0.9,0.3,1.8,0.4,0.2,,,
2009-02-01,EMPL_QUIT_VOLUNTARY_NUM_TH,280.6,77.5,4.3,2.0,2.7,3.2,1.8,2.1,1.1,1.8,2.4,14.8,1.9,2.7,2.0,1.5,3.1,3.2,2.9,24.2,30.4,1.2,1.8,2.0,0.2,,2.6,2.3,3.1,1.5,1.3,1.5,13.1,30.8,0.4,0.2,9.6,2.2,4.4,7.7,,0.8,0.1,0.6,0.6,0.5,0.6,3.1,59.8,7.8,1.0,1.7,7.2,3.3,2.6,4.8,2.1,6.5,3.0,2.1,10.2,4.6,2.8,33.4,1.6,9.7,12.8,6.1,3.4,,9.3,36.6,0.2,1.2,0.2,0.8,3.9,1.9,5.5,5.3,6.6,5.9,3.0,2.1,12.1,2.5,0.5,3.4,2.6,1.6,0.3,1.0,0.2,0.2,,,
2009-03-01,EMPL_QUIT_VOLUNTARY_NUM_TH,310.6,88.9,3.3,2.4,3.0,4.0,2.0,3.5,1.2,2.3,3.1,17.5,1.8,2.5,2.4,1.8,3.0,3.5,3.3,28.5,33.7,1.1,2.4,2.2,0.2,,2.7,2.2,2.9,1.6,1.7,1.4,15.3,33.2,0.6,0.3,10.6,1.7,4.9,8.7,,0.7,0.1,0.5,0.5,0.6,0.3,3.7,61.8,7.8,1.2,1.7,8.4,3.4,2.8,4.9,2.5,7.6,3.0,2.2,8.7,5.2,2.6,36.3,1.6,11.6,13.1,6.3,3.6,,9.9,43.5,0.2,1.2,0.2,1.0,4.5,1.6,6.8,6.3,7.5,7.6,3.5,2.9,13.2,2.2,0.5,3.5,3.4,1.5,0.4,1.2,0.2,0.3,,,
2009-04-01,EMPL_QUIT_VOLUNTARY_NUM_TH,322.4,90.8,3.6,2.4,3.4,3.8,2.0,2.4,1.3,2.5,3.4,17.7,2.0,2.7,2.5,1.5,3.3,3.8,2.9,29.6,33.0,1.3,2.2,2.7,0.2,,2.1,2.2,3.2,1.8,1.6,1.7,14.2,38.0,0.5,0.3,12.0,1.9,5.3,9.8,,0.9,0.1,1.0,0.5,0.7,0.4,4.5,66.0,7.8,1.2,1.9,9.0,3.3,2.7,6.1,2.8,8.9,3.3,2.6,7.7,6.2,2.5,36.7,1.6,13.7,13.4,6.5,3.8,,7.9,43.4,0.2,1.3,0.2,0.9,5.0,2.7,6.9,5.6,7.4,7.6,3.5,2.0,14.4,2.3,0.6,4.1,3.2,1.8,0.5,1.4,0.2,0.3,,,
2009-05-01,EMPL_QUIT_VOLUNTARY_NUM_TH,297.6,82.7,3.3,2.3,2.9,3.6,2.1,2.4,1.2,2.0,2.9,16.9,1.9,2.1,2.2,1.2,3.3,3.4,3.0,26.0,31.9,1.3,1.9,2.3,0.3,,2.2,1.9,3.0,1.6,1.5,1.3,14.9,33.7,0.5,0.3,10.8,1.6,4.7,8.3,,0.8,0.2,0.6,0.5,0.7,1.2,3.6,59.9,7.4,1.1,1.7,8.4,3.2,2.6,5.2,2.6,8.0,3.2,1.9,7.3,4.8,2.6,32.9,1.7,11.8,12.2,5.9,3.4,,7.1,43.0,0.3,1.4,0.2,1.1,5.5,1.8,7.4,5.3,7.5,7.0,3.5,1.9,13.5,2.2,0.7,3.8,3.2,1.7,0.3,1.1,0.2,0.3,,,
2009-06-01,EMPL_QUIT_VOLUNTARY_NUM_TH,326.1,91.8,4.4,2.3,3.6,3.9,2.1,2.6,1.3,2.2,3.2,16.8,1.7,3.1,2.5,1.7,4.0,3.9,3.7,28.6,34.6,1.4,2.0,2.4,0.1,,2.3,2.1,3.6,1.8,1.8,1.6,15.7,38.8,0.6,0.3,12.4,2.3,5.4,9.8,,0.8,0.1,1.6,0.6,0.5,0.3,4.1,68.8,9.6,1.3,2.0,9.6,3.5,3.0,5.8,2.6,8.5,3.5,2.3,8.3,5.7,3.2,34.1,1.8,11.4,12.5,6.0,3.1,,8.5,43.6,0.3,1.7,0.2,0.9,4.4,1.9,7.8,5.3,8.1,7.6,3.6,1.8,14.4,2.3,0.8,3.7,3.3,2.2,0.3,1.4,0.2,0.2,,,
2009-07-01,EMPL_QUIT_VOLUNTARY_NUM_TH,328.7,93.0,4.2,2.3,3.4,4.0,1.9,2.6,1.2,2.3,3.5,18.9,2.1,2.4,2.3,1.8,3.4,3.8,3.7,29.1,34.7,1.3,1.9,2.2,0.2,,2.4,2.7,3.5,1.7,1.7,1.7,15.6,39.9,0.6,0.4,12.5,2.2,5.5,11.3,,0.6,0.1,0.7,0.5,0.7,0.3,4.3,67.8,9.0,1.5,1.8,9.2,3.5,2.8,5.3,2.9,8.6,3.5,2.7,9.1,5.4,2.4,36.3,1.7,13.9,12.9,6.2,3.1,,7.8,41.7,0.3,1.5,0.2,0.9,4.8,1.7,7.1,5.7,7.2,6.6,3.8,2.0,15.3,2.3,1.1,3.8,3.8,1.9,0.3,1.6,0.2,0.3,,,
2009-08-01,EMPL_QUIT_VOLUNTARY_NUM_TH,323.9,89.8,4.2,2.2,3.3,4.4,2.3,2.9,1.1,2.3,2.9,17.3,2.0,2.4,2.2,1.8,4.2,3.7,3.1,27.4,34.3,1.4,2.0,2.5,0.2,,2.2,2.3,3.1,1.8,1.7,1.7,15.5,36.6,0.6,0.3,12.4,2.0,5.2,9.0,,0.7,0.1,0.7,0.5,0.6,0.4,4.2,68.9,9.6,1.3,2.1,9.6,3.9,3.9,5.6,3.0,7.9,3.4,2.2,8.1,5.8,2.4,34.8,1.8,11.3,13.0,6.3,3.1,,8.7,42.8,0.3,1.4,0.2,1.0,4.5,2.0,7.0,5.8,7.9,7.1,3.4,2.3,16.8,2.7,1.7,4.3,3.3,1.8,0.4,1.6,0.5,0.4,,,
2009-09-01,EMPL_QUIT_VOLUNTARY_NUM_TH,332.2,91.7,3.5,2.2,3.8,4.3,2.1,2.7,1.2,1.9,3.1,18.1,1.9,2.5,2.4,1.8,3.5,3.6,2.9,30.0,33.7,1.4,2.0,2.5,0.2,,2.0,2.5,3.2,1.8,1.9,1.6,14.7,39.0,0.7,0.3,13.1,1.9,5.5,10.4,,0.9,0.0,0.7,0.5,0.6,0.4,4.0,72.5,8.2,1.2,1.7,10.6,3.7,3.3,5.5,2.8,9.0,3.4,2.1,12.5,6.0,2.4,36.3,1.7,11.2,13.9,7.2,3.4,,9.4,43.1,0.4,1.5,0.3,1.0,4.9,2.2,6.8,5.4,7.7,6.7,3.8,2.3,16.0,2.8,1.1,4.0,3.2,1.9,0.4,2.0,0.2,0.3,,,
2009-10-01,EMPL_QUIT_VOLUNTARY_NUM_TH,317.1,88.0,3.2,2.3,3.7,4.5,1.8,2.3,1.3,1.9,3.1,16.2,1.8,2.3,2.1,1.7,3.5,3.2,2.7,30.5,31.3,1.6,2.0,2.4,0.3,,2.1,2.2,3.1,1.6,1.6,1.5,13.2,37.6,0.5,0.3,11.9,2.0,5.6,10.7,,0.8,0.0,0.6,0.5,0.5,0.3,3.9,68.3,7.8,1.3,1.7,9.3,3.1,3.1,5.6,2.5,9.1,3.3,2.3,11.3,5.3,2.6,33.5,1.6,10.4,13.3,6.7,3.3,,8.2,42.4,0.3,2.0,0.2,0.9,4.5,2.1,6.4,5.4,7.4,6.7,3.8,2.5,16.1,2.9,0.9,3.8,3.5,2.0,0.3,2.1,0.2,0.4,,,
