,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,EMPL_VACANCY_NUM_TH,329.9,107.9,1.8,2.1,2.8,2.8,1.9,3.8,0.9,2.3,1.5,20.7,0.8,2.2,1.6,1.6,2.5,4.2,2.6,51.8,48.5,1.7,2.6,4.6,0.2,,2.4,1.5,6.5,3.3,1.6,0.7,23.6,34.4,0.4,0.1,9.0,1.3,4.2,14.6,,0.5,0.0,0.6,0.2,0.2,0.1,3.1,45.0,3.8,0.7,0.7,4.4,2.3,1.0,5.4,1.7,5.4,1.9,1.8,8.9,5.6,1.4,39.0,0.9,14.4,15.6,8.3,4.8,,8.1,36.8,0.2,1.4,0.2,0.6,1.3,2.9,8.4,7.1,5.5,5.1,2.2,2.0,18.3,2.7,1.8,5.5,3.5,1.2,0.9,1.8,0.1,1.0,,,
2009-02-01,EMPL_VACANCY_NUM_TH,309.5,107.4,1.7,2.1,2.7,2.8,1.4,2.6,0.9,2.1,1.3,19.9,0.6,1.9,1.5,1.4,2.5,3.7,2.2,56.3,45.7,1.6,2.7,3.9,0.2,,2.5,1.2,6.0,3.1,1.4,0.7,22.6,31.9,0.4,0.1,8.2,1.2,4.0,13.1,,0.4,0.0,0.6,0.3,0.2,0.3,3.1,39.3,3.5,0.4,0.5,3.7,2.1,0.7,4.5,1.6,5.4,1.7,1.2,7.7,4.8,1.2,34.8,0.7,12.7,13.8,7.6,3.9,,7.6,32.1,0.2,1.4,0.2,0.6,1.4,2.3,7.3,4.9,4.9,4.4,2.6,2.0,18.3,2.6,1.7,5.4,3.8,1.4,1.0,1.6,0.1,0.7,,,
2009-03-01,EMPL_VACANCY_NUM_TH,295.3,100.6,1.8,1.9,3.1,2.7,1.2,2.3,0.7,1.7,1.3,22.1,0.6,2.0,1.5,1.3,2.1,3.7,1.9,48.9,44.3,1.7,2.7,3.9,0.3,,2.1,1.3,5.7,2.9,1.5,0.9,21.8,31.8,0.4,0.1,8.1,1.3,3.9,13.3,,0.4,0.0,0.6,0.2,0.2,0.3,2.9,38.0,4.1,0.4,0.4,3.3,2.4,0.7,4.2,1.2,4.8,1.7,1.6,6.9,5.0,1.3,30.9,0.7,10.7,12.5,7.0,3.5,,6.9,30.8,0.1,1.3,0.2,0.7,1.4,2.4,7.1,4.4,5.0,4.0,2.4,1.8,19.0,2.8,1.9,5.7,3.6,1.1,0.8,1.8,0.1,1.0,,,
2009-04-01,EMPL_VACANCY_NUM_TH,283.5,98.7,1.8,2.9,3.0,2.8,1.0,2.4,0.6,1.7,1.7,22.6,0.6,1.3,1.5,1.2,2.0,3.6,1.9,46.2,44.8,1.5,2.3,4.1,0.2,,2.3,1.2,5.5,3.1,1.5,0.9,22.4,30.5,0.3,0.1,7.3,1.3,4.0,12.7,,0.4,0.0,0.7,0.3,0.3,0.2,2.8,34.6,3.6,0.4,0.4,3.1,1.8,0.6,4.2,1.3,4.7,1.4,1.1,6.4,4.7,1.0,27.0,0.7,9.0,12.3,6.8,3.4,,5.0,30.4,0.1,1.4,0.2,0.5,1.4,1.5,7.3,4.5,5.0,4.0,2.4,2.1,17.5,3.1,1.7,5.1,3.0,1.2,0.7,1.9,0.1,0.8,,,
2009-05-01,EMPL_VACANCY_NUM_TH,286.2,98.7,2.0,1.7,3.3,3.0,1.1,2.5,0.6,1.8,1.5,22.6,0.6,1.3,1.6,1.2,2.1,3.9,2.2,45.5,44.2,1.7,2.6,3.7,0.2,,2.3,1.2,5.3,3.1,1.4,1.0,21.7,30.9,0.3,0.1,7.5,1.1,3.8,12.8,,0.5,0.0,0.6,0.3,0.4,0.2,3.2,37.0,3.4,0.6,0.5,3.6,1.9,0.6,4.3,1.2,5.5,1.7,1.3,6.4,4.9,1.1,27.9,0.9,9.5,11.9,6.4,3.4,,5.6,30.9,0.2,1.4,0.2,0.6,1.4,1.7,8.0,4.2,5.0,3.9,2.5,1.9,16.7,2.7,1.4,4.6,3.1,1.6,0.7,1.6,0.1,0.8,,,
2009-06-01,EMPL_VACANCY_NUM_TH,285.5,100.5,1.7,1.6,3.7,2.8,1.1,2.4,0.6,1.7,1.6,22.4,0.6,1.4,1.7,1.3,2.1,3.9,2.2,47.5,44.1,1.6,2.2,3.7,0.2,,3.1,1.2,5.5,3.0,1.5,1.0,21.3,32.8,0.3,0.1,7.4,2.9,3.9,12.9,,0.3,0.0,0.6,0.3,0.5,0.2,3.3,35.3,3.7,0.6,0.6,3.8,1.9,0.6,3.9,1.2,4.6,1.5,1.1,6.1,4.7,1.1,26.2,0.7,8.7,11.1,5.8,3.3,,5.8,30.0,0.2,1.4,0.2,0.5,1.4,1.8,8.1,4.0,5.2,3.8,2.4,1.1,16.7,2.7,1.4,4.6,2.9,1.6,0.9,1.8,0.1,0.7,,,
2009-07-01,EMPL_VACANCY_NUM_TH,282.6,102.9,2.0,1.0,3.1,2.9,1.2,2.4,0.7,1.7,1.4,23.1,0.6,1.2,1.6,1.0,2.2,4.1,2.0,50.7,41.9,1.3,2.4,3.3,0.2,,2.3,1.3,5.2,2.9,1.2,1.0,21.1,31.4,0.3,0.1,7.3,1.5,4.1,13.5,,0.3,0.0,0.6,0.2,0.3,0.2,3.1,33.5,3.4,0.6,0.7,3.4,1.6,0.5,4.0,1.2,3.9,1.6,1.0,6.0,4.6,1.0,25.4,0.6,8.7,11.4,6.6,3.1,,4.7,30.3,0.2,1.4,0.3,0.4,1.6,1.5,8.6,3.7,4.8,3.6,2.4,1.8,17.2,2.8,1.5,4.6,3.1,1.7,1.0,1.7,0.1,0.7,,,
2009-08-01,EMPL_VACANCY_NUM_TH,285.2,98.0,1.9,1.1,3.5,3.2,1.3,2.6,0.7,1.9,1.6,21.2,0.6,1.3,1.7,0.9,2.2,4.0,2.2,46.0,43.1,1.5,2.4,3.5,0.2,,2.9,1.4,5.5,2.9,1.4,1.2,20.4,31.7,0.3,0.1,7.8,1.5,4.4,12.7,,0.3,0.0,0.6,0.2,0.2,0.4,3.2,35.5,3.6,0.5,0.9,3.6,1.5,0.6,4.2,1.3,4.1,1.9,1.1,5.8,4.6,1.7,26.1,0.7,9.6,10.9,6.1,3.0,,5.0,32.5,0.2,1.4,0.3,0.7,1.5,1.7,8.9,4.1,5.2,4.1,2.3,2.2,18.2,3.2,1.5,4.8,3.2,1.6,1.0,2.1,0.1,0.7,,,
2009-09-01,EMPL_VACANCY_NUM_TH,287.7,106.6,2.2,1.2,3.6,3.1,1.4,2.4,0.9,2.0,1.6,22.4,0.7,1.2,1.6,0.9,2.3,3.8,2.2,53.3,41.5,1.3,2.2,2.8,0.2,,3.0,1.5,5.3,3.0,1.4,1.1,19.9,31.5,0.3,0.1,7.4,1.8,5.0,12.3,,0.3,0.0,0.6,0.3,0.3,0.4,2.9,34.3,3.4,0.4,0.6,3.7,1.5,0.7,4.0,1.2,4.1,1.6,1.2,5.7,4.6,1.5,25.0,0.8,8.8,10.8,6.4,2.7,,4.6,30.6,0.2,1.4,0.2,0.6,1.4,1.7,8.8,3.8,4.8,3.8,2.2,1.8,18.1,2.9,1.5,4.6,3.3,1.6,0.8,2.4,0.1,0.7,,,
2009-10-01,EMPL_VACANCY_NUM_TH,273.7,97.9,2.0,1.1,3.4,3.2,1.3,2.5,0.7,1.9,1.6,19.1,0.6,1.3,1.5,1.0,2.3,3.6,1.5,49.4,41.3,1.3,2.2,3.2,0.2,,3.0,1.1,5.3,3.0,1.4,1.0,19.8,30.8,0.3,0.1,7.2,1.8,4.5,12.2,,0.3,0.0,0.6,0.3,0.2,0.4,3.0,33.0,3.3,0.5,0.4,3.5,1.5,0.6,4.0,1.3,3.8,1.7,1.4,5.3,4.5,1.3,23.7,0.7,8.0,10.4,5.9,2.6,,4.6,29.3,0.1,1.0,0.2,0.4,1.7,1.7,8.5,3.5,4.8,3.8,2.0,1.7,17.6,3.1,1.4,4.9,3.3,1.5,0.8,1.8,0.1,0.7,,,
