,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2010-01-01,FISH_FRESH_IND_YOY,149.4,103.9,1340.0,,90.9,161.8,90.0,142.8,119.0,94.0,,112.5,,66.7,44.5,145.5,89.1,28.8,146.5,,96.3,62.3,43.2,79.4,,,258.3,144.9,37.6,149.3,379.1,688.8,,68.0,85.1,,96.1,57.0,85.5,49.9,220.0,240.3,,100.0,,240.0,,208.0,101.1,90.4,,,136.4,,330.0,,,,91.3,14.3,25.6,339.1,95.1,79.2,28.4,20.1,158.8,78.2,320.3,,75.9,88.0,,88.0,,,89.5,,79.7,,100.3,118.5,113.0,1.7,177.5,,212.8,1192.5,59982.5,,133.2,184.2,,184.2,,,
2010-02-01,FISH_FRESH_IND_YOY,139.2,96.1,42.9,,206.4,80.8,30.3,109.1,126.4,200.0,,110.0,,190.2,51.1,46.7,265.0,52.2,56.4,,146.1,135.7,145.6,138.9,,,163.6,173.5,122.2,151.4,90.5,73.3,,81.4,238.9,,60.1,126.7,118.2,146.5,155.8,216.2,,73.3,,,,99.9,112.3,130.4,58.6,,131.7,,280.0,,,100.0,186.7,59.3,31.8,145.7,159.5,99.6,132.6,29.1,102.2,95.6,113.3,,93.4,96.2,,121.4,,15.1,,,97.8,,127.0,87.5,97.2,42.2,144.1,,247.1,242.6,124.9,,86.8,134.1,,321.1,,,
2010-03-01,FISH_FRESH_IND_YOY,112.5,89.1,5.5,,83.7,88.6,35.3,100.0,147.8,96.2,,90.4,,99.0,92.8,90.1,75.0,125.1,76.7,,131.3,100.1,111.6,121.4,114.1,,85.6,183.3,85.5,164.8,99.2,107.8,,61.7,64.5,74.3,61.2,58.2,61.3,70.1,138.2,160.2,,65.7,,328.6,,108.6,132.9,146.4,59.5,,126.3,178.3,310.0,,,100.0,157.7,150.2,64.2,111.1,428.0,127.4,1889.7,234.9,131.0,76.7,222.8,,50.6,126.2,,192.4,,20.9,,,99.2,84.4,117.5,89.3,133.5,62.5,112.1,,80.5,111.2,99.0,,139.5,97.3,,555.1,,,
2010-04-01,FISH_FRESH_IND_YOY,95.1,97.9,66.4,,3147.9,88.1,88.2,156.0,169.2,37.5,,104.4,,76.4,112.8,140.0,69.0,253.4,88.2,,99.1,105.1,107.3,106.2,239.9,,47.1,85.5,83.9,100.0,68.6,115.9,389.4,95.5,,85.4,54.9,126.4,94.6,118.4,92.5,97.2,,78.2,,18.2,,88.7,107.2,143.2,17.8,,145.4,185.7,160.0,400.0,,100.0,147.8,96.3,69.3,88.0,131.7,52.1,91.0,54.4,40.5,44.9,28.0,,126.5,99.0,,48.9,,12.6,92.6,,98.5,2216.7,85.1,256.9,218.1,73.9,94.0,,132.6,51.2,140.3,,112.2,92.2,,,,,
2010-05-01,FISH_FRESH_IND_YOY,118.6,125.2,,,72.6,104.8,78.6,50.0,41.5,2390.0,567.3,107.9,,75.4,192.0,99.6,207.1,157.6,,,89.3,192.8,112.2,96.3,93.1,,124.6,41.4,138.4,103.5,119.2,119.0,157.9,115.9,,101.5,105.0,111.7,25.9,159.6,,,,80.0,,14.8,,297.9,59.5,63.7,690.0,,37.4,,100.0,521.7,,100.0,80.9,88.6,31.1,40.6,12.0,82.1,84.7,112.0,52.6,46.7,58.8,,149.5,105.3,,44.4,,31.9,193.6,,96.9,500.0,172.6,115.0,91.7,26.6,148.7,,133.4,165.9,3847.0,,108.8,150.8,,,,,
2010-06-01,FISH_FRESH_IND_YOY,120.4,93.1,,,58.4,135.4,161.7,150.0,30.8,,,102.3,,63.6,78.9,7.4,386.4,129.5,575.7,,102.3,74.0,123.2,99.4,108.6,,91.9,174.0,163.8,72.0,126.3,108.1,528.7,95.3,110.3,,83.1,477.0,39.1,109.8,82.5,191.5,,85.4,,2.6,,119.3,100.8,108.4,39.9,,101.0,205.9,380.0,109.2,,100.0,70.7,409.3,86.2,30.0,130.4,72.3,57.4,101.0,68.5,37.5,81.3,,123.1,99.6,,92.2,27.7,20.9,112.1,,104.0,29.4,228.5,114.1,92.5,116.5,134.6,,123.6,95.1,129983.3,,99.3,143.0,,,,,
2010-07-01,FISH_FRESH_IND_YOY,60.8,77.3,,,89.7,194.6,117.3,104.0,26.8,70.0,44.1,82.9,,98.0,76.7,4.7,150.0,84.2,214.7,,109.7,41.2,137.3,117.2,85.2,,25.5,193.5,117.5,44.8,111.9,129.2,,65.6,106.8,,48.8,87.1,123.2,195.9,99.1,46.1,,92.1,,6.3,,221.2,117.7,41.4,25.3,,251.0,239.0,800.0,89.6,,100.0,99.5,78.0,226.6,144.6,88.2,70.6,84.4,63.7,64.8,120.6,58.9,,203.2,125.0,,146.6,166.0,16.4,119.4,,114.3,48.8,127.2,131.2,98.2,64.7,52.5,534.6,27.8,223.6,135.8,,48.7,64.8,,,,,
2010-08-01,FISH_FRESH_IND_YOY,54.6,106.4,720.0,,99.2,108.2,103.3,88.8,47.7,102.4,41.8,101.5,,200.5,150.3,67.7,125.0,103.4,56.8,,89.4,57.5,122.4,118.0,515.7,,20.3,36.8,129.5,63.9,160.9,140.4,,93.3,104.0,,90.9,,112.8,77.7,76.3,21.0,,97.4,,4.8,,113.1,97.7,17.1,157.8,,50.6,954.9,174.0,208.0,,100.0,53.6,94.1,113.2,65.8,264.6,111.9,105.7,83.2,107.9,58.8,111.5,,299.0,99.7,,147.3,121.6,0.4,151.3,,108.0,65.1,186.5,96.0,67.5,75.0,49.4,7255.6,138.2,470.6,,,129.4,38.8,,,,,
2010-09-01,FISH_FRESH_IND_YOY,91.4,104.5,51.3,,65.1,231.8,72.6,110.0,71.2,155.9,118.0,96.9,,64.9,106.2,181.5,113.2,85.8,255.6,,104.9,53.4,197.0,119.8,949.4,,93.0,127.3,78.3,79.4,151.5,65.6,9727.0,127.3,330.4,78.2,131.9,116.8,149.9,129.3,76.7,54.1,,161.7,,18.0,,124.9,87.4,69.8,129.7,30.0,81.6,117.0,239.5,86.6,0.1,100.0,46.1,224.0,154.8,83.3,114.4,118.7,121.0,71.3,121.0,46.2,140.6,,111.4,103.8,,221.2,76.5,70.0,88.6,,100.3,37.3,90.1,96.4,126.2,78.2,86.7,1024.0,117.4,336.4,25.3,,75.1,67.5,,166.5,,,
2010-10-01,FISH_FRESH_IND_YOY,121.8,101.4,104.2,,102.4,129.9,46.8,147.3,43.6,74.5,106.9,95.2,,84.4,87.9,12.9,192.7,80.2,224.5,,121.4,27.1,94.3,161.5,22660.0,,118.5,137.7,153.7,56.9,120.3,80.2,876.0,117.6,34.5,80.5,183.4,91.9,97.7,112.0,89.3,41.8,,135.9,,51.4,47.6,156.0,123.9,404.3,80.4,136.7,108.3,113.7,97.9,99.4,389.3,100.0,71.9,54.8,156.5,145.9,129.2,103.3,141.4,60.1,105.3,157.4,98.8,,63.3,80.1,,58.5,77.9,16.9,61.6,,49.8,64.0,146.5,83.1,153.9,104.6,125.5,,278.7,62.2,82.8,,97.0,106.0,,,,,
