dates,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2010-01-01,FISH_PROC_IND_YOY,119.3,86.6,131.7,145.7,96.8,116.4,276.4,79.9,95.2,66.4,105.6,105.2,10.5,0.2,73.5,67.7,52.8,114.4,162.3,87.1,104.0,197.2,76.6,80.1,0.5,,138.8,139.1,49.2,86.1,95.2,82.4,137.5,71.3,,,78.6,64.3,102.6,53.7,217.7,254.4,,,,,,97.0,106.3,86.0,131.3,126.1,228.7,90.6,110.7,178.0,126.6,105.8,83.0,99.3,83.2,33.8,,110.8,155.4,153.4,96.0,54.7,128.8,,105.5,114.8,128.4,113.3,145.5,138.8,153.1,64.0,106.6,128.1,104.2,96.3,130.8,80.5,131.8,115.3,143.5,132.6,130.0,106.1,117.9,121.5,222.1,0.1,,,
2010-02-01,FISH_PROC_IND_YOY,125.3,108.0,106.8,204.3,125.9,151.0,134.3,79.9,162.5,68.3,65.9,135.5,13.3,0.6,91.6,66.9,86.8,116.3,258.0,92.4,131.6,121.6,71.5,127.7,15.4,,154.5,200.1,113.6,109.0,100.3,87.2,115.2,90.9,,,96.6,74.3,131.3,98.5,188.3,196.1,,,,,,145.2,97.7,100.2,119.5,112.1,179.4,95.0,115.1,67.2,119.7,100.0,101.6,91.4,83.8,61.5,,88.5,116.3,137.8,81.8,65.3,69.8,,87.9,113.9,188.1,164.8,42.9,126.1,129.8,87.6,107.5,133.8,91.0,89.2,132.5,90.8,125.8,98.5,126.3,128.6,112.7,110.6,88.9,124.6,253.2,326.8,,,
2010-03-01,FISH_PROC_IND_YOY,118.3,104.1,139.7,210.6,123.8,139.2,180.8,52.4,127.1,63.0,74.6,127.4,38.9,0.7,101.7,48.8,70.5,120.1,117.7,99.3,107.3,101.7,74.6,87.5,104.3,,78.0,122.7,91.6,104.8,74.7,86.9,120.1,62.0,,59.0,71.2,55.3,91.3,73.9,140.5,154.0,,,,,,85.6,114.1,141.0,105.1,124.4,166.6,133.8,125.1,153.5,115.5,117.1,86.4,108.8,100.9,48.4,,91.2,63.5,45.9,101.4,69.6,104.9,,107.6,108.7,206.7,141.8,40.7,71.3,141.0,84.4,117.6,116.2,80.3,80.2,120.1,98.9,129.2,104.7,122.2,117.4,116.0,79.8,150.2,117.6,162.1,588.1,,,
2010-04-01,FISH_PROC_IND_YOY,88.6,105.6,169.8,157.3,100.0,79.0,153.6,75.7,105.3,70.4,90.1,136.1,337.7,0.6,83.1,69.3,81.1,101.7,98.2,92.7,77.4,103.5,87.0,95.4,242.3,,118.1,112.7,189.6,59.9,72.1,108.7,114.7,102.3,,80.7,84.0,105.7,102.5,121.2,130.6,133.7,,,,,,112.0,88.2,84.5,95.1,95.2,177.9,96.0,83.1,113.8,81.0,111.4,84.6,85.7,82.2,27.3,,89.7,90.8,75.5,87.1,84.0,64.7,,106.2,97.4,164.7,69.1,66.2,102.4,119.3,83.8,103.8,137.8,92.4,76.6,101.4,91.3,96.8,67.5,114.2,100.4,109.4,68.0,103.1,76.8,236.2,3.5,,,
2010-05-01,FISH_PROC_IND_YOY,107.2,128.5,146.0,146.4,124.2,88.5,119.7,86.1,103.1,89.3,110.6,204.3,208.5,0.4,85.8,99.9,112.2,78.6,84.7,95.7,98.5,75.3,91.2,96.9,93.9,,113.1,105.3,171.2,96.7,81.7,93.2,109.9,102.9,,82.3,78.3,110.8,164.8,79.4,448.8,570.3,,,,,,119.6,123.3,110.5,104.2,109.0,172.4,141.7,108.6,168.5,116.3,112.9,113.7,100.8,115.6,144.5,,92.1,88.6,108.9,88.8,79.1,71.1,,100.0,101.7,255.0,61.9,73.3,135.2,134.3,69.2,100.0,132.1,104.2,76.0,107.3,85.9,115.6,77.7,122.6,111.5,214.5,92.5,92.6,104.8,107.0,0.3,,,
2010-06-01,FISH_PROC_IND_YOY,104.6,127.3,104.6,121.4,124.1,103.7,112.7,75.5,120.4,84.1,105.3,179.0,316.7,216.1,88.3,85.4,134.5,47.3,149.4,90.1,98.7,89.1,96.3,97.3,109.1,,163.3,113.8,817.2,91.8,109.8,89.9,101.3,82.7,,30.2,100.2,70.6,118.2,71.7,144.8,184.8,,,,,,59.3,120.6,128.9,109.9,134.5,190.1,139.1,109.0,152.7,111.7,110.4,149.3,92.3,120.0,111.3,,86.5,86.7,88.2,82.7,71.3,78.2,,110.3,106.2,230.8,80.7,147.4,132.0,131.9,78.2,106.0,210.4,85.5,112.2,94.7,93.6,108.7,82.8,111.8,83.6,86.4,83.8,110.1,133.3,73.4,213.1,,,
2010-07-01,FISH_PROC_IND_YOY,78.6,118.9,126.8,166.7,152.2,92.4,113.9,78.8,99.4,115.9,89.6,178.1,140.1,173.9,70.2,82.6,70.7,16.0,184.9,124.2,105.6,108.6,111.7,122.0,90.5,,72.9,122.3,233.6,91.1,77.4,88.0,85.5,76.7,,5.0,68.8,63.1,123.4,138.5,49.0,33.7,,,,,,92.3,94.5,123.1,104.2,117.2,152.3,99.4,74.7,96.2,69.9,75.5,130.0,76.2,98.1,104.7,,82.9,93.1,69.1,80.7,70.1,76.3,,99.2,113.6,164.6,165.5,123.0,113.1,134.7,87.8,110.4,190.0,96.0,126.4,87.4,99.6,65.9,120.9,50.8,71.3,118.0,65.1,95.8,69.3,89.4,198.0,,,
2010-08-01,FISH_PROC_IND_YOY,86.6,114.8,107.4,120.5,96.0,60.7,55.4,98.9,112.2,96.2,99.8,157.5,241.8,340.2,91.3,106.5,47.0,124.5,140.7,104.8,105.7,102.3,101.7,112.9,440.1,,136.7,86.4,202.1,119.1,73.0,142.9,115.4,74.9,,,78.7,40.8,148.7,115.9,47.5,41.7,,,,,,60.3,92.3,95.0,104.2,54.9,134.5,88.0,97.0,112.8,110.5,102.1,94.8,73.2,92.6,50.1,,99.3,103.7,76.1,100.9,93.4,104.1,,92.0,107.4,140.4,154.2,95.9,124.6,102.4,91.5,103.9,124.9,103.1,122.4,98.0,111.7,78.2,139.3,126.4,100.5,104.9,78.4,118.2,42.5,158.4,207.5,,,
2010-09-01,FISH_PROC_IND_YOY,96.2,123.6,142.0,168.5,106.0,54.5,85.6,129.6,105.3,103.1,109.5,151.6,326.5,522.3,125.5,138.2,51.2,72.6,154.0,111.2,106.6,166.3,104.8,120.7,1026.0,,103.5,106.9,317.2,99.5,113.8,133.3,123.8,83.2,,158.0,81.4,72.3,178.6,65.4,64.1,62.9,,,,,,84.0,100.0,132.6,109.8,101.0,185.9,126.9,104.6,131.8,60.7,124.0,100.9,93.2,113.1,36.2,,110.6,141.3,69.8,112.0,89.4,125.4,,102.2,111.7,85.3,139.5,80.4,150.9,116.7,113.3,103.8,110.9,96.0,110.9,118.4,107.2,88.7,196.0,93.9,100.0,152.5,81.9,94.2,61.5,100.7,154.1,,,
2010-10-01,FISH_PROC_IND_YOY,116.9,110.9,138.9,172.1,145.3,64.2,125.2,92.2,120.0,134.9,111.1,100.9,16.2,,98.5,129.9,62.7,148.0,179.1,131.1,121.9,70.2,106.2,158.7,22861.1,,119.4,122.2,133.2,128.4,93.6,144.4,109.6,110.1,,275.9,152.4,88.8,124.4,97.2,28.7,22.1,,,,,,63.8,99.0,116.5,84.4,82.3,111.5,118.6,99.0,109.4,114.7,101.0,116.3,89.7,106.9,39.3,,84.4,51.6,116.9,89.0,124.8,71.2,,94.1,109.4,179.7,86.8,407.1,218.6,121.0,89.2,94.5,124.8,104.4,101.8,121.8,110.1,116.3,33.6,104.6,109.7,136.7,92.3,96.8,124.2,125.3,267.7,,,
