,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,FISH_SHIP_MLN_RUB,4481.2,80.4,7.7,,0.6,0.1,,5.9,4.2,,3.7,26.9,0.0,17.9,3.2,0.0,0.7,9.3,0.0,,1646.6,124.0,1.7,134.0,5.5,,11.4,93.4,9.3,1257.3,4.4,,11.0,148.72879999999998,0.508,,24.3508,38.0652,14.5685,71.2363,15.5916,3.7714000000000003,,0.5,0.073,0.176,,11.071200000000001,36.4,12.6,,0.1,1.9,7.2,0.3,0.2,0.9,1.6,2.6,0.4,6.7,1.5,0.5,16.9,1.4,0.6,9.3,6.5,2.7,,5.5,28.2,,3.1,0.3,7.2,3.7,,2.9,0.6,4.1,3.3,3.1,,2508.3,,1061.0,566.8,126.8,,133.7,620.1,0.0,0.0,,,
2009-02-01,FISH_SHIP_MLN_RUB,7226.2,72.3,7.7,0.0,0.7,0.1,,6.0,4.2,,4.0,25.9,0.0,9.7,5.3,0.0,0.4,8.0,0.0,,2390.2,107.1,1.8,223.3,1.5,,55.6,311.6,6.1,1662.9,5.3,5.5,11.0,134.5066,0.1484,,29.7407,37.3318,16.1519,51.1338,24.474400000000003,4.048,,1.025,0.073,0.147,,19.1814,38.3,12.0,,0.2,3.4,8.4,0.5,0.6,0.9,1.6,1.6,0.4,6.7,1.8,0.3,17.8,1.4,0.8,10.9,3.1,7.7,,4.7,28.3,,3.1,0.3,7.1,4.0,,2.4,0.6,4.1,3.6,3.1,,4520.4,,1812.0,1233.5,594.6,,247.8,602.4,0.0,30.1,,,
2009-03-01,FISH_SHIP_MLN_RUB,11617.2,91.7,7.7,0.0,0.7,2.5,,6.0,4.2,,1.0,34.0,0.0,22.6,5.5,0.1,1.3,6.0,0.0,,2747.4,218.6,1.7,368.9,15.3,,87.2,369.0,5.1,1675.4,4.9,5.5,11.0,206.39280000000002,0.7308,,26.4589,54.5999,16.5016,108.1016,21.361099999999997,2.0405,,0.875,0.073,0.237,,18.1356,37.3,12.1,0.2,0.3,3.0,6.5,0.6,0.4,0.9,1.6,1.6,0.4,6.7,2.7,0.3,29.5,1.4,0.6,20.2,6.2,12.9,,7.3,27.5,,3.1,0.3,4.5,4.5,,3.1,0.6,4.1,4.3,3.1,,8456.1,8.4,3303.4,2736.5,851.6,,142.6,1377.7,,36.0,,,
2009-04-01,FISH_SHIP_MLN_RUB,10489.8,135.1,7.7,0.1,0.7,44.4,,6.1,2.3,4.5,1.4,38.1,0.0,12.0,5.5,3.9,1.6,6.7,0.0,,2475.8,227.0,1.6,263.9,5.5,,84.1,428.9,8.6,1442.1,5.1,3.5,11.0,279.20309999999995,0.6558999999999999,0.8259,28.7935,139.6055,39.1656,70.1567,27.5936,10.737,,0.95,,0.249,,15.6576,40.0,12.0,0.2,1.0,0.7,2.7,0.4,0.5,1.1,2.4,2.5,0.2,6.7,8.9,0.8,31.4,1.2,2.7,22.5,5.5,14.0,,4.9,25.4,,3.0,0.2,5.5,2.8,,2.2,0.7,4.0,4.3,2.7,,7475.4,21.2,2921.4,2393.8,706.0,,294.2,1025.5,,113.5,,,
2009-05-01,FISH_SHIP_MLN_RUB,9183.2,103.8,7.7,0.2,0.7,4.3,,6.0,2.3,,12.2,42.2,0.1,15.4,4.8,1.6,1.4,5.1,0.0,,2934.6,179.9,1.5,706.9,115.9,,58.5,187.6,29.6,1759.7,4.5,3.5,2.8,260.857,0.1454,1.161,38.0026,132.83079999999998,10.3304,78.38680000000001,9.4986,2.812,,1.0,,0.144,,5.5426,70.8,13.1,0.2,1.4,1.8,3.0,0.7,0.5,1.1,2.4,4.0,0.2,37.8,4.2,0.5,26.9,1.2,2.4,9.6,0.6,4.7,,13.7,42.1,,3.0,0.2,3.3,0.2,,24.5,0.7,4.0,3.5,2.7,,5734.7,0.1,1405.5,2403.1,335.8,,201.2,1248.4,,140.5,,,
2009-06-01,FISH_SHIP_MLN_RUB,6927.7,81.5,7.7,0.1,0.6,0.1,,5.9,2.3,0.4,,47.6,,5.9,4.8,1.7,1.4,3.0,0.0,,2770.8,301.8,1.5,550.5,125.0,,5.0,238.6,28.5,1635.0,3.5,3.5,2.8,193.6501,0.6245,,37.4706,76.3313,14.2601,64.9636,8.661200000000001,3.5471,,1.025,,0.119,,3.9701,70.0,20.7,0.2,0.6,0.1,2.3,0.0,0.8,1.1,2.4,2.5,0.2,37.8,1.0,0.5,38.5,1.2,4.2,28.6,1.5,24.8,,4.5,26.8,,3.0,0.2,4.4,0.4,,9.2,0.7,2.6,3.7,2.7,,3737.7,0.1,1201.3,1706.5,213.8,,333.2,282.8,,0.0,,,
2009-07-01,FISH_SHIP_MLN_RUB,6793.7,131.0,42.4,0.0,0.2,0.1,,3.9,2.3,0.4,1.3,55.5,0.0,7.3,4.8,6.6,1.2,4.7,0.1,,3317.8,264.5,1.6,757.6,107.4,,5.1,432.4,26.9,1819.9,3.6,3.5,2.8,118.7413,0.1915,,44.047599999999996,48.265800000000006,13.048399999999999,13.188,13.7859,0.5347999999999999,,0.95,,0.08,,12.2211,49.9,1.4,0.3,0.5,0.2,1.7,0.4,1.1,1.1,2.4,1.8,,37.8,0.8,0.6,69.6,2.2,5.7,57.6,2.2,53.7,,4.1,28.3,,3.1,0.1,4.5,0.2,,11.6,0.2,2.6,3.6,2.0,0.3,3064.7,2.6,1118.6,898.0,290.8,,241.2,473.6,,39.9,,,
2009-08-01,FISH_SHIP_MLN_RUB,7812.6,100.3,12.0,0.2,0.2,0.1,,1.7,2.3,,4.9,55.5,0.0,8.6,4.3,2.9,0.7,6.8,0.1,,3264.7,285.8,1.8,552.8,11.3,,5.4,450.7,26.2,1930.1,3.1,2.5,6.3,162.9447,0.255,,73.99,36.7971,15.1708,36.7318,14.4268,0.4018,,0.95,,0.088,,12.987,37.7,3.2,0.4,0.5,5.5,1.5,0.5,0.6,1.0,2.4,2.5,,17.5,1.6,0.5,68.5,2.3,3.4,58.5,4.4,51.9,,4.3,28.7,,3.1,0.1,3.7,0.6,,11.2,0.2,3.5,4.0,2.0,0.3,4135.3,2.6,1698.9,853.8,432.3,,126.4,923.4,0.0,97.9,,,
2009-09-01,FISH_SHIP_MLN_RUB,8538.4,118.2,7.1,0.1,0.1,14.3,,3.5,2.3,,7.4,56.2,0.1,10.0,4.0,2.3,2.0,8.8,0.1,,2907.5,322.4,1.8,399.9,2.8,,4.4,444.9,26.2,1696.8,2.3,2.5,6.3,274.1087,0.142,1.4421,45.6886,160.2628,15.5824,50.9908,24.8721,4.2588,,1.125,,0.067,,19.4213,46.5,5.2,0.4,0.9,9.0,5.7,1.0,2.3,1.0,0.5,6.3,,11.3,2.5,0.4,67.8,2.2,5.8,49.1,4.2,41.4,,10.7,20.5,,3.1,0.1,0.1,0.3,,7.2,0.2,3.5,3.8,2.0,0.3,5079.0,5.9,2228.6,1272.9,645.0,,192.6,661.3,0.1,72.6,,,
2009-10-01,FISH_SHIP_MLN_RUB,8117.5,151.1,15.0,0.0,0.6,36.1,,3.6,4.7,0.1,8.7,52.7,0.0,10.6,4.2,3.9,1.2,9.5,0.1,,2980.2,369.4,1.8,317.0,4.6,,4.6,420.6,27.7,1828.4,1.9,2.5,6.3,208.77059999999997,2.3364000000000003,0.3973,43.8866,60.0471,33.2824,68.8208,33.372,8.813600000000001,,1.275,,0.0,0.336,22.947400000000002,53.8,10.0,0.4,1.8,11.0,7.2,1.6,1.7,1.0,0.5,3.2,,11.3,4.0,0.1,61.7,1.3,4.7,45.4,3.7,26.6,,10.3,29.1,,3.7,0.2,0.3,0.2,,13.8,0.6,3.5,3.3,3.3,0.1,4599.6,3.6,1985.2,1210.1,57.6,,324.0,914.6,0.0,104.4,,,
