dates,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,INCOME_PERCAP_IND_YOY,107.9,116.0,114.4,118.9,128.5,107.9,85.2,124.2,113.0,112.4,133.8,111.9,109.2,104.7,102.5,119.8,127.5,119.5,108.3,117.6,100.0,104.4,92.4,105.0,113.9,,97.1,111.0,96.3,122.5,116.8,121.0,92.1,118.8,185.9,100.1,118.0,119.0,129.5,110.2,122.4,124.0,124.2,156.8,117.3,117.6,,114.9,114.4,118.5,136.1,114.7,113.3,123.0,100.7,107.7,121.6,107.2,136.2,113.3,110.5,113.6,126.8,111.5,107.7,115.5,106.5,102.4,105.5,,114.3,106.6,108.2,183.4,107.8,102.0,116.6,117.4,112.4,102.9,94.7,92.3,104.2,115.3,115.5,123.1,110.8,108.3,115.2,129.4,109.7,113.1,123.8,140.0,,,
2009-02-01,INCOME_PERCAP_IND_YOY,116.9,118.0,116.0,113.3,129.4,120.0,123.0,122.8,118.2,115.0,115.7,104.6,110.1,92.0,109.0,114.3,119.4,127.0,102.5,123.6,115.0,109.2,100.6,114.1,91.5,,103.1,120.7,100.6,122.2,114.8,123.1,121.4,119.0,123.5,116.8,114.1,128.3,119.9,122.0,125.7,139.2,137.6,123.2,136.5,92.5,,120.4,118.6,119.3,118.2,109.9,121.0,116.3,99.8,116.3,106.0,112.3,129.0,117.2,127.2,125.7,110.7,110.8,110.5,112.8,109.5,107.5,108.4,,109.6,109.1,126.1,124.7,141.9,103.5,119.8,124.3,106.2,110.4,97.5,108.2,110.6,104.1,117.4,116.8,133.8,115.5,114.4,116.8,105.2,123.1,126.1,107.5,,,
2009-03-01,INCOME_PERCAP_IND_YOY,119.2,118.7,123.1,119.8,130.4,118.4,121.8,121.6,111.5,110.9,122.2,101.2,105.8,108.5,110.9,104.9,119.0,125.7,112.7,124.9,120.1,111.0,115.5,124.5,98.3,,113.1,107.9,102.8,118.3,117.4,117.4,128.6,119.5,146.2,136.0,117.2,126.4,116.4,120.0,118.2,129.9,121.8,115.7,122.3,98.9,,111.5,113.7,117.9,117.8,79.7,115.2,112.3,102.5,113.2,111.6,109.3,124.2,111.3,113.3,125.7,111.6,110.8,109.0,121.7,104.6,99.3,106.1,,106.4,111.3,122.5,108.3,154.0,97.4,117.4,118.6,117.4,115.7,96.9,110.6,108.7,115.7,123.4,125.1,125.3,124.9,116.1,119.4,127.5,129.7,138.5,129.4,,,
2009-04-01,INCOME_PERCAP_IND_YOY,115.5,116.6,119.9,117.6,124.4,122.6,117.2,130.1,130.5,112.1,117.6,106.1,119.0,100.2,127.9,101.3,114.0,126.7,116.3,118.5,121.1,111.0,105.3,123.3,113.8,,101.5,91.7,104.6,114.3,116.5,117.0,140.6,117.7,127.0,119.1,120.3,116.9,121.4,112.1,120.7,132.4,135.3,105.7,114.5,104.1,,117.6,117.0,123.9,121.6,128.5,112.5,117.7,110.8,110.3,109.6,121.4,105.8,115.8,120.9,124.4,113.3,111.9,108.9,121.1,105.7,103.4,109.2,,109.1,107.0,130.6,127.5,135.9,114.3,111.9,117.7,105.4,110.1,96.5,109.6,100.0,100.6,120.4,113.4,119.5,127.8,122.9,113.7,124.3,117.4,105.4,134.0,,,
2009-05-01,INCOME_PERCAP_IND_YOY,115.6,116.3,105.8,110.6,113.2,121.2,124.2,109.0,112.1,102.4,119.6,107.4,106.2,92.2,115.4,105.0,114.3,115.4,103.2,122.1,123.7,115.5,105.2,118.4,115.7,,106.2,123.0,106.6,113.7,110.8,113.3,142.0,115.6,136.7,125.7,116.1,118.5,122.9,108.9,121.8,133.3,106.5,111.2,119.3,114.4,,116.5,110.5,110.2,115.8,116.6,112.0,114.3,105.6,104.5,104.0,110.7,106.7,111.1,115.2,112.2,110.6,107.5,112.8,113.8,101.8,99.9,102.3,,107.1,108.6,113.5,115.8,129.8,110.8,110.0,119.3,107.7,106.0,95.7,126.0,101.1,103.8,122.2,114.4,116.0,132.1,122.0,114.8,125.8,122.1,124.4,124.7,,,
2009-06-01,INCOME_PERCAP_IND_YOY,114.1,121.5,101.3,112.8,109.5,117.1,125.4,126.7,91.8,109.2,123.4,108.3,109.2,124.2,113.2,104.9,110.2,116.3,100.5,131.1,114.6,115.3,102.8,117.0,110.1,,96.4,112.2,108.0,109.3,112.8,110.6,122.3,109.6,137.3,122.6,105.3,127.5,113.1,106.6,116.5,130.1,110.8,101.3,124.5,106.9,,108.7,110.8,108.6,110.3,110.6,110.3,117.4,108.7,116.2,116.7,109.0,111.8,106.6,109.5,110.6,106.4,103.4,112.5,107.6,99.0,97.0,99.2,,102.9,104.7,109.3,112.5,142.6,106.7,103.5,116.9,106.7,108.5,85.3,123.8,98.4,93.5,113.4,114.0,113.8,118.4,123.6,107.5,120.1,108.4,131.6,37.9,,,
2009-07-01,INCOME_PERCAP_IND_YOY,109.9,111.7,106.0,112.1,109.2,107.5,89.5,115.8,101.0,110.8,116.4,103.7,102.3,106.9,107.5,107.5,111.3,108.7,105.4,116.0,107.4,110.1,100.9,110.8,79.9,,95.1,113.9,105.4,110.4,112.8,103.0,108.6,106.4,123.2,124.9,107.1,113.5,111.5,99.5,109.3,107.2,97.6,93.9,110.1,114.0,,117.3,110.0,109.2,111.7,121.1,114.5,106.0,102.3,108.1,108.0,105.6,110.4,113.5,113.1,108.1,110.2,100.7,104.4,103.2,96.2,92.4,103.2,,103.5,100.9,113.8,109.1,135.9,91.7,98.4,114.4,102.2,102.9,88.1,109.0,97.9,99.0,116.6,113.6,124.9,120.0,120.8,96.6,124.7,110.4,125.3,165.1,,,
2009-08-01,INCOME_PERCAP_IND_YOY,101.4,97.5,99.3,101.7,95.6,103.0,87.5,101.3,98.7,106.3,112.7,94.0,100.4,97.2,108.3,96.6,90.1,108.2,95.5,96.5,111.5,104.5,99.1,111.1,82.2,,84.1,108.6,114.5,107.6,101.5,96.2,123.0,101.1,123.3,119.7,103.8,106.8,105.8,92.2,115.0,123.2,95.6,100.2,114.3,102.4,,115.8,103.6,102.8,110.2,113.1,107.2,111.8,105.2,98.4,100.1,100.7,107.1,107.2,100.2,101.2,112.0,93.9,98.9,98.0,88.1,86.0,97.0,,96.5,95.6,86.4,105.4,116.4,101.4,92.4,104.4,100.7,99.9,82.1,100.7,92.5,90.3,111.0,105.2,119.3,115.9,121.7,85.3,124.8,101.0,115.0,163.1,,,
2009-09-01,INCOME_PERCAP_IND_YOY,111.1,117.6,107.4,114.3,105.1,110.3,114.2,109.7,122.7,112.7,113.7,105.1,109.5,99.0,114.4,105.5,114.7,115.6,102.1,126.8,121.2,109.6,102.7,114.2,79.6,,97.4,116.9,129.9,112.7,113.5,109.1,136.5,107.9,118.2,125.8,113.1,112.9,107.5,99.3,112.2,120.5,84.0,100.8,105.9,100.5,,113.5,108.9,102.1,115.5,113.1,105.3,120.3,109.2,108.0,108.5,108.0,111.9,113.5,116.6,104.1,115.6,102.3,107.3,106.7,95.3,93.8,105.4,,107.1,101.6,92.9,100.3,121.9,107.4,95.7,113.1,106.0,105.6,89.1,110.1,97.4,98.9,108.7,111.3,123.1,108.0,118.7,89.3,133.0,85.7,123.6,225.7,,,
2009-10-01,INCOME_PERCAP_IND_YOY,116.2,124.1,114.1,123.0,99.8,111.4,121.9,110.1,100.9,112.2,126.8,106.9,109.2,116.2,110.6,109.3,113.3,114.0,110.8,138.2,119.4,111.1,104.6,117.4,126.7,,99.0,120.1,124.6,110.9,116.4,107.3,129.7,116.9,124.7,137.6,130.4,116.0,109.7,103.4,110.1,119.3,107.8,118.2,113.5,89.0,,102.4,113.4,119.3,115.3,128.6,105.1,112.7,107.8,110.3,102.2,116.3,117.0,112.3,121.6,115.0,94.3,101.7,100.4,114.8,88.1,87.4,89.3,,111.0,104.2,93.6,111.8,105.7,96.1,94.7,106.7,111.5,102.6,93.9,122.2,96.6,100.5,122.1,115.9,118.3,118.9,132.0,111.8,142.4,132.5,113.6,94.3,,,
