dates,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,INCOME_REAL_IND_YOY,95.2,102.5,101.0,104.1,113.8,92.9,73.0,107.0,97.5,95.7,114.4,100.5,94.7,89.3,87.1,103.5,112.4,102.8,94.1,105.5,87.2,92.1,80.1,91.4,94.0,,84.7,96.3,83.1,106.0,101.7,105.6,80.2,104.5,163.5,85.4,104.9,104.4,114.0,95.7,,109.7,108.9,135.0,103.5,104.1,,100.5,101.0,105.8,121.6,100.0,102.7,108.3,88.4,92.9,105.5,92.9,120.6,97.9,97.9,100.7,110.9,99.3,93.3,100.5,96.3,94.2,94.1,,102.5,93.9,94.5,161.9,94.1,89.1,100.7,103.9,99.9,90.0,83.9,80.6,92.0,103.4,100.5,108.4,96.1,95.2,99.5,111.9,85.7,98.5,106.5,119.6,,,
2009-02-01,INCOME_REAL_IND_YOY,102.6,103.5,102.4,99.0,112.6,102.1,104.2,105.3,102.4,96.8,98.9,93.5,95.2,79.1,92.5,98.2,103.7,108.5,88.9,110.6,99.5,95.6,86.9,99.2,75.5,,89.9,103.3,86.3,106.0,99.1,106.5,104.7,104.2,108.5,100.6,100.1,113.0,105.0,105.8,,122.2,123.0,106.2,120.3,81.2,,105.7,104.6,106.7,103.7,94.9,108.8,101.6,87.6,100.3,91.8,97.3,114.6,100.4,112.5,111.3,97.1,98.6,96.3,98.2,98.8,98.8,95.9,,97.6,95.8,109.6,110.5,125.4,89.9,102.6,109.6,94.1,96.3,86.3,94.5,97.0,93.1,101.2,102.6,113.4,100.6,98.1,99.7,81.5,106.7,107.3,91.0,,,
2009-03-01,INCOME_REAL_IND_YOY,104.5,104.0,108.3,104.0,113.4,99.9,103.9,103.5,96.7,93.0,105.2,90.0,91.3,93.4,94.2,90.3,103.9,107.3,96.8,111.1,103.8,96.6,99.5,108.2,82.1,,98.8,92.3,88.3,102.2,101.1,102.1,110.7,104.8,128.2,118.4,103.1,111.1,102.1,104.3,,114.5,110.0,99.9,108.0,86.7,,97.7,100.3,105.1,103.9,68.7,103.8,97.7,90.2,98.1,96.5,94.8,110.2,96.4,100.1,111.0,98.0,98.7,94.3,106.6,93.7,90.4,93.3,,94.9,97.6,106.1,95.5,135.9,84.6,100.4,104.1,103.5,100.4,85.7,97.0,95.3,103.6,106.2,109.3,105.1,108.3,100.2,101.6,100.2,111.9,117.6,110.2,,,
2009-04-01,INCOME_REAL_IND_YOY,102.0,102.7,106.6,103.0,108.5,104.1,100.8,111.6,113.8,94.5,101.9,94.9,103.3,86.7,109.9,87.6,100.3,108.6,100.9,105.7,106.1,96.6,91.3,108.0,95.7,,89.8,79.6,90.9,99.0,100.9,103.3,123.2,104.1,112.6,105.2,106.7,104.0,107.4,98.6,,117.6,122.4,91.4,102.1,91.5,,103.7,104.0,111.1,108.0,110.9,101.6,103.1,99.3,96.6,95.3,106.8,94.1,101.8,107.4,110.4,100.2,100.1,94.8,106.7,95.0,93.9,97.2,,97.8,94.5,115.2,113.2,120.6,100.3,96.5,102.3,93.8,96.2,86.3,97.0,88.9,91.0,104.2,99.1,102.2,111.6,107.4,97.7,99.6,101.1,90.1,113.4,,,
2009-05-01,INCOME_REAL_IND_YOY,102.9,103.3,94.5,97.1,99.1,104.1,108.3,94.5,98.6,86.9,104.5,96.1,92.9,80.8,100.6,91.4,101.4,100.6,89.9,110.1,109.5,101.5,91.5,104.4,97.8,,95.2,108.6,93.3,98.9,96.9,101.1,126.1,103.2,122.2,112.7,103.7,105.8,109.8,96.8,,120.0,98.0,97.3,106.3,101.7,,103.4,99.1,99.7,103.2,101.4,101.6,101.1,95.5,92.3,91.2,98.1,96.0,99.2,103.0,100.9,98.8,96.5,99.7,101.1,91.3,90.1,90.9,,96.2,96.7,100.0,103.9,116.4,97.8,95.5,104.0,96.7,93.4,85.9,112.2,90.7,94.6,106.7,100.7,100.2,116.1,107.3,100.3,102.2,105.6,106.9,104.0,,,
2009-06-01,INCOME_REAL_IND_YOY,101.9,108.2,91.2,99.1,96.2,101.3,109.9,110.8,81.3,92.9,108.5,97.0,96.8,109.7,98.3,91.8,98.1,102.1,88.1,118.3,101.8,101.4,89.8,103.8,100.9,,86.8,100.5,95.1,95.0,99.9,99.0,108.9,97.8,123.8,109.7,94.5,113.7,101.6,94.9,,115.9,101.4,87.7,111.3,94.4,,96.7,99.9,98.6,98.4,96.8,100.2,104.1,98.9,102.8,103.0,97.1,101.1,95.7,98.8,99.9,96.1,93.2,99.8,95.9,89.5,88.0,88.6,,92.8,93.5,96.5,101.6,128.8,94.4,90.3,102.7,96.1,96.1,76.9,110.0,88.5,85.2,99.6,101.3,98.3,104.7,109.2,94.6,99.5,94.3,113.8,31.4,,,
2009-07-01,INCOME_REAL_IND_YOY,98.1,99.1,95.2,98.2,96.1,92.8,78.3,101.0,89.3,94.4,102.0,92.5,90.3,94.0,93.2,94.4,98.5,94.9,93.2,103.7,95.4,96.0,88.2,97.7,73.9,,85.4,102.6,92.2,96.1,100.2,92.2,96.8,94.7,110.7,111.5,95.8,101.5,99.8,88.4,,94.7,88.6,82.4,97.1,100.2,,104.0,99.0,99.2,99.3,106.0,104.0,94.3,92.6,95.5,95.4,93.8,99.8,101.8,101.8,97.3,99.2,90.7,91.8,91.9,87.3,84.1,92.2,,93.1,90.3,101.3,98.5,123.8,80.6,86.3,100.3,92.1,91.3,79.7,97.7,88.0,90.4,102.9,101.0,108.3,106.6,107.4,85.5,103.9,95.9,108.8,133.6,,,
2009-08-01,INCOME_REAL_IND_YOY,90.8,86.9,89.2,89.2,84.7,89.4,77.4,88.6,87.1,91.5,99.4,83.6,89.2,85.6,94.8,84.7,80.1,95.3,84.3,86.9,99.5,91.6,87.3,98.4,75.2,,76.4,97.9,100.5,94.2,90.5,86.4,110.4,90.3,111.2,107.9,93.3,95.9,95.2,82.3,,108.1,85.3,88.3,101.9,90.8,,103.4,93.4,93.4,98.4,99.2,96.9,99.2,96.2,87.5,88.8,90.0,96.6,96.6,90.5,91.1,101.0,84.8,87.1,87.7,80.2,78.3,88.0,,87.0,86.0,76.6,95.9,105.9,89.7,81.4,91.9,91.3,89.1,74.6,91.1,83.7,82.2,98.5,94.3,103.2,103.2,108.7,75.9,104.5,89.1,100.2,134.1,,,
2009-09-01,INCOME_REAL_IND_YOY,100.3,105.5,97.5,100.7,93.7,97.0,101.8,97.2,108.9,97.8,101.4,94.0,97.7,88.8,101.4,93.4,102.8,103.1,90.9,114.6,109.4,96.9,91.6,102.2,73.0,,88.7,106.1,115.6,99.2,102.0,98.3,124.0,97.4,107.9,115.0,102.7,102.8,97.8,89.5,,106.5,74.8,90.0,95.3,90.7,,102.2,98.9,93.0,103.5,100.9,96.2,107.0,100.7,96.6,96.5,97.7,102.0,103.3,106.3,94.4,105.2,93.0,95.2,96.5,86.9,85.6,95.6,,97.4,92.1,83.0,92.0,111.9,96.0,85.0,100.1,96.7,95.7,81.4,100.4,88.8,90.5,97.0,100.5,107.5,97.1,106.4,79.8,112.1,75.9,108.2,188.2,,,
2009-10-01,INCOME_REAL_IND_YOY,105.9,112.4,104.6,110.5,90.2,99.2,110.0,98.8,90.2,98.1,114.4,96.3,98.8,105.5,99.3,99.2,103.0,103.1,99.7,125.8,108.8,98.9,94.3,106.2,117.5,,91.2,110.1,112.4,98.2,105.6,97.0,119.4,106.4,114.1,127.2,119.3,106.2,100.4,94.0,,106.8,96.4,106.5,102.9,81.5,,93.5,104.0,109.5,104.6,115.8,97.1,101.5,100.4,99.9,92.3,106.1,107.3,103.0,111.8,105.0,87.0,93.1,90.1,104.6,80.7,79.6,81.1,,101.5,95.0,84.4,102.7,97.9,86.5,84.4,94.6,102.9,93.7,86.2,112.1,89.0,92.4,109.7,105.5,104.6,107.6,118.7,100.6,121.1,118.0,100.1,79.6,,,
