,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,MAN_IND_ROG,72.7,74.5,100.7,62.8,55.0,71.0,53.3,62.0,80.7,11.8,94.6,73.3,79.1,68.6,63.0,50.9,65.0,60.2,75.5,84.6,77.7,67.0,92.1,41.2,47.9,,107.8,48.2,77.5,65.2,81.3,64.7,75.1,42.9,84.0,51.8,57.8,73.4,77.2,22.5,59.6,31.3,71.9,51.6,62.8,32.2,120.0,88.5,67.3,90.3,67.2,71.3,60.6,43.5,46.6,74.0,66.1,45.2,85.7,89.3,50.4,60.3,26.8,75.8,64.8,87.4,83.5,87.0,86.8,,63.1,73.2,60.2,62.5,65.9,78.2,74.6,66.0,86.0,80.7,74.6,48.0,58.9,54.3,67.1,45.6,73.3,55.1,75.8,64.5,63.6,100.1,59.0,150.6,,,
2009-02-01,MAN_IND_ROG,112.1,108.0,99.4,143.3,150.3,121.7,121.8,113.7,110.0,125.3,117.4,116.4,108.6,120.8,132.6,118.1,105.1,106.7,120.8,98.7,117.3,104.9,99.9,185.9,80.1,,114.0,132.0,133.1,98.4,110.9,120.7,114.4,120.4,111.6,133.2,121.1,96.5,102.3,148.7,107.2,130.5,107.2,100.6,144.7,146.1,119.4,97.0,116.3,108.2,119.1,111.8,133.3,133.1,139.6,114.4,114.8,118.4,117.3,106.4,125.9,105.2,151.1,107.7,117.0,103.6,108.9,104.5,122.2,,112.4,102.4,120.3,114.8,115.6,98.3,112.3,102.0,94.1,99.0,99.6,116.7,113.9,118.9,105.3,137.2,134.9,112.7,94.8,151.2,142.1,82.0,108.2,122.8,,,
2009-03-01,MAN_IND_ROG,114.5,115.8,111.8,106.5,96.6,106.7,125.0,128.4,114.7,392.5,106.7,102.2,117.4,113.3,112.9,119.8,120.9,136.9,114.6,115.8,112.0,123.4,114.9,101.4,106.5,,108.8,123.4,118.8,131.2,126.5,111.9,104.7,114.1,107.5,106.4,131.7,99.3,119.1,101.0,120.1,92.4,174.1,175.9,117.5,104.5,94.6,128.0,119.2,122.7,125.9,127.5,114.3,108.8,131.7,115.3,119.9,124.7,95.3,97.7,124.1,127.8,129.7,112.3,110.4,114.1,117.7,115.0,112.8,,108.4,113.4,112.1,94.7,102.6,110.4,117.0,98.7,112.8,110.3,105.3,124.1,114.8,136.0,116.2,121.1,131.4,127.0,104.8,82.9,102.4,116.0,213.9,52.0,,,
2009-04-01,MAN_IND_ROG,97.6,95.8,96.0,96.5,90.5,109.0,118.9,96.4,99.4,33.5,93.2,106.9,91.6,90.4,97.0,110.2,84.4,86.7,91.0,99.9,94.1,100.2,96.8,98.2,100.5,,95.3,105.7,82.6,89.4,112.7,107.5,91.7,97.4,105.9,103.3,96.6,62.5,101.8,98.2,115.4,92.9,90.1,62.3,114.9,92.1,109.3,131.4,106.1,105.5,98.2,111.7,107.3,90.9,109.0,93.3,94.7,133.5,106.0,153.3,94.7,102.8,92.2,99.1,94.2,102.0,93.6,96.5,87.0,,97.6,103.2,104.6,117.0,126.7,101.6,99.8,109.0,101.3,102.3,102.8,118.6,95.7,105.4,100.1,111.2,68.6,101.1,102.6,138.9,88.7,100.0,54.9,68.9,,,
2009-05-01,MAN_IND_ROG,100.1,97.2,100.8,106.7,85.1,108.0,87.8,84.9,102.9,67.5,102.9,92.5,87.9,111.6,91.9,108.8,86.0,110.9,104.2,97.8,100.0,85.7,99.8,83.9,101.0,,103.2,173.8,98.0,107.2,83.4,105.9,94.6,105.2,104.6,99.2,100.4,184.5,101.3,106.2,117.7,118.1,97.0,100.2,113.2,102.6,130.0,120.0,101.6,107.4,97.2,84.8,106.8,97.3,83.1,101.6,108.1,88.2,109.3,96.4,99.6,106.7,97.6,94.4,93.5,87.1,103.3,99.8,116.4,,101.5,96.1,136.2,91.6,114.2,100.6,97.7,97.1,100.6,103.0,96.8,71.2,106.8,83.3,94.8,98.8,86.9,96.5,97.8,75.3,114.1,88.5,114.6,89.4,,,
2009-06-01,MAN_IND_ROG,107.1,109.6,105.3,102.3,129.5,81.7,107.3,103.9,99.5,331.0,100.6,102.9,123.8,105.1,130.8,130.3,121.0,90.8,95.9,110.2,107.0,130.6,97.5,130.9,96.7,,102.1,92.1,133.1,101.0,85.0,118.9,105.3,100.0,107.1,95.5,104.5,96.0,103.5,92.9,106.9,89.8,120.9,145.1,105.0,111.3,93.8,108.9,113.2,128.9,107.8,124.3,89.1,109.5,93.2,102.1,85.1,110.2,88.7,117.9,105.1,102.4,94.2,114.8,107.0,113.1,92.4,93.2,87.7,,125.1,105.8,122.1,112.7,117.7,103.6,125.5,113.9,106.6,100.3,94.9,110.6,113.2,93.2,103.6,114.3,117.6,102.6,101.4,119.4,113.9,92.7,141.2,78.9,,,
2009-07-01,MAN_IND_ROG,102.9,100.9,95.2,106.9,110.3,124.1,109.4,108.9,109.0,31.1,116.6,102.4,99.7,117.9,87.7,85.0,104.3,112.0,114.8,100.5,98.8,76.9,105.3,111.1,93.0,,96.4,79.3,95.5,88.2,111.6,115.1,105.1,112.1,98.0,130.1,115.1,103.4,98.7,127.3,90.2,105.1,122.9,100.9,109.1,101.3,101.1,84.6,105.4,102.3,107.1,121.7,111.6,119.6,104.1,104.9,117.6,100.2,147.5,97.5,96.8,106.4,109.9,99.2,90.7,100.0,111.1,111.4,101.5,,95.5,105.0,117.3,92.7,134.5,103.4,97.6,100.0,108.5,104.4,122.4,85.6,101.9,103.5,125.1,108.0,189.6,129.4,111.0,92.9,104.7,134.5,103.9,165.7,,,
2009-08-01,MAN_IND_ROG,97.7,99.2,100.5,94.3,84.6,93.7,95.9,113.4,97.1,482.7,98.2,93.5,99.1,89.8,97.7,97.4,78.2,97.0,89.2,94.4,104.4,91.3,100.6,83.7,101.2,,117.1,137.1,92.5,99.7,97.3,99.3,103.5,95.4,97.6,96.5,84.9,103.4,100.3,98.8,119.3,138.6,65.2,100.0,104.5,99.8,101.0,118.7,95.6,94.0,107.0,98.8,91.9,81.4,97.8,106.9,99.8,111.6,87.9,91.6,83.6,92.3,93.9,101.1,107.7,102.1,98.6,101.8,91.6,,100.5,98.4,91.2,81.6,82.1,95.7,97.8,114.5,95.9,103.3,97.6,110.9,97.8,90.4,99.3,97.1,62.3,86.5,87.9,96.5,107.7,215.4,82.0,144.2,,,
2009-09-01,MAN_IND_ROG,104.1,98.6,147.3,114.8,103.7,135.0,91.2,87.2,104.4,31.0,102.1,124.3,120.4,93.9,108.7,136.9,135.3,115.6,98.8,83.0,105.4,102.8,93.4,89.1,121.5,,93.1,69.7,113.8,114.0,144.3,99.3,116.0,117.6,103.8,122.8,100.4,99.2,104.0,145.8,104.2,125.9,107.5,103.3,104.0,106.3,110.2,97.7,107.7,105.7,97.1,102.5,115.6,126.5,114.6,101.1,102.0,95.4,99.4,115.0,130.4,119.5,129.8,102.4,107.7,106.1,103.6,98.7,115.8,,97.7,105.3,93.8,112.2,88.4,97.3,115.3,99.9,103.8,93.7,100.4,130.1,89.8,158.3,105.7,103.0,91.9,119.8,109.7,86.5,94.0,70.7,98.3,211.0,,,
2009-10-01,MAN_IND_ROG,101.1,105.8,72.2,98.7,157.6,131.1,129.4,107.1,96.4,223.8,103.9,99.5,103.2,105.3,112.9,97.5,98.3,94.6,137.6,106.3,100.6,115.4,109.3,122.1,95.6,,104.9,102.3,100.8,103.6,81.3,85.3,98.2,95.4,101.8,84.7,109.5,96.8,100.2,85.0,99.7,76.9,131.8,119.7,93.5,82.5,106.9,108.1,104.3,114.0,96.7,88.2,85.2,132.7,113.3,99.0,99.4,86.3,95.7,111.9,102.0,93.0,95.5,103.8,86.1,104.5,101.1,106.0,98.3,,104.5,99.2,97.7,122.7,95.0,103.1,90.9,96.1,99.5,107.7,102.5,85.5,105.4,85.9,85.8,81.6,78.4,90.7,98.1,101.2,95.7,70.1,98.7,51.9,,,
