,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,MAN_IND_YOY,71.9,81.9,96.8,51.7,78.4,78.7,58.1,83.3,68.0,59.7,65.2,80.5,66.2,83.7,71.6,80.2,73.2,77.1,68.4,86.8,73.4,52.5,73.2,70.0,96.9,,67.3,58.9,76.6,92.2,73.0,69.1,81.1,77.0,88.2,128.0,73.3,77.1,75.2,81.4,88.5,109.8,78.3,111.3,72.8,79.1,274.4,83.6,76.6,100.6,68.4,82.9,63.8,77.9,50.2,57.3,69.8,65.7,64.8,116.0,53.5,80.3,43.0,72.5,73.4,68.4,87.1,86.3,93.5,,74.2,85.7,74.9,80.5,86.0,89.8,79.0,73.8,101.9,82.2,61.7,99.4,79.1,78.7,95.4,76.2,125.9,82.6,99.7,95.7,110.7,125.3,76.7,171.5,,,
2009-02-01,MAN_IND_YOY,75.5,84.9,101.8,66.5,115.9,95.2,61.5,87.3,73.0,67.9,75.8,86.6,62.8,86.5,81.2,88.4,69.2,84.0,73.1,82.4,79.0,49.8,73.9,106.4,86.5,,78.9,61.7,92.6,89.0,72.5,73.6,79.3,78.4,98.7,136.4,78.2,77.6,77.5,78.0,88.7,94.5,64.5,103.3,86.3,104.7,115.3,84.7,77.7,88.5,72.3,99.2,80.4,106.6,65.2,65.3,76.9,61.7,77.2,111.2,60.3,70.4,59.1,71.1,76.6,64.3,95.0,87.2,146.7,,74.3,84.6,80.4,102.0,84.8,90.2,75.5,66.7,92.6,82.4,64.3,95.0,84.5,94.4,91.6,83.9,111.0,85.6,87.5,143.4,112.6,112.1,61.3,97.1,,,
2009-03-01,MAN_IND_YOY,79.4,88.4,101.8,77.7,93.3,95.7,72.5,93.2,73.6,240.3,74.7,76.3,67.3,88.1,82.9,90.2,73.8,92.9,79.3,87.8,80.5,62.0,96.0,114.2,96.1,,78.5,67.1,100.5,100.5,88.6,79.0,69.8,86.3,85.1,114.1,90.6,70.8,83.0,89.2,87.7,114.3,154.5,137.4,75.4,103.5,103.7,78.9,83.8,94.6,86.4,105.6,85.1,98.1,70.8,75.8,85.2,68.5,66.4,83.9,70.9,83.6,70.5,76.3,74.7,71.5,102.4,96.5,135.9,,76.1,84.6,89.2,76.9,94.8,85.6,77.4,74.2,95.1,81.3,62.9,98.5,83.5,87.7,93.8,91.3,90.2,100.2,80.1,116.5,103.1,110.0,108.3,63.1,,,
2009-04-01,MAN_IND_YOY,78.4,93.3,101.5,72.6,60.1,98.0,86.0,92.1,73.4,44.2,69.8,75.0,59.6,77.5,83.0,108.0,61.2,83.2,73.1,127.2,78.6,69.9,99.4,110.1,81.3,,79.2,70.1,84.1,102.0,101.4,71.2,66.3,85.0,96.8,72.0,88.5,77.8,88.5,79.1,98.5,157.7,104.1,73.9,78.0,88.7,118.5,94.3,87.5,94.6,87.8,112.1,91.2,91.5,76.0,74.8,79.5,89.1,77.4,133.9,63.9,83.8,61.7,77.2,70.7,76.7,95.0,88.7,116.8,,73.3,88.0,83.4,98.0,84.4,89.3,80.7,59.9,94.2,81.7,69.2,102.8,85.9,102.7,92.5,90.0,105.5,93.0,84.5,138.3,93.1,137.6,43.4,64.2,,,
2009-05-01,MAN_IND_YOY,78.3,94.7,95.5,71.8,72.0,90.8,64.6,79.9,72.2,70.0,69.2,74.9,55.3,80.5,79.5,109.1,57.9,80.4,74.5,130.7,78.2,59.4,157.5,91.1,86.3,,79.4,120.7,86.9,106.9,91.7,66.3,59.6,87.6,96.5,76.9,86.0,84.2,86.8,89.8,109.4,126.6,99.3,88.0,93.9,94.4,110.8,109.1,87.5,102.1,86.0,82.3,95.9,79.8,64.9,66.4,90.3,82.3,79.1,137.9,65.2,81.1,62.8,71.1,69.0,65.0,100.1,94.1,131.2,,71.7,84.9,117.1,91.8,96.7,81.7,79.3,64.5,92.4,90.2,64.5,81.0,88.4,88.1,81.3,76.4,89.5,83.8,83.1,91.0,134.8,131.1,48.1,57.0,,,
2009-06-01,MAN_IND_YOY,82.6,90.2,106.9,75.2,87.0,79.9,63.0,80.4,78.6,229.4,72.4,79.2,67.7,86.6,105.5,111.4,67.5,77.5,68.6,95.4,83.0,74.8,94.3,112.7,83.3,,81.0,118.3,100.0,105.7,86.0,79.4,66.3,86.2,101.9,68.8,82.6,82.5,88.1,87.1,101.9,78.5,110.4,101.0,104.6,105.8,107.0,108.2,89.5,108.9,83.9,88.9,82.1,84.6,60.9,68.8,72.8,81.0,71.1,118.3,73.0,78.0,59.9,81.2,69.6,72.3,97.5,90.5,132.2,,89.6,86.4,111.4,113.1,90.0,88.5,95.9,73.4,93.4,89.3,62.0,70.4,103.0,88.1,85.0,89.7,92.7,78.4,82.2,103.6,118.0,129.8,73.8,52.8,,,
2009-07-01,MAN_IND_YOY,83.7,87.9,98.0,84.4,78.6,83.4,83.6,80.1,82.2,37.2,82.2,80.5,69.2,102.7,85.0,94.6,72.0,90.9,76.7,95.9,79.9,64.1,99.1,115.3,121.1,,76.7,87.5,98.2,91.3,83.0,99.6,66.8,87.8,96.8,93.0,98.3,81.2,85.7,82.6,119.2,130.7,220.2,107.0,100.3,105.0,104.4,120.1,93.5,104.6,89.0,96.5,89.7,121.7,58.8,78.1,93.2,82.6,97.3,128.2,64.1,86.5,63.7,84.1,66.7,75.6,101.5,100.1,115.5,,91.6,91.1,123.9,107.2,110.8,88.1,88.8,61.3,97.9,92.6,77.9,75.7,102.4,89.7,105.8,92.1,144.0,113.6,86.7,100.2,104.1,120.3,78.1,99.6,,,
2009-08-01,MAN_IND_YOY,81.8,87.1,96.1,78.2,68.8,77.5,79.5,87.2,80.2,316.1,80.4,77.3,73.1,85.3,89.2,99.9,53.8,76.1,70.1,88.8,87.6,71.1,97.8,100.0,110.3,,92.1,127.1,90.5,87.0,76.6,104.8,77.6,84.7,97.0,106.9,84.2,84.8,87.6,81.9,83.4,62.1,92.5,127.2,108.3,109.8,110.2,87.6,90.9,99.5,105.5,109.3,89.0,96.7,68.7,82.4,87.8,94.5,102.9,113.3,52.5,80.7,57.9,82.3,68.1,74.6,97.2,97.5,103.8,,89.5,88.6,90.9,92.7,93.6,85.3,90.2,77.5,95.6,96.9,80.1,63.3,95.4,87.7,97.9,88.5,88.2,98.0,78.9,97.4,105.2,170.5,44.6,87.3,,,
2009-09-01,MAN_IND_YOY,86.0,84.7,134.6,88.6,59.2,100.8,65.9,76.5,85.0,92.2,84.7,88.5,86.2,82.0,104.1,105.4,74.7,107.8,73.4,74.4,90.8,72.9,95.2,75.4,108.4,,95.8,79.6,101.5,86.1,108.6,98.2,84.9,103.8,100.1,138.2,81.8,86.2,94.3,133.0,116.0,143.6,104.1,127.4,114.7,132.4,36.0,107.4,93.0,105.1,100.5,94.2,94.3,82.2,73.1,83.4,88.9,88.9,72.6,118.6,68.8,96.0,73.3,84.2,74.0,80.7,98.7,93.4,129.1,,85.2,93.4,83.9,83.3,92.3,76.7,100.3,84.5,100.0,96.3,85.6,76.4,90.7,115.9,103.7,93.1,91.4,105.4,92.3,105.1,108.5,129.0,57.5,101.9,,,
2009-10-01,MAN_IND_YOY,89.6,93.5,107.1,89.0,108.0,121.5,87.0,95.0,86.7,216.9,101.9,90.7,84.4,85.7,117.5,99.3,75.7,98.1,108.7,80.7,93.9,79.3,101.3,84.1,92.0,,107.1,85.9,102.6,91.8,74.4,84.4,91.3,85.2,105.4,91.2,89.5,82.7,93.4,77.1,114.4,103.7,147.0,125.7,106.1,83.8,112.6,119.0,93.6,101.9,99.4,100.3,82.4,109.9,86.2,88.5,101.7,79.1,99.8,108.6,73.8,85.8,71.4,95.4,68.2,90.6,97.0,95.4,112.3,,103.0,94.6,91.6,105.6,105.6,85.2,92.7,69.4,97.4,101.8,86.5,75.1,104.3,113.5,89.4,82.4,79.3,95.1,81.5,66.5,91.0,114.9,64.4,88.0,,,
2009-11-01,MAN_IND_YOY,104.4,100.9,133.1,94.6,81.0,93.4,93.3,117.1,106.9,100.8,146.1,107.2,104.1,106.9,116.3,105.8,86.7,116.5,90.1,92.2,112.2,85.9,100.6,67.4,100.0,,170.4,126.0,139.0,99.5,81.7,95.4,105.4,94.7,114.4,120.5,86.0,87.0,99.5,93.5,109.3,71.4,188.6,114.7,271.7,107.9,116.0,133.2,101.8,103.7,115.6,132.0,114.2,107.2,86.1,117.0,119.6,81.5,111.3,113.1,79.2,108.0,83.4,102.3,94.8,106.3,101.7,105.3,96.9,,98.5,101.1,96.7,92.9,110.9,95.0,105.1,85.7,94.0,117.2,104.8,102.5,110.1,96.0,114.1,97.4,90.7,106.4,119.2,89.7,162.6,125.5,109.7,168.5,,,
