,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,MAN_IND_YTD,71.9,81.9,96.8,51.7,78.4,78.7,58.1,83.3,68.0,59.7,65.2,80.5,66.2,83.7,71.6,80.2,73.2,77.1,68.4,86.8,73.4,52.5,73.2,70.0,96.9,,67.3,58.9,76.6,92.2,73.0,69.1,81.1,77.0,88.2,128.0,73.3,77.1,75.2,81.4,88.5,109.8,78.3,111.3,72.8,79.1,274.4,83.6,76.6,100.6,68.4,82.9,63.8,77.9,50.2,57.3,69.8,65.7,64.8,116.0,53.5,80.3,43.0,72.5,73.4,68.4,87.1,86.3,93.5,,74.2,85.7,74.9,80.5,86.0,89.8,79.0,73.8,101.9,82.2,61.7,99.4,79.1,78.7,95.4,76.2,125.9,82.6,99.7,95.7,110.7,125.3,76.7,171.5,,,
2009-02-01,MAN_IND_YTD,73.8,83.4,99.2,59.5,97.3,85.5,59.9,85.1,70.5,64.0,70.5,84.0,64.4,85.8,76.8,84.4,71.1,80.5,70.9,84.5,76.3,51.1,73.6,90.0,92.0,,73.0,60.5,85.0,90.5,73.0,71.4,80.1,77.8,93.4,132.7,76.8,76.3,76.3,79.6,88.4,99.6,70.5,107.1,80.2,92.5,109.4,84.1,75.2,90.7,70.4,90.8,72.3,86.8,57.9,61.3,73.5,64.6,70.9,106.3,57.1,75.4,52.0,70.0,75.1,66.2,91.0,86.7,116.8,,69.4,85.1,78.0,91.1,85.3,90.0,77.1,70.0,96.9,82.3,63.0,99.0,82.0,86.5,93.5,80.4,116.9,84.5,93.4,119.6,111.8,119.0,67.8,120.6,,,
2009-03-01,MAN_IND_YTD,75.8,85.2,100.2,68.3,95.8,88.8,64.5,88.1,71.6,125.3,72.0,80.9,65.4,87.3,79.2,86.5,72.1,85.2,73.9,85.7,78.3,60.4,80.5,98.3,93.3,,74.9,63.0,90.6,94.2,77.5,74.0,76.1,80.7,91.3,125.0,82.1,75.1,78.7,82.2,88.2,104.2,95.0,119.5,78.1,96.4,106.6,82.0,78.2,93.7,76.2,96.2,76.9,89.2,62.8,66.1,77.6,65.2,69.3,95.9,62.1,80.4,59.1,71.0,75.0,68.1,95.0,90.1,123.5,,67.8,85.3,82.3,102.0,88.5,88.4,77.2,71.4,96.2,81.9,63.0,99.7,82.5,87.0,93.6,84.5,103.9,89.9,88.4,118.6,108.4,115.8,84.5,100.2,,,
2009-04-01,MAN_IND_YTD,76.5,87.2,100.5,69.5,83.5,90.4,70.2,89.3,72.1,94.3,71.4,79.2,63.8,84.1,80.2,92.1,69.1,84.6,73.7,93.9,78.2,61.0,87.1,101.3,90.0,,76.0,65.0,88.9,96.1,80.6,73.6,73.4,81.6,94.2,103.6,83.9,75.5,81.2,80.6,89.3,113.5,97.5,104.9,78.1,94.3,107.8,83.2,80.0,94.0,81.4,100.6,80.7,86.2,66.5,68.3,78.1,68.2,71.3,100.2,62.5,83.4,59.5,72.0,73.8,70.3,95.1,89.7,121.8,,66.8,85.9,82.8,93.7,87.2,88.6,78.2,67.9,95.7,81.9,64.6,101.0,83.4,91.3,93.4,86.1,104.3,91.1,87.4,124.2,104.5,120.7,69.7,93.3,,,
2009-05-01,MAN_IND_YTD,76.9,88.6,99.4,70.2,81.2,90.6,68.8,87.3,72.1,90.6,70.9,78.3,62.0,83.4,80.1,95.8,66.9,83.6,73.8,99.7,78.1,60.3,96.0,99.2,89.3,,76.7,77.4,88.5,98.2,81.2,72.7,70.3,82.9,96.4,96.3,84.4,77.4,82.3,82.5,92.3,116.2,97.9,101.3,81.7,94.3,105.9,86.9,81.3,95.9,81.3,96.2,83.9,83.4,66.2,68.0,80.6,69.1,72.9,100.9,63.1,83.6,60.2,71.3,72.8,69.2,96.1,90.6,123.8,,66.1,85.7,90.2,93.6,89.5,87.1,78.4,67.2,94.9,83.5,64.6,96.9,84.5,90.7,90.6,83.7,101.6,89.4,86.5,116.0,110.0,122.5,63.8,87.4,,,
2009-06-01,MAN_IND_YTD,77.8,89.0,100.7,71.4,82.2,89.4,67.6,86.2,73.2,112.3,71.2,78.4,63.0,84.0,84.5,99.2,67.0,82.6,73.6,98.9,78.9,62.8,95.8,101.7,88.3,,77.4,84.4,90.7,99.5,81.7,74.5,69.6,83.4,99.0,90.1,84.4,78.3,83.3,82.8,94.4,109.0,100.3,101.2,85.8,96.3,105.6,90.9,82.5,98.1,81.6,94.6,83.6,81.4,65.2,68.2,79.2,69.6,72.6,98.6,64.7,85.0,61.6,72.0,72.2,69.7,96.3,90.6,125.1,,67.5,85.9,94.8,95.3,89.6,87.3,81.5,68.3,94.7,84.5,64.3,91.5,87.6,90.2,89.4,84.8,100.0,86.6,85.7,113.5,111.5,123.5,65.8,83.2,,,
2009-07-01,MAN_IND_YTD,78.7,88.8,100.3,73.0,81.6,88.0,70.0,85.1,74.5,93.9,72.8,78.7,63.9,86.8,84.5,98.3,67.7,83.9,74.1,98.4,79.0,63.1,96.3,103.9,91.5,,77.3,84.9,91.9,98.3,81.8,78.2,69.1,84.2,98.9,90.6,86.6,78.8,83.7,82.8,99.0,116.7,113.1,102.2,88.3,97.6,106.8,95.4,85.2,102.2,82.2,95.0,84.5,85.5,64.2,69.8,81.1,70.4,76.4,99.6,64.6,88.3,62.4,73.2,71.4,70.6,97.1,91.9,123.6,,69.7,86.7,100.3,100.3,93.9,87.4,82.7,67.1,95.1,85.7,66.3,89.0,89.8,90.2,92.1,86.0,107.9,91.0,85.9,111.3,110.2,123.0,67.8,84.8,,,
2009-08-01,MAN_IND_YTD,79.1,88.6,99.7,73.6,79.7,87.9,71.2,85.4,75.3,119.0,73.8,78.6,65.0,86.6,85.1,98.6,65.9,82.7,73.5,97.0,80.1,64.7,96.4,103.4,93.3,,79.2,90.3,91.7,96.7,80.7,81.7,70.2,84.2,98.8,92.7,86.3,79.6,84.2,82.4,95.5,98.3,110.2,105.3,91.1,99.2,103.3,94.0,84.4,99.8,85.4,97.1,85.1,85.5,64.7,71.5,82.0,71.0,79.4,100.1,62.9,89.3,61.8,73.9,71.0,71.1,97.1,92.6,120.9,,71.0,87.0,98.5,99.2,93.9,87.2,83.7,68.5,95.1,87.0,68.0,84.9,90.6,90.2,93.0,86.3,104.9,92.2,85.0,109.4,109.4,132.6,63.4,85.1,,,
2009-09-01,MAN_IND_YTD,79.9,88.2,104.0,75.3,76.7,91.1,70.5,84.9,76.3,116.8,75.0,79.8,67.3,86.1,87.1,99.6,66.9,85.4,73.5,94.2,81.1,65.7,96.3,99.5,95.0,,80.9,89.0,92.8,95.2,80.9,83.7,71.8,84.9,99.9,97.7,85.8,80.4,85.3,83.8,98.0,104.1,109.5,107.8,93.8,102.5,103.5,95.6,86.8,103.2,87.5,96.6,86.2,84.3,65.7,72.9,82.8,71.2,78.5,100.6,63.6,91.5,63.3,74.9,71.3,72.1,97.3,92.7,121.8,,71.9,87.7,95.8,97.5,93.7,85.8,85.7,69.7,95.7,88.0,69.8,83.7,90.5,93.1,94.3,87.1,103.2,93.9,85.7,108.9,106.8,132.1,62.7,88.4,,,
2009-10-01,MAN_IND_YTD,80.9,88.7,104.3,76.7,80.2,95.8,72.3,85.9,77.4,126.9,77.4,80.9,69.1,86.1,90.0,99.6,67.7,86.7,76.8,92.8,82.5,66.9,96.8,97.5,94.6,,83.1,88.6,93.9,94.8,81.7,84.0,73.7,85.0,102.2,96.9,86.3,80.7,86.1,82.7,99.9,104.9,113.2,109.9,95.3,100.3,102.8,98.1,87.7,103.2,88.8,97.0,85.8,85.6,67.7,74.4,84.5,72.8,80.4,99.2,64.6,92.2,64.2,76.5,71.0,73.9,97.2,93.0,120.8,,73.8,88.5,95.3,97.0,94.8,85.8,86.4,69.7,95.9,89.4,71.3,82.8,91.8,95.7,93.5,86.7,100.9,93.5,85.3,103.0,106.9,130.2,62.8,88.4,,,
