,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,MAQ_IND_ROG,97.1,113.5,104.7,88.2,60.2,65.7,56.8,26.5,26.3,256.4,126.9,46.9,77.0,49.6,28.9,52.8,51.2,95.4,37.7,,97.6,76.2,95.5,108.2,108.1,,73.0,94.0,81.3,89.5,36.0,53.2,40.6,97.8,28.9,84.4,95.1,132.5,97.4,66.2,91.2,88.5,103.6,63.0,82.5,21.3,93.2,92.8,96.9,89.0,47.8,71.7,103.4,99.4,31.2,99.9,85.6,44.4,99.6,80.4,97.5,87.8,75.9,102.5,87.0,108.4,102.5,99.1,95.6,,67.2,92.8,97.4,92.9,81.6,73.4,91.2,88.2,80.8,99.8,94.1,84.2,76.2,100.8,104.6,113.9,85.6,117.1,83.8,111.4,91.1,101.4,71.2,124.5,,,
2009-02-01,MAQ_IND_ROG,91.9,119.2,103.7,135.4,53.4,142.3,125.2,186.0,164.2,162.2,119.0,131.2,85.7,122.8,285.5,93.9,121.8,122.2,174.3,,104.0,234.4,93.5,95.7,95.6,,154.1,93.1,76.7,146.2,102.5,220.9,134.0,89.4,250.1,121.6,94.1,79.5,86.2,110.0,98.5,96.6,94.8,109.6,115.4,216.1,90.1,100.1,91.9,97.0,133.3,145.5,90.7,90.5,0.0,90.9,111.7,128.2,90.4,88.0,86.1,94.5,91.0,86.1,101.5,110.3,85.7,89.4,90.2,,133.0,95.9,78.9,77.7,80.4,99.2,272.0,94.5,92.1,88.5,98.3,129.5,116.0,88.6,93.9,87.2,162.0,109.0,87.1,92.4,90.2,96.5,254.5,89.9,,,
2009-03-01,MAQ_IND_ROG,109.7,125.3,126.8,246.4,225.8,129.6,131.2,132.9,154.0,118.6,129.0,107.9,119.4,135.5,80.3,129.8,147.5,149.7,91.1,,110.0,92.9,112.4,111.0,109.3,,123.4,107.3,79.5,110.9,164.4,96.0,112.7,100.3,177.4,140.3,114.0,84.3,110.0,79.2,111.9,115.3,110.3,144.6,124.2,126.5,112.1,108.7,107.9,98.5,70.2,89.6,111.1,110.5,0.0,111.7,85.6,108.2,112.3,105.4,112.4,111.4,114.8,109.7,147.3,141.0,108.8,110.0,101.9,,229.2,111.3,129.0,121.9,99.1,100.2,223.7,89.6,110.0,112.9,112.9,75.1,110.6,113.3,109.1,106.7,101.3,125.2,114.9,99.6,111.3,108.5,92.7,129.8,,,
2009-04-01,MAQ_IND_ROG,97.3,94.5,101.2,108.0,105.7,95.2,117.4,159.7,47.9,68.4,100.9,135.1,84.4,87.0,89.7,101.4,160.6,81.6,142.5,,99.0,123.0,97.5,98.8,98.7,,9.7,95.2,88.1,97.5,124.9,240.9,103.1,100.8,102.0,124.3,96.2,87.9,105.1,116.9,100.9,102.9,98.5,204.5,117.4,107.2,97.8,97.7,99.8,107.5,42.9,192.6,96.8,96.2,0.0,96.6,67.7,68.5,97.8,99.9,96.1,100.5,102.2,96.0,94.9,86.4,96.5,97.6,90.0,,50.5,97.5,106.7,111.2,51.9,104.6,253.7,114.5,81.6,96.7,97.7,108.9,99.4,97.7,99.4,105.1,107.0,91.4,82.0,107.2,99.1,99.3,64.9,81.5,,,
2009-05-01,MAQ_IND_ROG,102.0,115.0,107.2,166.5,167.2,111.9,107.2,158.1,430.0,131.0,115.1,115.3,148.1,222.3,183.5,139.8,121.0,113.8,112.5,,102.1,93.7,104.4,101.1,102.7,,429.6,109.5,161.8,96.0,212.3,131.9,105.7,102.5,106.8,101.4,100.8,96.9,101.2,116.7,100.1,111.5,99.0,73.2,90.3,121.4,102.4,97.8,94.4,71.6,260.2,127.9,103.6,103.4,0.0,102.3,254.1,119.1,105.6,114.3,103.7,103.8,104.9,101.6,99.0,108.5,101.4,102.8,95.7,,111.4,107.1,101.4,103.4,301.3,114.9,234.9,131.4,97.1,128.4,106.2,104.2,100.2,103.2,99.2,82.0,60.3,111.1,213.3,122.8,126.6,100.5,84.7,101.7,,,
2009-06-01,MAQ_IND_ROG,98.7,97.5,95.1,171.5,121.2,97.4,114.6,185.2,334.6,101.8,82.8,121.1,113.8,128.7,104.2,201.0,147.6,99.5,206.2,,100.0,138.7,98.5,96.8,96.4,,155.7,98.8,127.6,95.0,80.8,132.9,129.2,96.0,70.3,95.3,101.5,95.7,95.7,90.5,97.8,102.8,94.7,115.8,116.6,105.6,90.2,95.0,100.8,111.2,201.2,204.1,97.2,97.6,69.0,97.1,187.2,204.8,99.7,97.8,95.9,98.6,98.9,96.5,100.4,109.4,96.2,96.7,93.4,,105.7,105.0,118.9,129.8,74.2,99.3,307.9,112.2,84.6,113.1,105.9,94.5,96.6,99.2,109.1,132.9,165.9,93.3,141.5,132.2,175.5,98.0,147.3,107.0,,,
2009-07-01,MAQ_IND_ROG,104.4,106.4,103.8,166.0,102.0,117.8,133.5,73.5,141.8,112.9,111.1,99.7,271.5,116.0,132.1,76.0,164.2,124.1,126.0,,102.6,85.7,99.9,106.8,107.1,,144.2,110.6,115.6,103.7,75.1,115.9,120.3,102.1,113.5,100.4,101.5,95.7,104.9,102.0,101.5,107.7,99.9,79.1,102.5,89.3,101.9,99.1,104.7,107.7,187.9,60.3,103.5,103.5,130.4,103.8,112.0,156.8,103.7,101.7,103.5,102.4,105.4,104.1,98.1,102.4,103.9,103.2,107.2,,166.1,109.0,134.6,128.1,117.3,104.8,138.9,118.5,123.3,117.0,107.4,103.7,98.3,102.8,103.3,107.8,175.9,94.7,104.3,101.3,123.2,99.7,147.9,112.8,,,
2009-08-01,MAQ_IND_ROG,100.5,99.5,103.5,72.2,99.2,103.0,83.5,95.5,74.1,96.4,94.7,99.4,66.5,92.6,109.0,116.5,66.7,107.6,104.1,,101.3,119.1,99.2,98.8,99.0,,96.2,99.9,82.7,109.7,108.1,28.5,101.4,98.3,88.5,96.7,102.5,99.7,99.0,88.3,101.8,98.4,99.9,111.8,99.2,78.0,100.0,105.2,101.4,106.0,71.5,125.6,100.1,99.9,84.7,100.6,85.4,72.0,99.2,98.6,99.6,99.8,102.0,100.6,103.2,133.8,99.8,99.3,101.9,,95.8,102.4,100.8,84.2,177.3,96.8,300.5,106.0,170.2,98.7,99.9,100.0,97.5,98.9,90.3,68.3,106.7,114.0,132.7,111.0,96.0,93.6,147.5,87.8,,,
2009-09-01,MAQ_IND_ROG,99.0,100.6,98.4,74.7,137.0,98.1,80.3,104.8,34.0,103.5,102.0,105.8,115.1,112.0,90.2,156.7,150.2,95.1,85.7,,97.9,95.1,97.8,98.1,96.1,,91.4,99.7,72.8,98.6,151.8,204.5,136.1,92.3,90.4,106.7,94.2,95.8,85.4,105.7,98.1,97.1,96.8,111.4,104.5,130.0,93.0,98.5,97.7,98.4,110.3,101.8,96.8,96.6,222.7,97.3,73.2,91.0,98.5,100.6,97.8,97.6,99.4,97.3,99.4,82.0,97.9,96.7,103.3,,101.0,100.8,133.1,111.9,105.7,98.4,166.1,106.3,116.6,95.5,98.6,103.2,82.3,98.4,116.7,178.5,76.8,109.0,78.9,82.1,77.8,111.2,86.7,88.7,,,
2009-10-01,MAQ_IND_ROG,103.6,99.6,98.8,101.8,71.8,95.4,96.9,95.1,102.7,96.5,112.4,83.6,99.3,86.4,88.0,99.5,57.4,79.2,113.6,,102.4,109.6,101.9,101.2,103.3,,86.1,99.9,96.5,104.7,107.7,74.9,70.6,103.6,86.5,99.6,102.2,103.5,106.0,101.7,103.9,99.8,98.4,109.2,98.7,121.1,104.7,107.1,101.8,97.0,112.1,64.5,102.9,103.3,102.4,103.9,75.8,78.3,103.5,121.9,104.7,99.5,111.6,105.4,101.5,98.3,105.8,103.2,116.0,,79.7,101.7,67.9,92.6,115.3,123.3,213.4,98.6,107.3,104.6,100.9,103.3,101.5,102.5,96.6,79.1,120.1,97.7,80.3,88.4,92.0,105.6,76.3,111.2,,,
2009-11-01,MAQ_IND_ROG,97.3,97.4,101.9,78.3,84.3,89.8,71.0,114.5,72.7,101.7,87.0,70.1,58.8,79.3,77.4,78.3,67.3,85.2,71.4,,96.2,92.2,98.2,96.8,97.0,,96.4,96.0,89.0,93.9,81.0,76.8,62.3,99.4,93.5,84.4,97.5,113.6,97.6,93.3,96.4,95.1,98.0,75.5,90.9,51.2,97.2,98.8,97.0,97.5,69.7,52.2,96.8,96.7,76.0,97.1,68.2,73.9,97.5,94.0,95.9,94.2,98.3,97.5,96.2,91.6,97.8,96.6,101.5,,74.1,97.7,38.5,81.5,47.9,100.7,201.8,78.2,106.0,77.8,103.4,95.0,85.5,97.8,91.1,96.1,56.7,89.6,49.1,84.2,71.8,94.6,86.7,73.1,,,
