dates,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,MAQ_IND_YOY,95.1,57.4,61.7,15.6,108.4,60.2,59.3,44.1,22.2,46.3,58.1,64.7,74.9,31.4,61.4,60.7,46.0,59.3,52.3,,92.4,27.5,98.1,128.2,128.8,,102.4,97.0,92.0,59.2,107.9,61.1,24.9,105.8,31.0,82.1,88.3,226.4,98.6,67.2,95.9,81.5,113.9,94.9,69.1,45.6,85.1,112.4,106.0,116.3,73.1,106.4,99.8,99.9,55.7,102.9,142.5,74.2,100.9,89.3,122.4,80.2,78.8,100.1,73.3,47.5,102.1,99.9,91.0,,41.5,87.8,77.9,112.3,104.7,105.3,124.2,95.0,86.5,117.6,78.8,79.8,85.2,100.4,115.9,87.9,82.6,80.6,85.6,175.0,124.2,122.8,40.8,765.4,,,
2009-02-01,MAQ_IND_YOY,92.3,71.7,69.4,20.4,38.1,83.7,60.2,52.8,47.0,80.7,72.0,59.2,35.1,34.6,98.4,42.3,48.7,57.1,72.6,,100.8,69.9,97.8,127.2,132.7,,154.1,96.8,67.3,88.6,76.4,135.1,28.6,94.5,65.1,98.6,85.0,184.3,89.3,64.3,90.6,79.2,117.2,96.8,77.9,108.8,82.8,98.3,100.8,108.0,83.7,166.4,96.5,96.7,0.0,99.5,92.1,72.9,97.7,83.0,108.8,79.6,77.1,89.2,85.4,53.9,90.5,95.2,86.5,,62.5,85.6,58.5,83.1,100.9,96.1,83.3,97.8,84.9,84.1,79.6,113.2,98.4,93.1,118.4,82.9,118.0,81.6,71.8,162.7,79.1,132.7,102.3,660.0,,,
2009-03-01,MAQ_IND_YOY,95.3,82.5,81.4,45.1,90.2,98.7,66.6,57.1,63.5,86.7,88.1,41.9,86.5,68.5,63.2,31.3,80.4,85.7,70.0,,104.6,61.7,99.7,140.0,138.5,,157.4,96.4,60.6,93.3,118.6,150.1,27.8,88.3,61.8,127.8,90.0,139.3,91.8,49.2,89.5,80.6,107.2,131.8,87.6,82.0,87.4,92.2,102.6,103.5,79.5,101.5,99.7,99.7,0.0,103.5,87.4,85.8,102.7,82.8,114.4,82.5,85.1,93.9,93.9,69.9,94.6,97.8,83.1,,119.3,90.6,73.8,101.1,139.6,87.8,86.5,96.8,93.7,101.0,85.1,81.5,64.4,98.9,121.6,83.7,151.9,110.9,119.7,165.7,103.2,130.9,146.2,883.9,,,
2009-04-01,MAQ_IND_YOY,95.2,79.0,82.6,44.4,69.6,90.2,72.1,64.8,35.7,68.0,89.0,55.2,42.0,40.6,52.7,60.1,68.2,55.9,45.3,,103.7,77.5,96.3,143.3,142.0,,22.7,96.8,34.3,90.5,89.0,219.1,25.4,94.2,46.1,145.2,90.1,135.3,99.6,64.1,90.0,82.2,110.0,222.7,100.7,116.4,88.2,88.7,105.4,114.8,43.9,331.2,99.5,98.7,0.0,104.3,61.1,51.3,103.9,87.7,110.4,83.2,87.8,93.9,83.9,70.1,94.8,98.6,78.7,,49.9,90.5,80.7,103.4,67.8,100.6,96.4,92.0,83.8,94.5,88.1,91.0,40.2,99.6,122.6,88.7,170.0,96.1,72.7,192.8,98.1,134.0,44.9,659.0,,,
2009-05-01,MAQ_IND_YOY,94.5,86.2,89.6,90.0,72.1,97.2,89.8,61.7,37.3,77.5,100.4,57.8,28.7,69.5,84.1,70.2,41.1,63.5,39.6,,104.8,74.2,101.2,141.1,141.7,,64.3,95.0,43.4,89.7,115.1,253.3,23.6,95.7,90.0,138.8,89.2,131.9,97.5,76.5,90.1,94.8,104.2,169.7,84.5,113.4,88.3,88.1,98.1,87.4,53.2,31.9,98.5,98.5,21.5,103.2,70.3,61.4,105.8,91.7,109.9,84.9,84.3,93.0,113.9,66.8,94.0,98.2,76.4,,66.9,91.6,66.9,92.6,87.0,118.0,83.7,104.2,87.7,112.8,92.2,64.5,75.0,98.4,118.6,74.2,54.6,118.7,127.2,128.6,105.7,132.9,38.0,802.7,,,
2009-06-01,MAQ_IND_YOY,95.4,84.4,86.4,92.9,73.4,92.4,81.6,102.7,86.9,81.1,86.1,62.8,32.2,81.8,77.1,135.6,43.0,60.4,64.6,,106.6,94.6,101.8,135.9,136.5,,82.2,105.8,88.9,85.8,104.6,152.2,33.5,93.6,50.1,141.6,86.9,137.3,96.6,71.5,94.3,102.1,105.5,133.3,99.9,98.1,82.0,93.6,101.6,101.2,66.3,50.7,97.7,98.8,17.1,101.6,102.8,74.1,108.6,92.3,109.1,86.5,88.0,93.4,84.3,75.1,94.1,98.0,77.0,,66.1,97.0,63.5,83.9,90.8,115.2,103.3,91.6,84.2,109.6,101.8,62.3,55.0,103.0,113.5,80.4,62.4,115.6,84.5,131.6,101.5,138.4,61.2,112.2,,,
2009-07-01,MAQ_IND_YOY,96.5,88.1,82.8,124.8,78.3,106.9,112.3,76.9,154.1,93.8,104.4,62.8,87.6,99.8,92.9,92.4,75.0,67.5,80.4,,99.3,79.4,97.7,113.7,114.2,,93.0,107.7,93.3,86.1,77.9,180.0,25.6,94.7,116.2,135.1,91.0,136.9,98.2,67.4,94.3,116.5,119.5,90.4,109.5,86.3,80.3,87.5,99.4,90.3,93.1,69.4,100.7,98.8,17.0,102.1,94.3,109.0,108.7,89.5,109.3,86.4,88.3,96.0,87.1,83.0,96.4,98.3,86.0,,96.3,105.7,62.5,98.9,52.0,112.5,87.6,97.6,101.2,140.8,105.9,79.3,51.1,104.5,119.2,87.4,95.0,106.7,91.4,107.1,107.1,152.8,51.4,85.1,,,
2009-08-01,MAQ_IND_YOY,97.0,91.3,92.3,98.3,75.5,108.4,102.4,79.9,81.2,90.3,96.3,69.0,41.9,100.1,96.2,128.2,48.2,87.3,85.7,,101.8,92.2,94.6,121.1,121.8,,78.6,108.3,82.7,94.0,83.0,112.7,30.8,94.9,90.0,124.1,96.1,133.0,96.4,66.1,98.0,112.2,117.2,141.5,111.7,45.5,81.8,95.8,99.6,91.5,87.6,51.7,101.3,99.0,18.0,102.3,112.4,102.5,107.2,92.4,106.3,88.3,94.4,96.4,122.7,109.6,96.0,97.4,87.0,,91.5,104.3,71.4,79.2,87.5,127.3,97.2,100.1,163.5,128.7,102.2,80.4,37.2,102.3,97.1,51.9,99.3,123.3,125.7,137.9,108.6,121.9,115.9,84.8,,,
2009-09-01,MAQ_IND_YOY,97.7,94.1,96.4,156.6,90.1,100.2,72.5,100.8,39.5,90.2,97.4,67.9,75.3,115.0,85.1,79.9,75.1,93.8,78.0,,104.4,92.3,95.1,128.9,131.3,,71.9,112.3,58.4,96.2,146.6,149.3,64.3,87.8,95.1,128.5,95.6,116.9,84.8,64.9,95.5,107.1,106.7,142.2,133.9,42.6,81.4,89.9,100.9,95.5,111.4,216.6,101.7,99.0,40.3,102.4,96.5,86.6,109.3,89.2,102.6,90.3,97.4,95.5,105.8,96.7,95.5,96.9,87.0,,96.9,107.0,85.3,96.5,109.4,114.3,100.3,107.9,165.7,118.9,102.6,87.9,46.9,100.3,101.5,82.9,67.6,116.5,84.2,79.7,88.6,120.5,108.6,84.7,,,
2009-10-01,MAQ_IND_YOY,99.3,91.0,84.5,232.3,68.9,101.9,67.0,98.8,61.9,90.1,122.7,56.7,51.1,99.2,75.8,171.3,47.9,68.7,81.6,,105.4,98.1,95.1,127.2,127.5,,75.2,101.0,45.2,107.2,160.4,142.5,104.6,86.3,74.0,119.6,93.2,100.6,88.7,62.9,97.1,104.7,98.6,189.8,135.3,41.6,81.7,94.8,97.2,81.9,117.2,34.5,103.0,98.8,38.2,103.0,67.8,58.9,109.2,645.5,102.4,88.7,107.8,97.0,91.4,106.7,97.0,96.7,94.6,,61.5,108.5,51.3,88.3,124.8,99.7,98.7,96.7,165.9,116.1,107.2,94.5,52.4,100.2,105.8,98.6,127.9,105.0,95.7,64.2,117.8,114.6,66.8,80.1,,,
