,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,MAQ_IND_YTD,95.1,57.4,61.7,15.6,108.4,60.2,59.3,44.1,22.2,46.3,58.1,64.7,74.9,31.4,61.4,60.7,46.0,59.3,52.3,,92.4,27.5,98.1,128.2,128.8,,102.4,97.0,92.0,59.2,107.9,61.1,24.9,105.8,31.0,82.1,88.3,226.4,98.6,67.2,95.9,81.5,113.9,94.9,69.1,45.6,85.1,112.4,106.0,116.3,73.1,106.4,99.8,99.9,55.7,102.9,142.5,74.2,100.9,89.3,122.4,80.2,78.8,100.1,73.3,47.5,102.1,99.9,91.0,,41.5,87.8,77.9,112.3,104.7,105.3,124.2,95.0,86.5,117.6,78.8,79.8,85.2,100.4,115.9,87.9,82.6,80.6,85.6,175.0,124.2,122.8,40.8,765.4,,,
2009-02-01,MAQ_IND_YTD,93.8,64.4,65.4,18.0,66.0,72.0,59.9,49.4,33.0,62.9,64.9,61.4,49.2,33.1,85.1,50.1,47.4,58.1,63.6,,96.5,47.9,97.9,127.7,130.7,,128.5,96.9,79.4,73.7,89.3,98.1,26.9,99.9,50.1,90.4,86.7,203.4,94.1,65.6,93.2,80.4,115.5,95.9,73.6,75.7,84.0,104.8,103.4,112.1,78.8,135.3,98.2,98.3,9.1,101.2,110.5,73.5,99.3,86.2,114.7,79.9,78.0,94.6,78.9,50.6,96.2,97.6,88.0,,51.4,86.7,68.0,97.3,103.0,100.5,99.3,95.7,85.7,99.1,79.2,95.8,91.8,96.8,117.1,85.5,101.5,81.1,78.6,168.9,97.7,127.5,73.5,711.6,,,
2009-03-01,MAQ_IND_YTD,94.3,70.6,70.9,27.8,74.8,81.6,62.6,52.7,43.2,71.1,72.8,52.2,58.1,42.5,75.4,40.7,58.1,68.0,65.8,,99.3,52.7,98.5,131.8,133.3,,139.5,96.7,73.5,80.4,100.6,115.1,27.2,95.4,54.1,103.6,87.8,177.3,93.3,59.8,91.8,80.5,112.5,108.6,78.6,78.5,84.9,100.0,102.7,107.9,79.0,121.3,98.7,98.8,6.1,102.0,102.1,77.7,100.5,85.0,114.4,80.8,80.4,94.1,84.7,57.4,95.4,97.5,86.4,,75.9,88.0,70.0,98.6,112.0,95.9,94.7,96.1,88.3,99.7,81.2,91.0,79.7,97.5,118.6,84.9,116.3,90.7,89.2,167.8,99.6,128.6,91.6,768.6,,,
2009-04-01,MAQ_IND_YTD,94.5,72.8,73.9,32.5,73.1,83.9,65.5,57.2,41.5,70.4,76.9,53.2,53.4,42.0,68.0,44.8,61.9,64.2,57.0,,100.4,58.8,98.0,134.6,135.4,,115.8,96.8,60.7,83.0,96.1,141.2,26.7,94.6,50.8,115.1,88.4,163.0,94.9,60.8,91.4,80.9,111.8,142.9,84.5,88.0,86.1,96.9,103.3,109.6,72.6,162.6,98.9,98.8,1.3,102.6,91.5,70.3,101.3,85.7,113.2,81.4,82.4,94.1,84.6,60.3,95.2,97.8,84.8,,68.0,88.6,72.7,99.9,102.8,97.1,95.1,95.0,87.3,98.4,82.9,91.0,64.2,98.0,119.6,85.8,128.1,92.1,84.9,173.6,99.2,130.0,75.5,739.5,,,
2009-05-01,MAQ_IND_YTD,94.5,75.6,77.0,43.4,72.8,86.8,70.6,59.0,39.5,71.9,81.8,54.4,43.8,49.3,72.4,49.9,52.9,64.1,50.8,,101.3,61.9,98.6,135.9,136.7,,103.7,96.4,55.6,84.3,103.5,163.4,25.9,94.5,60.2,120.5,88.5,154.5,95.4,63.8,91.0,83.8,110.2,148.9,84.5,94.1,86.1,95.0,102.2,104.9,67.2,68.1,98.9,98.7,15.0,102.7,83.7,68.3,102.2,86.9,112.3,82.1,82.6,93.8,90.0,61.7,94.9,97.8,83.2,,67.8,89.3,71.3,98.2,97.6,101.2,92.5,97.2,87.3,101.5,84.8,84.0,66.3,98.1,119.4,83.5,106.7,97.0,95.1,160.2,100.7,130.6,65.8,751.0,,,
2009-06-01,MAQ_IND_YTD,94.7,77.2,78.6,55.2,73.0,87.8,72.8,72.0,58.7,73.5,82.5,56.3,40.5,56.6,73.5,64.7,49.2,63.3,55.1,,102.2,67.6,99.1,135.9,136.6,,98.9,97.9,60.8,84.6,103.8,162.1,27.3,94.1,55.7,124.2,88.2,150.3,95.6,65.0,91.6,86.8,109.4,145.0,87.3,95.0,85.4,94.8,102.1,104.5,66.9,59.7,98.7,98.7,15.7,102.5,89.8,69.9,103.3,87.9,111.4,82.9,83.5,93.7,88.8,63.9,94.8,97.8,82.4,,67.5,90.6,69.5,94.5,96.3,103.5,94.7,97.4,86.9,103.2,87.5,79.5,64.2,98.9,118.3,82.9,93.5,99.8,91.5,152.2,101.0,131.8,64.9,379.5,,,
2009-07-01,MAQ_IND_YTD,94.9,78.8,79.2,71.1,74.1,90.8,79.4,73.1,82.1,76.4,85.4,57.5,50.9,64.3,77.5,69.1,56.0,64.1,61.1,,101.7,69.3,98.9,132.0,132.7,,97.6,99.3,65.5,84.8,98.5,164.7,26.9,94.0,64.7,125.9,88.6,147.5,96.0,65.4,91.9,90.8,110.7,132.8,90.5,93.4,84.5,93.7,101.7,102.2,74.6,61.4,99.0,98.7,16.2,102.5,91.1,78.7,104.1,88.1,110.9,83.4,84.8,94.0,88.4,66.5,95.0,97.9,83.0,,72.3,92.8,67.9,95.5,83.9,104.9,93.6,97.4,88.6,109.1,90.1,79.5,62.1,99.7,118.4,83.6,93.9,100.8,91.5,140.6,102.5,134.5,61.6,242.9,,,
2009-08-01,MAQ_IND_YTD,95.2,80.4,80.8,75.9,74.4,93.3,82.5,74.3,81.9,78.1,86.7,59.2,48.8,69.3,80.8,76.2,54.3,67.1,65.8,,101.7,72.4,98.4,130.5,131.1,,93.8,100.5,67.6,86.0,95.8,158.5,27.6,94.0,67.8,125.7,89.6,145.9,96.0,65.5,92.7,93.3,111.5,134.0,93.1,83.0,84.2,94.0,101.6,101.3,77.0,59.2,99.2,98.8,16.5,102.4,94.6,82.1,104.5,88.6,110.2,84.0,85.9,94.3,92.2,71.7,95.1,97.8,83.2,,75.1,94.3,68.5,92.5,84.8,107.4,94.1,97.9,97.1,111.9,91.7,79.6,57.6,100.0,115.3,78.7,95.0,103.5,98.1,140.1,103.7,132.8,69.3,197.0,,,
2009-09-01,MAQ_IND_YTD,95.5,81.9,82.4,82.0,77.1,94.2,81.2,77.6,75.5,79.5,87.8,60.3,52.2,74.8,81.4,77.0,57.9,69.9,67.6,,102.0,74.7,98.0,130.3,131.2,,90.1,101.8,66.6,87.1,102.3,157.8,31.1,93.2,68.8,126.0,90.2,141.7,94.8,65.4,93.0,94.8,111.0,135.1,97.1,73.7,83.7,93.5,101.6,101.1,81.7,67.4,99.5,98.8,20.6,102.4,94.9,82.8,105.0,88.7,109.3,84.7,87.0,94.4,93.6,74.2,95.1,97.7,83.5,,77.8,95.8,71.2,93.1,88.7,108.2,94.8,99.4,104.9,112.8,92.9,80.5,56.2,100.1,113.3,79.3,89.8,105.0,95.5,127.7,101.4,131.3,73.8,174.0,,,
2009-10-01,MAQ_IND_YTD,95.9,82.8,82.7,89.3,76.0,95.0,79.5,79.9,74.2,80.6,90.9,59.9,52.0,77.4,80.7,86.2,56.5,69.8,69.5,,102.4,77.1,97.7,129.9,130.8,,88.3,101.7,64.0,89.0,109.7,156.3,34.0,92.5,69.2,125.3,90.5,137.0,94.2,65.1,93.4,95.8,109.7,140.4,100.4,66.5,83.4,93.6,101.1,98.7,86.2,61.7,99.9,98.8,23.3,102.5,91.6,79.5,105.4,99.4,108.6,85.1,88.9,94.7,93.2,76.9,95.3,97.6,84.8,,75.6,97.1,68.1,92.4,93.8,107.0,95.1,99.0,111.6,113.2,94.3,81.3,55.8,100.1,112.4,81.0,93.9,104.9,95.5,116.0,103.0,129.2,73.0,155.7,,,
