,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,PPI_AGR_IND_YTD,99.5,99.6,101.1,98.5,100.9,98.9,99.9,98.7,96.9,100.6,101.7,98.2,101.9,100.7,96.5,94.8,100.4,99.3,103.3,,100.9,102.3,100.4,100.0,100.7,,97.1,99.3,103.6,101.1,100.3,98.5,,98.0,99.4,98.3,99.3,100.9,98.9,96.5,,97.4,99.6,96.5,100.3,93.9,90.7,96.6,100.0,102.3,99.3,101.5,100.3,102.7,97.3,100.3,99.4,97.1,98.9,98.6,101.8,97.7,100.5,99.8,101.1,98.3,98.7,106.7,101.5,,101.6,99.4,101.5,101.0,101.0,102.5,100.1,99.8,98.2,97.6,100.6,99.8,99.5,99.0,101.6,101.4,100.8,103.2,101.1,97.3,100.4,108.9,101.6,100.3,,,
2009-02-01,PPI_AGR_IND_YTD,99.9,99.7,100.5,100.1,99.3,100.4,100.9,95.4,94.7,100.9,103.3,99.3,103.1,100.9,99.1,93.1,100.1,100.2,97.9,,100.9,103.5,114.1,96.8,101.0,,97.0,96.9,102.2,98.7,102.8,100.3,,99.1,99.3,98.7,100.1,96.9,101.2,99.4,,95.3,99.8,98.8,99.7,90.0,90.3,96.2,100.6,100.2,103.5,100.6,100.3,105.6,103.3,101.1,98.8,97.8,98.7,101.4,101.2,99.3,102.5,101.0,102.6,97.6,103.1,118.1,108.0,,102.4,99.1,108.1,100.9,104.4,103.1,100.2,103.8,95.3,98.1,101.7,99.0,100.2,97.5,102.9,101.3,105.2,105.3,104.2,97.2,102.4,112.3,98.0,101.1,,,
2009-03-01,PPI_AGR_IND_YTD,100.9,100.7,101.7,99.9,100.0,99.4,99.7,98.9,94.2,105.7,102.7,101.5,102.8,100.9,101.1,94.1,105.5,99.4,99.7,,100.3,104.4,112.3,99.9,102.5,,98.2,95.9,101.1,94.0,98.6,99.6,,101.1,101.5,100.4,102.9,101.5,102.0,99.6,,98.5,99.8,100.9,99.4,89.0,89.8,99.1,100.2,101.3,101.1,101.8,99.4,105.1,97.4,98.8,98.7,97.2,99.3,100.4,103.3,99.8,100.3,103.7,104.0,95.6,114.5,131.1,113.6,,104.4,100.5,106.1,101.1,106.0,112.1,99.7,104.3,96.7,103.6,99.1,101.8,101.1,101.2,103.5,101.3,104.9,105.2,105.5,96.9,107.4,118.8,95.1,101.1,,,
2009-04-01,PPI_AGR_IND_YTD,101.4,101.7,103.9,97.8,100.0,101.5,99.7,97.2,97.9,105.0,102.5,104.7,100.8,99.5,103.5,95.5,106.3,99.4,97.5,,101.8,104.4,118.5,101.5,109.9,,99.1,97.8,102.1,93.6,103.8,101.4,,102.0,100.4,103.5,103.8,107.0,102.4,100.8,,97.2,99.6,109.9,98.6,89.8,87.8,100.2,100.2,102.1,100.7,102.1,99.3,104.7,98.7,98.2,98.8,95.3,98.4,99.7,104.9,100.9,101.1,102.5,104.0,94.6,113.1,127.8,110.4,,102.6,100.7,108.2,100.2,104.7,103.2,100.3,102.5,94.9,104.7,102.9,103.5,98.8,102.6,104.2,102.2,111.9,104.7,105.3,98.5,109.8,117.9,99.1,101.1,,,
2009-05-01,PPI_AGR_IND_YTD,99.9,100.7,103.7,93.6,96.3,99.2,91.9,96.6,96.1,103.5,102.4,104.0,97.5,96.8,98.4,99.4,102.4,100.9,97.7,,100.4,104.8,116.7,100.7,133.1,,95.3,95.3,102.2,96.5,99.9,97.0,,101.9,100.0,104.4,105.5,105.2,102.3,99.0,,96.1,99.2,111.5,98.7,89.9,86.9,98.1,97.7,98.2,98.2,101.3,96.7,101.7,94.2,94.7,95.8,92.8,96.4,97.5,105.2,99.3,97.4,100.1,101.6,91.8,108.8,125.4,106.8,,102.1,97.4,103.5,100.0,102.3,100.3,98.3,102.9,93.7,101.3,95.2,97.7,95.2,102.6,104.6,106.0,113.6,101.7,105.6,100.0,110.1,113.8,97.1,101.1,,,
2009-06-01,PPI_AGR_IND_YTD,98.0,98.9,104.3,92.4,93.9,96.6,88.6,90.9,85.6,102.0,101.2,103.1,94.0,94.1,95.8,98.7,100.4,97.2,89.3,,95.7,102.5,115.0,96.1,126.4,,94.1,95.0,94.9,91.0,91.1,93.7,,101.3,98.2,106.2,106.1,93.3,101.4,97.5,,94.3,99.2,112.1,99.8,89.7,85.3,96.8,94.9,93.7,94.3,95.4,94.0,100.5,90.5,91.6,92.7,88.3,96.1,96.9,106.3,95.0,91.6,98.7,99.3,91.6,110.6,125.0,99.7,,97.4,95.0,100.1,100.7,102.5,99.7,93.2,99.5,91.8,97.3,91.0,97.4,94.3,104.4,104.6,106.9,114.9,101.3,104.0,100.1,110.2,113.0,104.9,101.3,,,
2009-07-01,PPI_AGR_IND_YTD,97.1,97.8,103.0,92.5,90.1,95.7,89.2,89.8,85.2,99.5,99.9,102.3,92.6,92.6,92.8,98.1,99.1,100.9,85.6,,94.9,100.8,114.6,93.1,126.4,,95.0,93.3,94.0,87.4,89.6,92.2,,100.2,97.8,107.7,103.3,91.4,101.1,97.8,,94.0,99.1,109.7,96.8,89.7,84.9,97.0,93.8,91.7,92.6,93.6,93.6,99.4,89.1,90.6,92.2,87.2,95.5,95.0,106.9,93.9,86.0,97.5,98.7,92.5,108.3,125.8,105.9,,94.8,94.7,103.8,99.4,103.1,97.8,91.4,97.0,95.3,97.2,90.9,95.8,94.5,103.1,105.5,106.9,113.6,102.6,105.0,102.9,110.5,112.0,111.9,95.2,,,
2009-08-01,PPI_AGR_IND_YTD,96.4,96.4,101.7,89.9,90.0,96.3,86.6,93.4,87.3,98.2,96.0,97.6,93.0,92.1,93.9,97.0,99.6,97.0,89.5,,95.0,102.2,114.5,92.5,124.1,,93.5,94.9,94.9,86.9,89.8,91.2,,99.6,98.3,107.9,101.2,92.3,102.5,98.7,,98.6,94.2,106.7,96.7,89.6,84.8,95.7,94.0,92.9,92.6,93.8,94.1,99.2,89.8,89.8,91.8,87.1,96.6,94.3,108.3,92.6,85.6,97.1,98.3,93.8,102.8,113.3,98.4,,96.2,93.9,106.1,98.5,102.4,99.7,91.3,95.9,90.0,97.2,90.5,96.0,94.4,103.2,105.7,107.2,117.5,102.1,104.5,103.1,108.9,112.4,120.4,98.6,,,
2009-09-01,PPI_AGR_IND_YTD,96.3,96.5,102.0,88.0,90.4,95.4,83.4,95.5,86.0,101.1,92.3,101.3,90.9,92.0,94.9,93.7,100.9,96.3,91.2,,95.4,104.9,115.0,94.0,126.3,,94.1,95.9,94.7,91.4,90.0,91.1,,98.6,101.8,107.8,99.4,86.8,101.2,98.9,,102.3,83.0,106.1,94.4,90.5,82.9,94.7,93.8,92.3,96.4,92.8,93.9,99.1,89.6,89.5,92.3,87.1,95.7,92.8,108.8,91.9,87.3,97.7,94.8,92.0,107.9,120.2,103.7,,97.4,94.1,105.9,99.0,103.5,105.4,90.5,96.6,90.8,98.6,90.6,96.8,94.6,101.4,106.1,108.3,117.6,104.8,103.2,103.0,108.2,107.5,119.1,100.0,,,
2009-10-01,PPI_AGR_IND_YTD,97.3,98.9,107.0,87.8,93.4,98.1,82.6,97.1,90.3,104.9,92.9,103.3,101.0,93.3,97.9,92.5,101.4,93.6,93.4,,97.4,103.9,118.3,96.3,124.1,,95.2,94.4,98.1,89.8,91.2,91.7,,98.6,102.0,106.1,100.2,86.6,100.1,98.1,,103.1,81.7,105.1,105.7,94.3,83.5,94.3,94.9,92.2,98.1,93.1,94.3,99.4,92.6,91.4,94.1,89.7,93.7,98.1,109.6,94.2,90.5,97.5,93.4,92.3,107.4,111.6,99.8,,97.3,93.9,106.3,101.8,104.1,105.5,90.1,99.5,91.5,101.0,94.0,98.6,87.0,102.3,106.3,109.2,117.0,105.1,104.1,101.8,110.0,106.3,119.9,108.2,,,
