,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,PPI_TRANSP_C_IND_YTD,102.8,107.2,100.0,115.7,98.9,105.0,100.0,100.0,102.9,100.0,100.5,115.7,100.0,103.5,101.5,100.0,100.2,100.0,104.8,104.7,96.7,106.2,93.5,101.8,124.2,,99.7,104.4,115.2,113.3,100.0,100.8,93.7,100.0,100.0,100.0,104.5,113.6,93.2,104.7,,92.7,,,100.6,100.0,100.0,74.3,101.6,108.5,99.6,100.0,97.9,97.2,99.9,78.6,101.8,103.8,88.4,100.2,110.3,95.5,100.0,106.1,100.0,109.5,105.5,104.6,111.4,,103.8,104.5,92.5,100.0,117.2,100.0,100.0,105.0,104.0,109.5,102.3,104.2,112.7,85.1,103.7,104.1,100.0,101.5,103.9,100.0,111.2,102.7,100.0,100.0,,,
2009-02-01,PPI_TRANSP_C_IND_YTD,103.1,107.2,97.7,115.7,97.7,104.9,100.0,100.0,102.9,111.0,100.5,115.3,104.7,103.1,100.1,100.0,100.2,109.9,104.8,104.8,97.0,106.2,93.5,99.3,124.2,,99.7,104.4,115.2,122.6,100.0,99.2,93.8,101.3,100.0,100.0,110.0,126.5,92.0,104.9,,92.7,,,99.9,100.0,100.0,74.3,101.5,108.5,99.7,100.0,96.9,97.2,99.9,78.7,101.8,103.8,88.4,100.2,110.3,95.5,100.0,106.1,100.0,109.5,105.5,104.6,111.4,,103.8,104.5,92.5,100.0,121.1,100.8,91.5,105.0,104.5,109.5,102.3,104.2,112.8,85.1,104.0,104.1,100.0,104.3,104.1,100.0,111.2,103.6,100.0,100.0,,,
2009-03-01,PPI_TRANSP_C_IND_YTD,102.9,107.1,95.4,115.7,95.5,104.9,100.0,100.0,102.9,111.0,100.5,115.3,103.7,103.1,100.3,100.0,100.2,109.9,104.8,104.7,96.8,106.2,93.5,98.8,124.2,,99.7,104.4,115.2,115.5,100.0,99.2,93.8,100.2,101.5,100.0,105.7,116.9,92.0,104.8,,92.8,,,100.3,100.0,100.0,74.3,101.5,108.5,99.7,100.0,96.9,97.5,99.6,78.5,103.1,103.8,88.4,100.2,110.3,95.5,100.0,106.1,100.0,109.5,105.4,104.6,111.4,,103.8,104.6,92.5,102.5,121.1,100.7,88.5,105.0,104.2,109.9,102.3,104.2,112.9,85.1,103.8,104.1,102.7,102.2,103.9,100.0,111.2,103.6,100.0,100.0,,,
2009-04-01,PPI_TRANSP_C_IND_YTD,116.6,118.0,93.9,115.7,94.5,104.9,100.0,105.2,102.9,111.0,101.0,172.3,102.5,101.5,92.0,92.0,100.2,109.9,104.8,104.8,102.7,106.2,111.6,99.6,124.2,,99.7,104.4,115.2,86.9,97.9,99.2,97.9,117.3,89.5,100.0,142.2,112.6,133.2,104.8,,167.0,,,100.3,100.0,100.0,85.7,116.0,110.2,99.7,100.0,122.7,97.0,99.6,102.8,102.8,125.3,88.4,100.2,113.7,122.5,100.0,133.5,100.0,116.4,144.2,147.8,111.4,,103.8,107.6,92.5,102.5,121.1,100.3,88.5,105.0,103.4,109.9,101.7,104.2,113.0,117.1,103.9,104.4,102.7,102.8,104.0,100.0,111.2,103.4,100.0,100.0,,,
2009-05-01,PPI_TRANSP_C_IND_YTD,116.4,117.9,92.7,115.7,93.8,104.9,97.8,105.2,102.3,111.0,104.5,172.0,100.3,101.6,82.6,92.0,100.2,109.9,104.8,104.7,102.4,106.2,111.7,97.0,124.2,,100.2,104.4,115.2,82.1,97.9,98.7,97.7,116.4,86.6,100.0,138.1,103.4,133.2,104.9,,167.0,,,101.0,100.0,100.0,85.7,115.9,110.2,85.3,100.0,122.6,97.0,99.6,102.8,105.2,125.1,88.4,100.2,113.7,122.4,100.0,133.5,100.0,116.4,144.2,147.8,111.4,,103.8,107.8,92.5,102.5,121.1,100.3,88.5,105.0,104.2,110.0,101.7,104.2,112.9,117.1,103.9,106.6,104.1,100.3,104.0,100.0,111.2,103.4,100.4,100.0,,,
2009-06-01,PPI_TRANSP_C_IND_YTD,116.4,117.8,91.6,115.7,93.7,104.9,96.1,105.2,102.3,111.0,104.5,172.0,97.9,101.6,76.7,90.9,100.2,109.9,104.8,104.7,102.5,106.2,111.7,102.4,124.2,,100.2,104.4,115.2,81.6,97.5,98.7,97.6,116.1,86.6,100.0,137.3,97.7,133.2,104.9,,167.0,,,100.2,100.0,100.0,85.7,115.9,110.2,85.3,100.0,122.6,97.0,99.6,102.6,106.7,125.2,88.4,100.2,113.7,122.2,97.5,133.5,100.5,116.4,144.2,147.8,112.1,,103.8,107.8,92.5,101.0,121.1,100.3,82.6,105.0,104.1,110.0,101.7,104.2,112.9,117.1,104.8,126.6,104.1,100.4,104.0,100.0,111.2,103.4,100.4,100.1,,,
2009-07-01,PPI_TRANSP_C_IND_YTD,114.5,117.9,91.8,121.6,93.7,110.9,96.1,103.5,102.3,110.7,104.5,149.1,97.8,101.6,84.8,90.9,100.2,109.9,110.7,110.2,107.5,106.2,120.2,104.2,124.2,,100.2,110.3,120.6,81.6,97.5,98.7,101.4,117.1,86.6,100.0,119.4,101.6,143.3,110.7,,183.1,,,100.5,100.0,120.0,96.1,114.7,110.5,84.8,96.7,129.7,96.8,99.6,93.3,106.7,126.5,88.4,100.2,114.7,113.1,96.8,119.3,100.5,126.4,118.9,118.9,112.1,,109.5,112.0,92.5,101.0,121.1,98.3,82.6,110.9,108.8,115.5,101.7,109.7,118.0,111.1,109.9,126.6,104.1,100.5,109.7,100.0,112.7,106.0,100.4,109.7,,,
2009-08-01,PPI_TRANSP_C_IND_YTD,114.6,118.0,91.8,121.6,93.7,110.9,96.1,105.3,102.3,111.3,104.5,149.1,97.8,115.7,85.8,90.9,95.8,109.9,110.6,110.2,107.6,106.2,120.2,104.1,124.2,,102.7,110.3,120.5,83.0,97.5,98.7,101.5,117.4,86.6,100.0,120.6,102.1,143.3,110.7,,183.1,,,100.5,100.0,120.0,96.1,114.9,110.7,84.6,96.7,130.0,96.8,99.6,93.3,106.6,126.7,88.4,100.2,115.0,113.1,96.8,119.3,100.5,126.4,118.9,118.9,112.1,,109.5,112.2,92.5,102.3,121.1,98.1,80.1,110.9,108.9,115.5,101.7,109.8,121.0,111.1,110.0,126.6,116.5,102.3,109.8,100.0,112.7,106.1,100.4,109.7,,,
2009-09-01,PPI_TRANSP_C_IND_YTD,114.4,117.5,91.8,121.6,93.7,110.9,96.1,103.5,101.2,111.3,104.5,146.2,97.8,115.7,85.1,90.9,95.8,109.9,110.7,110.2,107.3,106.2,120.2,96.7,124.2,,102.7,110.3,120.5,78.4,97.5,98.7,101.5,116.8,86.6,100.0,118.2,96.2,143.3,110.7,,183.1,,,100.5,100.0,120.0,96.1,114.9,110.7,84.6,96.7,130.0,96.8,99.6,93.3,106.6,126.7,88.4,100.2,115.0,113.1,94.7,119.3,99.7,126.4,118.9,118.9,112.1,,109.5,112.1,92.5,102.3,121.1,98.1,80.1,110.9,108.7,115.5,101.7,109.8,121.0,111.1,110.0,126.6,116.5,102.0,109.7,100.0,112.7,106.0,100.4,109.7,,,
2009-10-01,PPI_TRANSP_C_IND_YTD,100.2,104.74,92.1,121.6,93.8,110.9,96.1,103.5,101.2,110.8,104.5,79.67,96.9,115.7,77.7,90.9,95.8,109.9,110.7,110.2,99.89,106.2,99.47,97.0,124.2,,102.7,110.3,120.5,77.2,97.5,98.9,97.32,107.55,89.9,100.0,105.73,97.3,111.82,110.7,,172.48,,,100.5,100.0,120.0,75.11,97.26,94.61,84.6,96.7,95.01,96.8,99.7,59.1,106.6,101.04,88.4,100.2,113.66,94.16,94.7,91.38,99.7,107.12,83.22,79.07,112.1,,109.5,109.92,92.5,104.8,121.1,98.8,80.1,110.9,108.7,115.5,101.7,109.8,121.0,88.68,109.8,126.6,116.8,100.3,109.6,100.0,112.7,105.9,100.4,118.3,,,
