dates,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,PROD_IND_ROG,84.7,80.8,100.2,68.8,58.4,75.6,72.6,64.7,89.7,28.5,99.1,80.9,83.1,73.0,70.4,57.9,77.0,65.6,79.6,89.7,85.9,75.6,95.7,86.8,107.8,,107.0,68.6,82.8,79.6,85.0,70.8,80.8,54.0,82.7,68.8,67.7,95.3,83.1,30.6,68.7,39.8,92.9,58.5,74.0,41.7,96.5,90.4,79.4,91.9,74.3,74.1,86.5,60.9,57.0,82.9,77.3,51.5,97.3,91.0,70.3,71.6,47.9,93.8,72.0,91.0,101.6,98.9,95.4,,65.4,82.9,85.8,77.9,93.8,82.3,82.5,92.0,86.8,88.6,88.2,65.7,64.9,86.3,95.5,103.9,86.6,70.5,84.7,99.7,93.7,101.2,88.6,114.6,,,
2009-02-01,PROD_IND_ROG,101.0,104.3,100.6,124.8,142.7,111.5,102.9,111.3,102.2,128.7,115.0,108.1,101.3,114.9,122.0,108.2,96.3,104.5,113.5,96.4,109.7,121.5,94.6,108.9,95.5,,112.6,109.8,120.9,116.9,106.2,115.3,109.0,107.5,111.7,101.8,108.1,88.1,96.6,126.8,101.7,120.4,97.7,96.2,119.1,125.5,99.0,94.6,103.5,101.7,110.6,109.0,102.3,111.7,122.4,104.8,105.4,112.5,94.8,103.4,102.7,97.6,116.5,92.3,110.6,102.2,87.1,89.9,92.6,,110.6,98.8,103.6,100.8,83.8,92.6,109.3,90.8,94.1,95.8,98.2,110.5,109.9,95.7,94.9,90.1,118.7,100.1,91.8,98.3,94.5,95.7,91.3,92.6,,,
2009-03-01,PROD_IND_ROG,110.5,112.8,113.8,101.4,96.7,109.2,114.3,125.7,106.8,212.9,109.3,100.3,114.2,111.8,109.0,118.0,120.0,130.8,111.9,111.6,110.2,107.9,111.8,107.7,109.1,,108.5,114.9,114.0,116.2,122.4,108.0,105.8,110.3,109.7,108.6,126.0,92.9,114.1,100.2,115.2,97.0,124.7,160.1,113.8,104.1,107.6,119.6,112.3,111.4,117.0,123.7,111.0,108.2,122.2,112.9,112.5,119.6,106.9,97.8,114.5,118.8,116.4,109.7,107.0,113.8,108.7,109.6,102.1,,109.3,109.2,98.8,96.3,94.8,111.4,111.3,95.4,110.4,105.5,108.6,106.2,109.7,115.9,107.4,103.8,113.5,116.5,100.2,95.1,103.1,108.3,141.0,112.3,,,
2009-04-01,PROD_IND_ROG,95.9,93.6,96.0,91.3,89.7,104.1,105.9,96.5,87.3,45.8,93.5,101.8,86.2,89.6,98.8,101.0,85.1,86.1,92.2,96.6,93.8,104.0,96.7,97.8,98.5,,94.7,90.8,84.0,93.3,109.5,107.8,89.8,94.0,102.2,108.8,93.7,74.1,99.8,92.0,110.1,87.4,95.5,65.7,116.5,96.8,98.2,122.8,101.6,104.0,93.8,108.5,99.9,92.5,106.6,93.6,93.7,126.6,96.4,142.7,92.8,98.9,88.0,96.4,90.9,99.0,96.0,97.4,89.7,,95.2,98.1,91.3,105.0,71.7,98.9,97.1,98.2,98.2,95.2,97.6,109.1,93.0,97.2,96.4,99.2,80.0,95.4,89.8,103.2,91.7,98.8,67.5,84.5,,,
2009-05-01,PROD_IND_ROG,98.7,93.2,100.9,97.9,83.6,103.1,77.4,85.0,96.3,88.0,103.9,87.8,84.1,107.1,88.8,98.1,81.9,105.4,98.0,91.6,96.4,87.7,102.0,95.4,102.5,,101.6,151.1,96.3,99.0,83.7,99.2,84.7,103.5,102.2,73.3,98.5,132.9,101.6,105.5,111.0,119.9,95.0,109.1,130.0,128.0,105.7,106.8,97.1,95.7,89.9,83.3,103.3,97.4,82.6,101.0,98.0,88.2,104.4,94.4,96.9,107.1,86.0,98.2,89.0,86.8,101.2,102.5,96.9,,100.1,97.4,98.5,90.4,141.5,104.2,93.9,109.0,99.6,104.2,101.2,78.4,102.1,93.3,95.4,81.6,83.2,95.4,101.6,94.1,111.8,99.6,97.8,92.4,,,
2009-06-01,PROD_IND_ROG,102.4,107.0,101.3,102.3,127.9,87.2,107.1,108.5,100.9,199.6,97.0,101.6,120.3,104.3,126.0,129.3,118.8,90.5,93.8,107.3,102.0,122.4,97.0,102.4,96.0,,101.4,96.3,124.9,95.5,84.1,119.3,98.6,98.9,104.5,96.0,104.5,95.4,98.9,94.6,106.3,101.1,103.4,147.3,108.1,114.4,91.5,104.8,107.7,122.7,103.7,123.5,93.8,103.8,89.3,100.4,83.6,107.0,96.7,116.9,99.6,99.4,94.7,101.8,104.9,111.4,95.3,96.1,91.7,,122.5,103.1,111.8,111.2,78.7,105.6,122.8,101.3,103.1,100.8,101.3,101.7,110.6,95.6,104.8,121.9,102.0,100.5,109.3,116.7,141.8,97.4,115.2,98.4,,,
2009-07-01,PROD_IND_ROG,103.3,101.1,97.7,106.3,109.8,115.0,99.8,104.6,110.2,57.9,115.0,102.5,100.4,116.3,94.4,85.7,101.8,113.2,112.3,100.1,99.4,83.5,100.7,107.5,106.5,,97.0,88.8,95.2,96.4,110.3,115.9,102.8,110.5,98.9,112.2,113.3,100.9,99.5,123.8,92.6,96.0,108.8,103.7,103.7,105.6,101.9,88.5,105.1,103.3,108.9,121.2,106.7,113.2,100.8,104.3,116.9,100.1,112.3,96.9,99.4,106.5,109.4,102.3,91.1,100.3,104.3,103.5,106.1,,97.0,105.8,114.9,101.0,109.5,103.2,98.0,110.2,108.4,107.5,111.1,91.8,101.5,102.9,106.7,106.9,158.8,122.7,107.9,99.3,117.4,100.9,104.2,102.0,,,
2009-08-01,PROD_IND_ROG,98.9,99.2,100.9,94.4,85.0,88.2,97.7,111.5,98.0,243.3,98.0,94.8,99.0,90.9,98.5,97.1,86.4,98.3,90.3,94.7,104.0,104.4,99.8,94.7,99.0,,117.2,124.0,92.4,104.6,97.2,90.0,106.6,95.8,96.8,97.0,87.0,101.6,100.0,98.3,113.4,130.0,84.7,97.3,96.8,97.4,100.0,114.2,97.2,96.1,106.3,98.9,96.5,87.8,97.4,104.6,98.4,110.4,96.7,92.2,91.1,95.1,95.5,101.0,106.8,106.1,99.7,99.4,100.9,,100.0,100.1,97.6,87.1,144.2,86.4,101.3,107.0,99.6,102.0,99.6,105.5,98.2,97.9,93.0,71.5,76.4,89.1,105.0,107.1,97.2,100.2,87.5,94.6,,,
2009-09-01,PROD_IND_ROG,102.4,100.3,137.1,114.8,104.2,129.4,93.1,89.4,110.5,50.6,102.2,122.0,121.7,95.1,101.0,141.6,124.8,112.4,99.3,86.6,104.3,98.4,97.7,96.8,96.5,,94.1,78.5,114.7,105.4,141.7,105.3,116.1,113.5,101.9,114.2,100.0,98.7,100.8,139.6,102.9,119.6,100.3,99.4,99.9,94.3,94.9,98.9,104.7,104.7,98.1,102.5,104.0,115.3,114.0,100.3,104.1,95.9,98.9,115.1,114.6,106.7,121.3,99.7,107.5,104.3,98.7,97.1,105.1,,97.9,105.0,108.6,111.2,106.9,78.1,116.9,112.0,106.4,96.9,100.3,123.3,91.2,117.4,114.1,171.7,89.1,116.2,95.3,89.4,84.0,106.4,102.8,103.3,,,
2009-10-01,PROD_IND_ROG,104.3,109.8,79.2,106.1,157.7,131.0,147.4,108.1,107.2,157.5,105.9,105.7,109.8,107.3,120.9,100.7,98.5,98.4,138.2,112.6,104.4,118.1,104.9,108.1,103.8,,105.5,101.4,104.3,105.3,86.4,89.4,105.6,97.7,101.4,104.4,108.9,101.2,101.7,87.9,101.4,83.8,111.9,108.2,91.8,79.5,136.0,109.6,106.3,113.5,103.8,90.6,97.0,124.8,118.8,101.6,108.3,89.7,104.1,113.4,105.9,99.4,106.9,105.7,93.6,105.4,105.9,103.8,114.9,,105.6,103.0,98.8,117.1,121.8,113.0,99.3,104.7,102.0,109.5,103.2,97.0,109.0,98.8,97.9,85.1,109.6,95.8,100.1,104.7,100.4,103.4,106.3,111.3,,,
2009-11-01,PROD_IND_ROG,100.8,103.0,102.3,92.8,122.7,125.6,105.6,114.0,99.6,63.0,98.1,100.9,92.1,115.6,96.5,95.3,103.7,104.8,83.7,105.2,103.9,108.3,97.5,99.5,97.3,,90.7,115.0,106.7,100.7,120.7,95.9,111.4,106.4,95.4,110.2,90.9,107.4,99.0,123.0,112.0,151.7,113.2,88.0,162.3,105.1,114.3,98.6,107.0,104.4,108.2,105.0,101.1,119.5,86.7,97.6,102.2,127.3,99.6,113.7,102.8,127.7,101.4,99.2,119.0,96.5,98.2,97.1,101.5,,106.2,99.2,87.1,87.9,69.8,101.2,96.1,90.4,90.6,98.2,103.2,116.9,104.2,99.9,100.0,102.9,106.3,105.4,113.6,101.7,89.3,94.6,118.8,91.0,,,
