dates,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,PROD_IND_YOY,81.7,83.2,87.9,56.1,80.4,80.3,72.9,83.6,74.4,60.7,65.6,85.0,71.0,82.8,71.4,83.9,80.3,78.3,73.6,89.4,81.6,52.4,92.3,110.4,128.8,,68.3,76.9,81.9,76.4,76.8,75.0,85.9,83.9,86.5,89.5,79.6,109.2,81.8,83.0,89.6,106.5,99.0,108.9,77.1,86.1,89.6,85.6,86.7,101.9,72.7,83.6,85.5,87.3,60.5,69.9,76.9,70.4,90.6,112.5,79.3,84.7,62.7,90.6,74.8,69.1,101.4,99.6,92.1,,74.5,87.5,91.3,86.2,96.6,96.4,83.4,95.0,99.9,88.0,73.6,97.4,82.5,94.0,108.1,89.1,102.9,86.8,95.7,121.1,111.0,121.8,91.5,181.6,,,
2009-02-01,PROD_IND_YOY,82.5,86.0,93.7,65.0,114.0,92.3,74.3,86.9,77.3,78.7,75.7,88.5,66.1,84.9,83.7,88.8,75.0,83.6,77.0,85.5,86.7,61.6,91.8,117.5,132.4,,79.2,75.9,93.9,90.3,75.0,79.4,85.3,81.4,96.9,88.7,80.0,101.7,81.7,77.5,89.8,98.5,94.2,100.7,85.8,102.4,92.8,85.8,85.8,93.2,77.8,98.5,89.6,102.3,71.4,74.3,81.1,66.3,91.5,108.7,77.6,78.8,69.8,82.9,77.1,66.0,91.3,95.2,90.7,,75.0,86.7,92.1,94.8,94.1,94.7,79.2,91.5,93.5,84.1,75.4,99.9,87.7,94.1,108.7,86.5,106.7,87.6,89.0,126.7,89.0,130.3,81.5,151.8,,,
2009-03-01,PROD_IND_YOY,85.7,89.8,96.9,72.4,93.7,96.1,83.1,92.6,77.3,153.9,77.5,80.6,71.3,88.4,83.6,91.7,82.3,92.5,82.6,90.3,88.8,68.1,98.8,127.8,137.9,,79.3,78.7,99.8,96.3,89.4,83.3,78.6,88.4,84.9,95.2,92.0,89.2,86.2,87.8,91.1,116.5,116.5,131.7,82.2,102.0,92.1,83.2,90.0,96.4,89.5,103.9,93.7,98.5,74.1,82.9,88.5,71.8,92.4,85.1,86.2,86.3,78.1,87.5,76.0,73.3,95.3,97.8,86.9,,77.8,88.2,95.0,82.4,114.4,94.8,81.9,97.1,95.6,86.3,78.0,97.7,85.0,95.0,112.5,87.2,99.8,101.7,91.4,129.2,101.9,128.6,106.8,203.4,,,
2009-04-01,PROD_IND_YOY,85.0,94.0,96.4,68.5,61.9,97.0,95.5,91.8,76.7,57.8,73.6,79.3,62.0,78.8,85.2,106.9,71.0,84.6,78.3,123.5,87.2,76.9,97.4,129.0,141.2,,79.7,72.9,85.3,95.0,101.5,79.7,75.7,86.9,95.7,113.9,89.5,98.3,90.5,78.7,100.9,127.2,108.2,76.9,81.7,85.9,92.7,100.7,93.1,99.5,89.6,111.4,96.2,94.4,78.2,82.4,84.7,89.8,95.2,132.1,80.6,84.1,72.5,87.8,73.3,77.9,95.0,98.3,81.9,,73.9,88.8,88.2,93.1,85.7,101.2,83.5,90.5,93.4,82.3,81.1,99.7,84.0,98.8,111.8,88.7,111.1,96.5,85.7,140.4,97.3,133.0,62.3,159.3,,,
2009-05-01,PROD_IND_YOY,84.3,93.6,93.9,71.9,72.7,90.3,69.8,78.8,73.2,76.0,74.2,76.8,57.4,79.7,78.6,108.8,67.1,80.9,77.9,124.0,86.0,68.8,108.7,122.0,141.1,,79.4,108.0,86.2,96.4,93.6,72.8,65.4,89.5,97.7,100.7,87.1,94.9,88.5,90.8,104.9,110.9,102.6,87.6,99.3,95.7,91.7,106.1,90.6,98.9,86.8,82.2,97.3,86.5,69.0,75.3,90.5,84.3,97.4,134.9,79.4,83.6,68.1,84.5,72.7,65.5,94.7,98.2,80.8,,72.4,87.6,93.7,86.4,89.7,102.5,82.7,98.9,92.6,91.8,81.4,83.7,87.3,93.4,106.9,76.5,86.3,90.2,91.3,114.9,106.8,131.9,63.1,178.7,,,
2009-06-01,PROD_IND_YOY,87.0,90.0,100.9,72.0,87.2,86.3,68.0,82.9,80.6,148.4,75.0,80.7,68.5,86.0,98.7,110.9,75.9,77.7,71.6,94.9,89.2,83.7,99.6,125.7,136.1,,81.2,116.3,99.5,94.2,87.4,85.3,69.0,87.7,98.2,95.9,84.1,94.6,89.7,86.8,99.4,80.7,107.5,101.3,101.7,105.0,85.2,105.2,92.4,106.5,84.8,88.6,90.6,89.5,64.2,76.6,76.1,82.1,98.0,117.1,82.8,82.1,65.3,88.5,72.7,73.0,94.4,97.7,80.9,,89.0,90.1,94.0,96.3,92.2,112.4,97.4,90.9,93.0,91.6,86.0,74.2,101.0,97.4,105.6,81.3,85.4,82.4,83.1,124.0,103.2,137.2,81.0,105.6,,,
2009-07-01,PROD_IND_YOY,88.0,88.0,93.4,82.8,79.0,89.6,83.6,80.5,83.3,62.5,85.4,81.8,69.8,98.7,87.0,95.0,77.5,89.8,79.1,94.4,85.1,73.5,98.3,113.0,114.5,,76.9,93.8,95.6,89.0,83.7,104.8,68.3,88.6,98.0,109.4,97.1,91.9,88.1,81.6,110.8,107.9,149.6,104.6,101.5,105.9,81.3,114.5,94.9,101.1,90.1,96.2,95.3,112.6,60.4,84.5,95.3,83.5,104.0,126.2,76.6,92.0,69.4,91.4,69.8,76.5,96.8,98.4,88.7,,91.8,95.5,96.3,93.7,64.9,111.1,89.1,91.3,97.5,100.2,94.9,82.7,99.2,98.2,114.1,86.9,121.6,109.4,87.9,111.0,106.8,149.6,84.5,87.5,,,
2009-08-01,PROD_IND_YOY,86.9,87.1,93.4,71.3,69.4,80.7,77.8,87.4,79.5,203.1,83.0,78.9,72.3,83.3,94.3,99.7,63.6,77.1,72.2,88.0,91.1,83.1,95.6,113.4,121.6,,91.4,120.9,87.7,91.4,77.4,101.5,79.6,85.5,96.6,112.8,84.3,93.8,89.7,80.7,85.0,69.9,107.6,116.5,102.1,105.4,82.5,86.3,93.1,97.4,104.7,108.7,95.1,97.6,68.0,87.3,88.5,94.1,104.1,111.4,68.7,90.1,64.4,90.8,70.1,78.5,95.8,97.2,88.6,,89.5,94.0,87.2,85.9,88.7,100.7,92.8,96.4,98.3,102.4,93.9,72.2,92.2,98.3,97.5,55.0,93.2,99.7,95.6,124.7,108.3,125.7,56.4,88.7,,,
2009-09-01,PROD_IND_YOY,89.3,85.1,124.1,82.5,59.9,92.8,64.9,78.7,82.3,95.4,86.8,88.3,83.7,80.5,102.9,104.8,83.2,104.7,74.9,75.4,93.8,82.0,95.1,108.2,130.7,,95.7,88.5,96.2,90.7,107.6,98.8,86.8,101.2,98.1,130.0,83.4,93.1,93.5,124.1,111.4,147.6,105.7,120.3,116.1,121.3,70.3,101.1,94.1,102.1,98.3,94.2,96.7,86.8,71.8,87.2,89.5,89.1,95.5,116.7,78.0,96.2,76.3,91.1,75.1,83.5,95.6,96.6,89.9,,85.3,97.8,87.2,88.2,103.6,74.0,99.4,105.2,103.7,101.1,96.6,82.3,87.9,106.4,101.6,83.5,84.4,103.7,88.7,90.8,91.1,120.8,70.2,91.5,,,
2009-10-01,PROD_IND_YOY,92.6,94.2,100.8,85.8,107.1,114.4,88.5,95.5,89.0,155.2,104.5,93.5,85.7,84.2,119.3,97.6,81.3,96.1,106.6,83.4,97.3,90.4,96.8,110.5,127.3,,106.3,91.9,99.7,98.1,77.5,87.4,93.6,85.8,101.2,101.8,89.4,88.0,93.1,77.7,111.0,116.3,114.3,123.1,105.3,90.0,87.9,110.9,94.3,97.6,99.0,99.4,92.8,106.2,85.2,92.0,100.5,80.1,104.2,107.9,81.8,90.9,77.2,96.5,71.6,93.1,97.0,96.7,95.8,,100.8,99.0,78.2,98.1,116.6,77.9,92.6,94.0,101.8,102.1,99.7,84.7,100.5,104.1,101.2,97.9,96.1,94.1,87.1,76.7,109.5,114.3,77.4,85.6,,,
2009-11-01,PROD_IND_YOY,103.6,102.2,131.7,90.1,81.6,96.2,92.5,117.3,106.1,125.1,144.0,104.9,101.7,104.7,119.1,104.2,89.5,114.1,92.7,93.6,113.0,110.8,101.8,98.2,120.2,,163.4,113.8,127.1,132.2,83.5,95.7,106.6,94.7,112.1,108.3,89.1,90.3,97.8,93.3,108.2,77.5,128.6,113.5,211.8,117.2,90.3,122.0,101.3,101.5,112.7,128.4,107.1,105.2,88.9,111.5,114.0,82.8,109.2,110.8,86.4,105.3,90.2,100.7,96.4,109.9,98.6,97.3,99.2,,98.6,108.1,86.4,97.1,108.9,82.5,105.2,106.3,99.9,117.5,125.3,100.9,105.9,101.9,110.5,102.2,101.0,104.4,107.0,101.9,116.4,121.6,107.3,77.2,,,
2009-12-01,PROD_IND_YOY,107.5,108.0,135.7,98.2,122.8,132.9,156.2,155.0,113.0,57.5,141.0,104.6,115.7,113.6,113.4,104.4,88.8,102.6,117.6,98.8,114.6,108.0,101.9,117.6,114.5,,143.1,105.9,111.7,118.6,118.5,102.9,109.8,95.2,121.7,98.6,92.9,86.1,105.6,91.8,130.5,146.2,118.6,154.1,113.8,74.1,96.8,130.8,101.3,97.6,119.1,134.0,108.8,91.4,99.3,108.4,100.4,100.1,112.9,101.2,91.6,98.8,98.7,104.5,101.1,127.4,98.9,96.8,101.9,,103.0,107.7,108.7,181.0,102.6,77.8,121.0,103.7,109.9,109.5,112.5,93.6,109.0,93.4,115.8,111.8,107.5,119.6,113.5,113.7,131.9,115.8,112.9,115.2,,,
2010-01-01,PROD_IND_YOY,108.5,104.9,120.3,94.4,87.4,99.5,119.0,131.8,116.3,143.4,145.6,105.9,103.3,104.3,132.6,107.8,87.9,104.2,99.1,97.8,90.4,153.3,108.9,114.2,106.6,,136.3,120.4,47.4,114.6,116.3,120.3,79.9,107.0,135.1,109.2,104.4,110.6,105.9,108.4,109.9,99.5,134.7,95.2,111.7,114.2,96.4,113.9,111.2,113.4,115.2,132.4,115.9,98.8,113.2,113.3,111.2,112.3,110.5,128.3,107.1,92.9,106.4,101.5,97.0,130.0,96.2,93.1,102.2,,110.4,124.8,110.4,90.3,115.0,70.4,128.7,106.9,151.4,115.9,125.0,104.4,102.2,117.8,116.1,102.0,121.4,115.1,95.7,117.6,152.3,131.7,101.3,87.7,,,
2010-02-01,PROD_IND_YOY,107.3,100.2,116.4,109.6,111.9,96.3,111.3,76.7,121.8,115.2,125.7,106.0,113.7,102.4,126.7,108.1,101.9,107.1,90.9,91.2,103.1,111.8,105.7,94.8,101.1,,111.7,117.9,103.2,107.2,117.6,118.2,98.1,103.1,118.3,101.5,100.4,108.3,106.3,100.2,110.5,81.1,129.9,124.6,106.2,108.6,89.7,116.3,107.8,113.9,130.9,123.6,105.0,94.7,100.5,108.1,112.9,106.4,108.9,132.4,105.1,99.0,105.0,101.6,108.1,116.2,98.0,95.2,103.2,,107.5,125.9,95.3,110.0,107.4,78.8,132.8,107.4,154.9,118.2,123.4,113.5,99.5,104.8,114.5,111.9,113.7,107.0,106.0,102.6,119.1,124.3,125.3,77.1,,,
2010-03-01,PROD_IND_YOY,109.3,100.1,120.6,125.4,107.6,97.8,109.9,99.1,116.1,96.8,109.4,107.7,107.3,105.6,119.1,124.2,101.6,118.8,103.9,89.7,105.1,121.1,100.9,100.4,102.6,,114.1,113.7,109.3,100.9,112.5,123.5,102.4,107.1,112.1,102.5,101.7,123.0,104.7,111.5,107.0,69.3,117.8,89.1,121.9,106.6,96.2,114.7,110.7,104.9,120.1,122.5,109.4,96.0,105.2,110.4,107.3,125.1,111.9,149.3,107.8,100.6,117.6,103.8,107.2,111.7,100.5,97.1,108.8,,118.5,127.0,83.7,102.6,102.7,85.6,124.7,120.4,156.6,115.7,126.1,112.6,104.0,105.5,118.8,126.2,110.0,110.6,120.3,98.2,112.0,125.0,84.6,80.7,,,
2010-04-01,PROD_IND_YOY,107.4,104.4,113.0,138.0,120.4,97.1,102.7,122.1,114.0,104.5,110.8,97.0,121.5,113.9,117.4,103.6,116.1,123.8,110.9,97.7,103.2,107.7,99.5,139.1,99.4,,112.7,110.8,110.5,100.0,108.1,115.3,84.1,108.1,94.3,90.9,100.0,113.5,105.3,120.6,102.6,85.0,87.1,109.8,125.8,93.6,92.5,104.1,108.7,116.5,125.9,97.1,106.6,98.8,96.4,112.7,108.8,97.3,109.8,107.6,108.2,107.9,142.2,104.6,110.3,108.3,101.4,97.5,113.5,,124.7,125.7,92.1,133.8,133.7,87.9,122.4,117.2,158.4,123.4,122.9,98.8,104.4,99.3,111.1,125.0,100.3,126.3,122.0,121.6,123.6,103.5,143.1,89.2,,,
2010-05-01,PROD_IND_YOY,108.1,96.2,116.1,123.2,134.4,106.5,107.2,97.4,120.7,106.2,107.4,94.2,131.0,118.9,129.2,122.9,121.6,120.4,100.7,76.4,99.3,120.0,97.2,100.7,98.9,,114.2,111.9,122.3,100.3,121.7,109.1,81.7,107.9,111.0,89.0,105.1,115.1,101.5,116.8,102.3,94.5,102.6,102.9,112.1,100.5,96.3,102.4,111.0,114.8,126.1,98.4,105.1,100.9,107.1,115.2,102.5,116.8,106.0,120.6,114.1,105.8,135.7,105.5,110.8,117.6,101.8,98.7,109.8,,117.1,127.4,105.7,116.1,135.6,84.1,134.4,110.7,162.6,116.0,117.4,111.1,106.1,107.6,120.5,155.0,121.0,127.3,129.4,106.1,130.4,111.8,113.7,74.9,,,
2010-06-01,PROD_IND_YOY,107.3,91.0,112.9,145.9,140.1,117.6,97.0,101.0,119.9,96.3,108.8,95.2,122.6,107.9,89.2,110.1,104.6,103.2,121.1,66.8,105.2,98.2,93.5,116.7,100.3,,108.5,108.0,115.4,98.0,136.7,115.8,99.0,110.8,111.8,93.7,107.3,119.1,105.2,119.5,98.9,96.2,88.1,107.2,110.5,97.6,83.6,97.3,112.8,118.1,131.0,106.9,106.1,106.4,112.2,114.5,126.3,113.1,113.8,114.4,112.4,102.9,148.5,106.9,95.7,125.6,102.9,100.0,109.2,,108.4,124.3,101.4,96.0,149.2,74.4,112.9,126.5,166.7,118.8,107.5,111.4,97.2,105.4,104.7,121.5,117.2,114.6,122.7,113.9,122.1,92.2,112.5,78.0,,,
2010-07-01,PROD_IND_YOY,104.6,106.2,114.4,117.3,100.0,117.4,104.7,126.9,118.7,99.3,101.2,107.6,123.7,107.7,98.0,93.4,111.3,90.4,112.3,104.4,80.6,109.8,100.0,88.8,94.7,,111.2,106.9,110.8,105.3,121.5,112.1,53.2,108.5,111.7,104.2,100.4,119.9,103.5,120.3,95.0,101.8,77.7,88.4,113.2,93.7,96.9,92.2,108.8,114.1,113.0,105.9,103.6,105.4,121.6,113.2,114.0,113.7,99.2,100.6,116.9,92.4,131.7,104.4,120.8,121.0,101.3,99.9,104.1,,101.2,120.1,88.9,112.4,152.4,82.4,117.7,124.3,149.5,112.2,105.3,112.5,101.9,106.4,98.9,111.2,62.5,97.3,117.5,101.6,122.3,92.9,86.5,97.6,,,
