,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,PROD_IND_YTD,81.7,83.2,87.9,56.1,80.4,80.3,72.9,83.6,74.4,60.7,65.6,85.0,71.0,82.8,71.4,83.9,80.3,78.3,73.6,89.4,81.6,52.4,92.3,110.4,128.8,,68.3,76.9,81.9,76.4,76.8,75.0,85.9,83.9,86.5,89.5,79.6,109.2,81.8,83.0,89.6,106.5,99.0,108.9,77.1,86.1,89.6,85.6,86.7,101.9,72.7,83.6,85.5,87.3,60.5,69.9,76.9,70.4,90.6,112.5,79.3,84.7,62.7,90.6,74.8,69.1,101.4,99.6,92.1,,74.5,87.5,91.3,86.2,96.6,96.4,83.4,95.0,99.9,88.0,73.6,97.4,82.5,94.0,108.1,89.1,102.9,86.8,95.7,121.1,111.0,121.8,91.5,181.6,,,
2009-02-01,PROD_IND_YTD,82.1,84.6,90.6,60.2,97.3,85.2,73.6,85.1,75.8,69.7,70.6,87.0,68.4,84.4,77.7,86.3,77.6,80.9,75.4,87.4,84.2,57.1,92.1,114.0,130.5,,73.7,76.4,88.1,83.3,76.2,77.2,85.6,82.7,91.0,89.1,80.5,104.2,81.7,80.0,89.6,101.2,96.6,104.7,81.5,94.4,91.9,85.7,85.4,95.4,76.3,90.8,87.5,92.4,66.0,72.1,79.0,69.4,91.0,104.0,78.2,82.8,66.4,86.3,76.0,67.4,96.3,97.5,90.7,,70.5,87.1,91.8,90.3,95.4,95.7,81.2,93.0,96.5,86.1,74.5,99.2,85.2,94.1,108.4,87.8,104.9,87.1,92.4,123.8,99.1,125.8,86.3,166.0,,,
2009-03-01,PROD_IND_YTD,83.3,86.4,92.9,66.2,95.9,88.7,76.8,87.8,76.4,97.9,73.0,84.6,69.5,86.4,79.9,88.2,79.3,85.2,77.9,88.4,86.2,64.6,94.3,118.6,133.0,,75.6,77.2,92.2,87.9,79.9,79.2,83.0,84.5,89.1,91.2,84.7,99.0,83.2,82.1,90.1,106.0,103.3,115.1,81.8,97.1,92.8,84.7,87.0,96.3,80.8,95.5,89.6,94.0,69.0,75.7,82.2,69.8,91.5,95.7,80.9,85.6,70.6,86.4,76.0,69.5,95.7,97.4,89.5,,69.8,87.7,92.9,96.7,100.4,95.4,81.4,94.3,96.1,86.1,75.7,99.2,85.1,94.4,109.8,87.6,103.0,92.0,92.1,125.5,100.0,126.8,93.5,177.4,,,
2009-04-01,PROD_IND_YTD,83.7,88.2,93.8,66.8,84.6,90.2,81.2,89.0,76.5,86.7,73.2,83.1,67.5,84.0,81.2,92.8,77.1,85.0,78.0,95.3,86.3,66.7,95.7,121.1,135.0,,76.6,76.1,90.5,89.6,82.7,79.5,81.1,84.9,91.8,96.5,86.0,98.0,85.0,80.7,91.7,110.3,104.6,103.6,81.8,93.9,91.4,87.2,88.2,97.2,84.9,99.7,91.3,92.7,71.5,77.4,82.8,72.2,92.4,99.7,80.8,86.4,70.8,86.7,75.3,71.6,95.5,97.6,87.8,,68.7,87.9,91.8,91.7,97.4,96.8,81.9,93.3,95.4,85.2,77.0,99.6,84.8,95.5,110.2,87.9,104.8,92.8,90.5,128.9,99.4,128.3,84.4,172.9,,,
2009-05-01,PROD_IND_YTD,83.9,89.2,93.8,67.9,82.3,90.3,78.9,86.8,75.9,85.0,73.4,81.9,65.6,83.1,80.7,95.7,75.3,84.1,78.0,99.7,86.2,66.9,98.1,121.3,136.2,,77.2,82.9,89.6,90.9,83.3,78.7,77.9,85.8,94.1,97.2,86.3,96.9,85.7,82.6,93.5,110.5,104.2,100.0,86.1,94.3,91.2,89.6,88.5,97.3,84.5,95.7,92.5,91.5,71.0,77.0,84.3,72.9,93.4,100.2,80.5,86.4,70.3,86.2,74.8,70.3,95.3,97.7,86.5,,68.0,87.9,92.2,90.8,95.8,98.0,82.1,94.4,94.8,86.4,77.9,96.6,85.3,95.1,109.6,85.8,101.3,92.6,90.7,126.0,100.8,129.0,79.7,173.9,,,
2009-06-01,PROD_IND_YTD,84.4,89.4,95.0,68.8,83.1,90.2,76.9,86.2,76.5,95.3,73.7,81.7,66.0,83.6,83.8,98.7,75.4,83.1,77.5,98.8,86.7,69.6,98.4,122.0,136.2,,77.9,88.2,91.4,91.5,83.8,80.4,76.5,86.1,95.2,97.0,86.1,96.2,86.3,82.9,94.7,104.5,104.7,100.3,89.3,96.5,90.1,92.3,89.0,98.7,84.3,94.2,92.2,90.7,69.8,77.0,83.0,73.2,94.1,98.3,80.8,87.3,70.6,86.3,74.5,70.8,95.2,97.7,85.8,,69.1,88.3,92.5,90.8,95.3,100.3,84.5,94.5,94.5,87.3,79.2,92.5,87.8,95.4,108.7,85.0,98.7,89.3,89.3,125.6,101.4,130.3,79.9,158.9,,,
2009-07-01,PROD_IND_YTD,84.9,89.2,94.7,70.4,82.4,90.0,77.8,85.2,77.5,88.8,75.3,81.7,66.6,85.9,84.3,98.1,75.7,84.1,77.7,98.2,86.4,70.2,98.4,120.5,132.4,,77.7,89.1,92.0,91.1,83.7,83.9,75.3,86.5,95.6,98.5,87.8,95.3,86.6,82.7,97.9,108.4,109.9,101.1,91.5,98.2,89.0,95.7,90.4,101.1,84.7,94.6,92.6,92.6,68.4,78.2,84.6,73.8,95.5,99.0,80.1,89.9,70.8,86.9,73.9,71.6,95.4,97.8,86.2,,71.2,89.4,93.1,93.2,89.7,101.8,85.2,94.0,94.9,89.1,81.4,91.2,89.4,95.8,109.5,85.3,102.3,92.3,89.1,123.2,102.5,132.7,80.6,143.6,,,
2009-08-01,PROD_IND_YTD,85.2,88.9,94.6,70.5,80.5,90.0,77.8,85.5,77.7,102.2,76.3,81.4,67.2,85.5,85.5,98.3,74.1,83.1,77.0,96.8,87.0,72.1,98.0,119.6,130.9,,79.4,93.1,91.4,91.1,82.5,86.2,75.8,86.3,95.7,100.0,87.4,95.0,87.0,82.2,95.3,97.1,109.7,103.2,93.0,99.3,88.1,94.2,89.9,99.2,87.2,96.6,92.9,92.7,68.4,79.4,85.0,74.0,96.6,99.2,78.6,91.5,69.9,87.2,73.4,72.5,95.4,97.7,86.3,,72.4,90.0,92.2,92.1,89.5,101.7,86.1,94.3,95.3,90.7,83.0,88.7,89.8,96.2,107.9,80.9,101.1,93.4,89.9,123.4,103.4,131.8,76.8,134.5,,,
2009-09-01,PROD_IND_YTD,85.6,88.5,98.0,71.8,77.5,91.3,76.3,85.2,78.3,101.8,77.5,82.2,69.0,85.0,87.2,99.3,75.1,85.4,76.8,94.3,87.6,73.1,97.7,118.2,130.9,,81.1,92.5,92.0,91.1,82.6,87.7,77.0,86.8,96.3,102.8,87.0,94.6,87.7,83.3,97.2,102.8,109.2,105.2,95.6,101.6,87.6,95.0,91.3,101.7,88.8,96.2,93.4,92.1,68.8,80.3,85.5,74.1,96.5,99.5,78.5,92.8,70.7,87.6,73.6,73.7,95.4,97.6,86.6,,73.2,90.8,91.4,91.5,91.4,98.6,87.6,95.6,96.3,91.8,84.4,87.8,89.6,97.3,107.1,81.2,99.1,94.6,89.7,118.6,101.5,130.4,76.1,128.4,,,
2009-10-01,PROD_IND_YTD,86.3,89.1,98.3,73.2,80.9,94.5,77.7,86.2,79.4,107.4,79.9,83.4,70.8,84.9,90.3,99.0,75.7,86.5,79.6,93.1,88.7,74.8,97.6,117.4,130.5,,83.3,92.5,92.8,91.8,83.5,87.7,78.6,86.7,97.6,102.7,87.3,93.9,88.2,82.4,98.7,104.9,109.8,107.1,96.6,100.4,87.5,96.7,91.7,101.2,90.0,96.6,93.3,92.7,70.4,81.5,87.0,75.5,97.2,98.3,78.8,93.6,71.4,88.4,73.4,75.5,95.6,97.5,87.7,,74.8,91.7,89.7,91.7,94.5,96.3,88.2,95.4,96.9,92.8,85.9,87.2,90.6,98.2,106.3,82.8,98.8,94.1,89.5,112.2,102.5,128.5,76.2,122.2,,,
2009-11-01,PROD_IND_YTD,87.8,90.4,100.8,74.9,81.0,94.9,79.2,88.9,81.5,111.8,83.7,85.2,73.1,86.8,92.7,99.6,76.9,88.7,80.7,93.2,90.8,77.8,98.0,115.2,129.5,,87.3,94.3,95.7,94.6,85.6,88.6,81.0,87.4,101.1,103.3,87.4,93.8,89.0,83.4,100.0,100.7,111.5,107.7,105.5,101.8,87.7,98.8,92.6,101.3,92.1,99.2,94.4,94.0,71.8,83.7,89.1,76.4,98.3,98.7,79.6,95.4,72.5,89.5,75.3,77.9,95.9,97.5,88.6,,77.4,93.1,89.4,92.0,95.7,95.0,89.6,96.4,97.2,94.8,88.8,88.6,91.9,98.4,106.8,84.4,99.0,95.4,91.1,111.1,103.6,127.8,78.7,116.4,,,
2009-12-01,PROD_IND_YTD,89.3,91.8,103.5,76.6,84.4,99.4,85.5,94.7,83.8,100.0,86.9,86.8,76.2,88.8,94.5,100.0,77.9,90.0,83.4,93.7,92.6,78.5,98.3,115.4,128.1,,90.5,95.3,96.9,96.5,87.7,89.6,83.4,88.3,103.8,102.7,87.8,93.4,90.3,84.5,102.3,103.2,112.1,112.7,106.0,98.6,88.2,101.4,92.6,98.3,94.6,101.8,95.6,95.1,74.0,85.5,90.1,77.9,99.5,97.7,80.7,96.3,75.2,90.9,77.0,81.1,96.2,97.5,89.9,,80.1,94.4,89.6,99.3,96.3,93.3,92.0,97.0,98.3,96.1,90.7,89.1,93.3,97.9,107.6,86.4,99.8,97.3,93.2,111.4,105.8,126.6,81.2,116.3,,,
2010-01-01,PROD_IND_YTD,108.5,104.9,120.3,94.4,87.4,99.5,119.0,131.8,116.3,143.4,145.6,105.9,103.3,104.3,132.6,107.8,87.9,104.2,99.1,97.8,90.4,153.3,108.9,114.2,106.6,,136.3,120.4,47.4,114.6,116.3,120.3,79.9,107.0,135.1,109.2,104.4,110.6,105.9,108.4,109.9,99.5,134.7,95.2,111.7,114.2,96.4,113.9,111.2,113.4,115.2,132.4,115.9,98.8,113.2,113.3,111.2,112.3,110.5,128.3,107.1,92.9,106.4,101.5,97.0,130.0,96.2,93.1,102.2,,110.4,124.8,110.4,90.3,115.0,70.4,128.7,106.9,151.4,115.9,125.0,104.4,102.2,117.8,116.1,102.0,121.4,115.1,95.7,117.6,152.3,131.7,101.3,87.7,,,
