,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,PROD_SHIP_MLN_RUB,2302250.8,782124.3,25774.4,8854.9,14514.4,19955.8,6399.9,14229.0,7845.7,11909.0,19218.3,144455.6,5245.7,10842.7,10925.7,5381.3,16625.1,18184.5,14748.5,427014.1,261024.1,9968.3,29192.1,20268.2,8380.3,,23566.9,14960.7,30737.6,15250.7,8187.6,4985.3,103906.8,131775.5305,1457.8968,516.7597000000001,50101.9664,8626.9582,30103.680399999997,40968.269,32162.2094,5683.2143,239.30089999999998,2157.1944,1636.5597,1928.5344,1611.6926,18905.7131,385637.1,50246.5,5780.5,6418.7,63167.7,19145.5,8883.0,52404.3,11552.3,52235.6,26043.2,9338.6,48758.0,22913.9,8749.3,356481.1,6618.4,67326.4,231917.9,146660.0,60577.9,,50618.4,252298.7,518.4,9426.3,598.3,7763.2,17011.6,8320.8,51332.1,37586.8,48615.9,26570.0,28305.8,16249.5,100747.9,16053.3,5256.7,19198.7,16435.5,9600.1,2617.3,26901.0,1227.8,3457.6,,,
2009-02-01,PROD_SHIP_MLN_RUB,2427520.0,796812.1,29336.0,9357.0,16700.6,22788.2,7029.9,17135.9,7991.2,14225.3,22044.5,151083.2,5900.2,11763.4,12363.5,6467.4,17183.7,19695.0,16616.1,409131.0,278574.6,8777.2,31340.3,22047.6,9319.8,,28739.4,15237.9,35662.5,17824.3,9501.7,5212.0,104231.7,147794.644,1699.1256,512.1069,57359.8241,7550.0642,33254.3379,47419.1853,33986.89,5988.3094,270.7515,2087.6071,1844.9966000000002,1891.2368999999999,1717.5948999999998,20186.393600000003,430356.0,59522.7,5871.6,7079.9,76005.6,20421.5,9894.8,56438.7,12482.7,55375.0,27450.9,10062.9,54686.1,25631.8,9431.9,368114.1,6718.3,74219.1,230409.8,150068.6,59383.2,,56767.0,269381.0,640.1,8209.7,753.0,7513.5,18096.2,7462.1,56095.8,42873.7,50831.3,29978.8,28560.7,18366.2,102500.6,13033.1,6073.6,20802.1,16370.9,8803.1,3097.6,29218.2,1254.9,3847.2,,,
2009-03-01,PROD_SHIP_MLN_RUB,2745527.7,887737.3,30867.5,11563.4,17206.4,24757.1,7756.1,19202.5,8125.7,15949.7,24950.5,160942.2,6379.5,13307.3,13308.7,6701.9,18309.2,23369.2,19255.3,465785.3,342367.2,9793.4,35914.2,24229.7,10479.4,,30397.7,27518.5,50012.8,20068.4,11166.6,5181.0,128084.7,160387.95810000002,2257.3334,644.768,61967.6837,9201.6133,35752.471399999995,50564.088299999996,37466.453299999994,6740.1898,300.2441,2905.3518,1736.2556000000002,2136.5004,1934.3883999999998,21713.5232,484510.6,66077.5,6559.4,8759.0,86395.3,21309.1,11257.5,60707.9,13888.6,62315.4,31414.4,12215.4,62267.1,28479.5,12864.5,424793.0,7268.4,83149.3,274063.7,180982.4,64907.5,,60311.6,291627.4,698.8,8935.2,628.8,7713.6,21295.0,8040.5,57398.1,42024.5,53933.3,33559.2,36485.9,20914.5,116637.7,16012.1,8873.7,24507.7,18377.9,10408.0,3665.8,28711.2,1367.3,4714.0,,,
2009-04-01,PROD_SHIP_MLN_RUB,2784892.1,882043.0,31396.7,11831.2,16204.7,25121.9,7474.6,19282.9,8056.1,14429.1,23441.2,153621.3,6592.4,12642.1,12880.5,7523.7,16568.0,24709.0,18746.4,471521.2,339273.6,9571.1,39072.0,25126.0,11137.7,,27924.0,21565.7,45898.6,18080.1,11117.8,5305.7,135612.5,158899.5017,2547.1761,574.7334000000001,60747.3072,9441.1945,38698.4859,46890.6046,37725.9005,7300.7609,312.14140000000003,2661.9811,2215.7275,1900.9391,2221.452,21112.8985,486974.1,65166.8,6547.3,9454.1,85202.3,21403.2,12390.4,58564.1,13214.0,70041.6,30316.8,11787.5,63603.4,27692.3,11590.3,456440.3,7953.0,89017.3,301470.0,197629.6,75529.2,,57999.9,305774.7,679.4,9191.5,565.4,8476.6,22488.3,9015.6,62412.5,46568.9,52749.9,34180.1,36809.1,22637.3,117761.0,15682.6,7740.5,23869.3,18135.1,10821.0,3281.5,33065.8,1275.1,3890.2,,,
2009-05-01,PROD_SHIP_MLN_RUB,2717217.9,857989.9,32339.7,12051.3,15749.7,22815.8,6466.1,17258.2,7781.7,13384.5,22980.9,145508.7,6272.9,13365.2,11927.3,7066.9,16573.6,24429.6,19063.4,462954.5,316997.5,9148.4,32615.5,23647.4,11048.4,,27238.1,18835.8,41109.5,17429.0,10723.4,5171.6,131078.9,159342.85210000002,2996.6032999999998,540.1908000000001,61680.481,9928.124099999999,38548.2732,45649.1797,39492.950600000004,7914.556799999999,333.2872,2342.9535,2493.6525,1906.1895,2456.614,22045.6971,490290.1,66438.3,6309.2,8710.4,92049.9,20521.3,11284.2,59570.1,11753.4,70591.4,34808.3,11402.0,59679.9,26552.1,10619.8,449399.3,6256.0,78705.2,308173.2,210255.0,68324.1,,56265.0,293009.3,551.0,7875.5,549.0,7957.9,19866.1,9249.7,58894.5,43600.9,52723.9,32756.3,37646.1,21338.6,110695.9,14840.7,6095.3,23433.2,16989.2,10248.0,3207.6,30886.5,1230.0,3765.4,,,
2009-06-01,PROD_SHIP_MLN_RUB,2962075.9,937517.2,34840.0,11304.5,16445.1,23177.9,7224.2,19450.6,7636.9,14090.0,25638.5,167297.4,6893.5,13965.4,13883.5,8280.0,16326.2,23045.7,19019.7,508998.3,359045.7,10219.6,32549.2,27409.1,13410.3,,27499.2,21600.1,54057.0,17400.0,10443.6,5450.4,152417.5,174901.5434,3123.1539,668.4069000000001,67753.7377,10341.564400000001,43531.557799999995,49483.1227,43076.0024,9474.202800000001,295.6804,2953.9118,2594.8678999999997,2165.1015,2378.8996,23213.338399999997,522088.2,67960.1,5938.3,9271.5,99756.2,23631.8,11545.7,63459.8,12818.1,75760.0,34634.3,12553.6,65249.1,27691.1,11818.8,484084.3,7166.1,85302.0,330278.9,231884.8,66672.5,,61337.3,310335.2,628.6,11140.3,613.3,8372.3,18969.2,9691.8,65650.8,44162.8,53283.2,35577.6,40234.6,22010.8,131027.7,24124.6,6737.9,24730.7,18522.6,10700.5,4139.6,37053.5,1340.5,3677.7,,,
2009-07-01,PROD_SHIP_MLN_RUB,3025283.3,935715.1,33599.5,12620.6,19221.4,22511.2,7778.8,20806.0,8629.7,13695.5,26551.6,178103.3,6744.0,14988.7,12981.8,9426.6,19500.1,25196.1,23017.4,480342.7,353124.1,10234.1,35093.5,27450.3,13475.7,,28833.3,22014.8,50174.8,19179.6,10742.7,5718.7,143682.2,177198.78840000002,2443.8292,549.155,73452.71370000001,11109.092,41186.616,48457.3825,44870.4501,7853.6892,503.36190000000005,3180.4834,2418.0651000000003,1952.1312,4017.0772,24945.6421,554987.1,75353.4,6858.6,9754.9,105562.1,23667.9,13349.4,68286.0,13139.7,79609.5,37505.9,12408.5,65960.8,29952.4,13578.3,487797.5,7108.6,90578.5,324396.4,221456.2,69284.0,,65714.0,334129.5,742.8,10275.1,675.6,8232.2,19006.1,9916.1,67771.0,47467.7,57682.4,44663.9,44064.7,23631.8,137460.8,20431.8,6019.2,30041.7,22268.7,11826.9,4592.3,37021.9,1337.3,3921.0,,,
2009-08-01,PROD_SHIP_MLN_RUB,3108139.3,958371.5,34154.5,12521.3,20161.9,22361.0,8824.9,19758.5,8820.1,15043.8,28526.0,180695.7,7242.9,14248.0,13467.0,10117.5,17108.0,23175.0,22450.3,499695.1,351287.0,10761.5,31938.6,27647.0,13277.7,,31180.7,22185.3,48104.6,19279.4,10409.4,5854.5,143926.0,179914.4868,2262.4232,1147.3724,74787.4452,10313.0142,41742.0859,49662.145899999996,50035.7084,12411.0695,546.3495,3060.4716000000003,2093.0637,2153.928,3466.7268,26304.0993,567036.8,80710.6,7243.8,9303.0,108432.2,23874.4,13727.8,67880.0,12629.8,84255.2,39521.6,12416.5,61675.7,30885.8,14480.5,505156.9,7015.2,96061.9,335213.8,229740.3,69882.2,,66865.9,343448.0,914.3,13136.5,649.1,8122.0,17755.2,11247.0,75119.5,45476.3,60550.9,43389.0,44266.9,22821.3,152888.9,26113.9,7426.1,32644.2,25445.1,11631.9,5168.3,39047.8,1736.6,3675.2,,,
2009-09-01,PROD_SHIP_MLN_RUB,3254619.1,1023469.5,37553.1,13110.4,20499.3,25897.7,9751.2,21449.8,9643.3,17827.8,31612.4,187182.1,7989.1,15375.1,14351.7,12403.3,19999.3,25875.1,23115.9,529832.6,372705.1,10816.4,33640.1,28019.8,12120.7,,31847.9,23400.8,54942.1,20020.9,11411.1,5896.3,152709.6,192536.356,2282.7635,892.8172,83002.3201,10581.4232,42671.425200000005,53105.606799999994,50517.879700000005,11610.1669,752.4023000000001,3354.0806000000002,2087.2518999999998,2055.4556000000002,4268.7074,26389.815,590898.5,80754.2,7177.4,10324.7,106698.0,24801.4,14122.4,78020.4,13970.2,85544.5,40034.9,13700.8,69218.4,31380.2,15151.1,505506.9,7657.3,98110.5,328795.2,210163.5,72320.5,,70943.8,357584.4,1034.0,11570.1,760.8,8563.5,19220.9,11551.6,79853.6,49305.9,61541.4,43876.0,44423.1,25883.5,161400.6,34408.0,7906.8,33243.8,24387.9,12029.0,5387.2,39030.0,1439.9,3568.0,,,
2009-10-01,PROD_SHIP_MLN_RUB,3257396.6,1023741.7,38562.0,12740.8,22971.6,29101.7,11095.1,19845.6,9678.3,20000.6,31637.3,194530.2,8518.8,15930.8,14939.8,11856.0,21940.3,25591.9,22526.8,512274.0,369113.7,11464.7,31546.6,27193.3,12711.6,,31918.9,22349.6,49380.8,20867.1,12841.8,6122.9,155427.9,184936.65760000004,2641.3538,1024.048,76837.7126,10310.0629,43447.7886,50675.6917,50516.6881,11124.9359,698.584,3426.1353,2590.2607000000003,2431.0246,2783.3965,27462.3511,598170.1,82205.2,7206.9,10662.8,112373.8,25451.1,14284.0,74500.1,14743.2,82863.6,40269.8,14703.2,70734.5,31766.1,16405.6,514817.1,8274.9,100008.1,335829.9,210405.0,77209.4,,70704.2,361665.7,1240.9,10258.4,817.3,9076.1,19812.2,10778.1,74577.5,59037.8,65568.8,43187.9,42835.6,24475.1,154435.0,25403.8,7330.2,32603.9,23831.8,11116.1,5322.7,43366.7,1363.6,4096.2,,,
