,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,PROFIT_GAIN_IND_YTD,87.0,56.0,27.0,206.9,98.7,107.1,103.2,93.7,58.7,30.6,113.9,85.5,98.8,156.7,58.7,168.2,84.9,103.3,150.8,49.5,92.1,31.4,91.2,120.0,128.1,,61.6,113.2,91.7,105.1,35.5,158.9,99.0,115.1,98.4,25.5,106.0,264.4,106.9,101.1,,91.2,51.7,119.5,98.0,82.1,226.6,105.8,118.6,75.1,84.3,39.8,232.4,72.4,49.4,83.6,59.4,135.3,162.3,154.8,85.1,88.3,131.7,161.8,118.9,62.9,187.2,224.3,38.0,,109.8,80.0,61.4,110.2,95.2,84.4,99.0,99.8,83.6,122.5,58.7,97.6,48.6,48.1,104.0,71.6,76.8,149.9,98.7,110.4,132.2,64.5,70.9,1513.3,,,
2009-02-01,PROFIT_GAIN_IND_YTD,67.8,45.6,32.0,183.7,118.9,94.1,127.0,85.1,52.6,31.7,41.3,58.3,96.6,129.1,74.5,153.7,111.5,93.5,146.8,40.2,65.3,21.6,85.3,170.2,291.9,,38.4,118.7,75.2,71.6,28.5,102.8,63.2,101.6,90.1,91.0,91.2,131.2,95.8,95.9,,402.0,,96.2,184.2,39.2,194.3,102.9,94.3,66.0,68.2,37.5,159.2,83.4,78.0,75.5,55.0,119.3,127.8,127.8,58.6,86.5,68.3,121.1,72.8,47.5,157.3,186.2,40.0,,41.5,57.0,33.5,53.2,116.0,106.5,78.7,87.0,68.3,42.7,34.8,83.0,61.1,43.8,80.1,48.6,106.3,154.4,93.2,60.4,86.9,50.4,98.1,956.8,,,
2009-03-01,PROFIT_GAIN_IND_YTD,68.3,60.0,33.5,193.5,96.9,87.8,86.2,86.6,60.8,33.3,25.0,90.5,76.5,112.4,58.6,122.5,104.0,85.5,145.1,56.6,63.1,22.0,87.6,115.3,192.8,,22.5,117.3,74.8,72.0,38.4,94.1,67.0,90.1,54.6,125.5,89.4,47.9,78.2,96.1,,225.3,59.8,90.1,116.5,84.3,110.8,107.6,82.3,67.8,56.9,56.0,118.6,81.1,66.3,68.2,47.8,98.0,111.4,97.1,60.9,58.6,85.5,96.6,106.5,39.1,121.0,146.5,38.7,,58.8,58.9,94.5,115.3,156.6,93.6,77.0,96.4,61.0,83.3,29.5,76.0,71.0,44.5,77.2,42.4,106.4,141.6,84.0,104.7,115.9,44.3,190.5,471.2,,,
2009-04-01,PROFIT_GAIN_IND_YTD,68.4,64.1,23.2,210.4,92.6,72.3,82.5,86.0,51.4,24.7,85.2,86.3,65.4,91.5,63.6,135.3,90.8,76.9,135.7,61.5,66.9,15.4,93.3,141.7,260.7,,20.6,107.6,81.9,83.8,46.0,78.8,69.9,84.7,58.3,94.2,88.8,39.4,71.3,90.1,,186.2,31.4,75.0,135.6,63.6,86.9,110.1,74.4,59.6,49.7,38.8,95.0,79.7,71.4,64.8,49.1,92.4,94.5,90.3,57.2,70.4,94.3,81.5,91.5,37.0,102.8,115.5,49.4,,43.3,65.6,133.4,104.0,146.9,88.4,71.1,99.2,72.9,116.9,26.5,81.5,74.3,48.7,79.1,40.7,116.6,111.7,84.0,111.0,122.5,47.8,138.1,889.3,,,
2009-05-01,PROFIT_GAIN_IND_YTD,68.6,70.3,21.9,229.1,99.7,69.9,68.2,98.8,48.6,21.1,52.3,86.0,60.8,88.1,63.0,130.0,87.1,70.5,125.1,70.8,69.1,17.1,95.2,115.0,204.7,,15.8,107.1,84.8,82.2,51.4,85.0,76.9,83.2,60.7,528.3,96.2,33.4,63.0,90.4,,142.1,81.7,66.0,116.1,59.8,91.5,108.2,67.8,48.3,48.7,31.6,86.5,79.0,65.0,61.5,46.6,79.4,82.0,97.1,56.3,64.9,96.7,67.3,79.0,36.9,85.1,89.2,62.4,,32.0,70.8,121.1,97.7,124.6,75.9,73.1,98.5,84.1,138.6,26.3,74.9,80.5,55.4,78.6,36.3,152.5,109.2,83.4,149.9,97.9,41.5,123.3,1391.3,,,
2009-06-01,PROFIT_GAIN_IND_YTD,66.6,70.1,29.9,226.6,91.9,66.6,67.9,76.0,47.8,23.3,47.6,95.0,63.4,86.9,45.4,118.0,88.1,54.8,110.4,70.8,60.4,12.5,116.2,203.5,387.3,,13.3,91.4,86.6,63.2,26.6,70.1,63.1,77.3,63.0,131.2,92.8,25.3,54.8,82.9,,154.9,71.7,79.1,120.4,53.9,90.5,98.8,65.0,48.3,55.2,36.7,80.8,76.1,63.6,55.5,63.0,72.8,81.0,106.1,54.1,55.0,96.3,67.6,74.8,37.8,84.4,90.7,53.4,,34.8,62.7,72.2,133.9,89.6,88.9,65.7,82.0,58.2,149.2,21.6,72.0,80.7,64.2,76.8,31.4,184.6,107.7,74.5,156.5,107.5,41.4,112.1,1260.7,,,
2009-07-01,PROFIT_GAIN_IND_YTD,62.9,66.7,19.5,257.4,94.1,59.8,67.0,79.7,48.4,21.4,35.5,91.2,53.8,88.4,46.4,124.5,91.2,49.9,98.6,68.1,57.5,10.2,108.1,183.7,318.2,,11.1,76.2,85.1,63.9,26.6,69.6,60.4,69.0,65.9,227.0,87.0,20.9,52.1,73.6,,154.5,76.2,70.5,180.2,32.9,78.0,97.1,61.6,46.2,56.9,26.7,75.4,74.6,57.1,53.5,61.3,70.2,75.1,94.6,50.2,53.9,100.2,65.7,73.6,34.1,79.8,84.1,55.2,,39.6,52.5,75.7,106.3,81.4,86.6,69.1,77.8,58.9,71.5,19.9,63.0,82.4,73.1,73.6,22.9,162.2,105.2,70.8,150.7,108.0,45.5,81.1,1872.4,,,
2009-08-01,PROFIT_GAIN_IND_YTD,65.7,69.4,20.2,260.2,94.4,55.5,65.2,74.1,39.7,20.6,35.6,89.5,56.3,85.4,47.4,129.5,83.9,44.9,95.0,71.9,58.8,10.5,114.3,192.0,379.4,,13.5,86.8,89.7,66.7,26.8,76.9,60.7,71.5,68.2,187.9,103.1,16.6,57.2,74.0,,116.0,483.8,71.5,220.1,60.7,61.1,89.5,62.8,49.7,59.4,26.1,84.0,75.9,62.3,55.0,55.5,67.6,72.5,92.4,48.6,54.3,106.7,67.9,73.2,34.4,82.4,86.1,59.4,,42.7,60.0,87.3,113.2,100.7,95.0,70.3,85.1,64.7,122.8,19.1,65.4,81.5,69.4,69.9,26.3,155.6,97.1,70.9,61.1,127.3,43.8,57.4,1567.6,,,
2009-09-01,PROFIT_GAIN_IND_YTD,69.4,69.5,33.5,278.9,95.7,59.7,64.9,73.3,51.1,22.9,37.9,100.9,65.0,86.4,103.3,109.7,86.6,46.6,82.0,70.0,67.6,10.5,118.1,220.3,474.7,,20.7,95.5,75.8,74.3,143.5,75.9,66.9,75.3,70.8,131.4,106.7,11.2,60.4,80.0,,117.7,297.1,81.9,118.1,46.9,54.4,84.9,65.6,53.8,61.1,39.2,90.9,82.2,61.9,53.9,43.7,69.3,77.1,103.7,52.9,53.8,113.3,68.4,71.5,37.6,81.4,83.3,69.4,,48.6,67.0,90.7,118.2,230.2,126.5,69.0,81.2,76.1,142.9,20.5,63.1,82.4,83.8,87.3,32.4,177.6,106.0,84.9,74.2,143.1,82.9,77.3,754.2,,,
2009-10-01,PROFIT_GAIN_IND_YTD,72.7,73.0,28.0,300.0,90.6,56.6,65.5,81.1,49.1,21.0,36.0,104.6,60.8,88.5,104.3,116.6,85.0,42.2,96.9,74.5,71.7,11.0,132.6,224.6,488.5,,26.8,104.1,75.2,77.7,136.7,80.5,71.7,76.8,69.6,287.6,119.0,11.7,58.5,78.7,,123.7,296.6,83.2,129.9,37.2,51.8,87.9,66.8,53.3,65.0,36.0,97.3,87.6,66.2,54.2,43.5,69.2,82.5,95.3,52.6,51.8,132.8,70.4,75.8,41.4,81.1,82.7,76.0,,57.1,72.3,55.6,115.7,214.4,147.6,79.4,87.9,81.7,158.4,23.5,64.7,83.4,81.0,96.1,39.5,181.2,102.6,93.2,74.9,165.7,97.3,62.7,463.8,,,
2009-11-01,PROFIT_GAIN_IND_YTD,79.0,79.0,29.3,313.3,106.5,59.3,66.5,87.8,55.4,25.7,40.4,105.1,68.5,100.0,104.0,110.4,84.8,46.2,98.4,81.1,77.6,10.6,141.9,297.6,678.2,,28.4,113.6,78.2,78.5,131.9,80.6,78.3,79.5,73.1,153.8,117.8,13.6,62.8,79.9,,126.4,580.1,91.8,271.4,41.7,50.5,93.1,72.0,57.2,72.7,35.8,109.8,94.3,71.9,57.1,45.7,75.2,93.5,102.8,56.1,50.1,134.6,79.8,71.1,45.0,91.8,94.7,80.5,,69.7,77.8,61.8,112.1,258.2,129.5,90.1,85.4,90.0,156.9,26.1,67.5,84.7,94.4,99.7,38.9,160.6,100.4,104.0,73.8,171.6,105.7,59.8,420.0,,,
2009-12-01,PROFIT_GAIN_IND_YTD,101.4,125.1,43.5,305.3,117.4,62.5,91.0,93.7,60.2,34.3,48.2,120.5,77.6,99.2,167.0,114.5,84.7,54.0,102.2,139.8,89.8,12.7,183.8,313.2,734.1,,33.5,112.5,86.9,91.8,318.6,85.1,88.7,80.1,72.7,134.0,110.0,15.0,64.7,86.6,,179.4,270.1,70.7,92.1,76.0,40.2,81.2,77.3,71.7,76.1,41.6,113.1,100.8,74.8,58.0,50.6,73.5,99.9,107.2,68.6,49.8,123.1,90.8,80.2,52.4,101.7,102.9,102.3,,94.4,83.7,54.1,98.9,100.4,134.4,88.9,80.1,95.3,168.0,28.7,71.4,78.4,103.3,116.1,43.8,171.3,89.0,110.3,,154.0,121.3,67.3,445.2,,,
2010-01-01,PROFIT_GAIN_IND_YTD,123.0,199.4,131.4,115.9,92.6,68.1,102.8,104.5,119.9,210.6,145.6,119.1,118.1,89.7,144.2,131.5,101.5,69.0,70.7,250.7,125.7,88.6,115.9,984.6,2369.6,,140.9,213.6,100.5,145.7,71.7,90.0,85.0,101.8,104.7,144.2,133.5,40.8,104.3,77.5,87.7,193.1,55.3,97.0,138.7,168.1,8.3,85.2,86.0,121.0,93.2,81.6,49.4,95.0,73.3,120.3,153.0,111.9,49.1,75.4,135.1,112.3,84.9,48.7,79.4,141.5,40.7,30.7,292.2,,88.9,122.9,51.0,361.8,133.1,85.3,98.0,102.0,226.6,54.4,86.1,93.3,78.2,116.3,174.7,130.1,131.2,93.2,109.9,134.6,86.0,543.4,166.2,87.4,,,
2010-02-01,PROFIT_GAIN_IND_YTD,149.7,215.2,171.6,95.1,97.4,76.0,93.6,127.5,199.4,221.6,194.9,135.2,137.7,106.6,134.5,133.1,96.2,82.5,85.8,255.7,142.4,202.2,146.2,129.9,107.7,,211.7,150.1,104.2,143.1,123.9,103.2,143.5,111.5,108.9,60.4,144.0,52.1,102.0,83.6,101.5,162.0,97.3,78.0,124.1,101.7,10.6,106.5,104.8,143.6,101.1,61.1,68.2,102.7,89.3,122.5,151.5,126.4,69.4,114.7,155.7,115.9,190.4,62.6,97.4,174.3,51.1,36.3,310.9,,91.4,197.2,60.5,161.8,208.8,75.4,122.8,144.7,206.4,470.0,174.3,105.6,101.3,138.5,245.4,213.1,137.1,117.9,165.5,164.1,198.4,605.3,109.9,181.7,,,
2010-03-01,PROFIT_GAIN_IND_YTD,162.7,193.5,209.6,76.7,178.0,95.4,159.2,155.1,201.8,221.5,221.7,141.5,126.5,125.2,122.8,130.7,96.2,96.7,98.4,210.8,145.2,304.1,162.9,239.9,256.1,,367.9,263.3,100.7,188.9,47.5,121.0,128.9,129.3,127.0,197.6,145.5,93.6,130.7,97.5,102.6,28.9,496.0,166.5,182.3,171.7,38.6,114.7,117.7,170.9,115.5,70.1,92.0,114.5,86.7,129.4,183.3,130.7,83.9,120.4,138.1,115.3,137.8,85.0,87.3,214.3,69.1,46.6,366.2,,120.5,228.2,200.8,84.8,246.6,90.8,125.1,121.6,300.9,269.9,217.0,122.6,105.8,180.1,302.7,344.0,126.6,149.2,164.4,636.3,151.1,664.4,99.5,174.5,,,
2010-04-01,PROFIT_GAIN_IND_YTD,158.7,169.9,240.4,70.8,172.1,101.1,143.8,158.4,188.2,307.4,54.1,147.9,130.4,131.7,119.6,133.9,103.8,109.8,94.8,183.3,143.0,443.3,191.7,181.3,157.8,,359.2,211.9,98.3,148.9,48.3,129.0,133.3,126.8,145.8,198.3,133.8,94.6,134.5,101.9,117.1,60.6,454.4,229.0,171.0,237.7,38.1,119.3,127.5,188.5,126.1,68.3,107.8,107.5,93.5,130.7,174.5,137.6,98.9,113.7,146.5,109.0,143.1,98.3,102.7,196.4,83.6,61.5,283.1,,133.8,221.4,174.4,95.7,294.8,90.2,156.3,127.7,313.1,182.9,233.8,118.2,116.2,155.8,290.7,386.4,110.2,164.9,148.0,489.4,163.0,626.7,77.4,133.0,,,
