,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,PROFIT_NET_IND_YTD,,,,222.1,,77.6,,,,,89.9,,10.2,,,265.8,,11.4,,,,,77.1,,,,,,,70.9,,26.9,1.4,,,,,286.8,65.3,,,,,,,,322.3,101.3,38.4,,,,102.8,,,53.0,,61.6,132.0,106.7,,44.7,,100.5,177.8,,162.4,221.1,,,,13.1,,,,,49.4,,62.9,91.2,,44.2,6.7,,,,,74.9,,,,,,,,,
2009-02-01,PROFIT_NET_IND_YTD,0.5,,,182.1,9.2,68.6,,6.4,,,15.9,,,22.7,,121.5,8.9,39.2,2.0,,,,67.3,,5086.9,,,,,46.0,,,6.9,,60.5,,,121.8,65.0,,,6002.2,,,,,285.9,101.1,36.3,5.1,18.0,,41.4,20.8,8.1,58.4,,65.5,112.6,103.3,,38.3,,68.2,28.5,,133.9,185.4,,,,7.4,,,,,31.3,,56.3,,,49.8,12.6,,,,,136.2,,,37.6,,,,,,
2009-03-01,PROFIT_NET_IND_YTD,29.1,30.2,,179.7,8.7,55.2,,,,,8.5,1.7,,29.0,20.0,30.6,,35.0,,39.3,15.2,,54.6,,,,,,2.9,55.6,23.4,47.2,29.8,23.7,,,,12.5,54.8,,,,,,,,,101.1,40.6,27.3,20.5,7.1,59.2,24.9,5.7,55.0,,44.7,100.8,47.7,8.4,21.9,,58.3,78.5,,102.7,144.4,,,,23.6,,42.7,,,29.9,,51.4,51.5,,34.4,34.3,,,,,158.6,,,94.8,,,658.3,,,
2009-04-01,PROFIT_NET_IND_YTD,41.7,46.7,,202.7,22.5,42.0,,15.1,,,80.7,20.8,,16.3,30.9,69.1,1.8,45.7,,52.4,33.8,,70.0,,,,,,30.8,75.3,32.6,11.7,42.6,37.7,,,26.6,18.8,52.1,6.8,,,,,,22.5,,104.9,43.8,33.6,19.7,,59.1,41.7,13.6,52.1,,51.2,88.5,56.5,14.2,37.0,,55.6,49.0,,91.3,114.5,,,,35.2,,79.2,,3.8,30.9,,61.0,90.3,,47.4,45.6,,,,,136.4,,,78.1,,,3818.1,,,
2009-05-01,PROFIT_NET_IND_YTD,52.0,60.3,5.6,220.4,55.0,42.2,,,,,49.6,49.3,13.7,40.8,32.3,53.1,8.9,47.8,33.0,66.8,46.4,,75.9,22.2,924.6,,0.6,19.8,48.7,72.3,40.3,48.6,57.1,60.2,17.0,,73.4,21.3,47.7,46.7,,,,,,17.2,2.1,105.4,47.8,33.4,26.7,,70.2,44.3,19.2,53.2,,54.3,78.7,75.6,19.7,38.0,19.0,51.4,40.8,,78.9,88.2,29.6,,10.1,49.3,,83.5,,36.4,29.8,,75.4,123.8,1.0,47.6,64.0,11.0,,,40.1,124.9,,134.6,43.5,,,,,,
2009-06-01,PROFIT_NET_IND_YTD,51.4,60.5,10.0,229.4,48.5,41.1,,,,,44.4,60.4,12.8,43.0,28.8,42.5,20.2,27.1,0.2,66.8,42.7,,116.0,393.9,900.2,,3.4,,52.9,54.2,18.9,27.1,48.6,53.2,28.4,,73.3,11.2,41.7,23.2,,,,,190.9,,,88.9,45.0,34.3,38.1,5.8,64.1,46.6,20.8,48.0,24.7,51.8,77.8,72.0,6.9,33.3,30.8,53.3,40.3,,78.3,88.4,32.6,,16.0,44.9,,124.6,,50.6,30.9,,50.0,144.4,,50.1,64.1,23.5,6.6,,303.1,121.9,,177.5,104.2,,,,,,
2009-07-01,PROFIT_NET_IND_YTD,49.9,59.5,2.3,262.0,50.5,37.8,,32.8,,0.7,33.2,64.5,14.8,39.6,30.7,42.9,30.9,25.6,,65.6,42.7,,104.4,183.0,341.0,,4.8,,54.9,55.4,18.9,26.6,49.2,44.1,36.7,,64.8,13.3,40.8,4.9,,,,,490.3,,,85.1,44.1,33.4,37.3,,59.8,49.1,17.1,47.1,24.5,52.5,72.4,67.1,7.7,34.2,32.7,52.9,36.0,,74.8,83.4,32.3,,20.9,35.6,,94.7,,51.1,31.3,,51.7,58.1,,42.4,67.1,36.6,20.1,,208.4,107.0,,114.3,106.9,70.9,,,,,
2009-08-01,PROFIT_NET_IND_YTD,54.7,64.0,6.4,264.9,54.1,35.6,,54.1,,3.3,33.4,62.6,20.5,40.9,31.2,47.5,25.3,25.6,,71.5,46.3,,111.3,448.7,1212.1,,8.7,5.4,63.2,60.7,18.9,38.4,51.0,47.9,40.4,,80.1,5.9,49.1,6.4,,,,,1097.1,,,76.8,46.3,36.9,40.7,,68.4,49.5,22.0,49.1,22.5,50.2,70.4,66.5,9.4,38.3,49.5,57.2,48.1,2.2,78.7,86.0,37.4,,26.0,45.8,,106.7,,74.1,37.0,,58.6,117.1,1.6,42.6,70.2,39.8,31.7,,180.0,97.5,,25.0,127.0,76.7,,,,,
2009-09-01,PROFIT_NET_IND_YTD,64.1,76.7,22.5,295.5,69.7,40.0,,43.1,,6.7,35.1,83.2,26.5,48.7,81.5,66.2,34.9,31.4,,86.7,56.7,,111.7,,,,15.7,45.7,50.5,68.7,132.3,52.6,59.0,58.8,41.7,,100.4,,51.5,26.7,,,,,455.2,,,73.7,50.0,43.1,41.6,10.6,77.2,55.8,19.3,48.9,19.0,52.2,75.4,81.6,13.8,38.0,67.1,58.8,33.0,10.5,78.0,83.1,52.5,,33.6,55.3,,110.8,,151.8,39.1,,73.2,143.3,5.4,38.9,81.6,55.4,72.2,,623.6,119.1,19.9,56.7,149.5,100.5,,2708.7,,,
2009-10-01,PROFIT_NET_IND_YTD,70.8,86.2,19.1,319.5,69.6,36.5,,61.1,,12.9,34.0,96.8,36.9,59.2,89.1,76.0,39.0,28.3,4.7,97.9,62.6,,129.1,1899.1,1158.9,,22.5,67.3,51.8,74.1,126.5,63.9,65.0,62.4,42.1,,123.7,,51.3,23.6,,,,,762.5,,,75.2,52.8,44.9,45.3,8.6,86.7,61.5,23.2,50.1,19.4,52.6,81.1,79.1,16.7,36.6,111.0,61.9,36.4,16.0,78.2,82.3,61.8,,45.4,62.9,,109.1,,224.6,50.7,,80.2,162.9,10.3,38.7,80.8,63.8,92.9,,410.6,119.6,44.2,61.2,172.2,119.5,,779.8,,,
