dates,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,TRADE_F_IND_YOY,103.6,105.86729636298547,112.6,114.0,113.5,109.7,111.0,107.7,86.1,128.8,109.7,109.4,96.9,107.3,100.9,105.6,106.4,104.8,101.4,103.2,102.27571914830403,96.3,81.62917503613059,99.7,108.3,,104.8,101.8,109.1,105.6,103.5,90.0,106.2,106.91648913916501,153.7,93.0,102.2,102.5,126.9,99.3,121.47528637255041,134.7,90.6,135.1,111.6,111.0,161.3,101.7,103.2,104.8,114.6,97.9,106.3,90.6,105.5,104.7,98.9,95.1,106.3,88.0,111.4,98.0,100.1,102.7,96.2,111.1,94.6,90.7,95.3,,101.2,99.42273052977696,105.2,114.9,102.3,110.0,111.9,102.5,105.7,85.8,92.8,97.6,98.0,92.8,101.3,100.1,99.8,101.7,102.5,102.7,97.3,99.6,103.1,105.4,,,
2009-02-01,TRADE_F_IND_YOY,99.1,101.45613313929681,106.4,110.5,98.5,99.6,125.6,104.5,82.0,124.4,104.2,104.8,88.3,104.0,94.6,119.0,98.8,104.0,97.0,98.5,96.14896756594791,93.6,77.0391900087591,96.7,107.1,,100.6,100.4,98.2,103.2,103.0,91.0,96.8,100.01660222717773,132.8,102.6,94.6,101.0,117.4,93.9,114.19914413070057,119.2,93.9,113.5,110.5,105.9,159.5,103.3,100.2,97.1,106.4,88.5,104.7,95.6,81.5,107.7,94.1,93.2,105.5,100.4,106.2,96.2,90.4,98.3,95.8,99.1,90.6,88.8,84.4,,104.2,93.21287920566333,107.7,105.8,104.4,121.5,104.7,98.8,99.8,85.8,85.9,80.0,91.6,99.1,98.5,100.3,103.6,95.0,99.1,100.8,95.5,97.8,101.1,101.6,,,
2009-03-01,TRADE_F_IND_YOY,98.8,98.18478922035868,115.9,106.8,97.8,91.8,108.6,106.0,87.0,114.3,107.3,94.6,92.9,97.9,96.0,118.6,98.3,102.2,97.9,96.7,98.54382171363551,99.5,80.60170576355479,95.1,106.3,,93.7,104.6,99.1,100.2,102.2,95.1,102.1,97.84274593295702,124.5,101.3,92.4,104.5,108.8,94.7,118.1388286293202,130.8,113.2,94.7,107.1,115.1,164.2,104.0,99.8,100.1,109.4,91.5,101.1,100.6,90.0,105.1,96.3,93.0,108.2,103.2,101.7,98.2,88.2,98.8,96.1,103.4,95.5,93.3,86.3,,99.4,94.63642591971622,111.5,113.5,106.1,118.7,101.7,100.4,98.0,93.0,83.0,91.0,85.7,97.7,100.4,101.8,104.9,91.9,102.8,103.2,95.9,104.8,101.3,130.6,,,
2009-04-01,TRADE_F_IND_YOY,101.6,98.54292970649367,125.5,109.6,92.1,95.2,116.7,106.5,96.8,114.2,109.9,88.7,94.3,98.1,99.4,99.2,98.0,101.3,95.6,99.0,98.15048661736475,95.4,80.06390978758353,99.1,106.4,,101.8,100.1,99.3,97.8,97.0,93.9,101.4,99.77443341202087,135.2,102.4,103.8,99.5,106.1,90.0,111.88506515668276,112.6,105.1,94.5,95.0,125.9,160.0,105.0,99.89082639348946,105.4,97.5,98.2,99.7,93.6,94.1,111.2,92.9,90.7,102.9,101.4,99.3,95.4,97.1,98.1,96.3,102.6,90.5,90.2,84.1,,97.2,93.93120792190425,100.9,113.5,104.2,112.3,101.7,99.0,100.6,90.4,78.7,92.7,86.0,93.0,100.9,100.3,98.2,97.3,106.1,98.5,95.2,99.8,100.9,145.2,,,
2009-05-01,TRADE_F_IND_YOY,98.1,98.7978248845217,120.8,107.0,94.1,97.7,112.8,103.0,93.0,109.4,109.0,89.6,92.3,93.1,101.8,103.3,98.9,98.5,96.9,99.8,97.0613351086312,92.5,77.69541091895758,98.4,109.7,,87.7,101.6,100.8,93.5,106.5,93.5,101.1,94.9748637565325,112.1,109.4,94.0,98.5,109.2,86.4,113.59100111395011,118.1,74.1,96.6,100.4,125.8,161.0,103.7,99.46050894620973,93.0,102.2,99.3,106.1,89.6,95.1,105.5,92.8,92.1,99.4,97.4,104.5,98.5,101.6,99.4,99.5,99.0,93.5,97.5,87.2,,106.0,94.36200143322058,105.7,105.3,98.2,91.9,96.9,102.7,102.6,89.6,84.5,96.9,83.0,95.3,102.6,101.5,101.9,105.0,106.9,99.7,94.4,97.8,99.5,91.2,,,
2009-06-01,TRADE_F_IND_YOY,97.8,100.59886299109114,115.3,104.0,90.7,99.6,106.4,100.8,102.7,108.1,95.8,92.6,91.2,95.9,100.5,98.4,96.0,101.3,101.0,103.2,98.21727597158016,100.0,76.39921749139877,101.6,109.4,,94.3,100.5,100.7,93.5,104.7,92.1,102.2,92.75283694343139,103.5,106.5,93.2,97.0,102.1,85.6,106.31502075302788,101.0,75.2,93.7,102.9,118.6,159.2,103.5,99.65608629258158,93.8,100.6,104.8,104.7,91.3,97.9,102.8,94.0,91.0,112.4,95.4,105.3,97.5,99.2,96.7,101.4,97.3,87.7,87.9,75.9,,99.8,90.11517108082747,109.1,107.9,95.2,89.3,92.6,101.0,96.9,92.7,76.4,89.0,82.2,82.8,98.5,100.1,102.4,102.4,104.3,95.8,95.9,80.6,97.6,79.6,,,
2009-07-01,TRADE_F_IND_YOY,96.5,99.07613439364835,115.4,100.6,90.3,99.3,93.9,94.3,102.7,110.7,97.5,90.6,90.6,96.1,94.5,104.4,96.1,96.1,101.2,101.8,96.82922203888697,95.4,78.38461127309813,100.8,105.5,,90.5,100.0,100.4,98.4,103.5,92.4,98.9,91.79533979260029,92.2,107.4,95.3,102.4,100.2,81.2,109.66613139911829,113.6,70.5,92.8,100.6,114.1,153.7,102.2,99.14821426008737,96.2,96.9,108.6,106.0,93.1,99.8,100.6,93.9,91.1,118.5,94.7,100.0,95.5,91.8,95.5,97.6,96.4,83.8,83.6,65.5,,99.6,90.71382165447764,99.9,113.8,93.8,104.1,91.0,101.2,98.2,87.5,79.3,88.9,81.8,83.6,99.1,104.6,97.8,97.1,101.4,98.0,95.7,95.6,100.1,81.2,,,
2009-08-01,TRADE_F_IND_YOY,94.5,98.37184310446617,106.8,101.8,89.3,95.9,89.9,90.2,99.1,109.5,98.7,90.0,93.7,91.3,95.4,99.0,92.0,96.3,98.8,102.1,95.30597019129706,94.1,77.54678844801126,92.6,106.7,,77.6,100.3,100.0,94.0,102.0,93.7,100.0,91.16791717725403,98.7,104.6,95.4,95.9,97.4,81.4,115.36657670799647,122.6,63.6,97.4,100.2,108.3,165.0,106.8,97.79596457010257,99.5,103.4,107.1,101.0,89.4,100.7,99.5,91.5,90.5,101.0,93.6,98.1,100.1,93.7,95.4,95.6,94.2,82.0,82.4,61.2,,103.2,86.87368474423825,85.3,90.1,95.4,91.9,90.6,101.1,93.8,81.9,78.3,84.5,84.9,83.4,96.5,101.8,94.4,88.0,104.1,95.1,98.0,92.9,101.4,107.3,,,
2009-09-01,TRADE_F_IND_YOY,94.3,99.71894579033261,117.6,102.4,94.9,94.9,91.7,85.6,97.8,112.4,89.1,95.6,96.0,95.9,98.7,104.5,90.7,95.7,100.0,102.0,94.38939698863325,94.2,76.99977558133477,96.0,106.8,,78.5,103.4,95.6,93.4,104.2,93.0,97.5,91.20761441819296,97.9,100.6,99.6,90.5,91.6,80.5,116.177947880001,126.8,58.2,99.6,100.5,97.5,163.7,106.1,95.7,95.3,104.2,109.2,99.0,88.6,102.1,94.5,91.4,90.5,104.9,94.4,94.5,95.7,93.2,97.0,96.5,94.6,81.9,84.9,57.6,,108.3,87.49561707164938,90.8,87.7,99.4,88.6,89.7,99.3,92.5,87.7,80.9,85.7,82.9,85.7,98.4,101.4,106.4,95.1,104.9,93.9,98.2,89.4,101.5,82.5,,,
2009-10-01,TRADE_F_IND_YOY,96.2,101.50700723575136,130.2,104.3,95.8,96.9,94.4,89.1,85.7,116.4,89.3,99.4,95.9,98.3,98.1,110.5,94.1,102.1,101.0,102.4,96.34253532576328,91.7,81.67934443097975,96.3,102.5,,79.6,100.1,96.0,96.8,106.4,92.3,101.1,94.087487021949,90.8,109.2,105.6,94.7,91.9,80.9,115.95380840108746,126.9,69.0,102.9,103.1,86.2,164.9,105.7,99.1,104.2,104.2,105.5,106.0,90.8,107.6,96.5,90.9,89.9,107.2,94.1,96.9,96.6,94.9,96.1,97.5,92.4,82.9,85.6,57.8,,106.5,91.97934207477837,87.5,90.1,106.2,93.6,99.3,98.6,95.1,94.4,83.5,90.0,89.6,91.9,98.8,100.0,97.3,89.9,104.0,97.4,99.5,108.6,101.4,87.1,,,
2009-11-01,TRADE_F_IND_YOY,97.8,103.92571810648863,136.5,105.3,97.6,97.9,92.5,88.3,90.5,118.1,89.7,95.8,93.6,101.1,98.7,103.6,97.4,106.9,97.8,107.7,97.17356065418971,95.3,84.2599086363552,98.4,108.8,,86.1,100.3,94.0,97.3,109.1,89.6,101.2,94.23358576362374,81.9,124.4,107.1,88.8,89.7,81.6,116.00674911563044,122.0,80.9,104.4,97.2,93.0,169.4,109.3,99.5,107.5,101.4,103.5,97.3,87.8,106.9,99.2,92.3,92.1,102.9,95.7,99.6,99.7,102.7,98.3,97.0,97.8,87.6,92.3,62.7,,100.9,92.5798746984103,84.5,90.3,99.8,93.5,106.8,100.4,95.9,85.1,84.8,90.4,93.0,94.0,99.3,100.8,100.2,92.6,101.7,96.9,99.3,106.4,101.2,111.4,,,
2009-12-01,TRADE_F_IND_YOY,100.4,103.533464916892,122.4,99.8,96.8,90.7,90.2,106.5,85.3,117.7,92.9,100.4,99.0,103.0,102.3,109.9,93.4,103.8,103.5,105.6,105.15084944641129,101.3,87.92000357196457,95.0,108.0,,86.9,104.5,99.6,97.4,108.2,85.5,118.5,95.95038763660054,84.9,127.3,104.3,95.9,94.5,86.3,114.34477221190663,118.4,74.1,100.0,101.7,99.5,159.2,110.1,104.9,111.1,114.1,113.2,106.5,102.6,108.1,90.3,94.1,102.0,107.1,91.9,112.0,107.3,96.4,108.4,94.1,100.0,107.0,118.7,82.8,,110.1,92.43434756196463,87.3,93.7,98.8,102.7,84.5,103.3,93.2,82.3,88.8,99.5,93.0,98.6,105.6,100.2,104.0,104.8,104.3,97.4,96.3,124.6,104.9,119.4,,,
2010-01-01,TRADE_F_IND_YOY,103.3,105.93959727532328,117.0,103.2,104.3,115.4,97.3,101.5,106.1,92.8,107.5,109.5,96.6,101.2,101.2,109.0,101.2,104.6,105.8,105.1,103.42675114187563,99.8,100.08506747208061,98.0,105.9,,106.4,94.5,105.0,99.2,109.4,96.0,106.8,108.9004636890291,121.0,101.0,116.5,114.4,90.7,106.5,106.18635150574673,101.2,130.6,100.0,97.4,113.6,122.8,106.9,104.10708672398523,109.5,108.4,117.9,100.6,120.8,100.4,100.2,111.7,106.7,99.2,111.7,97.1,111.5,87.6,97.82643153404624,103.9,100.9,96.8,100.3,84.1,,93.6,97.65258215798801,100.4,101.3,107.5,102.5,107.3,107.3,104.4,85.2,84.9,98.4,97.2,96.6,105.24066053629087,102.8,92.6,104.9,102.4,107.5,101.2,114.17,104.9,125.5,,,
2010-02-01,TRADE_F_IND_YOY,103.7,104.5475713917477,105.8,102.1,107.4,125.1,89.1,101.1,104.8,92.7,107.2,103.0,99.9,105.1,99.9,97.6,101.4,103.9,105.2,105.1,102.96944390292629,99.1,99.39077898670577,104.3,102.7,,107.4,96.8,107.8,99.0,106.0,94.6,104.1,110.96784583505843,118.6,103.2,118.3,105.3,96.9,109.8,109.2,108.9,109.2,108.6,104.2,115.1,124.2,105.5,104.77845665664738,107.0,101.2,122.6,103.1,119.8,122.4,96.2,111.7,107.6,97.6,99.5,102.6,105.4,99.3,98.0482197078859,102.4,106.0,96.8,101.1,78.4,,86.7,101.24136909018537,100.4,101.5,105.6,102.3,101.3,106.5,101.9,87.8,89.7,116.7,106.5,93.2,103.62146817185581,103.5,92.8,100.9,108.4,106.5,99.4,103.01,100.9,119.3,,,
2010-03-01,TRADE_F_IND_YOY,104.1,105.54092431869549,102.7,107.5,117.1,127.5,103.1,107.2,110.7,101.5,106.2,105.8,104.7,103.9,105.1,102.1,101.1,108.7,105.4,104.0,103.4454279744956,102.6,99.22189166715296,114.7,104.0,,107.3,101.6,112.3,99.9,108.3,94.9,100.5,109.86693662226,118.6,104.1,115.1,103.6,104.4,107.3,104.4,96.9,108.2,103.1,102.6,117.3,111.7,107.5,106.57265696146852,110.0,103.1,113.8,104.4,119.3,120.6,101.8,116.8,109.4,98.1,102.3,107.7,97.6,97.3,98.97372379543175,102.3,102.9,92.6,94.1,76.4,,101.0,99.18821959693464,104.2,109.6,108.6,79.7,100.7,103.2,104.1,86.1,94.4,99.4,107.2,91.6,104.74633175334105,101.6,95.0,110.9,102.8,106.6,99.0,102.71,105.3,107.1,,,
2010-04-01,TRADE_F_IND_YOY,104.8,108.03430366916494,102.4,109.7,116.6,126.9,103.6,106.6,109.1,98.6,105.5,114.2,104.9,101.4,103.7,104.0,101.4,110.4,105.0,106.0,105.04678707935624,107.1,97.37891809196006,106.8,93.4,,115.4,100.0,115.2,100.5,111.0,94.0,103.9,107.25387953572098,102.0,106.6,106.0,115.7,104.9,108.7,104.8,95.4,108.3,101.3,105.5,117.8,126.6,106.9,106.43643549790531,107.4,105.3,105.6,103.2,121.5,113.5,96.8,118.2,109.2,109.2,108.3,108.6,101.2,98.8,99.71005681566722,99.2,103.4,97.1,97.8,77.5,,97.6,99.27509211864752,118.7,95.6,108.6,83.4,98.2,102.6,99.6,94.5,98.2,98.6,107.3,103.7,102.28887795871768,100.0,100.0,102.4,96.7,105.6,99.9,113.11,104.4,89.0,,,
