dates,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,TRADE_F_IND_YTD,103.6,105.86729636298547,112.6,114.0,113.5,109.7,111.0,107.7,86.1,128.8,109.7,109.4,96.9,107.3,100.9,105.6,106.4,104.8,101.4,103.2,102.27571914830403,96.3,81.62917503613059,99.7,108.3,,104.8,101.8,109.1,105.6,103.5,90.0,106.2,106.91648913916501,153.7,93.0,102.2,102.5,126.9,99.3,121.47528637255041,134.7,90.6,135.1,111.6,111.0,161.3,101.7,103.2,104.8,114.6,97.9,106.3,90.6,105.5,104.7,98.9,95.1,106.3,88.0,111.4,98.0,100.1,102.7,96.2,111.1,94.6,90.7,95.3,,101.2,99.42273052977696,105.2,114.9,102.3,110.0,111.9,102.5,105.7,85.8,92.8,97.6,98.0,92.8,101.3,100.1,99.8,101.7,102.5,102.7,97.3,99.6,103.1,105.4,,,
2009-02-01,TRADE_F_IND_YTD,101.3,103.61648248623686,109.4,112.2,105.7,104.6,118.1,106.1,84.0,126.5,106.8,107.1,92.5,105.6,97.6,112.4,102.5,104.4,99.2,100.8,98.94497132414533,94.9,79.27577581345689,98.2,107.7,,102.6,101.1,103.6,104.4,103.2,87.0,101.3,103.56267615141458,142.4,98.0,98.6,101.7,122.1,96.6,117.64864784203482,126.4,92.4,124.0,111.0,108.6,160.4,102.5,101.6,100.5,110.3,93.0,105.5,93.0,93.3,106.2,96.5,94.2,105.9,94.1,108.8,97.1,95.2,100.4,96.0,105.0,92.5,88.6,90.2,,102.7,96.27718329196531,106.8,110.0,103.0,115.7,108.0,100.6,102.6,85.8,89.3,88.6,94.8,95.9,99.8,100.2,101.7,98.1,100.8,101.7,96.4,98.7,102.1,103.5,,,
2009-03-01,TRADE_F_IND_YTD,100.4,101.66882880700706,111.8,110.3,102.8,99.9,114.7,106.1,85.0,122.3,107.0,102.5,92.6,102.7,97.1,114.6,101.0,103.6,98.7,99.4,98.7685113773436,96.5,79.73434269858936,97.1,107.3,,99.2,102.3,101.9,102.9,102.9,89.4,101.6,101.56626996169905,135.6,98.7,96.6,102.7,117.4,95.9,113.20306442271925,115.6,95.8,112.5,109.6,110.7,161.7,103.0,100.9,100.3,112.0,92.4,103.9,95.4,92.2,105.8,96.4,93.8,106.7,97.2,106.3,97.5,92.7,99.3,96.0,104.4,91.8,89.7,88.3,,101.5,95.67967560354117,109.1,111.2,104.0,116.8,105.6,100.5,100.9,88.3,87.0,89.4,91.6,96.6,100.0,100.9,102.8,95.8,101.5,102.3,96.2,100.8,101.8,112.0,,,
2009-04-01,TRADE_F_IND_YTD,100.7,100.76960862592637,115.2,110.1,99.8,98.6,115.2,106.2,87.8,120.0,107.8,98.6,93.1,101.4,97.7,110.0,100.2,103.0,97.9,99.3,98.58312607954936,96.2,79.81201512768956,97.6,107.0,,99.9,101.4,101.2,101.6,101.3,90.2,101.6,101.05285725914419,135.5,100.1,98.4,101.9,114.4,94.5,115.28550111035014,121.8,95.5,107.3,105.5,114.3,161.2,103.5,100.6723263789308,101.7,107.8,94.0,102.8,95.1,92.7,107.2,96.2,93.0,105.7,98.3,104.4,97.0,93.8,99.3,96.1,104.0,92.6,88.5,86.2,,100.4,95.26249790958597,106.3,111.8,103.8,115.6,104.5,100.1,100.8,88.9,84.8,90.3,90.2,95.7,100.2,100.7,101.5,96.2,102.8,101.2,96.0,100.5,101.6,121.1,,,
2009-05-01,TRADE_F_IND_YTD,100.2,100.27166821783158,116.4,109.4,98.5,98.4,114.7,105.4,89.0,117.8,108.1,96.3,92.9,99.5,98.6,108.5,99.9,102.0,97.6,99.4,98.21939075579743,95.4,79.37513353182827,97.8,107.6,,96.8,101.4,101.1,99.9,102.5,91.3,101.4,99.60339684789975,130.1,102.0,97.4,101.1,113.3,92.5,114.79638242659848,120.8,89.9,104.7,104.4,116.6,161.2,103.5,100.29048214894681,99.3,106.5,95.1,103.5,93.8,93.1,106.9,95.0,92.7,104.4,98.1,104.4,97.3,95.4,98.7,96.8,102.9,90.9,90.3,87.4,,101.5,95.11793046395465,106.1,110.5,102.8,110.2,102.6,100.7,101.2,89.0,84.6,91.7,88.5,98.6,101.4,100.9,101.6,98.0,103.7,100.9,95.6,105.3,101.1,112.6,,,
2009-06-01,TRADE_F_IND_YTD,99.7,100.31091623749921,116.1,108.4,96.9,98.6,113.2,104.5,91.3,116.0,105.7,95.9,92.6,98.8,98.9,106.4,99.2,101.9,98.2,100.0,98.2716011398303,96.2,78.88008715246026,98.5,107.9,,96.3,101.2,101.0,99.0,102.9,91.7,101.6,98.29093345713191,124.6,102.8,96.6,100.4,111.3,91.2,112.88234727473161,116.3,86.1,102.4,104.1,117.0,160.8,103.5,100.08710955002584,97.9,105.3,96.8,103.7,93.3,94.0,106.1,94.8,92.4,105.7,97.6,104.6,97.3,96.0,98.4,97.7,101.9,90.3,89.9,84.2,,101.8,94.17945747578715,106.6,110.0,101.4,106.2,100.5,100.8,100.4,89.7,83.1,91.2,87.4,95.5,100.3,100.6,101.7,98.8,103.7,100.0,95.7,96.3,100.5,106.4,,,
2009-07-01,TRADE_F_IND_YTD,99.2,100.05129672035991,116.0,107.3,95.8,98.7,109.9,102.8,92.9,115.2,104.4,95.0,92.3,98.3,98.2,106.1,98.7,101.0,98.6,100.2,98.01780288983662,96.1,78.81953537467437,98.8,107.5,,95.3,100.8,101.1,98.9,103.0,91.8,101.1,97.129777734211,118.4,103.5,96.3,100.7,109.5,89.5,112.32832178776192,115.8,82.6,100.7,103.5,116.6,159.8,103.3,99.85627483832407,97.5,101.7,98.5,104.1,93.3,94.8,105.2,94.6,92.2,107.5,97.1,103.9,97.0,95.4,97.8,97.7,101.0,89.3,88.9,81.0,,100.9,93.66069790701532,105.4,110.6,100.2,105.8,98.8,100.8,100.1,89.3,82.6,90.9,86.4,93.5,100.1,101.2,101.1,98.5,103.3,99.7,95.7,96.2,100.4,102.3,,,
2009-08-01,TRADE_F_IND_YTD,98.8,99.81804816317722,114.6,106.5,94.8,98.3,107.0,100.8,93.8,114.4,103.6,94.3,92.5,97.3,97.8,105.0,97.8,100.3,98.6,100.5,97.62844327959651,95.8,78.67540147671525,98.0,107.4,,92.6,100.1,100.9,98.4,102.8,92.1,101.0,96.19775869766747,115.3,103.7,96.1,100.0,107.7,88.3,113.24942185953617,116.8,78.5,100.2,103.0,115.0,168.8,103.8,99.5406566301848,97.8,101.9,99.6,103.7,92.7,95.6,104.4,94.2,91.9,106.5,96.7,103.0,97.5,95.2,97.4,97.4,100.1,88.3,88.0,78.0,,101.2,92.65849128879996,102.2,107.6,99.5,103.8,97.6,100.8,99.2,88.3,81.9,89.9,86.2,92.0,99.5,101.1,100.2,96.9,103.4,99.0,96.0,95.7,100.5,103.0,,,
2009-09-01,TRADE_F_IND_YTD,98.1,99.81180744747577,114.9,106.0,94.8,97.9,105.1,98.6,94.2,114.2,101.6,94.5,92.9,97.1,97.9,105.0,96.9,99.8,98.8,100.7,97.27312721282264,95.6,78.50670906846733,97.8,107.4,,90.9,100.5,100.3,97.9,103.0,92.3,100.6,95.53021238169156,112.9,103.3,96.5,98.8,105.7,87.3,113.71186110108773,118.3,75.9,100.1,102.7,112.9,168.2,104.0,99.0,97.3,102.1,100.6,103.1,92.3,96.3,103.2,93.9,91.7,106.3,96.4,102.0,97.3,95.0,97.4,97.3,99.4,87.5,87.5,75.2,,102.5,92.04923561410187,100.7,104.9,99.5,101.8,96.5,100.7,98.4,88.2,81.8,89.6,85.8,91.3,99.4,101.3,100.9,96.7,103.5,98.4,96.3,95.0,100.6,100.3,,,
2009-10-01,TRADE_F_IND_YTD,97.8,99.92811174787694,116.4,105.8,94.9,97.8,103.9,97.3,93.2,114.4,100.1,94.7,93.2,97.2,97.9,105.6,96.6,100.1,99.0,100.9,97.19486939143047,95.2,78.83852531054401,97.6,106.8,,89.7,100.4,99.9,97.7,103.4,92.3,100.7,95.34098593426978,109.9,103.9,97.5,98.3,104.1,86.6,113.94885715697178,119.3,74.4,100.4,102.8,108.9,167.8,104.2,99.0,98.1,102.3,101.1,103.4,92.1,97.4,102.5,93.6,91.5,106.5,96.1,101.4,97.2,95.0,97.0,97.3,98.6,86.9,87.3,73.0,,102.3,91.89264170926076,99.2,103.2,100.2,100.8,96.8,100.4,98.0,87.8,82.1,89.5,86.2,91.3,99.3,101.1,100.6,95.9,103.6,98.3,96.7,96.5,100.7,98.7,,,
