dates,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,TRADE_NF_IND_ROG,74.3,79.86687570367488,69.2,69.8,80.1,83.3,70.0,66.5,95.9,80.2,86.3,83.2,73.0,75.2,80.2,63.1,80.5,81.5,80.6,79.9,100.12184397332993,79.2,73.09068920420991,82.2,83.0,,90.9,97.4,77.9,74.3,82.7,84.4,117.0,74.25437524389143,81.2,62.3,78.4,71.8,87.2,60.7,70.00257509052544,47.0,88.6,68.5,84.4,67.9,111.8,76.6,78.9,44.6,73.4,83.9,72.9,76.0,98.4,95.4,68.9,87.2,88.4,93.3,79.7,78.7,86.4,72.4,57.8,80.1,65.5,61.8,83.5,,66.2,73.71703242764201,70.2,82.1,60.2,95.0,30.9,73.8,67.9,77.3,71.9,77.4,95.2,88.1,68.6,55.5,71.9,76.9,56.3,59.2,66.1,84.1,83.7,81.6,,,
2009-02-01,TRADE_NF_IND_ROG,95.3,93.83634863341968,96.3,95.7,90.2,92.3,96.4,101.0,87.9,95.4,97.7,84.1,99.0,97.6,98.4,81.1,101.1,95.9,95.5,96.8,101.69147329896853,102.0,98.29438012304632,102.4,98.2,,100.7,86.6,91.2,100.3,91.5,92.9,106.8,94.46408024908548,88.3,114.9,86.6,106.1,104.3,97.8,102.56127810810926,120.9,118.4,87.5,105.6,80.2,83.2,97.5,98.3,114.5,101.3,97.7,98.9,104.5,98.5,89.7,95.6,92.3,90.4,86.6,100.0,99.2,103.1,93.8,94.6,91.2,97.2,96.3,100.4,,90.9,95.31613836130039,92.5,105.4,87.6,72.9,102.5,98.6,98.7,96.7,88.5,94.5,92.3,94.0,101.7,107.0,102.1,104.1,90.8,108.0,102.4,99.7,102.3,100.4,,,
2009-03-01,TRADE_NF_IND_ROG,105.0,103.55714958449886,107.4,103.4,108.1,105.9,109.3,102.1,100.5,97.1,98.2,102.2,106.0,104.4,107.9,93.3,103.6,101.4,96.9,104.4,105.1031600728732,100.7,108.01971328622628,105.3,104.7,,105.2,105.8,114.1,103.6,110.3,103.8,103.2,100.71740574119573,100.5,102.2,96.2,112.3,97.3,106.0,100.84968252647923,98.6,108.9,102.9,100.2,104.6,98.2,101.9,103.7,116.4,107.9,110.0,100.6,102.5,101.6,104.2,110.0,105.5,98.2,98.9,98.1,99.3,101.3,109.0,106.5,111.4,105.7,109.3,98.8,,123.6,109.85073622409942,107.3,109.0,105.1,104.4,112.3,107.0,107.3,116.7,113.2,109.8,105.2,104.0,109.4,110.3,110.0,105.2,113.8,113.0,106.8,109.9,105.3,116.1,,,
2009-04-01,TRADE_NF_IND_ROG,98.0,98.93793440019024,96.9,93.9,97.9,102.6,92.4,102.3,92.4,96.8,107.5,97.3,100.8,95.5,99.9,114.2,101.5,99.4,91.9,99.0,96.97705308376312,94.8,92.14072252103337,95.3,107.2,,92.2,100.8,95.5,91.8,97.2,99.4,98.8,105.22860825130107,104.2,94.5,115.8,94.8,94.3,99.3,107.34824286597836,120.1,92.6,101.7,96.2,106.0,100.9,100.6,99.00431440510657,106.2,90.5,96.4,102.3,96.4,108.2,97.7,96.9,95.6,97.3,99.5,95.5,92.4,104.2,95.5,94.9,97.4,92.5,92.2,92.9,,86.6,95.98363058956778,85.4,91.0,98.6,110.8,102.1,97.7,93.4,94.6,92.9,95.9,103.7,89.7,98.0,100.8,104.1,98.5,93.4,98.0,101.2,95.9,101.4,125.2,,,
2009-05-01,TRADE_NF_IND_ROG,100.9,100.36268158155218,99.8,90.8,106.1,96.7,98.7,100.7,98.4,101.7,100.3,106.7,97.5,107.3,101.3,109.1,98.1,100.8,99.6,98.2,98.18270286257108,99.5,92.52527254556495,96.9,91.5,,102.9,108.2,111.9,92.0,101.2,95.9,95.6,97.79783418591623,92.8,104.9,97.1,101.9,95.8,99.2,103.05914416225909,113.4,74.3,108.3,95.2,100.3,86.0,98.3,102.26562099336209,107.5,96.9,105.2,96.4,104.6,91.2,101.1,101.5,99.7,108.6,109.1,102.1,103.0,104.5,101.1,104.3,99.9,104.7,108.0,102.2,,97.4,101.16676538910569,112.0,88.7,103.6,129.6,98.0,101.3,94.8,103.5,104.7,105.1,100.6,98.7,104.3,102.3,99.0,106.1,115.1,98.3,103.5,96.8,98.4,91.3,,,
2009-06-01,TRADE_NF_IND_ROG,101.1,99.61284880963987,101.9,101.2,99.3,98.9,111.1,101.8,104.7,102.1,97.2,105.0,103.9,98.9,96.6,107.2,102.3,100.6,96.1,96.9,97.63529317280401,103.8,97.17277321250857,109.6,92.4,,100.2,102.7,102.9,86.8,103.6,103.7,94.2,103.67885662362629,115.9,101.6,105.2,98.6,100.8,103.2,104.06221840952517,104.3,107.1,106.1,107.0,101.7,99.4,104.3,103.63500034505324,107.5,102.4,98.0,106.7,104.5,108.4,101.1,103.2,98.4,109.0,101.7,102.0,104.6,97.8,99.8,100.3,99.0,99.9,96.1,103.4,,103.5,100.06603332995205,109.5,101.6,92.7,111.1,103.4,99.4,102.3,103.6,94.4,101.1,91.7,103.5,98.0,100.8,97.7,96.9,104.4,95.8,101.8,90.6,98.9,73.2,,,
2009-07-01,TRADE_NF_IND_ROG,102.7,101.7739255193001,109.7,98.6,107.8,104.2,106.5,102.9,111.6,106.0,104.8,99.1,107.2,101.7,106.0,100.4,107.8,103.0,105.5,100.8,97.59670257907854,104.6,97.99750016028607,98.6,97.8,,99.2,106.8,110.0,95.4,106.8,102.4,92.3,106.71407926594104,97.9,109.4,115.9,103.7,98.3,99.4,97.33374499346742,89.7,96.3,107.3,102.6,98.3,90.3,103.8,104.185029140902,105.1,106.6,103.8,103.4,100.5,96.9,105.1,107.9,107.0,107.7,103.8,100.3,105.6,106.1,103.0,103.8,102.4,98.9,97.5,97.5,,109.4,102.53016589586605,101.7,130.5,104.7,90.3,107.1,103.6,103.9,104.0,101.6,91.5,105.2,104.9,105.6,103.9,99.1,104.2,104.6,106.7,98.7,114.8,102.0,107.3,,,
2009-08-01,TRADE_NF_IND_ROG,102.2,101.2403674786707,98.4,106.8,99.5,102.3,98.3,99.4,103.0,100.7,104.8,98.5,99.3,100.0,98.8,110.1,101.5,98.7,98.2,102.2,96.35784060060067,102.3,96.52330267966897,105.9,110.8,,99.6,100.7,99.9,107.7,99.5,101.1,91.0,105.71929557568319,109.2,95.8,108.5,103.8,100.9,104.4,107.65845454241789,111.8,95.1,112.0,99.2,100.2,107.6,105.3,100.56290116146437,95.7,109.1,100.2,98.1,103.2,108.8,100.1,101.1,99.7,108.3,99.7,102.0,106.1,96.7,101.2,99.4,100.4,103.3,104.7,99.7,,99.8,103.2556516475449,91.3,81.0,117.6,114.2,102.2,102.5,107.4,94.2,103.0,111.0,105.3,95.8,103.0,102.5,115.6,102.6,103.3,106.0,106.1,97.1,101.6,126.1,,,
2009-09-01,TRADE_NF_IND_ROG,99.6,100.66643200753424,100.5,106.0,93.7,98.1,97.1,98.7,93.7,101.1,103.8,100.8,99.8,96.3,99.0,87.9,100.4,97.2,97.3,102.0,94.43295900588191,96.9,101.59571459716689,97.9,101.5,,94.5,101.0,91.6,108.3,102.5,102.2,89.7,99.07335409272244,94.3,93.5,99.9,97.7,94.7,101.0,102.43236719548523,107.4,105.2,101.8,96.7,100.7,101.9,98.2,98.8,100.9,105.0,99.8,99.4,97.8,94.2,96.1,97.9,97.3,102.8,98.9,99.1,96.4,100.2,98.2,99.0,97.6,102.7,103.8,101.4,,92.6,99.16475608772386,98.1,99.9,96.9,102.7,102.6,97.2,98.4,98.5,96.1,98.2,102.4,103.3,98.0,100.4,88.9,98.6,98.8,98.2,100.5,95.0,99.4,86.1,,,
2009-10-01,TRADE_NF_IND_ROG,103.1,103.08085564038305,101.4,100.6,100.3,98.8,102.0,99.3,100.9,101.4,99.9,101.0,104.1,105.3,101.8,100.4,101.2,103.3,100.8,105.1,96.707166770387,99.8,104.14467763368121,102.6,110.9,,107.3,104.8,100.5,113.9,99.8,102.8,88.9,100.81948123263146,105.2,100.9,98.5,107.1,105.6,99.9,101.05712020294791,101.9,93.8,99.6,102.3,96.7,103.9,100.8,102.9,112.3,99.4,99.0,103.8,99.2,97.0,101.3,99.2,101.7,96.4,101.0,100.8,104.2,99.5,105.9,101.1,106.4,106.6,108.3,102.3,,108.0,103.46160709842906,97.7,107.5,113.2,94.1,98.2,103.1,105.2,99.1,103.6,101.9,111.9,106.0,104.7,100.6,102.6,98.7,104.1,107.3,107.1,122.5,101.2,103.8,,,
