dates,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,TRADE_NF_IND_YOY,105.4,103.03379937263813,113.0,108.0,112.5,103.8,86.5,108.5,125.8,82.7,118.4,116.5,98.6,113.3,98.1,121.9,104.4,107.2,104.6,95.1,110.09705148406442,106.5,85.10506217481077,96.4,103.5,,107.8,100.9,95.4,110.5,125.8,127.1,117.0,113.09287577540653,159.5,99.7,115.1,106.7,117.2,104.4,107.84668029975427,99.5,139.7,143.9,112.3,121.0,109.6,101.3,104.9,112.2,123.4,113.1,102.1,104.0,96.7,99.3,108.6,104.1,111.1,120.6,98.6,114.2,89.9,103.5,90.0,103.3,99.1,98.0,99.4,,95.1,101.86369061919757,108.0,117.5,107.8,110.6,97.3,108.5,101.9,94.3,96.0,107.3,106.2,92.7,107.4,107.0,105.0,103.6,118.9,104.9,105.6,103.8,105.9,105.6,,,
2009-02-01,TRADE_NF_IND_YOY,98.8,96.10125679893275,115.1,107.0,113.6,108.3,79.8,107.9,116.5,81.1,108.6,94.9,100.9,111.2,99.3,95.3,99.1,97.2,99.9,92.1,96.9122544581567,105.0,81.64029459965026,98.9,110.9,,94.7,88.9,88.6,107.4,115.8,108.4,97.6,106.46796621463574,140.9,107.9,105.3,105.5,113.7,100.7,106.94629739974899,113.0,147.1,119.6,115.5,109.0,106.5,96.1,99.1,102.3,116.7,95.7,100.1,91.9,96.9,91.4,97.9,97.7,106.4,109.5,96.4,110.1,85.4,96.2,84.8,93.0,95.1,91.6,108.0,,84.2,93.04720779760173,105.4,112.0,111.4,65.0,100.4,103.4,97.2,81.9,83.3,96.0,97.7,79.8,104.5,101.4,106.4,103.0,107.5,100.3,107.8,108.9,105.1,103.0,,,
2009-03-01,TRADE_NF_IND_YOY,96.5,91.76495759893638,110.6,105.2,106.0,104.5,90.0,102.4,104.4,78.4,95.9,83.5,88.5,100.3,105.1,71.4,96.6,98.5,94.4,90.9,97.20271795215753,98.4,87.73275160961592,107.8,110.0,,97.6,86.8,95.0,101.7,104.9,102.2,97.2,98.59690141454595,129.2,104.8,91.1,107.7,107.4,98.6,104.59908695169966,106.4,158.4,100.3,119.1,116.7,108.6,96.4,92.6,99.4,103.9,98.6,99.0,85.6,107.1,86.7,95.7,89.7,92.2,94.7,83.2,100.2,83.0,95.0,84.2,97.8,91.6,96.6,101.7,,86.5,91.9760852343998,112.9,116.5,109.6,68.1,93.6,102.9,91.8,88.8,80.8,95.3,95.2,82.6,104.6,104.3,96.7,95.3,110.3,106.5,103.1,117.7,105.4,132.6,,,
2009-04-01,TRADE_NF_IND_YOY,90.2,90.83569731988601,85.4,100.7,94.8,121.1,83.3,100.1,102.2,75.9,102.4,82.9,91.8,97.5,105.4,75.5,96.7,94.8,83.1,90.0,89.32059890949859,96.5,83.96645801666256,102.9,109.2,,84.6,90.3,95.6,92.8,96.5,101.6,85.3,99.13261973056164,128.2,101.3,101.3,96.2,100.4,93.2,104.51661505895788,105.6,145.5,98.1,107.5,124.5,115.2,96.5,89.96654336070952,100.5,103.4,89.6,97.2,84.8,110.9,86.5,91.4,85.1,78.5,94.3,79.9,88.4,86.4,90.8,80.4,91.8,81.6,78.3,99.9,,85.3,88.44876166384935,101.7,100.6,100.2,80.4,84.6,97.8,86.9,87.7,76.3,93.4,97.4,80.2,104.3,105.5,101.4,101.9,100.2,102.4,104.9,113.1,105.4,147.5,,,
2009-05-01,TRADE_NF_IND_YOY,91.7,91.08649568232075,88.6,89.9,95.2,112.3,78.2,100.0,104.5,75.2,97.7,90.5,85.5,93.0,97.8,83.1,91.1,89.8,78.3,90.0,88.46735809819914,93.1,80.52892134984934,98.2,110.9,,103.2,95.0,96.5,87.4,95.9,99.8,83.3,95.07154016663495,119.6,102.3,100.0,96.6,95.8,84.8,105.33967885898755,114.2,103.4,98.8,101.3,120.0,114.1,94.1,88.21752084522109,92.3,85.3,90.9,91.4,91.1,98.3,85.3,88.6,85.4,85.9,99.0,80.3,86.2,91.2,88.2,80.3,89.6,82.6,84.4,85.0,,77.6,87.45513845829775,106.8,91.0,99.4,111.6,80.5,96.7,80.7,89.9,75.1,96.9,95.4,77.3,104.8,105.7,102.1,106.0,100.6,103.5,103.6,108.4,103.4,96.5,,,
2009-06-01,TRADE_NF_IND_YOY,90.5,91.2889795001269,86.4,89.7,91.7,109.8,84.2,98.0,86.9,77.6,100.1,94.7,86.9,94.2,91.0,82.7,88.5,90.8,74.3,89.7,90.06454944994915,95.0,77.86269436189934,100.7,105.2,,89.4,98.6,95.1,87.5,101.2,99.3,87.0,92.70049407863121,103.0,103.9,96.5,95.7,92.4,85.5,107.73629906394828,118.4,106.2,98.2,106.4,114.8,113.7,96.5,88.38793045388557,93.3,87.8,87.9,92.9,94.8,99.2,83.7,90.7,81.5,85.2,101.0,81.2,87.6,87.8,81.7,76.9,88.9,67.6,60.0,72.9,,82.7,87.68853219450307,108.4,92.8,88.4,119.8,77.7,94.7,81.8,92.7,68.2,101.5,88.0,93.2,98.5,100.1,104.5,101.6,99.5,95.2,100.2,89.2,100.6,84.9,,,
2009-07-01,TRADE_NF_IND_YOY,88.9,89.06048581636738,81.2,86.2,95.0,94.6,81.5,94.5,85.2,78.4,93.1,90.5,87.5,92.1,92.0,83.2,92.5,88.5,75.9,88.9,87.17287881865009,95.4,73.54255935194374,96.0,107.8,,86.2,96.5,97.8,95.9,97.3,92.9,81.9,94.22599714496914,102.0,105.2,106.9,95.4,89.1,77.2,98.12965805650151,92.7,97.8,97.2,94.9,111.6,115.2,98.4,88.93132609275017,96.5,83.4,96.2,92.2,93.6,95.5,84.8,89.5,84.1,88.0,100.3,80.1,85.7,86.0,78.3,72.4,88.8,61.7,50.3,72.5,,82.9,86.50729793733709,94.6,95.3,89.5,108.5,77.6,94.7,84.9,98.3,68.0,88.6,90.2,91.8,100.3,100.2,101.2,100.1,105.8,95.0,94.4,98.4,99.3,92.3,,,
2009-08-01,TRADE_NF_IND_YOY,87.4,89.0760535674319,78.6,86.6,89.4,95.7,77.6,90.1,86.2,79.2,95.5,85.9,80.9,88.1,92.8,84.0,93.4,88.8,73.5,91.2,86.86832032374772,90.3,71.21049280524151,102.8,113.7,,80.9,100.7,96.2,91.3,93.4,84.4,82.5,94.36426505604807,116.4,100.1,108.5,95.1,85.9,75.1,99.16403504878488,92.3,87.3,101.5,88.6,103.4,123.8,101.9,87.18161355520604,88.5,91.8,91.5,86.1,108.1,97.3,82.0,88.7,81.7,92.8,96.6,80.1,85.2,92.3,76.0,71.3,86.3,61.6,49.9,72.0,,81.5,84.75872911676525,80.7,79.1,89.7,114.2,76.7,93.6,85.1,91.2,66.3,92.6,91.8,75.7,98.1,101.7,114.6,92.9,106.7,91.1,100.5,91.7,100.1,120.8,,,
2009-09-01,TRADE_NF_IND_YOY,86.5,89.73578404169476,77.8,91.2,88.7,90.7,80.4,84.5,84.2,78.0,101.0,89.6,86.0,89.0,97.4,79.6,99.2,86.7,74.7,91.1,84.80365110857629,87.2,71.05050090800445,91.4,105.3,,80.3,99.7,93.8,91.1,95.7,89.4,80.3,90.36474303305755,97.8,91.3,102.8,90.8,82.9,74.3,98.16019614939489,98.0,94.1,95.4,84.5,91.4,120.0,97.5,86.4,83.8,93.7,93.6,86.2,103.8,89.7,84.3,89.9,80.9,97.4,99.5,78.9,84.6,90.4,76.2,71.0,85.7,64.9,53.1,81.3,,78.8,85.39580787966797,78.4,78.1,89.8,123.3,73.2,93.8,85.8,95.7,68.4,89.2,94.1,80.3,97.1,101.7,100.7,95.8,104.8,90.8,100.2,86.6,100.7,90.1,,,
2009-10-01,TRADE_NF_IND_YOY,87.7,90.53641584758063,81.2,90.4,88.8,85.3,82.4,79.8,99.1,78.0,100.6,87.1,88.2,90.2,97.3,80.8,104.1,89.1,77.1,93.3,87.76622146262291,88.7,71.67511525302875,94.4,108.4,,86.5,109.0,95.2,95.7,95.7,90.3,83.0,92.26379591440866,109.8,95.5,102.7,100.3,87.9,74.4,95.39508295257804,93.8,96.5,98.8,88.6,78.9,121.8,94.7,88.2,95.1,94.9,92.1,84.7,100.1,86.8,83.8,84.8,82.4,104.6,98.4,78.4,86.8,89.4,79.6,68.3,87.0,72.5,62.6,83.8,,83.0,86.62651784331644,80.7,102.0,97.3,112.4,66.0,95.4,87.2,90.3,66.1,90.2,105.9,87.8,101.6,107.3,97.5,95.1,108.5,95.2,105.2,104.7,102.0,93.3,,,
2009-11-01,TRADE_NF_IND_YOY,90.4,92.22715407474942,94.0,88.7,94.8,91.8,76.1,75.1,100.9,86.6,101.6,80.9,95.8,84.0,98.3,81.7,106.3,92.3,75.0,97.2,91.39304268530762,89.3,77.1809571858229,93.0,109.5,,84.2,119.9,90.8,97.9,102.3,92.3,88.7,92.82237838163259,123.2,94.5,101.2,94.5,89.4,78.0,104.44904742617507,109.0,110.4,110.0,87.9,83.8,124.3,99.3,92.4,97.1,93.9,97.9,91.1,105.0,99.1,93.0,84.0,86.2,101.8,106.1,80.4,88.3,98.2,88.4,71.2,97.5,77.7,76.3,91.5,,89.9,86.99638256538061,82.6,109.7,97.2,123.1,58.1,89.4,88.9,89.6,68.7,93.5,101.4,93.3,99.4,106.0,104.0,92.6,99.6,95.2,106.1,105.3,101.5,118.4,,,
2009-12-01,TRADE_NF_IND_YOY,93.5,94.6274577005928,88.4,84.9,100.0,87.1,95.5,76.1,98.3,94.7,106.9,80.4,93.3,91.2,105.4,91.8,100.1,93.8,75.4,101.2,98.63821318193396,95.4,83.72028953231673,105.7,108.3,,85.8,124.6,103.9,98.1,102.1,101.7,96.1,90.14903727067976,107.9,94.3,93.3,99.9,95.7,78.1,105.87116557450787,111.9,99.1,101.6,90.8,90.0,133.1,99.1,99.4,100.9,96.6,104.1,100.4,99.3,118.6,101.7,84.5,97.6,102.8,104.0,88.8,94.5,123.9,96.7,67.6,105.1,89.7,91.9,112.9,,88.9,89.84124458202047,77.7,108.3,112.1,113.7,49.3,96.7,89.7,97.2,77.7,90.3,115.4,97.0,104.1,102.1,98.9,101.7,98.4,92.3,107.9,128.0,105.2,127.7,,,
2010-01-01,TRADE_NF_IND_YOY,98.5,97.6078670004305,97.2,87.3,100.3,91.2,100.9,99.6,94.9,104.9,97.0,83.6,106.3,93.1,108.5,93.1,100.2,93.2,82.0,103.0,93.99097692182612,93.7,90.23573363675395,106.0,115.6,,96.4,96.5,112.2,95.4,104.7,99.4,86.8,104.25477376088799,98.8,125.6,102.1,111.8,95.0,110.1,102.48149986706673,108.7,126.8,99.0,91.9,98.9,117.0,94.2,97.43495969230652,99.0,91.7,99.7,106.9,100.7,103.3,86.1,99.3,96.1,100.1,87.8,94.6,97.8,99.4,96.57737742128168,91.4,100.9,95.4,92.1,95.3,,91.5,103.2599088669389,92.4,110.8,105.0,152.2,102.0,98.8,101.5,101.1,90.9,109.4,98.7,111.1,105.34066656483886,103.1,107.1,102.4,101.7,107.9,112.8,112.86,104.3,135.7,,,
2010-02-01,TRADE_NF_IND_YOY,100.5,99.21997523696083,97.6,94.7,104.4,100.7,101.3,99.5,102.8,108.8,95.0,94.5,103.8,99.3,100.7,110.0,103.1,94.6,82.4,100.5,95.31869482504892,100.7,92.01661247809245,99.7,92.8,,95.9,101.7,110.3,94.9,102.2,102.2,89.8,103.26240904426979,106.0,108.0,100.8,98.6,90.6,113.2,103.2,103.6,106.4,114.6,88.3,106.2,120.9,96.4,98.61123630839955,97.7,92.3,95.6,108.2,95.4,92.5,92.5,102.8,98.3,112.8,98.7,91.9,94.0,99.6,103.22814951075851,96.8,107.0,96.3,90.7,100.9,,107.7,104.91647704743906,94.8,107.5,108.6,179.1,99.6,101.7,104.7,98.6,103.8,103.0,102.7,111.9,104.47881735458029,104.0,99.7,99.0,113.9,107.2,120.6,101.84,98.2,128.2,,,
2010-03-01,TRADE_NF_IND_YOY,104.3,103.42608196725186,98.4,98.2,103.8,100.7,108.5,99.8,122.0,118.0,107.9,104.4,114.6,100.6,111.0,115.4,110.6,105.7,93.6,101.8,101.91046078792775,97.5,99.18484471109409,110.0,101.4,,102.3,102.9,111.3,99.1,97.8,110.6,99.3,105.59022643829704,98.8,112.5,101.0,101.4,100.1,115.3,113.2,119.6,128.0,111.3,98.8,114.4,133.1,102.2,105.00078153237735,105.2,105.1,93.1,113.8,105.2,99.2,99.0,106.4,100.4,114.1,116.4,98.1,102.5,110.9,99.37342518142174,105.6,104.5,94.8,87.7,103.5,,95.5,106.00442416193223,104.0,116.3,117.6,188.9,104.8,103.1,113.8,90.6,101.7,101.9,104.0,103.5,105.0055178813829,105.3,109.7,104.8,104.0,103.8,119.6,103.93,101.0,115.2,,,
2010-04-01,TRADE_NF_IND_YOY,107.2,105.8156915546501,104.8,106.9,107.7,96.6,115.2,100.8,125.7,122.0,99.7,111.3,117.6,102.8,111.1,98.5,110.3,109.0,103.0,103.6,111.19150937739558,105.1,100.03223005438987,107.1,107.3,,102.4,106.0,115.9,102.2,97.7,111.3,116.3,105.82199917877865,115.2,120.4,92.9,117.5,110.0,115.7,105.0,95.3,116.2,109.2,101.2,121.4,123.1,105.8,109.31795395994273,103.4,113.5,107.1,112.8,108.0,93.1,101.6,111.2,110.1,128.0,109.6,104.4,123.5,115.2,106.26874140034255,105.0,108.2,102.8,96.1,110.3,,107.9,106.3012125998626,112.1,105.9,117.8,164.3,103.5,101.3,115.3,94.8,104.6,105.3,97.4,109.7,102.84875800427446,103.9,107.3,100.8,105.8,104.6,114.0,99.23,98.0,95.0,,,
2010-05-01,TRADE_NF_IND_YOY,108.4,106.88100240661797,110.9,123.1,108.8,101.4,112.7,105.9,136.6,124.9,107.9,106.1,120.6,103.3,111.1,97.5,112.7,113.6,111.1,104.7,114.93244131685965,107.1,106.50261003653128,109.6,93.7,,108.2,99.6,115.8,103.5,101.9,115.5,121.9,110.68228493010818,130.5,118.4,102.5,115.7,110.8,117.4,108.7,97.9,106.2,107.3,111.0,125.9,123.1,113.1,108.87663268228823,103.9,114.8,108.9,115.7,107.6,107.6,102.2,112.9,109.5,119.6,103.5,102.1,119.4,112.2,103.57715921756784,102.6,110.9,95.9,85.4,103.0,,101.4,109.01475115198613,111.4,122.2,116.5,126.6,108.0,103.2,125.3,91.6,110.4,102.0,100.9,115.7,103.33007881296952,106.2,107.6,96.0,107.0,103.3,112.3,107.5,102.9,96.3,,,
2010-06-01,TRADE_NF_IND_YOY,109.3,108.1359627386542,109.9,123.3,112.1,100.1,113.4,106.2,141.7,122.7,113.0,104.8,116.0,105.2,117.2,100.9,114.1,114.1,120.4,106.7,113.11768772685002,110.1,104.89179657616039,110.7,106.3,,109.2,95.3,118.8,107.8,102.0,107.9,117.7,105.94644874593241,109.0,94.0,101.8,117.1,92.4,114.7,113.9,111.6,90.6,109.0,107.3,124.7,123.7,114.8,107.84452402546876,103.9,119.6,107.8,111.6,102.4,98.9,103.9,112.0,112.7,109.2,100.3,102.0,120.6,116.6,105.7440443227496,104.5,114.5,96.4,89.5,99.7,,103.2,111.18689828446517,110.4,119.4,127.2,105.1,111.0,103.0,117.9,96.0,116.0,109.5,113.8,112.1,105.48559545835084,107.7,106.6,102.2,98.3,107.3,113.3,114.73,103.1,124.0,,,
2010-07-01,TRADE_NF_IND_YOY,109.4,108.49177746288849,103.2,123.7,107.0,105.1,114.4,112.0,131.3,120.3,113.1,110.2,115.7,109.5,114.0,101.4,109.6,113.7,118.3,105.8,111.87829938862058,103.9,109.72134745630757,113.5,126.0,,115.3,95.4,107.6,103.4,101.7,113.9,116.6,110.74767171068308,107.8,115.0,104.2,118.5,114.0,115.8,119.6,124.2,107.9,111.0,104.8,129.2,121.2,116.3,105.54113191101008,101.3,115.4,103.6,110.8,106.8,108.2,101.4,108.4,110.7,102.7,98.1,97.1,115.4,115.9,106.13477232136427,104.5,115.8,98.0,92.9,99.5,,100.3,112.30673526084705,105.8,98.5,122.5,126.3,103.6,104.0,118.7,94.3,118.9,122.6,108.9,111.0,101.1624111715731,103.7,104.6,102.3,103.3,103.0,114.9,88.08,106.4,115.2,,,
