,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,TRADE_NF_IND_YTD,105.4,103.03379937263813,113.0,108.0,112.5,103.8,86.5,108.5,125.8,82.7,118.4,116.5,98.6,113.3,98.1,121.9,104.4,107.2,104.6,95.1,110.09705148406442,106.5,85.10506217481077,96.4,103.5,,107.8,100.9,95.4,110.5,125.8,127.1,117.0,113.09287577540653,159.5,99.7,115.1,106.7,117.2,104.4,107.84668029975427,99.5,139.7,143.9,112.3,121.0,109.6,101.3,104.9,112.2,123.4,113.1,102.1,104.0,96.7,99.3,108.6,104.1,111.1,120.6,98.6,114.2,89.9,103.5,90.0,103.3,99.1,98.0,99.4,,95.1,101.86369061919757,108.0,117.5,107.8,110.6,97.3,108.5,101.9,94.3,96.0,107.3,106.2,92.7,107.4,107.0,105.0,103.6,118.9,104.9,105.6,103.8,105.9,105.6,,,
2009-02-01,TRADE_NF_IND_YTD,102.1,99.35485310496603,114.0,107.5,113.0,105.9,83.1,108.2,116.5,81.9,113.3,105.5,99.7,112.2,98.7,108.3,101.7,102.1,102.3,93.6,103.39635689544674,105.7,83.29759792110995,97.7,107.0,,100.8,96.5,92.0,108.9,120.8,121.8,106.8,107.57729463518766,150.2,104.0,105.2,106.1,115.4,102.6,107.22073861835517,106.6,143.7,131.3,113.9,115.4,108.1,98.6,101.9,106.7,119.9,103.7,101.1,97.4,96.8,95.4,103.1,100.9,108.8,115.0,97.5,112.1,87.5,99.9,87.4,98.1,97.1,94.7,102.0,,89.6,97.10297474699004,106.7,114.6,109.8,85.1,98.8,106.0,99.5,87.7,88.3,101.5,101.9,85.9,105.8,104.0,105.7,103.3,113.1,102.5,106.7,106.3,105.5,104.3,,,
2009-03-01,TRADE_NF_IND_YTD,100.1,96.4641723776659,112.8,106.7,109.8,105.4,85.4,106.3,104.4,80.7,106.9,97.2,95.5,107.9,100.8,93.9,99.9,100.9,99.6,92.7,101.09007519925964,103.2,84.82344740979909,101.0,108.0,,99.7,93.1,93.0,106.3,115.0,116.9,103.2,105.77254647779826,142.6,104.3,103.5,106.7,112.6,101.2,107.71028281483947,111.1,149.0,119.2,115.7,115.8,108.3,97.9,98.5,103.8,111.7,101.9,100.4,93.0,100.1,92.3,100.4,96.8,102.9,107.7,92.2,107.9,85.9,99.3,86.3,98.0,98.7,94.8,102.7,,88.5,95.20893103071373,108.8,115.3,109.7,79.1,96.8,104.9,96.7,88.1,85.5,99.2,99.5,84.8,105.3,104.2,102.3,100.3,112.1,103.9,107.1,110.1,105.5,113.2,,,
2009-04-01,TRADE_NF_IND_YTD,97.4,94.90123314874127,104.4,105.2,105.6,109.1,84.9,104.6,102.2,79.6,105.7,93.4,94.5,105.1,102.0,88.4,99.0,99.2,95.1,92.0,98.13747967970832,101.5,84.60071967877269,101.5,108.3,,95.5,92.3,93.7,102.7,109.8,114.2,98.8,103.85491579626449,138.9,103.5,102.9,103.7,109.4,98.7,104.92814572442998,104.0,148.1,113.1,113.5,118.0,110.0,97.5,96.17918022933826,102.9,109.5,98.4,99.6,90.8,102.8,90.8,97.2,93.6,95.8,104.1,88.9,102.5,86.0,96.1,84.8,96.3,91.4,90.1,103.3,,87.6,93.29005295997129,105.0,111.2,107.5,79.4,93.1,103.0,94.0,88.0,83.1,97.7,98.2,83.7,105.0,104.6,102.0,100.8,108.9,103.5,106.5,110.9,105.5,122.4,,,
2009-05-01,TRADE_NF_IND_YTD,96.2,94.10651766301223,100.7,102.0,103.2,109.8,83.5,103.6,104.5,78.7,103.9,92.8,92.6,102.3,101.1,87.2,97.3,97.2,91.4,91.6,96.11836460226112,99.7,83.79786037538466,100.9,108.9,,97.0,92.9,94.3,99.5,106.7,111.1,95.6,101.93242288626176,134.7,103.2,102.3,102.1,106.4,95.7,105.10171482684366,106.6,138.2,109.7,110.9,118.4,110.9,96.8,94.3845912733042,100.1,103.9,96.7,97.8,90.8,101.8,89.6,95.7,91.8,93.5,103.0,87.0,98.8,87.1,94.4,83.8,94.9,89.5,88.9,99.1,,85.5,92.02211498633726,105.4,106.9,105.5,85.6,90.1,101.6,91.2,88.4,81.3,97.5,98.2,82.0,104.1,104.8,102.0,101.9,106.8,103.5,105.9,104.7,105.0,115.3,,,
2009-06-01,TRADE_NF_IND_YTD,95.2,93.48603661969675,97.9,99.8,101.0,109.8,83.6,102.6,86.9,78.5,103.2,93.1,91.5,100.9,99.2,86.3,95.6,96.0,88.2,91.3,95.12919302871585,98.8,82.82013376397012,100.8,108.3,,95.6,93.9,94.5,97.6,105.7,108.9,94.2,100.13716522226218,127.5,103.4,101.2,100.9,103.8,93.7,105.64289665318319,109.0,132.2,107.3,110.1,117.8,111.4,96.7,93.29868456449174,98.7,100.7,95.1,96.9,91.5,101.4,88.5,94.7,90.0,91.8,102.6,86.0,96.7,87.2,92.0,82.5,93.8,85.6,82.8,93.5,,85.1,91.17268308509777,106.0,104.4,102.2,91.3,87.6,100.4,89.5,89.2,78.8,98.2,96.4,83.7,103.6,104.0,102.5,101.8,105.3,102.0,104.8,106.1,104.2,109.8,,,
2009-07-01,TRADE_NF_IND_YTD,94.1,92.74473852081042,94.8,97.7,100.0,107.2,83.2,101.2,85.2,78.5,101.5,92.7,90.8,99.4,98.0,85.8,95.1,94.8,86.3,90.9,93.96363590454428,98.3,81.46019719555643,100.1,108.2,,94.1,94.3,95.5,97.4,104.3,106.0,92.3,99.09828087504285,122.8,103.7,102.1,100.1,101.4,90.8,104.27913668101694,106.0,126.5,105.5,107.5,116.9,112.0,97.0,92.621632307771,98.3,99.8,95.2,96.2,91.8,100.5,88.0,92.7,89.0,91.2,102.2,85.1,94.8,87.0,89.1,80.8,93.0,80.5,75.3,89.8,,84.6,90.37218638286136,104.0,102.8,100.3,93.8,85.8,99.5,88.8,90.5,77.0,96.7,95.4,84.8,103.1,103.4,102.3,101.5,105.3,100.8,103.1,105.2,103.5,107.1,,,
2009-08-01,TRADE_NF_IND_YTD,93.2,92.26090123120201,92.2,96.2,98.4,105.5,82.4,99.6,86.2,78.6,100.7,91.8,89.3,97.7,97.3,85.5,94.9,93.9,84.4,91.0,93.02072242828751,97.2,80.14760508966945,100.4,108.9,,92.2,95.1,95.6,96.7,102.7,102.4,91.0,98.41671580793465,122.0,103.1,103.1,99.3,99.2,88.3,103.29161045679737,103.6,120.6,104.8,104.5,114.9,113.5,97.6,91.84550004792342,96.8,98.6,94.7,94.7,93.8,100.0,87.1,93.1,88.0,91.4,101.4,84.4,93.3,87.7,86.9,79.4,92.1,77.4,70.6,87.1,,84.2,89.5640926038023,100.3,99.1,98.6,96.5,84.3,98.6,88.3,90.6,75.4,96.2,95.0,83.7,102.3,103.0,103.9,100.2,105.5,99.3,102.7,103.2,103.0,108.9,,,
2009-09-01,TRADE_NF_IND_YTD,92.3,91.91087432639327,90.2,95.5,97.2,103.5,82.2,97.5,84.2,78.5,100.7,91.5,88.9,96.7,97.3,84.8,95.4,93.1,83.3,91.0,92.03996065767507,95.9,79.10131916778414,99.3,108.4,,90.8,95.7,95.4,96.0,101.8,100.4,89.7,97.36197051657399,118.5,101.7,103.0,98.2,97.2,86.4,102.55661841147625,102.8,117.2,103.4,101.8,111.5,114.3,97.6,91.1,94.9,97.9,94.6,93.6,94.9,98.7,86.8,92.7,87.1,92.2,101.2,83.7,92.2,88.0,85.5,78.3,91.3,75.6,67.9,86.4,,83.7,89.02974941765797,97.3,96.3,97.5,99.7,82.7,98.1,88.0,91.2,74.6,95.3,94.8,83.5,101.7,103.0,103.5,99.7,105.4,98.2,102.4,101.1,102.7,106.4,,,
2009-10-01,TRADE_NF_IND_YTD,91.8,91.82634280258637,89.1,95.0,96.3,101.2,82.2,95.3,99.1,78.4,100.7,91.1,88.8,95.9,97.3,84.3,96.3,92.6,82.6,91.2,91.54489896447717,95.1,78.30858868652575,98.7,108.4,,90.3,97.1,95.3,96.0,101.1,99.1,88.9,96.78060517008461,117.2,101.0,103.0,98.5,96.1,84.9,101.62652967541729,101.6,115.0,102.9,100.2,106.8,115.2,97.3,90.8,95.0,97.6,94.3,92.6,95.4,97.3,86.5,91.8,86.6,93.5,100.9,83.1,91.6,88.2,84.7,77.1,90.8,75.3,67.3,86.1,,83.5,88.68825113114701,95.3,96.9,97.3,101.1,80.3,97.7,87.9,91.1,73.6,94.7,96.0,83.9,101.7,103.4,102.9,99.2,105.7,97.8,102.8,101.5,102.6,104.8,,,
