,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,TRADE_R_IND_YOY,104.7,104.12346379975874,113.0,110.3,113.6,105.9,98.5,108.1,104.4,101.6,114.6,113.2,97.7,110.5,99.4,114.4,105.4,106.0,103.0,98.9,106.22573841782614,100.8,83.36575767053787,98.3,106.6,,106.2,101.1,101.4,108.0,114.2,102.0,112.7,110.1,157.5,95.9,105.8,105.0,121.8,101.9,113.1,115.0,120.1,139.4,112.0,116.1,127.9,101.5,103.9,109.4,118.5,105.2,104.1,98.1,101.0,101.6,103.8,99.7,108.9,105.6,104.2,106.2,95.1,103.6,92.6,107.0,99.3,97.7,97.8,,98.0,100.6063836424621,106.5,116.0,104.9,110.2,103.8,105.7,103.5,90.3,94.3,103.1,102.3,92.7,104.3,103.7,101.9,102.7,109.6,103.8,100.8,101.8,104.4,105.5,,,
2009-02-01,TRADE_R_IND_YOY,99.1,98.44076374591877,111.2,108.6,106.0,104.9,100.9,106.2,97.1,99.4,106.7,99.9,95.0,107.6,96.9,106.2,99.0,100.3,98.5,95.0,96.51034448599987,98.7,79.37422093067804,97.8,108.4,,97.8,94.8,92.8,105.2,109.3,98.3,97.3,103.6,137.9,104.7,101.0,103.8,115.4,97.3,109.9,115.9,126.0,116.6,113.4,107.5,126.2,99.2,99.4,100.3,111.5,92.0,102.3,93.3,89.5,98.3,96.0,95.5,106.0,105.3,100.7,103.4,87.8,97.2,89.4,95.9,94.0,90.5,97.0,,94.1,92.73487958086945,106.6,108.4,107.7,92.3,102.6,101.2,98.4,83.4,83.5,88.8,94.8,88.6,101.5,100.6,104.8,99.8,102.7,100.6,100.7,103.5,103.0,101.9,,,
2009-03-01,TRADE_R_IND_YOY,97.7,94.62418954059822,112.9,106.9,101.0,99.6,99.3,104.2,95.0,93.8,100.7,88.4,90.7,99.1,100.4,91.1,97.5,100.3,96.2,93.7,97.73268888853099,99.0,84.17585934486885,100.9,107.6,,95.5,95.2,96.6,100.9,103.5,98.1,99.2,98.3,127.9,102.8,91.6,106.5,108.1,96.7,107.6,109.9,140.4,97.5,113.6,115.9,129.4,99.7,95.8,100.1,106.5,95.0,100.0,91.2,98.4,94.6,96.0,91.3,99.4,98.4,91.1,99.3,85.6,97.0,89.3,100.5,95.0,95.8,94.3,,92.3,93.08843030889881,112.0,114.7,107.7,94.5,97.6,101.7,94.6,90.6,81.8,93.6,90.8,88.9,102.5,103.0,101.2,93.7,106.1,104.9,101.1,111.5,103.2,131.1,,,
2009-04-01,TRADE_R_IND_YOY,95.6,94.16698775194217,100.3,105.3,93.5,110.4,99.7,103.3,99.2,92.4,105.6,85.5,92.8,97.8,102.3,85.9,97.3,97.8,89.5,94.2,93.32307204956396,95.9,81.98035600383497,100.9,107.3,,93.4,94.8,97.1,95.5,96.8,97.0,91.9,99.3,129.6,102.0,102.3,97.4,103.1,91.6,107.5,108.8,129.4,96.3,101.8,125.2,131.9,100.2,94.38869648889622,103.1,100.3,93.8,98.4,88.3,102.5,97.2,92.1,87.8,88.6,97.5,88.3,91.8,91.7,94.3,87.2,96.9,86.3,84.6,89.9,,91.0,90.81274692071553,101.3,107.8,102.1,97.9,92.3,98.4,92.9,88.9,77.4,93.2,92.0,85.6,102.6,103.0,99.6,99.8,103.5,100.5,99.4,106.6,103.0,145.8,,,
2009-05-01,TRADE_R_IND_YOY,94.8,94.54493908164497,101.7,98.7,94.7,106.3,95.1,101.5,97.8,89.9,102.5,89.9,88.6,93.0,99.8,92.2,95.0,93.9,87.9,94.7,92.38384741064303,92.8,79.05408474606621,98.3,110.1,,93.8,98.1,98.3,90.7,101.2,96.0,90.7,94.9,116.7,106.5,97.4,97.3,102.0,85.6,108.8,116.0,91.7,97.7,100.9,123.2,131.5,98.3,93.23091926771319,92.7,93.7,95.1,98.5,90.4,96.6,94.1,90.6,88.7,91.6,98.3,90.6,92.0,96.4,93.6,88.5,94.1,88.9,90.9,86.9,,90.6,90.40156690705076,106.5,99.1,98.7,100.2,87.8,99.5,90.3,89.8,79.4,96.9,89.4,84.9,103.5,103.6,101.9,105.1,104.1,101.6,98.4,103.3,101.3,92.5,,,
2009-06-01,TRADE_R_IND_YOY,94.0,95.4487576014387,97.9,96.8,91.3,105.6,95.0,99.5,94.7,91.1,98.2,93.6,88.8,95.1,95.8,89.8,92.2,95.8,87.9,96.0,93.76837095000997,97.7,77.11035305915625,101.1,108.0,,92.3,99.5,97.5,90.7,102.9,94.9,93.2,92.7,103.1,105.4,95.1,96.2,96.9,85.5,106.6,109.7,93.9,96.0,104.8,116.6,130.5,99.6,92.96462268523727,93.5,94.1,96.2,98.5,93.3,98.6,92.0,92.3,86.1,95.6,98.6,91.5,92.3,83.4,88.7,87.2,92.9,77.2,72.0,75.4,,90.5,88.57019545252777,109.3,101.4,91.7,102.1,84.4,97.6,88.5,92.7,72.0,95.8,85.2,88.0,98.5,100.2,103.3,102.0,102.1,95.5,97.8,85.0,99.0,80.9,,,
2009-07-01,TRADE_R_IND_YOY,92.5,93.46911528554342,93.7,93.4,92.7,96.3,87.6,94.4,93.4,92.1,95.0,90.4,88.8,94.1,93.2,92.5,94.3,92.1,88.8,94.8,91.43961628665353,95.4,75.94517572621294,98.5,106.2,,88.8,97.9,98.8,97.4,100.4,92.6,88.5,92.9,97.9,106.6,101.7,98.0,94.3,79.1,103.2,102.5,86.9,95.0,97.4,112.8,129.3,100.1,93.40340497111409,96.4,90.1,102.4,98.6,93.4,97.7,91.7,91.6,87.5,99.3,97.9,88.8,90.3,88.8,86.1,82.6,92.4,72.1,64.0,69.1,,90.4,88.2235540924645,97.6,105.4,91.5,106.0,83.6,97.7,90.9,93.3,73.2,88.7,86.1,87.8,99.6,102.3,99.2,98.7,103.3,96.4,95.1,97.1,99.7,84.0,,,
2009-08-01,TRADE_R_IND_YOY,90.8,93.20824931147288,89.4,94.0,89.3,95.8,83.6,90.1,92.4,92.3,96.8,87.7,86.2,89.7,94.1,90.4,92.7,92.4,86.2,96.2,90.49040336788646,92.3,74.34770250510977,97.4,109.0,,79.0,100.4,97.6,92.7,97.6,89.6,89.3,92.6,109.6,102.7,102.6,95.4,91.2,78.0,105.9,105.2,77.9,99.5,93.5,105.8,138.7,104.1,91.86622551460457,93.8,97.3,99.0,92.9,99.6,98.9,89.4,90.0,86.0,96.1,95.3,88.1,92.0,93.0,84.4,81.1,90.1,70.8,62.9,66.2,,90.9,85.51828968518666,83.4,85.2,92.2,101.5,82.7,97.0,88.8,86.9,71.7,89.0,88.6,80.2,97.2,101.7,103.0,90.6,105.3,93.0,99.1,92.2,100.8,110.7,,,
2009-09-01,TRADE_R_IND_YOY,90.2,94.10817093891458,92.1,96.6,91.7,92.3,85.9,85.2,90.7,92.5,95.7,92.2,89.7,92.4,98.1,90.2,94.9,91.1,87.4,96.1,88.96271600149335,90.9,73.99061062830086,93.7,106.2,,79.5,101.4,94.4,92.3,99.8,91.4,86.9,90.7,97.9,96.7,101.4,90.7,87.0,77.2,105.9,110.9,79.8,97.5,91.1,94.3,135.8,101.3,90.6,89.1,98.6,101.2,92.1,97.2,95.5,88.8,90.6,85.5,100.5,97.3,85.8,89.7,91.8,85.2,81.3,89.9,72.7,65.4,67.0,,91.4,86.0954770816466,84.6,83.5,94.3,103.0,80.3,96.3,88.7,92.1,74.0,87.7,88.7,82.7,97.6,101.5,103.9,95.5,104.9,92.3,99.4,88.1,101.1,64.2,,,
2009-10-01,TRADE_R_IND_YOY,91.7,95.1658026475064,98.3,97.1,92.3,89.6,88.4,84.6,91.8,94.0,95.6,91.5,91.4,94.2,97.7,93.5,99.1,95.3,89.3,97.5,91.45994272436329,90.3,76.51536329395815,95.5,104.6,,81.9,104.0,95.5,96.3,100.8,91.4,90.2,93.0,102.4,103.3,103.9,98.1,89.8,77.4,104.2,108.4,85.5,100.8,94.7,82.4,137.3,99.6,92.9,98.9,99.3,98.7,94.1,96.1,96.4,89.3,87.6,86.0,105.7,96.5,86.6,91.3,92.0,87.0,79.9,89.5,77.4,72.1,68.1,,93.4,88.05104424109132,84.0,94.9,101.4,101.9,79.4,96.8,90.6,87.6,73.7,90.1,98.0,89.7,100.1,103.7,97.4,92.6,106.0,96.3,102.1,106.5,101.7,88.6,,,
