dates,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,TRADE_R_IND_YTD,104.7,104.12346379975874,113.0,110.3,113.6,105.9,98.5,108.1,104.4,101.6,114.6,113.2,97.7,110.5,99.4,114.4,105.4,106.0,103.0,98.9,106.22573841782614,100.8,83.36575767053787,98.3,106.6,,106.2,101.1,101.4,108.0,114.2,102.0,112.7,110.1,157.5,95.9,105.8,105.0,121.8,101.9,113.1,115.0,120.1,139.4,112.0,116.1,127.9,101.5,103.9,109.4,118.5,105.2,104.1,98.1,101.0,101.6,103.8,99.7,108.9,105.6,104.2,106.2,95.1,103.6,92.6,107.0,99.3,97.7,97.8,,98.0,100.6063836424621,106.5,116.0,104.9,110.2,103.8,105.7,103.5,90.3,94.3,103.1,102.3,92.7,104.3,103.7,101.9,102.7,109.6,103.8,100.8,101.8,104.4,105.5,,,
2009-02-01,TRADE_R_IND_YTD,101.9,101.23781505000632,112.1,109.7,107.3,105.4,99.7,107.1,100.7,100.5,110.5,106.8,96.4,109.0,98.2,110.2,102.1,101.8,100.7,97.0,101.23175314976828,99.7,81.32625039367701,98.1,107.4,,101.8,98.7,96.9,106.5,111.8,100.5,104.7,105.8,147.4,100.5,102.6,104.4,118.6,99.6,111.4,115.5,123.2,127.7,112.7,112.1,127.1,100.3,101.6,104.4,115.0,98.2,103.2,95.6,95.2,100.0,99.8,97.6,107.4,105.4,102.4,104.8,91.3,100.1,91.0,101.3,96.0,93.7,97.7,,96.1,96.59013392356783,106.5,112.0,106.2,100.7,103.2,103.4,100.9,86.7,88.7,95.8,98.6,90.6,102.8,102.4,103.4,100.9,106.1,102.1,100.7,102.7,103.7,103.7,,,
2009-03-01,TRADE_R_IND_YTD,100.4,98.79648385632308,112.4,109.5,106.6,103.3,99.6,106.2,98.7,98.2,107.0,99.7,94.4,104.4,98.9,103.1,100.4,102.2,99.1,95.8,99.93778555253482,99.5,82.31684976954519,99.1,107.6,,99.5,97.5,96.8,104.5,108.9,100.3,102.6,103.9,140.5,101.0,100.7,105.1,114.9,98.6,109.9,113.4,127.8,115.9,113.0,113.3,127.9,100.1,99.5,102.7,111.8,97.0,102.1,94.0,96.3,98.1,98.4,95.3,104.6,102.9,98.3,102.8,89.3,99.0,90.4,101.0,95.8,94.1,94.3,,94.7,95.2834756741951,108.3,113.0,106.7,98.5,101.0,102.8,98.5,88.1,86.2,95.0,95.9,89.7,102.6,102.8,102.6,98.2,106.1,103.1,100.9,105.7,103.5,112.3,,,
2009-04-01,TRADE_R_IND_YTD,99.1,97.53083257049273,108.9,107.7,103.0,105.1,99.6,105.3,98.9,96.7,106.6,95.8,93.9,103.3,99.8,98.0,99.6,101.1,96.5,95.4,98.23835474446653,98.6,82.22360322679418,99.5,107.5,,97.9,96.8,97.0,102.1,105.5,99.7,99.9,102.6,137.3,101.5,101.1,103.0,111.8,96.7,109.2,112.1,127.1,110.2,110.0,116.2,128.9,100.1,98.13951568101255,102.8,108.7,96.1,101.1,92.5,97.9,97.8,96.7,93.3,100.2,101.5,95.6,99.8,89.9,97.8,89.6,99.9,93.3,91.3,94.8,,93.8,94.09246081771104,105.7,111.6,105.5,98.3,98.4,101.6,97.0,88.4,83.9,94.5,94.8,88.6,102.6,102.6,101.8,98.6,105.4,102.4,100.5,105.9,103.4,121.4,,,
2009-05-01,TRADE_R_IND_YTD,98.2,96.89971603363281,107.2,105.8,101.0,105.3,98.7,104.4,98.7,95.3,105.7,94.5,92.8,100.9,99.8,96.6,98.6,99.5,94.6,95.3,96.97613108199707,97.3,81.57672581089786,99.3,108.0,,97.0,97.0,97.2,99.7,104.6,99.2,97.9,100.9,133.1,102.5,100.3,101.7,109.7,94.1,109.1,113.0,119.0,107.2,108.0,117.8,129.5,99.7,97.01519543439231,100.1,105.2,95.9,100.6,92.0,97.6,97.0,95.3,92.3,98.3,100.8,94.5,98.1,91.2,97.0,89.3,98.7,92.3,91.4,93.1,,93.1,93.29859022256383,105.7,108.9,104.1,98.8,95.9,101.1,95.6,88.7,82.8,95.0,93.6,88.9,102.8,102.8,101.8,100.1,105.1,102.2,100.0,105.4,102.9,113.2,,,
2009-06-01,TRADE_R_IND_YTD,97.4,96.60714027330948,105.4,104.1,99.1,105.4,98.0,103.5,97.9,94.5,104.3,94.3,92.1,99.8,99.1,95.3,97.4,98.8,93.3,95.4,96.53357179402005,97.4,80.83487603725698,99.6,108.0,,96.1,98.8,97.3,98.3,104.3,98.5,97.1,99.3,126.5,103.0,99.3,100.7,107.3,92.5,108.6,112.3,113.9,104.9,107.4,117.4,129.6,99.7,96.3247991833683,98.6,103.1,95.9,100.2,92.3,97.8,96.1,94.8,91.2,97.8,100.4,94.0,97.0,91.6,95.3,89.0,97.6,89.3,86.7,89.5,,92.7,92.41971662304859,106.3,107.6,101.8,99.3,93.5,100.5,94.3,89.4,80.8,95.2,92.1,88.7,102.0,102.4,102.1,100.4,104.4,101.0,99.6,101.6,102.2,107.3,,,
2009-07-01,TRADE_R_IND_YTD,96.6,96.10578331898992,103.4,102.5,98.0,103.9,96.2,102.0,97.2,94.2,102.8,93.7,91.5,98.9,98.1,94.8,96.9,97.7,92.6,95.3,95.8729122433835,97.1,80.13090819848965,99.4,107.8,,95.0,98.7,97.9,98.4,103.6,97.5,95.9,98.2,121.2,103.6,99.6,100.3,105.2,90.2,107.7,110.5,109.0,103.1,105.7,116.8,129.6,99.8,95.82752611236646,98.2,100.8,96.9,99.9,92.4,97.8,95.4,93.6,90.6,98.0,100.0,93.2,95.9,91.1,93.8,87.9,96.8,86.5,82.5,85.4,,92.4,91.76446320530887,104.7,107.2,100.2,100.4,91.7,100.1,93.8,90.0,79.6,94.2,91.1,88.6,101.6,102.4,101.6,100.1,104.2,100.2,98.9,100.8,101.8,103.5,,,
2009-08-01,TRADE_R_IND_YTD,95.8,95.68236285322695,101.2,101.3,96.7,102.7,94.4,100.2,96.5,93.9,101.9,92.9,90.8,97.5,97.6,94.1,96.3,97.0,91.7,95.4,95.04472333696705,96.4,79.41023810393598,99.1,107.9,,92.6,97.5,97.8,97.6,102.7,96.3,95.0,97.4,119.6,103.5,100.1,99.6,103.2,88.3,107.5,109.7,103.8,102.5,103.9,115.0,133.2,100.3,95.23412569647118,97.5,100.3,97.2,98.9,93.4,97.9,94.5,93.6,89.9,97.8,99.3,92.5,95.3,90.4,92.3,86.9,95.9,84.1,79.2,83.2,,92.2,90.8634319336919,101.3,103.9,98.9,100.5,90.3,99.6,93.1,89.6,78.4,93.5,90.8,87.5,100.9,102.2,101.8,98.7,104.3,99.2,98.9,99.6,101.7,104.5,,,
2009-09-01,TRADE_R_IND_YTD,95.1,95.4797015156018,100.0,100.7,96.0,101.3,93.3,98.0,95.8,93.7,101.1,92.8,90.7,96.9,97.6,93.6,96.1,96.3,91.2,95.5,94.43026159160233,95.7,78.8065867654529,98.5,107.7,,91.0,99.0,97.4,97.0,102.4,95.6,94.1,96.5,116.5,102.7,100.2,98.4,101.2,86.8,107.3,109.9,100.8,101.8,102.2,112.2,133.5,100.4,94.7,96.3,100.1,97.6,98.1,93.8,97.6,93.9,93.3,89.4,98.1,99.1,91.6,94.6,90.5,91.3,86.2,95.2,82.5,76.8,80.4,,92.1,90.24517776909805,99.0,101.2,98.3,100.8,88.8,99.3,92.6,89.9,77.9,92.7,90.5,86.9,100.5,102.2,102.0,98.3,104.4,98.3,99.0,98.2,101.6,101.8,,,
2009-10-01,TRADE_R_IND_YTD,94.7,95.43175320207177,99.8,100.0,95.6,99.9,92.8,96.3,95.4,93.8,100.5,92.7,90.8,96.6,97.6,93.6,96.4,96.2,91.0,95.7,94.08233322240937,95.1,78.57619604425652,98.2,107.4,,90.0,99.5,97.2,96.9,102.2,95.1,93.6,96.1,114.6,102.7,100.6,98.4,99.9,85.7,106.8,109.6,98.8,101.6,101.3,107.9,134.0,100.3,94.5,96.6,100.0,97.7,97.6,94.0,97.5,93.4,92.6,89.0,98.9,98.8,91.1,94.2,90.7,90.7,85.5,94.5,81.8,76.4,79.0,,92.2,90.01144527393835,97.3,100.5,98.6,100.9,87.7,99.0,92.3,89.6,77.5,92.5,91.4,87.2,100.5,102.3,101.6,97.7,104.5,98.0,99.4,99.1,101.6,100.2,,,
