dates,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,TRANSP_C_IND_YOY,81.3,84.8,91.1,79.3,75.7,87.2,101.8,82.9,102.7,99.0,86.4,75.6,73.9,73.5,76.8,98.0,104.2,78.7,78.2,84.3,82.7,70.5,95.3,80.3,41.4,,93.2,84.3,90.0,114.3,54.4,80.1,75.0,90.2,58.4,109.8,90.2,53.2,78.3,102.0,,154.9,181.7,45.4,91.5,78.5,66.6,106.5,83.6,65.0,65.3,78.6,117.0,86.8,58.1,82.4,83.5,83.0,84.2,89.3,101.5,68.1,80.2,76.2,81.4,57.9,86.0,91.5,58.4,,55.7,78.1,95.9,82.9,76.9,73.8,89.8,99.0,93.0,63.1,79.5,72.2,72.3,61.6,86.3,95.6,100.5,84.0,85.4,67.1,157.3,104.6,131.6,91.3,,,
2009-02-01,TRANSP_C_IND_YOY,80.5,83.2,92.9,82.4,77.7,94.4,91.4,90.0,100.3,92.7,87.8,71.4,72.1,74.6,75.0,89.2,90.7,84.8,72.1,79.4,84.4,80.6,95.1,80.3,43.4,,94.0,72.9,93.6,102.9,57.4,83.1,75.4,89.3,67.5,42.4,94.1,58.7,74.3,91.7,,149.2,58.4,66.1,91.1,76.8,82.4,101.2,81.8,62.6,65.4,74.2,109.6,92.6,59.5,84.7,79.6,79.5,85.3,92.6,101.2,57.4,76.4,71.4,78.4,57.2,80.4,82.9,65.4,,53.9,79.3,82.7,83.7,49.7,73.3,87.4,81.1,93.0,64.6,82.2,74.0,70.9,64.3,87.0,112.0,105.6,82.0,80.4,81.0,116.9,92.6,94.1,102.0,,,
2009-03-01,TRANSP_C_IND_YOY,83.2,85.8,94.8,86.4,79.7,95.6,86.2,85.3,86.2,90.2,90.9,75.4,74.8,79.0,72.2,92.8,90.0,96.3,78.8,81.9,87.4,86.8,91.3,83.9,51.9,,98.3,78.6,101.6,105.8,61.4,85.5,76.7,86.1,73.2,60.5,91.3,60.2,68.1,87.7,,121.2,45.3,73.5,79.3,82.7,46.8,91.3,83.6,64.2,73.9,74.5,106.0,95.7,64.8,86.3,80.0,83.1,90.2,89.7,96.6,64.2,84.4,73.9,81.7,62.5,82.8,85.6,68.2,,57.1,83.7,94.5,83.5,52.7,80.9,92.3,111.2,96.5,70.8,84.5,78.2,71.8,64.7,88.1,118.5,116.0,82.3,80.4,87.4,80.9,89.3,72.7,127.4,,,
2009-04-01,TRANSP_C_IND_YOY,85.1,85.4,92.4,91.0,78.3,95.8,91.6,85.6,83.7,90.6,87.8,76.1,75.0,82.7,73.9,92.3,93.7,95.0,80.4,77.7,87.9,84.6,91.8,88.2,65.1,,99.0,80.5,104.6,106.5,65.6,82.9,72.8,88.0,70.7,70.7,91.7,63.2,66.2,97.0,,115.8,48.5,80.0,79.5,81.2,25.3,90.6,83.9,68.4,66.3,75.9,99.4,95.4,68.8,86.0,80.3,84.0,91.0,96.1,94.2,65.9,86.4,76.3,82.6,65.4,83.7,85.3,71.2,,63.2,88.1,88.5,84.3,73.8,91.5,94.7,137.8,100.0,75.9,85.9,82.4,88.1,68.5,90.4,107.6,124.5,84.3,85.3,100.0,79.9,87.0,81.5,95.7,,,
2009-05-01,TRANSP_C_IND_YOY,98.3,96.8,117.7,101.5,82.4,87.6,148.5,122.9,95.3,67.3,102.7,100.6,87.1,104.7,93.6,85.6,114.8,72.9,91.1,87.9,97.5,77.3,105.0,112.0,308.9,,89.9,81.3,108.6,107.4,108.2,94.8,82.6,94.4,101.4,99.1,99.3,79.6,95.1,84.3,86.6,81.4,286.2,115.4,107.1,96.8,135.0,79.7,87.7,83.0,92.4,87.8,84.9,74.0,80.4,102.7,82.5,82.1,80.8,93.9,93.5,86.2,103.0,102.7,107.8,102.8,99.2,93.4,138.9,,130.6,102.3,26.4,95.8,102.3,141.6,87.6,369.7,109.0,118.1,71.3,95.5,116.4,84.5,109.8,102.0,96.7,101.4,110.4,173.0,95.4,77.6,86.7,126.0,,,
2009-06-01,TRANSP_C_IND_YOY,102.9,104.7,118.0,110.9,88.0,96.9,125.9,102.7,89.8,87.4,104.5,105.1,93.8,106.8,110.7,97.4,132.5,74.8,102.2,107.3,98.6,81.7,105.6,113.1,356.7,,96.2,93.9,93.4,121.6,115.5,102.7,84.6,101.6,111.4,103.5,100.4,109.6,102.4,101.0,103.8,124.9,281.7,108.0,94.5,93.2,45.9,97.5,93.6,88.3,102.3,98.1,97.2,83.0,87.6,94.5,88.8,93.4,89.6,94.1,102.7,94.6,105.2,101.6,112.1,103.9,97.5,92.3,120.0,,122.9,109.3,38.1,90.7,153.0,139.8,91.9,281.0,112.3,110.0,90.4,107.5,126.0,94.8,111.5,99.4,90.8,106.2,115.6,147.6,82.8,92.9,107.7,100.5,,,
2009-07-01,TRANSP_C_IND_YOY,100.5,98.8,109.0,105.4,90.1,82.3,121.5,99.1,94.3,91.3,95.9,98.8,89.5,93.9,122.7,72.0,133.6,71.9,91.8,112.7,97.4,81.7,102.3,102.3,310.0,,95.9,103.5,95.8,119.0,119.2,99.0,85.7,102.7,107.6,83.2,100.8,113.7,94.6,108.8,106.6,145.8,92.0,88.7,112.4,89.5,31.1,102.1,90.5,84.4,91.6,95.4,92.4,81.3,85.8,89.0,90.1,91.4,87.6,80.3,109.8,99.1,92.8,101.2,104.9,105.9,97.3,93.9,106.3,,114.4,107.6,51.0,89.2,184.7,120.4,94.1,176.1,109.1,108.8,97.2,103.4,121.0,92.3,106.7,99.2,76.3,103.4,111.7,123.2,82.7,102.7,101.3,105.1,,,
2009-08-01,TRANSP_C_IND_YOY,99.7,98.4,104.7,103.4,89.9,82.8,111.2,100.5,95.6,93.9,99.6,101.7,92.6,93.3,125.5,78.2,136.9,73.0,89.3,103.6,98.0,85.5,103.0,101.4,290.3,,98.0,102.9,96.7,105.0,118.9,103.4,85.4,101.4,113.2,81.0,102.3,109.9,98.0,99.1,106.6,151.8,76.1,83.8,95.2,93.1,76.0,101.8,90.3,84.5,96.0,97.5,91.2,80.6,86.0,88.3,91.8,92.7,84.6,78.2,110.4,102.2,92.9,103.3,101.0,110.0,99.7,99.1,98.6,,112.0,104.0,60.3,88.2,158.8,112.6,95.2,133.9,105.1,110.0,96.9,99.4,99.0,94.6,103.6,100.7,69.6,103.4,108.5,105.8,83.4,105.3,86.1,96.8,,,
2009-09-01,TRANSP_C_IND_YOY,105.1,103.3,112.5,114.2,98.4,99.2,80.8,77.2,93.2,150.3,108.3,93.7,110.3,112.3,109.6,103.6,140.2,104.9,103.6,83.6,97.8,86.7,100.5,85.5,100.9,,108.1,157.6,71.6,58.9,122.1,120.0,119.6,110.9,97.3,91.5,117.0,93.6,94.5,110.0,94.3,74.1,80.7,89.1,100.1,83.4,14.8,106.3,106.9,94.7,110.8,137.6,107.1,79.9,104.0,130.8,111.7,113.3,88.8,108.5,108.5,104.2,113.1,103.4,110.6,117.5,97.8,98.3,70.4,,120.1,106.6,103.5,111.9,130.8,88.1,110.7,116.8,99.2,118.9,94.6,111.0,120.4,117.5,112.5,118.2,121.7,117.4,96.7,140.8,108.5,109.3,62.1,84.4,,,
2009-10-01,TRANSP_C_IND_YOY,103.4,102.0,105.8,107.1,92.5,98.0,97.3,109.2,95.3,123.6,105.5,94.1,105.1,113.5,102.2,114.2,130.8,109.9,98.2,89.0,100.0,74.3,103.8,92.6,67.4,,104.7,139.4,92.2,63.2,113.9,103.0,115.1,100.2,74.3,79.9,105.7,93.4,98.5,95.5,84.6,55.5,39.0,73.2,97.0,83.8,140.9,96.2,106.1,94.2,110.2,134.7,102.2,92.9,98.6,133.8,111.2,114.8,81.7,103.2,109.6,107.3,108.7,106.6,104.3,114.0,100.5,104.5,69.3,,130.1,101.7,108.5,110.4,104.3,96.3,111.7,103.8,94.5,118.2,86.1,106.9,112.6,118.9,109.9,109.5,144.1,120.0,99.6,120.1,117.5,92.3,73.1,84.2,,,
