dates,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,TRANSP_C_IND_YTD,88.5,93.6,113.3,70.9,96.6,81.8,83.1,71.6,91.0,96.1,96.1,106.9,109.1,72.8,70.3,103.8,102.6,73.0,73.7,103.3,81.7,101.7,98.4,82.7,49.3,,91.8,119.9,99.7,81.7,85.0,87.3,55.9,91.8,76.6,156.4,78.1,85.8,100.6,114.4,,118.5,173.3,79.9,89.8,79.4,12.6,102.8,88.7,78.5,71.3,79.6,98.9,77.9,76.4,93.3,74.6,69.8,76.8,89.7,80.8,113.1,126.5,86.0,85.7,83.7,89.8,94.6,78.6,,69.9,88.0,96.5,96.1,91.0,57.1,85.7,79.9,94.5,91.1,77.0,63.2,70.7,116.6,89.3,94.6,111.1,92.8,80.3,79.7,90.0,107.1,88.8,92.4,,,
2009-02-01,TRANSP_C_IND_YTD,86.6,88.4,109.3,77.1,97.4,89.1,84.3,75.8,89.9,95.2,96.3,92.2,109.9,76.9,71.6,96.9,99.0,78.4,75.9,84.8,83.0,100.3,94.4,78.2,43.4,,89.6,122.4,88.9,76.1,83.5,82.5,68.2,88.2,80.8,71.5,86.6,82.5,91.5,109.4,,114.7,88.1,83.6,87.3,80.7,6.4,102.2,87.5,75.9,71.1,80.9,99.6,78.5,79.3,95.0,76.5,79.9,74.8,91.9,81.0,98.6,109.0,83.3,82.9,79.5,88.0,87.1,87.5,,66.9,87.3,85.4,87.7,77.0,59.7,87.4,79.4,99.3,90.6,80.9,70.5,71.2,100.6,88.5,93.3,96.0,85.5,88.1,82.8,78.2,98.6,75.6,104.6,,,
2009-03-01,TRANSP_C_IND_YTD,86.6,88.1,108.6,82.2,95.5,92.7,85.7,72.6,81.6,98.3,92.8,89.1,105.9,81.5,76.5,95.2,99.5,84.1,77.3,80.2,83.8,98.4,92.5,87.3,45.6,,86.9,126.8,96.0,78.2,83.7,84.4,66.9,86.7,85.3,70.3,93.3,83.8,85.9,100.9,,111.0,122.4,72.9,84.8,79.2,5.7,94.7,87.4,76.3,74.0,86.7,99.5,76.6,79.9,100.9,81.1,87.8,79.7,91.0,74.8,92.7,103.3,83.3,81.6,80.8,87.7,88.8,86.8,,68.6,88.2,98.6,85.9,81.3,66.6,93.1,88.8,93.3,90.3,85.5,72.2,71.5,108.9,89.3,92.2,107.1,87.7,88.4,83.6,81.9,98.6,81.1,114.7,,,
2009-04-01,TRANSP_C_IND_YTD,87.6,88.9,105.0,85.2,95.9,93.4,87.8,72.9,79.6,97.5,91.4,86.4,105.5,88.5,82.5,93.0,99.9,87.7,80.3,83.1,84.1,92.2,92.8,90.5,53.5,,86.6,125.6,97.2,77.3,86.5,86.3,67.1,85.5,90.3,72.4,97.6,87.6,80.1,101.4,,117.2,114.3,76.8,86.7,79.5,3.7,93.1,88.1,79.4,76.6,88.3,100.7,76.2,82.4,98.9,84.1,94.4,82.0,90.1,76.1,86.9,101.8,85.0,84.6,81.8,89.2,89.7,88.6,,72.1,92.1,97.6,83.8,92.3,77.7,95.7,95.8,95.1,94.9,88.7,77.3,77.4,114.5,89.6,86.5,119.6,90.8,89.4,86.3,80.6,94.8,80.3,122.4,,,
2009-05-01,TRANSP_C_IND_YTD,103.7,103.2,117.0,109.5,105.3,130.5,103.4,108.5,90.5,95.3,97.6,100.8,125.1,110.4,116.4,96.8,106.5,98.5,97.7,89.0,110.5,90.6,102.4,122.8,180.7,,93.1,200.0,97.7,97.8,111.3,92.1,115.5,111.7,118.7,55.3,117.3,90.5,101.1,109.3,94.6,86.5,337.7,61.8,103.8,137.0,157.9,98.1,98.4,98.6,94.9,102.5,104.9,89.6,99.0,78.3,107.1,106.5,92.7,92.2,111.1,99.3,96.0,102.7,104.9,100.8,101.7,96.0,127.7,,112.7,104.7,74.3,103.9,103.6,123.5,102.9,131.1,110.4,128.6,103.2,106.8,97.7,68.9,99.7,84.1,92.2,113.3,110.2,105.1,73.8,66.6,53.4,132.4,,,
2009-06-01,TRANSP_C_IND_YTD,109.6,110.9,122.3,110.2,99.9,125.6,106.2,104.4,90.2,111.8,98.0,107.8,127.2,115.3,120.8,104.4,104.3,101.5,105.1,109.3,124.4,93.2,101.8,131.7,331.5,,96.7,147.5,89.2,102.7,108.3,103.4,165.4,112.0,120.4,63.9,112.4,115.7,109.2,112.6,105.6,122.0,175.9,128.7,106.5,128.0,27.4,102.8,104.2,105.1,101.9,105.4,105.7,99.1,105.6,84.7,104.5,106.1,99.7,93.8,118.3,110.3,105.7,101.7,94.9,106.0,99.0,93.1,118.6,,112.8,108.8,82.8,100.5,115.2,120.3,105.2,143.4,109.2,115.9,110.0,114.3,103.9,92.5,104.6,87.1,98.1,122.6,111.2,106.9,91.9,70.6,74.7,85.0,,,
2009-07-01,TRANSP_C_IND_YTD,108.2,107.1,113.7,107.6,98.0,119.1,104.6,106.6,92.3,110.0,93.2,104.1,120.7,109.9,121.1,93.9,100.5,99.6,106.3,105.5,126.0,94.0,99.7,108.2,303.4,,101.5,138.6,91.6,101.1,110.0,101.2,174.7,110.2,119.6,75.6,111.0,118.8,103.3,111.1,107.1,127.1,51.7,113.3,113.0,110.7,16.1,104.7,103.5,100.4,101.2,102.7,101.2,98.9,104.2,79.8,107.4,109.1,98.7,90.0,126.7,114.1,107.3,103.2,106.9,109.7,99.4,94.0,113.9,,111.6,104.7,84.5,95.2,126.7,108.9,109.4,128.3,100.2,108.2,107.0,100.6,104.4,100.9,104.1,96.2,88.5,113.6,110.0,101.2,92.1,73.6,86.5,129.9,,,
2009-08-01,TRANSP_C_IND_YTD,108.8,107.5,113.2,107.6,98.3,128.8,105.6,103.4,95.4,110.6,96.0,104.1,123.0,105.1,121.7,97.1,101.1,98.6,110.1,103.0,127.8,97.5,103.3,107.2,277.3,,105.2,132.9,90.9,96.9,115.4,102.6,175.1,109.7,122.2,82.7,110.3,116.4,104.1,109.7,109.7,146.8,47.7,115.3,107.6,102.4,27.4,101.9,104.5,99.7,105.4,103.8,101.3,99.7,105.6,84.9,108.3,110.1,100.0,92.8,127.8,111.6,107.5,104.4,108.3,113.5,99.9,96.9,103.0,,111.3,103.6,85.7,93.5,127.6,88.8,116.9,115.1,101.3,102.1,107.1,100.0,101.0,100.9,103.5,98.5,76.8,109.6,110.2,102.1,95.0,76.4,86.9,102.4,,,
2009-09-01,TRANSP_C_IND_YTD,108.5,100.7,106.0,104.4,90.2,120.4,154.2,88.1,102.2,119.7,96.6,97.6,141.7,107.1,95.1,99.8,106.5,120.4,123.7,79.8,121.8,106.9,109.5,88.4,133.2,,112.7,129.6,79.1,84.8,169.5,134.3,146.7,114.7,114.0,101.4,112.4,115.5,103.0,124.0,98.9,96.8,51.9,97.2,92.4,69.6,1.1,105.1,110.8,85.9,103.1,117.7,114.4,107.4,110.5,131.0,96.2,113.8,98.2,102.0,137.3,101.8,95.0,101.7,112.2,119.5,93.9,92.5,82.2,,114.0,109.6,107.5,79.2,98.0,83.9,148.2,112.5,104.5,93.8,110.0,110.1,125.9,134.5,104.1,111.9,75.4,96.7,103.8,112.2,137.4,103.4,106.4,90.7,,,
2009-10-01,TRANSP_C_IND_YTD,110.1,107.2,99.9,101.6,96.5,123.5,118.7,103.4,103.4,108.6,99.0,112.4,137.8,107.5,102.1,147.7,109.5,125.3,111.7,93.1,121.1,101.8,106.1,94.4,102.8,,104.7,143.2,101.6,86.7,162.2,127.7,129.6,113.7,105.1,91.0,112.4,104.3,101.8,123.4,96.1,82.2,35.2,68.3,88.5,82.0,98.9,103.3,111.1,90.4,107.1,121.9,110.8,103.6,108.5,112.3,101.6,131.5,92.5,109.9,139.4,99.1,98.0,103.2,102.1,117.3,97.4,97.5,83.0,,109.3,107.1,110.9,85.8,103.3,109.9,137.9,104.1,106.7,93.1,100.3,112.2,113.9,120.3,104.3,114.9,93.4,90.9,108.7,111.9,133.6,99.7,104.1,130.3,,,
