,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,WAGE_AGR_IND_YOY,123.0,119.8,126.1,116.6,111.5,128.9,110.1,116.8,114.6,120.4,119.3,111.4,131.0,123.5,120.3,133.0,119.1,129.0,125.4,140.5,117.6,117.4,116.9,109.8,90.8,,108.2,117.3,121.4,115.1,129.7,143.7,116.8,123.9,102.1,109.2,122.5,125.7,126.1,129.5,136.2,152.5,183.4,137.6,117.1,128.6,,140.5,123.9,124.7,128.0,124.9,120.4,118.5,127.3,121.6,120.9,113.6,143.3,136.8,124.4,124.9,117.0,123.6,126.4,124.2,124.6,125.3,106.3,,120.1,125.3,120.4,127.8,200.7,123.5,132.7,138.3,128.7,116.4,113.0,125.2,126.1,112.6,115.3,117.7,117.4,123.2,106.7,122.7,85.9,119.6,67.1,104.1,,,
2009-02-01,WAGE_AGR_IND_YOY,119.7,116.5,127.4,113.3,105.8,114.9,108.3,112.7,110.8,118.1,108.1,110.8,131.6,115.2,108.4,142.4,116.3,124.3,115.5,147.0,113.6,110.7,129.0,101.3,79.1,,104.0,118.0,116.6,112.9,125.6,129.6,117.1,128.4,121.8,131.5,126.5,127.6,125.6,134.7,126.4,117.3,193.7,136.5,143.7,113.2,167.5,124.4,120.5,124.4,124.5,121.4,116.4,118.2,120.6,117.6,113.3,109.8,137.6,128.9,121.8,127.6,112.5,118.9,128.5,118.0,113.6,113.3,124.7,,122.1,116.9,113.5,123.0,219.9,126.8,128.3,129.2,103.1,116.8,113.1,117.6,119.2,105.8,110.4,115.8,110.0,115.1,119.4,93.9,101.0,119.4,117.3,107.1,,,
2009-03-01,WAGE_AGR_IND_YOY,120.5,116.1,124.9,114.4,107.2,125.7,107.7,113.6,117.2,117.1,104.7,109.3,133.0,112.1,110.4,123.0,125.4,112.6,112.4,176.6,116.8,109.0,132.1,108.9,100.2,,108.0,116.5,119.7,113.2,107.2,144.7,114.1,125.1,116.5,164.9,123.5,136.6,124.0,127.3,131.7,119.8,124.3,122.2,130.2,116.6,138.9,133.1,120.1,120.6,119.2,122.3,113.7,123.5,116.7,116.1,119.4,109.6,136.3,131.3,121.8,126.2,105.9,124.6,124.0,114.6,145.4,100.1,99.0,,116.3,118.3,99.2,135.0,148.6,133.1,130.0,130.5,112.3,112.4,117.7,117.4,115.3,103.3,121.8,111.9,113.7,118.1,113.0,122.7,162.4,124.6,99.2,150.7,,,
2009-04-01,WAGE_AGR_IND_YOY,114.8,112.9,120.3,113.6,107.6,110.6,110.3,109.6,115.7,113.5,100.3,108.6,123.3,108.4,103.6,150.2,104.5,111.9,109.5,112.4,114.6,129.4,128.8,121.8,136.8,,104.4,108.7,115.2,112.5,116.0,126.8,110.5,123.8,124.7,143.9,119.7,129.9,118.9,134.8,125.7,125.4,141.5,131.3,138.2,131.8,170.7,121.7,108.6,104.9,118.3,110.4,102.7,106.7,113.2,110.9,108.7,101.1,120.0,122.9,102.9,116.2,97.9,107.3,118.2,109.9,102.4,100.6,124.5,,104.8,118.8,115.0,125.0,179.8,113.8,125.3,111.1,119.3,108.8,116.1,123.4,113.9,109.0,110.5,117.1,112.8,116.5,104.1,115.1,118.7,123.5,112.3,81.6,,,
2009-05-01,WAGE_AGR_IND_YOY,118.4,114.1,115.7,111.3,111.2,127.1,106.2,111.6,113.2,115.2,107.3,107.5,124.0,117.0,121.5,126.4,112.1,117.6,111.9,114.6,111.5,113.7,121.3,120.1,150.5,,102.2,112.4,112.7,111.0,120.4,128.1,99.4,122.7,114.9,154.9,122.0,131.0,119.7,123.9,130.1,121.8,143.9,128.8,80.4,111.6,199.4,134.2,120.9,117.9,124.1,119.9,113.9,127.8,127.4,118.2,117.5,110.7,133.7,130.9,120.6,125.1,126.8,115.0,135.4,113.2,120.4,111.6,177.2,,107.8,117.9,121.2,142.1,188.4,130.9,123.4,137.7,116.9,110.2,110.0,117.5,117.5,107.6,120.7,130.6,104.0,118.9,116.5,127.0,119.6,124.1,122.6,115.1,,,
2009-06-01,WAGE_AGR_IND_YOY,117.7,114.2,119.3,112.0,109.4,119.0,106.4,108.6,108.6,119.9,123.3,105.8,124.8,113.2,99.6,120.3,107.0,115.5,112.2,173.0,113.0,120.1,134.0,117.2,118.3,,109.9,113.7,112.0,112.6,115.5,130.4,85.1,123.4,117.5,139.9,120.0,141.4,128.4,128.5,137.8,139.6,137.2,129.1,222.0,137.2,141.7,129.1,118.6,113.3,132.5,115.6,114.0,120.8,123.6,115.5,120.9,107.7,128.8,131.7,114.0,125.0,121.6,112.1,121.9,115.9,111.5,119.7,115.3,,105.2,115.1,120.5,124.8,179.7,119.5,123.6,113.0,108.4,113.1,111.4,115.5,110.4,113.5,112.4,113.5,100.6,111.0,107.6,116.5,97.0,128.4,111.4,107.4,,,
2009-07-01,WAGE_AGR_IND_YOY,112.0,110.9,115.8,100.5,111.2,110.5,109.0,113.3,111.0,114.9,106.5,108.1,123.0,107.8,103.4,112.2,106.0,114.5,111.1,120.8,110.6,116.1,132.7,108.2,108.2,,101.7,115.7,108.5,111.2,127.8,129.1,106.0,112.9,117.9,151.6,110.1,128.5,122.0,111.6,104.0,137.1,146.4,122.3,135.4,128.6,113.9,99.3,114.0,105.8,121.2,116.7,108.3,117.0,115.8,110.3,114.2,105.9,127.2,122.2,106.6,122.2,127.0,108.7,124.3,108.8,107.7,103.6,114.1,,105.3,115.0,120.4,146.5,184.9,125.6,123.9,118.0,111.6,113.8,112.7,108.1,113.0,107.2,115.9,126.1,109.6,108.7,113.0,114.3,118.2,133.2,98.4,107.3,,,
2009-08-01,WAGE_AGR_IND_YOY,106.5,105.3,107.9,106.5,106.6,96.6,108.7,108.1,112.2,108.2,109.0,96.3,121.7,109.6,107.1,114.5,111.4,107.9,107.6,110.2,110.8,119.1,139.2,117.8,127.3,,101.9,106.7,109.5,108.0,120.7,126.5,100.2,100.2,80.3,137.8,103.5,131.9,89.0,95.7,102.2,143.8,121.9,114.1,135.0,109.8,149.3,96.5,109.2,103.6,133.2,109.3,110.0,117.7,128.0,107.4,120.4,108.2,103.2,110.5,99.3,99.8,106.2,103.2,106.1,107.9,103.1,94.4,100.0,,96.5,111.0,119.6,133.9,132.4,122.5,117.1,105.7,108.2,108.8,107.7,108.4,105.9,111.8,112.0,122.2,126.5,118.9,106.6,107.4,129.4,112.0,94.3,100.8,,,
2009-09-01,WAGE_AGR_IND_YOY,111.4,112.4,117.3,114.2,106.9,115.1,105.9,105.2,108.7,121.3,107.1,105.8,122.9,117.4,104.9,123.7,106.3,122.3,106.4,103.8,107.5,112.6,128.3,111.0,109.9,,98.9,101.5,107.7,114.8,121.1,123.2,90.8,105.9,116.2,104.7,106.3,134.2,105.1,103.7,106.6,130.3,136.5,101.6,144.0,113.6,138.5,100.5,111.3,110.5,122.1,118.8,107.1,120.9,110.5,111.3,116.3,108.8,107.5,115.8,103.1,108.0,118.4,112.4,134.8,114.3,112.9,89.8,129.7,,105.4,117.3,127.7,131.7,154.3,111.4,127.2,132.6,112.8,111.4,108.5,116.0,114.9,112.1,119.7,120.0,100.2,119.0,109.2,137.9,121.6,115.4,125.2,132.1,,,
2009-10-01,WAGE_AGR_IND_YOY,112.3,108.4,108.1,105.4,107.9,108.8,103.6,114.3,105.9,111.9,126.4,103.7,106.8,107.1,106.0,113.8,103.8,107.0,100.8,98.1,106.0,120.5,122.3,111.5,118.2,,98.0,107.7,104.0,112.0,130.1,116.7,89.2,115.7,123.5,121.3,120.1,145.3,109.3,105.5,120.8,150.6,135.9,103.3,120.9,118.0,111.4,119.4,109.3,101.0,121.4,107.6,105.9,114.2,100.6,101.2,110.8,103.7,112.6,123.7,108.8,122.0,113.0,109.2,120.3,107.5,113.8,95.6,138.0,,104.7,120.8,140.2,134.1,137.3,108.2,127.2,131.1,108.5,113.8,103.2,120.8,142.9,109.0,118.5,121.2,92.4,115.9,110.0,130.0,114.2,127.0,125.4,123.0,,,
2009-11-01,WAGE_AGR_IND_YOY,112.9,112.3,113.7,109.3,102.0,114.6,112.9,110.6,109.0,127.0,131.8,107.8,113.3,110.9,99.5,111.1,114.3,96.8,103.8,107.2,105.9,110.8,122.8,100.5,81.4,,99.1,107.5,106.0,105.7,135.8,114.4,92.4,112.9,135.7,198.6,110.9,126.7,112.8,110.4,118.3,130.7,95.2,103.8,158.4,119.8,132.8,114.6,110.3,102.5,117.3,110.3,109.6,113.6,115.9,102.0,118.0,108.6,110.7,117.2,113.7,113.8,97.7,110.2,128.8,114.3,108.9,99.5,119.5,,101.6,117.7,131.5,142.0,117.5,127.3,130.0,95.4,103.4,113.4,96.5,112.8,143.5,113.3,127.5,175.8,93.5,129.6,114.4,148.8,96.0,104.7,119.7,117.9,,,
2009-12-01,WAGE_AGR_IND_YOY,111.4,112.5,114.0,111.1,116.1,108.2,118.7,109.1,110.3,117.6,112.8,111.1,130.8,117.3,101.2,109.3,119.3,102.0,109.2,117.3,105.4,109.3,122.9,109.6,116.1,,91.5,102.0,105.3,107.6,130.7,111.3,124.0,112.4,122.1,123.3,115.9,131.0,91.5,112.6,117.2,137.7,135.7,118.3,113.3,66.5,135.9,115.3,109.5,87.7,127.2,107.6,108.9,116.8,102.9,95.8,119.1,109.2,127.7,133.4,110.8,93.8,126.9,108.6,119.4,112.1,105.5,108.0,98.1,,103.5,112.3,129.8,136.1,149.1,114.9,128.0,118.3,109.8,110.8,99.1,104.1,106.5,112.3,111.4,77.7,123.4,125.7,126.9,130.7,145.2,107.2,101.1,131.1,,,
